Dates,SMA Values
2023-07-18,214.0620
2023-07-17,213.9970
2023-07-14,213.9260
2023-07-13,213.7970
2023-07-12,213.1840
2023-07-11,212.4160
2023-07-10,211.0980
2023-07-07,210.3080
2023-07-06,209.6590
2023-07-05,209.6050
2023-07-03,209.5110
2023-06-30,210.4180
2023-06-29,211.2430
2023-06-28,211.7500
2023-06-27,212.7160
2023-06-26,213.9290
2023-06-23,215.1020
2023-06-22,216.3720
2023-06-21,217.0040
2023-06-20,216.5250
2023-06-16,216.1660
2023-06-15,215.4990
2023-06-14,214.3540
2023-06-13,213.2340
2023-06-12,211.6650
2023-06-09,209.8720
2023-06-08,208.2280
2023-06-07,206.3440
2023-06-06,205.4110
2023-06-05,205.2730
2023-06-02,204.9440
2023-06-01,204.3360
2023-05-31,204.2270
2023-05-30,203.7440
2023-05-26,203.5520
2023-05-25,203.2590
2023-05-24,203.3560
2023-05-23,203.5130
2023-05-22,203.4410
2023-05-19,202.5760
2023-05-18,201.8610
2023-05-17,200.8420
2023-05-16,200.2480
2023-05-15,200.4860
2023-05-12,200.5960
2023-05-11,201.2040
2023-05-10,201.6240
2023-05-09,201.8430
2023-05-08,201.8740
2023-05-05,202.7250
2023-05-04,203.4060
2023-05-03,204.4240
2023-05-02,205.2020
2023-05-01,205.7140
2023-04-28,205.8300
2023-04-27,205.3230
2023-04-26,206.0780
2023-04-25,207.0090
2023-04-24,208.0220
2023-04-21,208.5230
2023-04-20,209.1450
2023-04-19,209.4220
2023-04-18,209.9410
2023-04-17,210.6430
2023-04-14,211.3830
2023-04-13,212.3160
2023-04-12,211.7540
2023-04-11,211.0160
2023-04-10,209.8410
2023-04-06,208.5160
2023-04-05,207.1690
2023-04-04,205.7850
2023-04-03,204.8650
2023-03-31,203.8030
2023-03-30,202.6650
2023-03-29,201.8800
2023-03-28,200.9040
2023-03-27,201.1360
2023-03-24,201.4160
2023-03-23,201.9700
2023-03-22,202.3040
2023-03-21,203.4080
2023-03-20,203.7300
2023-03-17,204.4450
2023-03-16,205.8510
2023-03-15,206.5380
2023-03-14,207.1720
2023-03-13,206.5990
2023-03-10,206.3080
2023-03-09,205.8160
2023-03-08,206.5050
2023-03-07,206.3610
2023-03-06,206.1210
2023-03-03,206.0950
2023-03-02,205.8050
2023-03-01,206.5430
2023-02-28,207.9330
2023-02-27,209.3430
2023-02-24,210.5860
2023-02-23,211.9700
2023-02-22,212.5070
2023-02-21,213.4070
2023-02-17,213.5360
2023-02-16,212.9710
2023-02-15,212.6840
2023-02-14,212.4150
2023-02-13,211.8700
2023-02-10,211.2720
2023-02-09,211.1000
2023-02-08,211.1740
2023-02-07,211.0920
2023-02-06,210.8140
2023-02-03,211.1300
2023-02-02,211.2050
2023-02-01,210.9800
2023-01-31,210.4460
2023-01-30,210.2870
2023-01-27,210.7330
2023-01-26,211.0480
2023-01-25,210.5780
2023-01-24,209.9790
2023-01-23,209.6380
2023-01-20,209.9410
2023-01-19,209.7640
2023-01-18,209.4190
2023-01-17,208.0170
2023-01-13,205.9250
2023-01-12,203.4030
2023-01-11,200.8090
2023-01-10,198.9460
2023-01-09,197.1830
2023-01-06,195.1510
2023-01-05,193.4510
2023-01-04,191.7810
2023-01-03,189.9850
2022-12-30,188.9160
2022-12-29,188.2390
2022-12-28,188.1730
2022-12-27,188.0480
2022-12-23,187.7350
2022-12-22,186.7830
2022-12-21,185.8660
2022-12-20,183.9160
2022-12-19,182.9300
2022-12-16,182.8720
2022-12-15,182.6890
2022-12-14,181.8950
2022-12-13,180.9580
2022-12-12,179.7770
2022-12-09,178.3330
2022-12-08,178.2150
2022-12-07,177.7920
2022-12-06,177.3920
2022-12-05,176.8430
2022-12-02,175.7220
2022-12-01,174.7130
2022-11-30,174.4040
2022-11-29,174.0510
2022-11-28,173.8740
2022-11-25,174.4400
2022-11-23,174.3620
2022-11-22,173.7510
2022-11-21,173.4630
2022-11-18,172.6600
2022-11-17,171.2720
2022-11-16,169.6690
2022-11-15,167.1410
2022-11-14,163.9440
2022-11-11,160.8400
2022-11-10,157.4750
2022-11-09,153.6930
2022-11-08,150.1980
2022-11-07,147.9010
2022-11-04,145.6150
2022-11-03,143.7460
2022-11-02,141.9840
2022-11-01,141.0820
2022-10-31,140.4780
2022-10-28,139.8360
2022-10-27,138.7670
2022-10-26,138.0310
2022-10-25,137.6940
2022-10-24,136.1860
2022-10-21,135.1710
2022-10-20,134.0180
2022-10-19,133.3250
2022-10-18,132.6970
2022-10-17,132.3140
2022-10-14,131.3100
2022-10-13,130.1030
2022-10-12,129.3960
2022-10-11,129.6980
2022-10-10,129.2920
2022-10-07,128.8360
2022-10-06,128.9830
2022-10-05,129.6340
2022-10-04,130.7520
2022-10-03,131.9950
2022-09-30,133.8780
2022-09-29,136.1990
2022-09-28,138.6440
2022-09-27,140.2260
2022-09-26,142.2060
2022-09-23,145.3440
2022-09-22,147.9700
2022-09-21,149.8780
2022-09-20,151.1440
2022-09-19,151.7890
2022-09-16,152.4830
2022-09-15,153.4200
2022-09-14,154.4670
2022-09-13,155.7620
2022-09-12,157.5730
2022-09-09,158.1540
2022-09-08,159.3400
2022-09-07,159.9210
2022-09-06,160.3330
2022-09-02,160.9920
2022-09-01,162.1020
2022-08-31,163.6050
2022-08-30,164.3000
2022-08-29,165.2870
2022-08-26,165.7920
2022-08-25,166.3380
2022-08-24,166.1880
2022-08-23,166.7300
2022-08-22,167.2080
2022-08-19,167.8990
2022-08-18,168.1110
2022-08-17,167.8920
2022-08-16,167.8360
2022-08-15,166.9560
2022-08-12,166.8160
2022-08-11,165.7480
2022-08-10,164.8690
2022-08-09,163.5760
2022-08-08,162.6830
2022-08-05,161.7580
2022-08-04,161.0700
2022-08-03,160.5610
2022-08-02,159.7350
2022-08-01,159.0200
2022-07-29,156.8850
2022-07-28,155.7280
2022-07-27,154.5340
2022-07-26,153.3200
2022-07-25,152.4430
2022-07-22,150.4780
2022-07-21,148.5690
2022-07-20,146.4250
2022-07-19,144.2180
2022-07-18,142.3750
2022-07-15,141.5870
2022-07-14,140.4850
2022-07-13,139.6150
2022-07-12,139.0900
2022-07-11,138.2470
2022-07-08,138.7010
2022-07-07,138.1910
2022-07-06,137.9100
2022-07-05,137.9540
2022-07-01,137.8640
2022-06-30,137.2160
2022-06-29,136.9160
2022-06-28,135.2870
2022-06-27,133.0030
2022-06-24,131.8310
2022-06-23,131.0510
2022-06-22,131.6170
2022-06-21,131.9830
2022-06-17,132.2320
2022-06-16,132.4770
2022-06-15,133.1910
2022-06-14,132.8840
2022-06-13,133.8080
2022-06-10,135.4450
2022-06-09,135.5180
2022-06-08,134.3510
2022-06-07,132.3280
2022-06-06,130.6530
2022-06-03,128.7990
2022-06-02,127.5880
2022-06-01,126.0900
2022-05-31,126.2300
2022-05-27,125.4950
2022-05-26,124.9920
2022-05-25,124.5330
2022-05-24,125.2660
2022-05-23,126.6210
2022-05-20,127.5450
2022-05-19,130.3650
2022-05-18,132.6980
2022-05-17,135.8430
2022-05-16,137.9960
2022-05-13,140.4520
2022-05-12,142.6160
2022-05-11,145.7240
2022-05-10,148.2310
2022-05-09,151.6400
2022-05-06,155.9000
2022-05-05,158.7020
2022-05-04,161.7570
2022-05-03,164.4150
2022-05-02,167.6550
2022-04-29,170.7790
2022-04-28,174.0890
2022-04-27,176.9540
2022-04-26,179.1360
2022-04-25,179.9350
2022-04-22,179.8640
2022-04-21,179.9690
2022-04-20,179.7390
2022-04-19,179.6490
2022-04-18,180.1690
2022-04-14,181.2600
2022-04-13,182.2160
2022-04-12,183.4200
2022-04-11,185.1720
2022-04-08,186.4850
2022-04-07,187.8600
2022-04-06,188.9680
2022-04-05,189.7000
2022-04-04,190.5390
2022-04-01,190.0110
2022-03-31,190.2180
2022-03-30,190.0870
2022-03-29,189.4950
2022-03-28,188.1040
2022-03-25,186.8400
2022-03-24,185.5680
2022-03-23,184.5020
2022-03-22,183.7540
2022-03-21,182.0300
2022-03-18,180.3570
2022-03-17,179.1580
2022-03-16,179.0240
2022-03-15,179.9060
2022-03-14,181.4080
2022-03-11,184.3900
2022-03-10,186.9150
2022-03-09,188.9190
2022-03-08,190.7050
2022-03-07,193.1990
2022-03-04,197.1850
2022-03-03,200.4590
2022-03-02,203.4670
2022-03-01,205.4590
2022-02-28,206.9720
2022-02-25,207.6680
2022-02-24,209.3950
2022-02-23,211.1380
2022-02-22,212.8230
2022-02-18,214.1410
2022-02-17,213.8830
2022-02-16,213.1640
2022-02-15,212.0230
2022-02-14,211.0840
2022-02-11,210.1040
2022-02-10,207.9310
2022-02-09,205.0310
2022-02-08,202.8720
2022-02-07,201.9550
2022-02-04,201.1830
2022-02-03,201.0820
2022-02-02,201.8620
2022-02-01,202.8180
2022-01-31,204.4850
2022-01-28,207.0570
2022-01-27,210.3900
2022-01-26,213.1600
2022-01-25,215.3350
2022-01-24,215.8560
2022-01-21,216.9860
2022-01-20,217.5760
2022-01-19,217.4640
2022-01-18,217.1190
2022-01-14,215.4040
2022-01-13,212.9400
2022-01-12,210.8210
2022-01-11,209.4420
2022-01-10,208.4530
2022-01-07,207.8390
2022-01-06,206.7110
2022-01-05,205.7460
2022-01-04,204.3910
2022-01-03,201.8760
2021-12-31,200.3530
2021-12-30,199.3000
2021-12-29,198.5720
2021-12-28,197.7560
2021-12-27,196.8830
2021-12-23,197.0720
2021-12-22,197.4060
2021-12-21,198.3400
2021-12-20,199.2710
2021-12-17,201.0110
2021-12-16,201.5970
2021-12-15,202.7560
2021-12-14,202.0320
2021-12-13,202.2670
2021-12-10,202.3770
2021-12-09,201.7920
2021-12-08,202.0960
2021-12-07,201.9060
2021-12-06,202.0130
2021-12-03,202.8380
2021-12-02,205.7140
2021-12-01,208.1380
2021-11-30,211.8990
2021-11-29,215.4230
2021-11-26,217.6690
2021-11-24,219.6860
2021-11-23,220.4760
2021-11-22,221.6420
2021-11-19,222.9200
2021-11-18,223.9530
2021-11-17,222.5310
2021-11-16,221.2070
2021-11-15,219.9040
2021-11-12,218.0530
2021-11-11,216.6600
2021-11-10,215.5070
2021-11-09,214.3180
2021-11-08,213.2200
2021-11-05,212.2390
2021-11-04,211.0900
2021-11-03,211.2210
2021-11-02,211.5000
2021-11-01,211.8200
2021-10-29,212.0600
2021-10-28,213.0610
2021-10-27,214.0200
2021-10-26,215.5370
2021-10-25,216.9130
2021-10-22,218.2710
2021-10-21,219.6130
2021-10-20,220.8270
2021-10-19,221.7090
2021-10-18,222.5540
2021-10-15,223.2350
2021-10-14,224.1310
2021-10-13,224.3810
2021-10-12,224.7390
2021-10-11,224.2230
2021-10-08,223.9940
2021-10-07,223.4940
2021-10-06,222.9560
2021-10-05,222.1550
2021-10-04,220.5640
2021-10-01,219.1350
2021-09-30,217.8710
2021-09-29,217.2130
2021-09-28,216.0990
2021-09-27,215.4150
2021-09-24,214.4470
2021-09-23,213.3380
2021-09-22,212.6220
2021-09-21,212.0620
2021-09-20,212.6350
2021-09-17,213.5020
2021-09-16,214.2490
2021-09-15,214.7250
2021-09-14,215.2530
2021-09-13,215.8620
2021-09-10,216.5890
2021-09-09,217.2090
2021-09-08,217.9180
2021-09-07,218.9230
2021-09-03,219.4390
2021-09-02,218.8890
2021-09-01,218.0220
2021-08-31,218.1100
2021-08-30,218.3820
2021-08-27,219.5220
2021-08-26,220.7930
2021-08-25,222.9610
2021-08-24,224.8070
2021-08-23,226.2420
2021-08-20,227.5290
2021-08-19,229.3950
2021-08-18,231.1730
2021-08-17,231.9360
2021-08-16,232.6230
2021-08-13,232.2510
2021-08-12,231.4530
2021-08-11,230.7980
2021-08-10,230.0060
2021-08-09,228.6550
2021-08-06,228.0130
2021-08-05,227.0320
2021-08-04,226.1250
2021-08-03,225.7160
2021-08-02,224.5220
2021-07-30,222.6870
2021-07-29,221.8130
2021-07-28,220.9260
2021-07-27,220.2140
2021-07-26,220.8070
2021-07-23,222.0510
2021-07-22,223.8580
2021-07-21,225.4480
2021-07-20,226.3720
2021-07-19,228.2710
2021-07-16,231.2400
2021-07-15,233.4390
2021-07-14,235.1190
2021-07-13,236.2500
2021-07-12,237.4260
2021-07-09,238.4350
2021-07-08,239.5330
2021-07-07,240.2130
2021-07-06,241.4130
2021-07-02,242.3270
2021-07-01,242.3940
2021-06-30,242.3430
2021-06-29,242.6140
2021-06-28,243.6920
2021-06-25,244.2100
2021-06-24,244.1000
2021-06-23,243.8770
2021-06-22,244.3260
2021-06-21,245.2240
2021-06-18,245.9620
2021-06-17,247.2190
2021-06-16,248.3290
2021-06-15,249.6640
2021-06-14,250.4830
2021-06-11,250.6710
2021-06-10,251.0130
2021-06-09,250.3160
2021-06-08,249.5840
2021-06-07,248.0520
2021-06-04,246.2680
2021-06-03,244.0410
2021-06-02,241.4510
2021-06-01,238.6440
2021-05-28,235.9690
2021-05-27,234.1140
2021-05-26,231.3080
2021-05-25,229.2490
2021-05-24,228.0630
2021-05-21,227.6120
2021-05-20,227.6770
2021-05-19,227.8930
2021-05-18,228.2690
2021-05-17,228.8770
2021-05-14,229.5980
2021-05-13,230.1820
2021-05-12,231.5120
2021-05-11,232.9800
2021-05-10,234.3390
2021-05-07,235.1900
2021-05-06,235.4810
2021-05-05,235.9330
2021-05-04,236.7070
2021-05-03,236.7500
2021-04-30,237.6460
2021-04-29,239.0330
2021-04-28,240.5500
2021-04-27,242.2470
2021-04-26,243.3270
2021-04-23,244.1350
2021-04-22,245.5330
2021-04-21,247.5950
2021-04-20,249.2610
2021-04-19,251.3720
2021-04-16,252.8930
2021-04-15,253.3710
2021-04-14,253.7320
2021-04-13,253.6900
2021-04-12,253.4150
2021-04-09,252.9500
2021-04-08,252.4330
2021-04-07,250.8620
2021-04-06,249.7290
2021-04-05,249.3350
2021-04-01,248.9810
2021-03-31,249.2910
2021-03-30,250.1780
2021-03-29,250.4980
2021-03-26,252.0090
2021-03-25,254.4410
2021-03-24,254.9220
2021-03-23,255.5320
2021-03-22,254.4680
2021-03-19,251.7480
2021-03-18,248.4880
2021-03-17,245.3530
2021-03-16,241.8500
2021-03-15,238.6430
2021-03-12,234.5190
2021-03-11,228.8010
2021-03-10,225.2460
2021-03-09,223.6460
2021-03-08,221.7970
2021-03-05,220.6820
2021-03-04,220.1070
2021-03-03,218.4840
2021-03-02,217.1800
2021-03-01,216.5840
2021-02-26,215.2430
2021-02-25,215.1080
2021-02-24,214.6550
2021-02-23,213.2330
2021-02-22,213.2160
2021-02-19,212.7210
2021-02-18,212.0380
2021-02-17,211.9290
2021-02-16,210.4710
2021-02-12,208.3370
2021-02-11,206.6580
2021-02-10,205.3150
2021-02-09,203.5260
2021-02-08,202.2200
2021-02-05,201.3610
2021-02-04,201.1520
2021-02-03,200.8290
2021-02-02,201.2350
2021-02-01,202.2120
2021-01-29,203.0600
2021-01-28,204.6320
2021-01-27,205.6300
2021-01-26,207.0680
2021-01-25,207.5410
2021-01-22,208.1950
2021-01-21,208.8820
2021-01-20,209.2440
2021-01-19,209.2620
2021-01-15,208.4630
2021-01-14,209.4370
2021-01-13,210.1130
2021-01-12,211.0170
2021-01-11,211.7850
2021-01-08,212.8210
2021-01-07,213.8000
2021-01-06,214.4070
2021-01-05,215.2350
2021-01-04,216.0470
2020-12-31,217.8990
2020-12-30,219.0800
2020-12-29,220.3630
2020-12-28,221.6000
2020-12-24,223.0240
2020-12-23,224.7520
2020-12-22,225.9890
2020-12-21,227.7680
2020-12-18,229.6540
2020-12-17,230.9500
2020-12-16,232.5460
2020-12-15,232.3440
2020-12-14,230.6950
2020-12-11,228.9040
2020-12-10,227.5210
2020-12-09,225.8390
2020-12-08,224.4820
2020-12-07,221.9780
2020-12-04,218.1230
2020-12-03,215.4190
2020-12-02,212.0290
2020-12-01,210.6490
2020-11-30,209.5880
2020-11-27,207.2280
2020-11-25,203.2500
2020-11-24,199.7040
2020-11-23,196.7240
2020-11-20,193.5070
2020-11-19,189.3190
2020-11-18,184.4610
2020-11-17,179.2940
2020-11-16,173.6540
2020-11-13,168.2740
2020-11-12,164.0020
2020-11-11,161.1590
2020-11-10,157.7580
2020-11-09,154.4130
2020-11-06,152.5600
2020-11-05,153.5220
2020-11-04,154.7200
2020-11-03,155.9430
2020-11-02,157.3020
2020-10-30,159.1530
2020-10-29,161.4490
2020-10-28,163.0440
2020-10-27,164.5540
2020-10-26,165.2440
2020-10-23,165.8960
2020-10-22,165.8930
2020-10-21,165.7860
2020-10-20,165.8610
2020-10-19,165.0910
2020-10-16,165.5000
2020-10-15,165.5730
2020-10-14,165.9350
2020-10-13,166.1370
2020-10-12,166.2830
2020-10-09,166.1560
2020-10-08,165.0260
2020-10-07,162.8310
2020-10-06,161.4880
2020-10-05,161.2140
2020-10-02,159.7290
2020-10-01,159.0350
2020-09-30,159.0020
2020-09-29,159.2220
2020-09-28,159.2110
2020-09-25,159.1380
2020-09-24,159.5580
2020-09-23,160.7220
2020-09-22,161.6820
2020-09-21,162.1100
2020-09-18,163.5800
2020-09-17,164.3430
2020-09-16,165.0680
2020-09-15,165.5320
2020-09-14,166.3650
2020-09-11,167.4100
2020-09-10,168.8070
2020-09-09,170.2280
2020-09-08,171.6230
2020-09-04,173.3420
2020-09-03,172.9870
2020-09-02,173.0680
2020-09-01,172.5170
2020-08-31,172.3300
2020-08-28,172.3490
2020-08-27,172.5770
2020-08-26,172.6300
2020-08-25,172.9840
2020-08-24,173.5240
2020-08-21,173.6380
2020-08-20,173.8900
2020-08-19,174.1520
2020-08-18,174.6530
2020-08-17,174.1370
2020-08-14,173.1630
2020-08-13,171.1550
2020-08-12,169.8770
2020-08-11,168.9340
2020-08-10,168.0050
2020-08-07,167.0850
2020-08-06,167.4590
2020-08-05,167.8840
2020-08-04,168.4350
2020-08-03,169.7910
2020-07-31,171.0060
2020-07-30,172.7720
2020-07-29,174.4470
2020-07-28,176.6400
2020-07-27,177.5520
2020-07-24,178.0960
2020-07-23,178.5640
2020-07-22,178.2470
2020-07-21,178.2760
2020-07-20,178.3010
2020-07-17,179.6500
2020-07-16,180.1650
2020-07-15,180.3270
2020-07-14,179.8630
2020-07-13,181.3160
2020-07-10,180.7520
2020-07-09,180.3960
2020-07-08,180.7370
2020-07-07,181.5170
2020-07-06,182.4810
2020-07-02,182.3920
2020-07-01,183.5400
2020-06-30,184.7620
2020-06-29,186.2090
2020-06-26,185.8540
2020-06-25,187.8040
2020-06-24,187.3160
2020-06-23,189.9880
2020-06-22,192.8740
2020-06-19,197.0720
2020-06-18,198.9130
2020-06-17,198.1140
2020-06-16,196.1760
2020-06-15,191.7300
2020-06-12,187.7750
2020-06-11,183.4090
2020-06-10,181.3910
2020-06-09,176.0020
2020-06-08,168.8010
2020-06-05,159.5040
2020-06-04,152.8610
2020-06-03,147.7630
2020-06-02,143.4910
2020-06-01,141.7040
2020-05-29,138.5650
2020-05-28,136.2320
2020-05-27,133.4000
2020-05-26,130.9700
2020-05-22,129.3880
2020-05-21,128.9790
2020-05-20,127.9440
2020-05-19,126.7980
2020-05-18,126.2940
2020-05-15,125.8960
2020-05-14,127.2330
2020-05-13,129.0830
2020-05-12,130.8330
2020-05-11,131.4410
2020-05-08,131.4180
2020-05-07,130.9720
2020-05-06,131.8810
2020-05-05,133.1920
2020-05-04,134.2850
2020-05-01,135.5000
2020-04-30,137.5630
2020-04-29,136.8850
2020-04-28,137.5830
2020-04-27,138.5530
2020-04-24,140.4180
2020-04-23,142.7040
2020-04-22,143.6170
2020-04-21,144.2780
2020-04-20,145.5220
2020-04-17,143.6130
2020-04-16,140.5400
2020-04-15,140.1860
2020-04-14,140.5020
2020-04-13,141.6300
2020-04-09,143.0970
2020-04-08,145.9680
2020-04-07,147.1540
2020-04-06,145.7640
2020-04-03,141.4490
2020-04-02,138.4980
2020-04-01,135.9420
2020-03-31,133.0610
2020-03-30,130.5610
2020-03-27,128.2940
2020-03-26,129.1140
2020-03-25,126.5430
2020-03-24,129.5780
2020-03-23,139.9110
2020-03-20,152.0660
2020-03-19,168.7980
2020-03-18,185.0640
2020-03-17,203.1870
2020-03-16,218.8350
2020-03-13,234.8010
2020-03-12,245.2920
2020-03-11,258.5840
2020-03-10,270.2350
2020-03-09,277.5480
2020-03-06,286.6210
2020-03-05,293.4260
2020-03-04,301.0170
2020-03-03,306.5350
2020-03-02,312.3610
2020-02-28,317.4830
2020-02-27,324.2540
2020-02-26,330.0160
2020-02-25,333.6937
2020-02-24,337.5414
2020-02-21,339.2257
2020-02-20,340.1273
2020-02-19,339.2579
2020-02-18,337.0324
2020-02-14,334.5561
2020-02-13,332.1445
2020-02-12,329.9998
2020-02-11,327.4720
2020-02-10,324.7026
2020-02-07,321.9123
2020-02-06,320.5505
2020-02-05,318.2006
2020-02-04,316.1578
2020-02-03,315.7035
2020-01-31,316.5137
2020-01-30,317.8785
2020-01-29,318.5246
2020-01-28,319.5515
2020-01-27,320.9093
2020-01-24,322.2334
2020-01-23,323.5545
2020-01-22,324.9044
2020-01-21,327.7155
2020-01-17,329.7404
2020-01-16,330.5963
2020-01-15,330.7275
2020-01-14,330.3259
2020-01-13,329.7344
2020-01-10,329.7265
2020-01-09,329.7265
2020-01-08,329.3945
2020-01-07,330.0088
2020-01-06,329.0863
2020-01-03,329.0625
2020-01-02,328.8557
2019-12-31,328.2275
2019-12-30,328.3507
2019-12-27,329.8686
2019-12-26,331.4740
2019-12-24,333.4700
2019-12-23,334.9512
2019-12-20,336.3090
2019-12-19,338.9025
2019-12-18,340.1132
2019-12-17,341.9184
2019-12-16,344.4115
2019-12-13,347.2127
2019-12-12,349.6491
2019-12-11,351.8071
2019-12-10,354.1441
2019-12-09,356.6521
2019-12-06,358.6531
2019-12-05,359.8807
2019-12-04,362.3887
2019-12-03,364.1939
2019-12-02,365.9215
2019-11-29,367.5617
2019-11-27,367.6869
2019-11-26,367.1402
2019-11-25,366.0835
2019-11-22,365.4702
2019-11-21,363.4483
2019-11-20,362.5408
2019-11-19,360.6774
2019-11-18,359.6079
2019-11-15,357.5823
2019-11-14,354.7529
2019-11-13,351.8231
2019-11-12,349.9922
2019-11-11,348.4071
2019-11-08,345.6209
2019-11-07,344.3174
2019-11-06,342.8531
2019-11-05,341.5001
2019-11-04,339.3959
2019-11-01,337.4162
2019-10-31,337.2986
2019-10-30,340.1796
2019-10-29,342.7859
2019-10-28,344.9633
2019-10-25,348.1557
2019-10-24,351.6238
2019-10-23,354.2380
2019-10-22,357.6439
2019-10-21,361.3107
2019-10-18,365.8057
2019-10-17,368.9388
2019-10-16,369.2363
2019-10-15,368.7352
2019-10-14,369.1286
2019-10-11,369.8491
2019-10-10,370.6339
2019-10-09,372.2044
2019-10-08,373.3153
2019-10-07,374.0615
2019-10-04,374.1099
2019-10-03,374.4746
2019-10-02,375.6972
2019-10-01,377.5800
2019-09-30,378.4953
2019-09-27,378.3351
2019-09-26,378.0288
2019-09-25,376.9159
2019-09-24,376.5937
2019-09-23,375.3918
2019-09-20,373.5881
2019-09-19,371.9681
2019-09-18,369.5823
2019-09-17,366.6290
2019-09-16,363.6857
2019-09-13,362.2269
2019-09-12,360.5447
2019-09-11,358.9970
2019-09-10,356.2088
2019-09-09,355.1760
2019-09-06,354.9022
2019-09-05,354.0532
2019-09-04,352.0458
2019-09-03,349.5967
2019-08-30,347.5567
2019-08-29,344.2319
2019-08-28,340.7983
2019-08-27,336.8894
2019-08-26,334.7278
2019-08-23,332.1482
2019-08-22,330.3237
2019-08-21,328.5388
2019-08-20,327.4889
2019-08-19,327.3585
2019-08-16,326.8910
2019-08-15,327.5876
2019-08-14,328.0086
2019-08-13,329.8557
2019-08-12,331.0902
2019-08-09,331.6045
2019-08-08,332.1338
2019-08-07,333.0852
2019-08-06,336.0371
2019-08-05,340.0275
2019-08-02,344.1887
2019-08-01,347.9020
2019-07-31,350.5367
2019-07-30,353.3207
2019-07-29,354.8227
2019-07-26,356.9250
2019-07-25,358.9221
2019-07-24,359.9938
2019-07-23,359.0969
2019-07-22,357.1342
2019-07-19,354.9436
2019-07-18,352.8315
2019-07-17,352.1792
2019-07-16,350.6703
2019-07-15,350.0524
2019-07-12,350.2882
2019-07-11,350.1595
2019-07-10,351.7254
2019-07-09,353.3973
2019-07-08,355.4504
2019-07-05,357.4859
2019-07-03,359.3543
2019-07-02,360.7385
2019-07-01,362.6835
2019-06-28,362.5303
2019-06-27,360.8750
2019-06-26,359.3858
2019-06-25,356.6440
2019-06-24,354.6803
2019-06-21,352.6969
2019-06-20,350.9149
2019-06-19,348.5337
2019-06-18,346.5876
2019-06-17,343.7054
2019-06-14,342.1327
2019-06-13,341.5875
2019-06-12,341.6867
2019-06-11,341.8605
2019-06-10,342.4058
2019-06-07,342.5138
2019-06-06,342.2044
2019-06-05,342.4146
2019-06-04,343.3970
2019-06-03,344.1995
2019-05-31,345.7841
2019-05-30,346.9825
2019-05-29,346.5670
2019-05-28,346.0012
2019-05-24,344.2811
2019-05-23,344.2585
2019-05-22,344.6102
2019-05-21,345.0910
2019-05-20,344.7392
2019-05-17,346.3764
2019-05-16,348.2692
2019-05-15,350.2164
2019-05-14,353.0639
2019-05-13,356.2537
2019-05-10,360.1333
2019-05-09,362.4834
2019-05-08,365.0828
2019-05-07,366.6172
2019-05-06,368.2571
2019-05-03,368.6057
2019-05-02,368.9583
2019-05-01,369.1263
2019-04-30,369.6068
2019-04-29,369.3890
2019-04-26,369.4467
2019-04-25,368.4084
2019-04-24,366.6641
2019-04-23,366.0370
2019-04-22,366.0859
2019-04-18,367.7228
2019-04-17,369.2650
2019-04-16,369.9702
2019-04-15,370.8521
2019-04-12,372.4226
2019-04-11,372.5965
2019-04-10,373.0145
2019-04-09,373.9199
2019-04-08,374.0508
