Dates,TRIMA Values
2023-07-19,214.7140
2023-07-18,214.9837
2023-07-17,214.7083
2023-07-14,214.1217
2023-07-13,213.4780
2023-07-12,212.8050
2023-07-11,212.1437
2023-07-10,211.4310
2023-07-07,210.7880
2023-07-06,210.0093
2023-07-05,209.2850
2023-07-03,208.7220
2023-06-30,208.7687
2023-06-29,209.4600
2023-06-28,210.7193
2023-06-27,212.4627
2023-06-26,214.4670
2023-06-23,216.2840
2023-06-22,217.5773
2023-06-21,218.2383
2023-06-20,218.0867
2023-06-16,217.2323
2023-06-15,215.9387
2023-06-14,214.3960
2023-06-13,212.6890
2023-06-12,211.0610
2023-06-09,209.6977
2023-06-08,208.3453
2023-06-07,206.8363
2023-06-06,205.5623
2023-06-05,204.5367
2023-06-02,203.6597
2023-06-01,203.1667
2023-05-31,203.3420
2023-05-30,203.7493
2023-05-26,204.1553
2023-05-25,204.3610
2023-05-24,204.3247
2023-05-23,203.8750
2023-05-22,203.2057
2023-05-19,202.4103
2023-05-18,201.6410
2023-05-17,200.8717
2023-05-16,200.2853
2023-05-15,199.9457
2023-05-12,199.7927
2023-05-11,200.1047
2023-05-10,200.7950
2023-05-09,201.7150
2023-05-08,202.5967
2023-05-05,203.4960
2023-05-04,204.1207
2023-05-03,204.5037
2023-05-02,204.7763
2023-05-01,205.1850
2023-04-28,205.6043
2023-04-27,205.8457
2023-04-26,206.3533
2023-04-25,206.9423
2023-04-24,207.4737
2023-04-21,207.9907
2023-04-20,208.8543
2023-04-19,209.7130
2023-04-18,210.4117
2023-04-17,211.0917
2023-04-14,211.6950
2023-04-13,212.0957
2023-04-12,212.1067
2023-04-11,211.9393
2023-04-10,211.2260
2023-04-06,209.9137
2023-04-05,208.1083
2023-04-04,205.9203
2023-04-03,203.7913
2023-03-31,202.1003
2023-03-30,201.0207
2023-03-29,200.6140
2023-03-28,200.7137
2023-03-27,201.2930
2023-03-24,201.8343
2023-03-23,202.3030
2023-03-22,202.5893
2023-03-21,202.9990
2023-03-20,203.3617
2023-03-17,203.9233
2023-03-16,204.9330
2023-03-15,206.1693
2023-03-14,207.3823
2023-03-13,208.0833
2023-03-10,208.3810
2023-03-09,207.8283
2023-03-08,206.8100
2023-03-07,205.5380
2023-03-06,204.4867
2023-03-03,204.0210
2023-03-02,204.4060
2023-03-01,205.6667
2023-02-28,207.4147
2023-02-27,209.4600
2023-02-24,211.4140
2023-02-23,212.9873
2023-02-22,213.9607
2023-02-21,214.5007
2023-02-17,214.3230
2023-02-16,213.5783
2023-02-15,212.7043
2023-02-14,211.8793
2023-02-13,211.1270
2023-02-10,210.5930
2023-02-09,210.5257
2023-02-08,210.8007
2023-02-07,211.0950
2023-02-06,211.3137
2023-02-03,211.6010
2023-02-02,211.6460
2023-02-01,211.3310
2023-01-31,210.7940
2023-01-30,210.3070
2023-01-27,209.9927
2023-01-26,209.9203
2023-01-25,210.0263
2023-01-24,210.2297
2023-01-23,210.4473
2023-01-20,210.6463
2023-01-19,210.3957
2023-01-18,209.7467
2023-01-17,208.6897
2023-01-13,207.1207
2023-01-12,204.8433
2023-01-11,202.0500
2023-01-10,199.0930
2023-01-09,196.0713
2023-01-06,193.3517
2023-01-05,191.4710
2023-01-04,190.3903
2023-01-03,189.7393
2022-12-30,189.4177
2022-12-29,189.1560
2022-12-28,188.7107
2022-12-27,187.9903
2022-12-23,187.2927
2022-12-22,186.5470
2022-12-21,185.7920
2022-12-20,184.7963
2022-12-19,183.7690
2022-12-16,182.7413
2022-12-15,181.8050
2022-12-14,180.9307
2022-12-13,180.2903
2022-12-12,179.9380
2022-12-09,179.4333
2022-12-08,178.8173
2022-12-07,178.0593
2022-12-06,177.1987
2022-12-05,176.1793
2022-12-02,175.3323
2022-12-01,174.7417
2022-11-30,174.2293
2022-11-29,173.8430
2022-11-28,173.6897
2022-11-25,173.7357
2022-11-23,173.8730
2022-11-22,174.0647
2022-11-21,174.1373
2022-11-18,173.8270
2022-11-17,172.9137
2022-11-16,171.1860
2022-11-15,168.5873
2022-11-14,165.2457
2022-11-11,161.3483
2022-11-10,157.2000
2022-11-09,153.0680
2022-11-08,149.1763
2022-11-07,146.1047
2022-11-04,143.8923
2022-11-03,142.3427
2022-11-02,141.3110
2022-11-01,140.9990
2022-10-31,140.8307
2022-10-28,140.3547
2022-10-27,139.6217
2022-10-26,138.7483
2022-10-25,137.6303
2022-10-24,136.1667
2022-10-21,134.8737
2022-10-20,133.6673
2022-10-19,132.7267
2022-10-18,132.0667
2022-10-17,131.7370
2022-10-14,131.4047
2022-10-13,130.9217
2022-10-12,130.3217
2022-10-11,129.7727
2022-10-10,128.9673
2022-10-07,128.1403
2022-10-06,127.8477
2022-10-05,128.2913
2022-10-04,129.2923
2022-10-03,130.8633
2022-09-30,133.2190
2022-09-29,135.9660
2022-09-28,138.7427
2022-09-27,141.2723
2022-09-26,143.5193
2022-09-23,145.6133
2022-09-22,147.5637
2022-09-21,149.3467
2022-09-20,150.9837
2022-09-19,152.5910
2022-09-16,153.9227
2022-09-15,154.6643
2022-09-14,155.0470
2022-09-13,155.3713
2022-09-12,155.9070
2022-09-09,156.6970
2022-09-08,158.2410
2022-09-07,160.0253
2022-09-06,161.6563
2022-09-02,162.8640
2022-09-01,163.5837
2022-08-31,163.8567
2022-08-30,163.7257
2022-08-29,163.8833
2022-08-26,164.4953
2022-08-25,165.5577
2022-08-24,166.6467
2022-08-23,167.8193
2022-08-22,168.6310
2022-08-19,168.8897
2022-08-18,168.6003
2022-08-17,168.0293
2022-08-16,167.4060
2022-08-15,166.6697
2022-08-12,166.2803
2022-08-11,165.8527
2022-08-10,165.3430
2022-08-09,164.5277
2022-08-08,163.5463
2022-08-05,162.2030
2022-08-04,160.7153
2022-08-03,159.4960
2022-08-02,158.6000
2022-08-01,158.0627
2022-07-29,157.4733
2022-07-28,156.9510
2022-07-27,155.9917
2022-07-26,154.4740
2022-07-25,152.5807
2022-07-22,150.3227
2022-07-21,148.0730
2022-07-20,145.9313
2022-07-19,144.0103
2022-07-18,142.2553
2022-07-15,140.8947
2022-07-14,139.8133
2022-07-13,138.9703
2022-07-12,138.4463
2022-07-11,138.2110
2022-07-08,138.3470
2022-07-07,138.2963
2022-07-06,138.2810
2022-07-05,138.2513
2022-07-01,138.0780
2022-06-30,137.5983
2022-06-29,137.0540
2022-06-28,136.1013
2022-06-27,134.4953
2022-06-24,132.6277
2022-06-23,130.8363
2022-06-22,129.5143
2022-06-21,128.8227
2022-06-17,129.4103
2022-06-16,131.1027
2022-06-15,133.3473
2022-06-14,135.2803
2022-06-13,136.7023
2022-06-10,137.2687
