Dates,WMA Values
2023-07-18,213.9998
2023-07-17,214.4411
2023-07-14,214.8149
2023-07-13,214.9380
2023-07-12,214.2715
2023-07-11,213.4180
2023-07-10,212.0249
2023-07-07,211.4791
2023-07-06,211.0353
2023-07-05,210.4871
2023-07-03,209.7964
2023-06-30,209.7051
2023-06-29,209.7202
2023-06-28,209.7056
2023-06-27,210.0685
2023-06-26,210.8865
2023-06-23,212.6178
2023-06-22,214.6109
2023-06-21,216.6825
2023-06-20,217.4907
2023-06-16,218.1809
2023-06-15,217.3644
2023-06-14,216.4451
2023-06-13,215.7785
2023-06-12,214.1940
2023-06-09,212.0689
2023-06-08,210.4176
2023-06-07,208.2784
2023-06-06,207.0931
2023-06-05,206.7264
2023-06-02,206.0289
2023-06-01,204.3955
2023-05-31,203.7167
2023-05-30,203.3611
2023-05-26,203.1542
2023-05-25,203.0867
2023-05-24,203.5387
2023-05-23,204.3102
2023-05-22,204.4631
2023-05-19,203.8569
2023-05-18,203.1971
2023-05-17,202.0338
2023-05-16,200.8298
2023-05-15,200.7600
2023-05-12,200.3647
2023-05-11,200.4564
2023-05-10,200.4171
2023-05-09,200.5995
2023-05-08,200.5984
2023-05-05,201.5920
2023-05-04,202.5131
2023-05-03,203.8538
2023-05-02,204.6305
2023-05-01,205.0785
2023-04-28,205.4349
2023-04-27,205.1700
2023-04-26,205.1769
2023-04-25,205.9004
2023-04-24,206.9607
2023-04-21,207.4613
2023-04-20,208.1876
2023-04-19,208.5862
2023-04-18,208.8100
2023-04-17,209.2233
2023-04-14,210.3784
2023-04-13,212.3067
2023-04-12,211.9729
2023-04-11,211.7322
2023-04-10,211.2815
2023-04-06,210.8698
2023-04-05,210.1060
2023-04-04,209.3396
2023-04-03,207.6969
2023-03-31,205.5902
2023-03-30,203.8147
2023-03-29,202.1493
2023-03-28,200.8645
2023-03-27,200.1693
2023-03-24,200.3231
2023-03-23,201.1304
2023-03-22,201.9311
2023-03-21,203.2489
2023-03-20,203.0725
2023-03-17,203.0135
2023-03-16,203.8864
2023-03-15,204.4951
2023-03-14,206.1245
2023-03-13,206.0007
2023-03-10,206.5349
2023-03-09,207.0342
2023-03-08,207.9915
2023-03-07,207.8389
2023-03-06,207.5118
2023-03-03,206.4527
2023-03-02,204.7609
2023-03-01,204.1215
2023-02-28,204.7365
2023-02-27,206.1535
2023-02-24,207.9945
2023-02-23,210.5073
2023-02-22,211.3031
2023-02-21,212.6935
2023-02-17,214.1509
2023-02-16,214.3893
2023-02-15,214.4755
2023-02-14,213.5618
2023-02-13,212.3655
2023-02-10,211.5695
2023-02-09,211.2440
2023-02-08,211.0956
2023-02-07,210.6578
2023-02-06,209.9404
2023-02-03,210.7258
2023-02-02,211.6704
2023-02-01,211.9685
2023-01-31,211.1860
2023-01-30,210.6927
2023-01-27,210.8860
2023-01-26,210.8638
2023-01-25,210.4725
2023-01-24,209.9815
2023-01-23,209.5556
2023-01-20,209.5504
2023-01-19,210.0965
2023-01-18,210.5200
2023-01-17,210.2667
2023-01-13,209.2695
2023-01-12,207.3191
2023-01-11,204.8625
2023-01-10,203.2109
2023-01-09,201.4824
2023-01-06,199.0425
2023-01-05,195.4882
2023-01-04,193.0865
2023-01-03,190.6038
2022-12-30,189.4267
2022-12-29,189.0175
2022-12-28,188.8835
2022-12-27,188.8231
2022-12-23,188.5204
2022-12-22,188.1064
2022-12-21,187.6729
2022-12-20,185.4758
2022-12-19,184.5013
2022-12-16,183.9907
2022-12-15,183.6251
2022-12-14,183.2933
2022-12-13,181.9675
2022-12-12,180.6305
2022-12-09,179.1875
2022-12-08,178.9465
2022-12-07,178.7124
2022-12-06,178.8745
2022-12-05,178.5860
2022-12-02,176.8809
2022-12-01,175.3978
2022-11-30,175.1476
2022-11-29,174.2696
2022-11-28,174.0067
2022-11-25,174.4813
2022-11-23,173.7544
2022-11-22,173.5545
2022-11-21,173.7296
2022-11-18,173.6787
2022-11-17,173.2027
2022-11-16,172.6371
2022-11-15,171.6282
2022-11-14,169.5544
2022-11-11,167.2435
2022-11-10,163.6044
2022-11-09,159.2613
2022-11-08,155.8900
2022-11-07,151.9411
2022-11-04,148.4329
2022-11-03,145.4758
2022-11-02,142.7911
2022-11-01,141.6405
2022-10-31,141.1129
2022-10-28,140.6267
2022-10-27,139.7044
2022-10-26,139.3900
2022-10-25,140.0998
2022-10-24,138.1973
2022-10-21,136.9465
2022-10-20,135.6189
2022-10-19,134.5635
2022-10-18,133.5284
2022-10-17,132.6145
2022-10-14,131.7455
2022-10-13,131.1915
2022-10-12,130.6453
2022-10-11,130.5140
2022-10-10,130.0998
2022-10-07,129.5427
2022-10-06,129.3960
2022-10-05,128.9295
2022-10-04,128.6825
2022-10-03,128.4071
2022-09-30,129.8304
2022-09-29,132.5793
2022-09-28,135.0000
2022-09-27,136.2338
2022-09-26,138.9058
2022-09-23,142.1793
2022-09-22,145.2175
2022-09-21,147.2480
2022-09-20,148.6760
2022-09-19,149.7395
2022-09-16,151.1218
2022-09-15,152.7818
2022-09-14,153.6340
2022-09-13,154.8162
2022-09-12,156.6822
2022-09-09,156.5793
2022-09-08,156.9102
2022-09-07,157.2976
2022-09-06,158.0945
2022-09-02,159.6585
2022-09-01,161.5280
2022-08-31,163.3362
2022-08-30,164.0725
2022-08-29,164.6320
2022-08-26,164.6996
2022-08-25,165.0284
2022-08-24,164.4480
2022-08-23,165.0171
2022-08-22,166.3149
2022-08-19,167.9365
2022-08-18,168.8804
2022-08-17,168.7353
2022-08-16,168.8509
2022-08-15,167.9193
2022-08-12,167.2549
2022-08-11,166.4836
2022-08-10,165.9362
2022-08-09,164.9464
2022-08-08,164.5524
2022-08-05,163.8011
2022-08-04,163.0793
2022-08-03,161.9995
2022-08-02,160.7440
2022-08-01,159.9695
2022-07-29,157.7540
2022-07-28,157.1027
2022-07-27,156.2744
2022-07-26,155.7707
2022-07-25,155.1385
2022-07-22,154.0182
2022-07-21,152.2744
2022-07-20,149.5498
2022-07-19,146.9749
2022-07-18,144.4740
2022-07-15,143.3589
2022-07-14,142.0398
2022-07-13,140.6698
2022-07-12,139.7862
2022-07-11,138.1675
2022-07-08,138.4785
2022-07-07,138.3187
2022-07-06,137.9442
2022-07-05,138.2431
2022-07-01,138.2729
2022-06-30,137.7958
2022-06-29,137.8315
2022-06-28,137.2564
2022-06-27,136.2205
2022-06-24,134.9680
2022-06-23,133.0627
2022-06-22,132.6349
2022-06-21,131.6936
2022-06-17,130.8722
2022-06-16,130.0862
2022-06-15,130.0555
2022-06-14,129.9035
2022-06-13,132.0213
2022-06-10,135.5822
2022-06-09,137.1309
2022-06-08,137.2438
2022-06-07,135.9162
2022-06-06,134.0676
2022-06-03,132.1693
2022-06-02,130.0489
2022-06-01,127.4289
2022-05-31,126.6253
2022-05-27,125.5516
2022-05-26,124.2356
2022-05-25,123.6544
2022-05-24,124.2373
2022-05-23,125.5502
2022-05-20,126.1820
2022-05-19,127.9393
2022-05-18,128.9498
2022-05-17,130.8267
2022-05-16,131.9078
2022-05-13,134.8900
2022-05-12,137.6929
2022-05-11,141.7991
2022-05-10,145.2247
2022-05-09,148.6229
2022-05-06,152.7302
2022-05-05,154.5124
2022-05-04,156.5645
2022-05-03,157.9182
2022-05-02,160.4773
2022-04-29,164.5080
2022-04-28,169.0987
2022-04-27,173.2322
2022-04-26,177.7187
2022-04-25,180.0633
2022-04-22,180.7822
2022-04-21,181.3365
2022-04-20,181.1036
2022-04-19,180.3944
2022-04-18,179.3378
2022-04-14,179.5942
2022-04-13,179.6444
2022-04-12,179.7444
2022-04-11,181.3611
2022-04-08,183.4438
2022-04-07,185.7456
2022-04-06,187.7453
2022-04-05,189.7416
2022-04-04,191.1760
2022-04-01,190.9635
2022-03-31,190.8649
2022-03-30,190.6080
2022-03-29,189.6235
2022-03-28,188.5878
2022-03-25,188.3478
2022-03-24,187.7329
2022-03-23,186.9060
2022-03-22,186.4904
2022-03-21,184.8522
2022-03-18,183.8444
2022-03-17,181.3585
2022-03-16,179.3284
2022-03-15,177.6767
2022-03-14,177.9527
2022-03-11,179.5655
2022-03-10,181.5082
2022-03-09,183.4225
2022-03-08,185.6307
2022-03-07,189.1578
2022-03-04,194.2515
2022-03-03,197.8185
2022-03-02,200.4762
2022-03-01,201.8669
2022-02-28,204.0600
2022-02-25,204.4833
2022-02-24,205.9224
2022-02-23,208.2329
2022-02-22,211.2153
2022-02-18,214.0155
2022-02-17,214.8978
2022-02-16,214.8222
2022-02-15,213.5664
2022-02-14,212.3580
2022-02-11,212.3696
2022-02-10,211.5753
2022-02-09,209.0809
2022-02-08,206.7195
2022-02-07,204.6622
2022-02-04,202.7100
2022-02-03,201.7340
2022-02-02,200.9107
2022-02-01,200.0558
2022-01-31,199.3549
2022-01-28,200.5944
2022-01-27,204.1980
