Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,99.04,99.2,98.8,98.98,98.98,432793,0.0000,1.0
2023-07-18,98.57,99.06,98.41,98.71,98.71,559329,0.0000,1.0
2023-07-17,98.61,98.76,98.31,98.62,98.62,109158,0.0000,1.0
2023-07-14,98.44,98.75,98.4105,98.67,98.67,253478,0.0000,1.0
2023-07-13,98.73,98.73,98.3601,98.47,98.47,92180,0.0000,1.0
2023-07-12,98.22,98.3,97.97,98.15,98.15,141951,0.0000,1.0
2023-07-11,97.19,97.55,96.91,97.48,97.48,149647,0.0000,1.0
2023-07-10,96.37,97.099,96.37,96.84,96.84,121954,0.0000,1.0
2023-07-07,97.05,97.16,96.57,96.67,96.67,201497,0.0000,1.0
2023-07-06,97.26,97.26,96.6753,96.94,96.94,183145,0.0000,1.0
2023-07-05,97.84,97.86,97.585,97.77,97.77,337624,0.0000,1.0
2023-07-03,98.2,98.2,97.82,98.19,98.19,61543,0.0000,1.0
2023-06-30,97.87,98.1835,97.76,98.055,98.055,496434,0.0000,1.0
2023-06-29,96.99,97.405,96.73,97.34,97.34,374574,0.0000,1.0
2023-06-28,97.46,97.46,97.01,97.25,97.25,272909,0.0000,1.0
2023-06-27,97.25,97.566,97.152,97.53,97.53,538930,0.0000,1.0
2023-06-26,97.04,97.12,96.64,97.0,97.0,255621,0.0000,1.0
2023-06-23,97.32,97.32,96.83,96.88,96.88,133820,0.0000,1.0
2023-06-22,97.73,97.77,97.45,97.75,97.75,95264,0.0000,1.0
2023-06-21,97.65,97.9,97.26,97.69,97.69,198762,0.0000,1.0
2023-06-20,98.05,98.05,97.4,97.4,97.4,53611,0.0000,1.0
2023-06-16,98.77,98.77,98.02,98.31,98.31,145487,0.0000,1.0
2023-06-15,97.63,98.495,97.46,98.43,98.43,249766,0.0000,1.0
2023-06-14,97.38,97.775,97.11,97.43,97.43,200057,0.0000,1.0
2023-06-13,97.5,97.74,97.25,97.5,97.5,152102,0.0000,1.0
2023-06-12,97.19,97.19,96.8088,97.05,97.05,191689,0.0000,1.0
2023-06-09,97.07,97.22,96.84,96.98,96.98,247103,0.0000,1.0
2023-06-08,96.18,97.05,96.06,97.05,97.05,410121,0.0000,1.0
2023-06-07,96.61,96.61,96.13,96.17,96.17,178575,0.8653,1.0
2023-06-06,97.75,97.75,97.209,97.51,96.6404280815673,151816,0.0000,1.0
2023-06-05,97.79,98.0,97.48,97.61,96.7395363043973,310952,0.0000,1.0
2023-06-02,97.18,97.74,96.9941,97.66,96.7890904158123,351233,0.0000,1.0
2023-06-01,96.58,96.8531,96.2301,96.84,95.976402988606,63183,0.0000,1.0
2023-05-31,96.32,96.57,95.96,96.36,95.5006835190219,93182,0.0000,1.0
2023-05-30,97.02,97.02,96.36,96.52,95.6592566755499,98970,0.0000,1.0
2023-05-26,96.88,97.36,96.85,97.08,96.2142627233981,109423,0.0000,1.0
2023-05-25,97.31,97.5099,96.53,96.86,95.996224633172,107174,0.0000,1.0
2023-05-24,97.78,97.89,97.305,97.41,96.5413198587372,142063,0.0000,1.0
2023-05-23,98.57,98.5792,98.02,98.09,97.2152557739815,582451,0.0000,1.0
2023-05-22,99.42,99.65,99.05,99.2,98.3153570473949,150131,0.0000,1.0
2023-05-19,99.03,99.46,99.03,99.2,98.3153570473949,662557,0.0000,1.0
2023-05-18,98.88,99.08,98.4901,99.01,98.1270514240178,2519087,0.0000,1.0
2023-05-17,99.09,99.29,98.7301,99.17,98.2856245805459,1376384,0.0000,1.0
2023-05-16,99.47,99.68,99.01,99.04,98.1567838908668,2371070,0.0000,1.0
2023-05-15,100.04,100.04,99.58,99.87,98.9793821403561,249782,0.0000,1.0
2023-05-12,99.69,99.895,99.26,99.59,98.701879116432,64654,0.0000,1.0
2023-05-11,99.93,99.93,99.39,99.75,98.8604522729601,77696,0.0000,1.0
2023-05-10,100.2,100.2,99.47,100.07,99.1775985860162,90846,0.0000,1.0
2023-05-09,99.68,100.19,99.68,100.01,99.1181336523181,70510,0.0000,1.0
2023-05-08,100.4,100.4,99.93,100.02,99.1280444746012,542314,0.0000,1.0
2023-05-05,99.41,100.035,99.33,100.0,99.1082228300351,144540,0.0000,1.0
2023-05-04,99.03,99.4281,98.95,99.07,98.1865163577158,182351,0.0000,1.0
2023-05-03,99.31,99.66,98.87,99.05,98.1666947131498,265976,0.0000,1.0
2023-05-02,99.2,99.41,98.62,99.13,98.2459812914138,76532,0.0000,1.0
2023-05-01,99.38,99.94,99.38,99.67,98.781165694696,169341,0.0000,1.0
2023-04-28,99.04,99.79,99.04,99.63,98.741522405564,281568,0.0000,1.0
2023-04-27,98.36,99.3,98.18,99.25,98.3649111588099,168816,0.0000,1.0
2023-04-26,98.68,98.72,98.04,98.13,97.2548990631135,106878,0.0000,1.0
2023-04-25,98.95,99.22,98.68,98.72,97.8396375778107,109503,0.0000,1.0
2023-04-24,99.04,99.14,98.9,99.13,98.2459812914138,282777,0.0000,1.0
2023-04-21,98.8,99.04,98.67,98.94,98.0576756680368,50721,0.0000,1.0
2023-04-20,98.41,98.8099,98.41,98.67,97.7900834663957,68269,0.0000,1.0
2023-04-19,98.52,98.85,98.52,98.66,97.7801726441127,75170,0.0000,1.0
2023-04-18,99.15,99.2211,98.8,98.97,98.0874081348858,48855,0.0000,1.0
2023-04-17,98.65,98.98,98.56,98.98,98.0973189571688,102984,0.0000,1.0
2023-04-14,98.84,99.08,98.2763,98.49,97.6116886653016,164673,0.0000,1.0
2023-04-13,98.83,99.1752,98.495,99.13,98.2459812914138,95244,0.0000,1.0
2023-04-12,98.54,98.84,98.24,98.32,97.4432046864905,81615,0.0000,1.0
