Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,91.655,91.66,91.65,91.655,91.655,5124517,0.0000,1.0
2023-07-18,91.64,91.64,91.63,91.63,91.63,4791005,0.0000,1.0
2023-07-17,91.63,91.63,91.62,91.63,91.63,3932615,0.0000,1.0
2023-07-14,91.61,91.62,91.61,91.62,91.62,6505849,0.0000,1.0
2023-07-13,91.6,91.61,91.6,91.61,91.61,5902610,0.0000,1.0
2023-07-12,91.56,91.57,91.56,91.57,91.57,7188077,0.0000,1.0
2023-07-11,91.55,91.56,91.55,91.55,91.55,5569134,0.0000,1.0
2023-07-10,91.53,91.54,91.53,91.54,91.54,4185982,0.0000,1.0
2023-07-07,91.52,91.53,91.52,91.52,91.52,6490997,0.0000,1.0
2023-07-06,91.51,91.52,91.51,91.51,91.51,7569955,0.0000,1.0
2023-07-05,91.48,91.49,91.47,91.48,91.48,7987862,0.0000,1.0
2023-07-03,91.46,91.47,91.46,91.47,91.47,7158185,0.3728,1.0
2023-06-30,91.82,91.83,91.82,91.82,91.4472945390884,8054807,0.0000,1.0
2023-06-29,91.8,91.81,91.79,91.79,91.4174163117287,5728011,0.0000,1.0
2023-06-28,91.77,91.77,91.76,91.76,91.3875380843689,4486792,0.0000,1.0
2023-06-27,91.75,91.76,91.75,91.75,91.377578675249,5476342,0.0000,1.0
2023-06-26,91.74,91.75,91.73,91.73,91.3576598570092,7241346,0.0000,1.0
2023-06-23,91.72,91.73,91.72,91.72,91.3477004478892,3851471,0.0000,1.0
2023-06-22,91.71,91.72,91.71,91.71,91.3377410387693,4704645,0.0000,1.0
2023-06-21,91.68,91.69,91.67,91.67,91.2979034022896,4945331,0.0000,1.0
2023-06-20,91.66,91.67,91.66,91.67,91.2979034022896,6174256,0.0000,1.0
2023-06-16,91.66,91.66,91.65,91.65,91.2779845840498,4765337,0.0000,1.0
2023-06-15,91.64,91.65,91.64,91.64,91.2680251749299,9827278,0.0000,1.0
2023-06-14,91.59,91.6,91.58,91.6,91.2281875384502,5756288,0.0000,1.0
2023-06-13,91.57,91.58,91.57,91.58,91.2082687202104,6784247,0.0000,1.0
2023-06-12,91.56,91.57,91.56,91.56,91.1883499019705,3781329,0.0000,1.0
2023-06-09,91.54,91.55,91.54,91.55,91.1783904928506,6456740,0.0000,1.0
2023-06-08,91.53,91.54,91.53,91.54,91.1684310837307,8802012,0.0000,1.0
2023-06-07,91.49,91.51,91.49,91.49,91.1186340381311,6483083,0.0000,1.0
2023-06-06,91.48,91.49,91.47,91.48,91.1086746290112,6120926,0.0000,1.0
2023-06-05,91.47,91.47,91.45,91.46,91.0887558107713,9596566,0.0000,1.0
2023-06-02,91.46,91.46,91.44,91.46,91.0887558107713,10257549,0.0000,1.0
2023-06-01,91.45,91.45,91.44,91.45,91.0787964016514,10700452,0.3707,1.0
2023-05-31,91.77,91.78,91.77,91.77,91.0285070447955,9782660,0.0000,1.0
2023-05-30,91.76,91.77,91.75,91.75,91.0086686429115,11529270,0.0000,1.0
2023-05-26,91.75,91.76,91.74,91.74,90.9987494419695,5923209,0.0000,1.0
2023-05-25,91.73,91.73,91.72,91.72,90.9789110400855,5264007,0.0000,1.0
2023-05-24,91.67,91.68,91.66,91.66,90.9193958344335,4762054,0.0000,1.0
2023-05-23,91.66,91.67,91.66,91.66,90.9193958344335,5050528,0.0000,1.0
2023-05-22,91.66,91.66,91.65,91.66,90.9193958344335,8404900,0.0000,1.0
2023-05-19,91.66,91.66,91.64,91.65,90.9094766334915,6447435,0.0000,1.0
2023-05-18,91.64,91.65,91.63,91.65,90.9094766334915,6433957,0.0000,1.0
2023-05-17,91.6,91.61,91.6,91.6,90.8598806287814,5415399,0.0000,1.0
2023-05-16,91.59,91.6,91.58,91.58,90.8400422268974,8530375,0.0000,1.0
2023-05-15,91.58,91.59,91.58,91.59,90.8499614278394,4056073,0.0000,1.0
2023-05-12,91.58,91.58,91.57,91.58,90.8400422268974,4328558,0.0000,1.0
2023-05-11,91.56,91.57,91.55,91.56,90.8202038250134,6159808,0.0000,1.0
2023-05-10,91.51,91.52,91.5,91.5,90.7606886193614,4831812,0.0000,1.0
2023-05-09,91.5,91.5,91.49,91.49,90.7507694184194,6850301,0.0000,1.0
2023-05-08,91.48,91.49,91.48,91.48,90.7408502174774,5508603,0.0000,1.0
2023-05-05,91.47,91.49,91.46,91.47,90.7309310165354,7170198,0.0000,1.0
2023-05-04,91.46,91.46,91.44,91.45,90.7110926146513,8052718,0.0000,1.0
2023-05-03,91.43,91.43,91.42,91.42,90.6813350118253,5533058,0.0000,1.0
2023-05-02,91.44,91.44,91.41,91.41,90.6714158108833,5495889,0.0000,1.0
2023-05-01,91.44,91.45,91.43,91.43,90.6912542127673,11273342,0.3532,1.0
2023-04-28,91.77,91.78,91.77,91.78,90.6881367463102,6539074,0.0000,1.0
2023-04-27,91.78,91.79,91.77,91.78,90.6881367463102,5585429,0.0000,1.0
2023-04-26,91.74,91.75,91.74,91.75,90.658493642122,7334142,0.0000,1.0
2023-04-25,91.74,91.75,91.73,91.73,90.6387315726633,4222514,0.0000,1.0
2023-04-24,91.75,91.75,91.73,91.74,90.6486126073926,8195934,0.0000,1.0
2023-04-21,91.73,91.73,91.72,91.73,90.6387315726633,5880897,0.0000,1.0
2023-04-20,91.72,91.74,91.71,91.74,90.6486126073926,6034406,0.0000,1.0
2023-04-19,91.68,91.68,91.67,91.67,90.579445364287,5901933,0.0000,1.0
2023-04-18,91.65,91.67,91.65,91.66,90.5695643295576,4540656,0.0000,1.0
2023-04-17,91.64,91.65,91.64,91.65,90.5596832948282,5167578,0.0000,1.0
2023-04-14,91.63,91.64,91.62,91.63,90.5399212253694,9391111,0.0000,1.0
2023-04-13,91.62,91.63,91.62,91.63,90.5399212253694,8673892,0.0000,1.0
2023-04-12,91.58,91.59,91.57,91.58,90.4905160517225,8786248,0.0000,1.0
2023-04-11,91.56,91.57,91.56,91.56,90.4707539822637,7722550,0.0000,1.0
2023-04-10,91.56,91.56,91.55,91.55,90.4608729475343,5741944,0.0000,1.0
2023-04-06,91.55,91.55,91.54,91.54,90.4509919128049,4941406,0.0000,1.0
2023-04-05,91.53,91.54,91.53,91.53,90.4411108780755,6913877,0.0000,1.0
2023-04-04,91.48,91.49,91.48,91.48,90.3917057044286,10265808,0.0000,1.0
2023-04-03,91.48,91.48,91.47,91.47,90.3818246696992,12448638,0.3721,1.0
2023-03-31,91.84,91.84,91.82,91.82,90.3601242656458,11615498,0.0000,1.0
2023-03-30,91.84,91.85,91.82,91.84,90.3798062792084,9284749,0.0000,1.0
2023-03-29,91.82,91.84,91.82,91.82,90.3601242656458,4705650,0.0000,1.0
2023-03-28,91.82,91.83,91.82,91.82,90.3601242656458,6215010,0.0000,1.0
2023-03-27,91.8,91.81,91.8,91.8,90.3404422520833,6188622,0.0000,1.0
2023-03-24,91.8,91.81,91.79,91.81,90.3502832588646,7399618,0.0000,1.0
2023-03-23,91.77,91.79,91.77,91.79,90.330601245302,5769458,0.0000,1.0
2023-03-22,91.74,91.75,91.74,91.75,90.2912372181769,8202639,0.0000,1.0
2023-03-21,91.72,91.74,91.72,91.73,90.2715552046144,7888533,0.0000,1.0
