Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,68.48,68.62,68.45,68.55,68.55,48768,0.0000,1.0
2023-07-18,68.52,68.5671,68.4229,68.46,68.46,32334,0.0000,1.0
2023-07-17,68.21,68.2905,68.18,68.27,68.27,24275,0.0000,1.0
2023-07-14,68.31,68.3504,68.2,68.21,68.21,19420,0.0000,1.0
2023-07-13,68.32,68.432,68.27,68.43,68.43,15138,0.0000,1.0
2023-07-12,67.82,68.045,67.82,68.0,68.0,27894,0.0000,1.0
2023-07-11,67.59,67.62,67.5384,67.5993,67.5993,15202,0.0000,1.0
2023-07-10,67.36,67.5683,67.36,67.53,67.53,26761,0.0000,1.0
2023-07-07,67.45,67.535,67.43,67.46,67.46,25515,0.0000,1.0
2023-07-06,67.53,67.55,67.36,67.5,67.5,31135,0.0000,1.0
2023-07-05,68.13,68.13,67.8484,67.85,67.85,186636,0.0000,1.0
2023-07-03,68.19,68.311,68.081,68.09,68.09,17859,0.1430,1.0
2023-06-30,68.24,68.45,68.2383,68.42,68.2766080928583,30375,0.0000,1.0
2023-06-29,68.28,68.31,68.18,68.26,68.1169434144769,32119,0.0000,1.0
2023-06-28,68.5269,68.66,68.49,68.63,68.4861679832339,19327,0.0000,1.0
2023-06-27,68.63,68.68,68.41,68.45,68.3065452200548,21396,0.0000,1.0
2023-06-26,68.58,68.6483,68.51,68.56,68.416314686442,26476,0.0000,1.0
2023-06-23,68.6,68.6,68.4008,68.46,68.3165242624537,11516,0.0000,1.0
2023-06-22,68.25,68.3059,68.146,68.18,68.0371110752862,16390,0.0000,1.0
2023-06-21,68.3,68.52,68.22,68.49,68.3464613896502,30117,0.0000,1.0
2023-06-20,68.38,68.48,68.38,68.44,68.296566177656,41244,0.0000,1.0
2023-06-16,68.18,68.31,68.18,68.28,68.1369014992746,80690,0.0000,1.0
2023-06-15,68.3,68.39,68.1901,68.34,68.1967757536676,60288,0.0000,1.0
2023-06-14,68.11,68.19,67.95,68.09,67.9472996936966,85120,0.0000,1.0
2023-06-13,68.48,68.51,68.04,68.08,67.9373206512978,52004,0.0000,1.0
2023-06-12,68.36,68.36,68.1501,68.355,68.2117443172659,38957,0.0000,1.0
2023-06-09,68.25,68.3,68.17,68.25,68.106964372078,36639,0.0000,1.0
2023-06-08,68.06,68.31,68.06,68.31,68.1668386264711,29795,0.0000,1.0
2023-06-07,68.3,68.34,67.99,68.01,67.8674673545059,54374,0.0000,1.0
2023-06-06,68.32,68.36,68.205,68.36,68.2167338384653,39069,0.0000,1.0
2023-06-05,68.16,68.37,68.15,68.29,68.1468805416734,17764,0.0000,1.0
