Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,25.77,25.95,25.68,25.85,25.85,160504,0.0000,1.0
2023-07-18,25.72,25.75,25.35,25.54,25.54,224833,0.0000,1.0
2023-07-17,25.8,25.88,25.69,25.7,25.7,122344,0.0000,1.0
2023-07-14,25.85,25.8899,25.71,25.87,25.87,149640,0.0000,1.0
2023-07-13,25.78,25.93,25.61,25.93,25.93,313921,0.0000,1.0
2023-07-12,25.91,25.99,25.73,25.76,25.76,261633,0.0000,1.0
2023-07-11,25.31,25.6299,25.27,25.62,25.62,131391,0.0000,1.0
2023-07-10,25.08,25.28,25.03,25.27,25.27,180192,0.0000,1.0
2023-07-07,25.08,25.3142,25.05,25.14,25.14,230241,0.0000,1.0
2023-07-06,25.09,25.235,24.75,25.2,25.2,254355,0.0000,1.0
2023-07-05,25.21,25.56,25.08,25.4,25.4,215611,0.0000,1.0
2023-07-03,25.01,25.4492,25.01,25.34,25.34,216629,0.0000,1.0
2023-06-30,25.15,25.23,24.75,25.09,25.09,289149,0.0000,1.0
2023-06-29,24.6,24.97,24.54,24.97,24.97,253593,0.0000,1.0
2023-06-28,24.62,24.735,24.47,24.68,24.68,160706,0.0000,1.0
2023-06-27,24.38,24.71,24.29,24.65,24.65,215735,0.0000,1.0
2023-06-26,23.8,24.38,23.8,24.35,24.35,183135,0.0000,1.0
2023-06-23,23.98,24.18,23.7963,23.81,23.81,256809,0.0000,1.0
2023-06-22,24.51,24.51,23.99,24.14,24.14,284827,0.0000,1.0
2023-06-21,24.5,24.57,24.31,24.5,24.5,480678,0.0000,1.0
2023-06-20,24.82,24.82,24.51,24.63,24.63,194961,0.0000,1.0
2023-06-16,24.99,25.12,24.875,24.94,24.94,479552,0.2310,1.0
2023-06-15,24.98,25.21,24.79,25.19,24.9588256326725,434619,0.0000,1.0
2023-06-14,24.99,25.21,24.85,25.05,24.8201104445592,328169,0.0000,1.0
2023-06-13,24.75,24.98,24.71,24.94,24.711119939613,286804,0.0000,1.0
2023-06-12,24.77,24.8,24.58,24.77,24.5426800683326,173558,0.0000,1.0
2023-06-09,24.93,24.97,24.69,24.79,24.5624965237774,252875,0.0000,1.0
