Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,39.245,39.28,39.1021,39.26,39.26,684821,0.0000,1.0
2023-07-18,39.06,39.37,38.97,39.25,39.25,979607,0.0000,1.0
2023-07-17,38.69,38.82,38.61,38.8,38.8,1429682,0.0000,1.0
2023-07-14,38.82,38.93,38.71,38.77,38.77,465644,0.0000,1.0
2023-07-13,38.89,38.9297,38.78,38.89,38.89,410170,0.0000,1.0
2023-07-12,38.71,38.88,38.71,38.87,38.87,802242,0.0000,1.0
2023-07-11,38.35,38.3952,38.282,38.34,38.34,405206,0.0000,1.0
2023-07-10,38.12,38.2399,38.1,38.22,38.22,1468801,0.0000,1.0
2023-07-07,38.11,38.39,38.11,38.19,38.19,601866,0.0000,1.0
2023-07-06,37.94,37.98,37.76,37.91,37.91,2194691,0.0000,1.0
2023-07-05,38.33,38.34,38.0096,38.01,38.01,1036091,0.0000,1.0
2023-07-03,38.16,38.3199,38.138,38.15,38.15,517675,0.0000,1.0
2023-06-30,37.96,38.15,37.9,38.09,38.09,894142,0.0000,1.0
2023-06-29,37.58,37.96,37.56,37.86,37.86,957336,0.0000,1.0
2023-06-28,37.88,37.97,37.76,37.88,37.88,877530,0.0000,1.0
2023-06-27,38.26,38.31,37.92,37.97,37.97,693174,0.0000,1.0
2023-06-26,38.25,38.26,38.13,38.16,38.16,410461,0.0000,1.0
2023-06-23,38.37,38.46,38.06,38.08,38.08,526808,0.0000,1.0
2023-06-22,38.12,38.23,37.96,37.98,37.98,591142,0.0000,1.0
2023-06-21,38.29,38.45,38.08,38.37,38.37,1401820,0.0000,1.0
2023-06-20,38.48,38.48,38.3,38.42,38.42,661143,0.0000,1.0
2023-06-16,38.88,39.01,38.77,38.8,38.8,1985232,0.0000,1.0
2023-06-15,38.51,38.895,38.5,38.87,38.87,998067,0.0000,1.0
2023-06-14,38.81,38.875,38.5,38.6,38.6,2283619,0.0000,1.0
2023-06-13,38.89,38.98,38.495,38.57,38.57,560703,0.0000,1.0
2023-06-12,38.83,38.87,38.6846,38.86,38.86,569420,0.0000,1.0
2023-06-09,38.97,39.04,38.83,38.9,38.9,965795,0.0000,1.0
2023-06-08,38.89,39.1,38.88,39.0,39.0,887947,0.0000,1.0
2023-06-07,38.88,39.095,38.49,38.5,38.5,836054,0.0000,1.0
2023-06-06,38.96,39.025,38.79,38.96,38.96,3190257,0.0000,1.0
2023-06-05,38.63,38.9799,38.5975,38.91,38.91,1455900,0.0000,1.0
2023-06-02,39.21,39.215,38.66,38.68,38.68,1122277,0.0000,1.0
2023-06-01,39.06,39.35,39.04,39.25,39.25,1479849,0.0000,1.0
2023-05-31,38.97,39.18,38.91,38.95,38.95,2196585,0.0000,1.0
2023-05-30,38.81,38.9601,38.71,38.91,38.91,1023932,0.0000,1.0
2023-05-26,38.68,38.735,38.48,38.66,38.66,787476,0.0000,1.0
2023-05-25,38.71,38.73,38.48,38.51,38.51,965295,0.0000,1.0
2023-05-24,39.22,39.22,38.8301,38.88,38.88,772639,0.0000,1.0
2023-05-23,39.07,39.25,38.9866,39.19,39.19,836928,0.0000,1.0
2023-05-22,39.15,39.27,39.07,39.15,39.15,755634,0.0000,1.0
2023-05-19,38.94,39.37,38.835,39.23,39.23,912369,0.0000,1.0
2023-05-18,38.91,38.94,38.7323,38.85,38.85,1028172,0.0000,1.0
2023-05-17,39.38,39.39,39.19,39.36,39.36,1451236,0.0000,1.0
2023-05-16,39.85,39.91,39.4099,39.49,39.49,1037603,0.0000,1.0
2023-05-15,40.02,40.13,39.96,39.99,39.99,592478,0.0000,1.0
2023-05-12,40.05,40.13,39.86,39.9,39.9,1007055,0.0000,1.0
2023-05-11,40.25,40.33,39.92,39.98,39.98,1120743,0.0000,1.0
2023-05-10,40.37,40.5,40.13,40.31,40.31,2122801,0.0000,1.0
2023-05-09,40.2,40.435,40.175,40.38,40.38,1298049,0.0000,1.0
2023-05-08,40.13,40.2752,40.055,40.1,40.1,676911,0.0000,1.0
2023-05-05,39.85,40.07,39.68,40.05,40.05,2394926,0.0000,1.0
2023-05-04,40.34,40.87,40.33,40.67,40.67,3358747,0.0000,1.0
2023-05-03,40.07,40.41,39.93,40.39,40.39,2102114,0.0000,1.0
2023-05-02,39.45,40.07,39.4105,40.07,40.07,2123984,0.0000,1.0
2023-05-01,39.75,39.77,39.28,39.3,39.3,1333213,0.0000,1.0
2023-04-28,39.45,39.59,39.34,39.49,39.49,1147805,0.0000,1.0
2023-04-27,39.28,39.51,39.17,39.45,39.45,2171009,0.0000,1.0
2023-04-26,39.87,39.87,39.37,39.46,39.46,1247147,0.0000,1.0
2023-04-25,39.49,39.77,39.365,39.68,39.68,1078883,0.0000,1.0
2023-04-24,39.31,39.5101,39.19,39.48,39.48,793732,0.0000,1.0
2023-04-21,39.51,39.65,39.14,39.35,39.35,1814123,0.0000,1.0
2023-04-20,39.77,39.9401,39.68,39.76,39.76,673332,0.0000,1.0
2023-04-19,39.38,39.635,39.36,39.59,39.59,808841,0.0000,1.0
2023-04-18,39.57,39.93,39.52,39.79,39.79,696811,0.0000,1.0
2023-04-17,39.69,39.71,39.32,39.63,39.63,1123756,0.0000,1.0
2023-04-14,40.18,40.25,39.55,39.79,39.79,1851585,0.0000,1.0
2023-04-13,40.52,40.66,40.37,40.5,40.5,2994346,0.0000,1.0
2023-04-12,40.06,40.07,39.72,39.98,39.98,1646311,0.0000,1.0
2023-04-11,39.69,39.83,39.65,39.78,39.78,1135228,0.0000,1.0
2023-04-10,39.55,39.58,39.34,39.53,39.53,933011,0.0000,1.0
2023-04-06,39.91,39.985,39.71,39.83,39.83,994649,0.0000,1.0
2023-04-05,40.23,40.32,39.89,40.1,40.1,1325657,0.0000,1.0
2023-04-04,39.45,40.1901,39.44,40.14,40.14,1814041,0.0000,1.0
2023-04-03,39.26,39.51,39.15,39.41,39.41,2748335,0.0000,1.0
