Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,36.35,36.4499,36.35,36.39,36.39,14821,0.0000,1.0
2023-07-18,36.29,36.4,36.28,36.365,36.365,4874,0.0000,1.0
2023-07-17,36.12,36.1757,36.1185,36.1757,36.1757,5234,0.0000,1.0
2023-07-14,36.13,36.215,36.03,36.0401,36.0401,14102,0.0000,1.0
2023-07-13,36.04,36.13,36.04,36.1256,36.1256,2342,0.0000,1.0
2023-07-12,35.78,35.78,35.6901,35.6917,35.6917,3787,0.0000,1.0
2023-07-11,35.2026,35.3033,35.2026,35.3033,35.3033,2354,0.0000,1.0
2023-07-10,34.96,35.0215,34.95,35.0215,35.0215,2988,0.0000,1.0
2023-07-07,34.82,35.16,34.82,34.9312,34.9312,3086,0.0000,1.0
2023-07-06,34.858,34.858,34.858,34.858,34.858,200,0.0000,1.0
2023-07-05,35.24,35.33,35.24,35.2783,35.2783,7113,0.0000,1.0
2023-07-03,35.44,35.445,35.44,35.4438,35.4438,982,0.0000,1.0
2023-06-30,35.19,35.43,35.19,35.3858,35.3858,4635,0.0000,1.0
2023-06-29,34.79,34.9459,34.79,34.9432,34.9432,4520,0.0000,1.0
2023-06-28,34.78,34.8895,34.78,34.8583,34.8583,14263,0.0000,1.0
2023-06-27,34.6699,34.9061,34.65,34.9061,34.9061,5013,0.0000,1.0
2023-06-26,34.7,34.74,34.48,34.5301,34.5301,10544,0.0000,1.0
2023-06-23,34.57,34.5887,34.57,34.5887,34.5887,224,0.0000,1.0
2023-06-22,34.776,34.97,34.776,34.92,34.92,16905,0.0000,1.0
2023-06-21,34.95,35.0625,34.92,34.9454,34.9454,10860,0.0000,1.0
2023-06-20,35.12,35.145,34.931,35.044,35.044,7151,0.0000,1.0
2023-06-16,35.61,35.61,35.3431,35.3431,35.3431,2158,0.0000,1.0
2023-06-15,35.0963,35.5094,35.0963,35.4808,35.4808,2278,0.0000,1.0
2023-06-14,35.06,35.1517,34.99,35.0406,35.0406,4984,0.0000,1.0
2023-06-13,34.95,35.04,34.911,35.01,35.01,8507,0.0000,1.0
2023-06-12,34.55,34.7255,34.55,34.7255,34.7255,1147,0.0000,1.0
