Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,14.35,14.42,14.2871,14.31,14.31,5370581,0.0000,1.0
2023-07-18,14.1,14.28,14.1,14.24,14.24,3000250,0.0000,1.0
2023-07-17,14.1,14.128,14.05,14.05,14.05,4081980,0.0000,1.0
2023-07-14,14.27,14.28,14.17,14.2,14.2,1613923,0.0000,1.0
2023-07-13,14.12,14.3,14.105,14.3,14.3,2412053,0.0000,1.0
2023-07-12,14.1,14.16,14.0401,14.1,14.1,4454693,0.0000,1.0
2023-07-11,13.89,13.99,13.87,13.99,13.99,1584445,0.0000,1.0
2023-07-10,13.8,13.86,13.77,13.82,13.82,1112263,0.0000,1.0
2023-07-07,13.67,13.82,13.66,13.79,13.79,1497700,0.0000,1.0
2023-07-06,13.68,13.69,13.525,13.69,13.69,2907067,0.0000,1.0
2023-07-05,13.75,13.7699,13.645,13.7,13.7,1148988,0.0000,1.0
2023-07-03,13.65,13.7064,13.6,13.62,13.62,1517992,0.0000,1.0
2023-06-30,13.56,13.72,13.55,13.605,13.605,2637925,0.0000,1.0
2023-06-29,13.44,13.555,13.43,13.5,13.5,2133925,0.0000,1.0
2023-06-28,13.44,13.55,13.3875,13.49,13.49,2323658,0.0000,1.0
2023-06-27,13.67,13.71,13.51,13.54,13.54,1880697,0.0000,1.0
2023-06-26,13.73,13.84,13.715,13.76,13.76,4153689,0.0000,1.0
2023-06-23,13.64,13.74,13.6348,13.74,13.74,1792264,0.0000,1.0
2023-06-22,13.94,13.977,13.83,13.89,13.89,3182044,0.0000,1.0
2023-06-21,13.97,14.17,13.94,14.17,14.17,1481261,0.0000,1.0
2023-06-20,13.97,13.98,13.8401,13.98,13.98,7219373,0.0000,1.0
2023-06-16,13.97,14.11,13.97,14.1,14.1,11202570,0.0000,1.0
2023-06-15,13.69,13.93,13.69,13.91,13.91,2060825,0.0000,1.0
2023-06-14,13.68,13.72,13.5519,13.61,13.61,2332100,0.0000,1.0
2023-06-13,13.64,13.67,13.57,13.58,13.58,3671558,0.0000,1.0
