Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,153.6,154.32,153.43,154.03,154.03,8550492,0.0000,1.0
2023-07-18,152.35,153.5968,152.22,153.29,153.29,5442583,0.0000,1.0
2023-07-17,151.78,152.77,151.32,152.35,152.35,5353084,0.0000,1.0
2023-07-14,153.1,153.1,151.68,152.06,152.06,6345334,0.0000,1.0
2023-07-13,152.69,153.195,152.34,152.96,152.96,5458423,0.0000,1.0
2023-07-12,152.97,153.02,152.065,152.24,152.24,6668945,0.0000,1.0
2023-07-11,150.22,151.715,150.19,151.54,151.54,10166446,0.0000,1.0
2023-07-10,148.42,150.03,148.36,149.85,149.85,4145776,0.0000,1.0
2023-07-07,147.91,149.795,147.82,148.52,148.52,3213332,0.0000,1.0
2023-07-06,148.0,148.29,146.94,148.15,148.15,7769499,0.0000,1.0
2023-07-05,149.39,149.83,148.87,149.37,149.37,4334011,0.0000,1.0
2023-07-03,149.35,150.24,149.15,150.01,150.01,2797325,0.0000,1.0
2023-06-30,149.25,150.015,148.89,149.64,149.64,4742324,0.0000,1.0
2023-06-29,147.13,148.35,146.8375,148.33,148.33,7610721,0.0000,1.0
2023-06-28,147.17,147.315,146.48,147.18,147.18,4335597,0.0000,1.0
2023-06-27,145.86,147.64,145.5899,147.43,147.43,8880471,0.0000,1.0
2023-06-26,144.77,146.035,144.77,145.65,145.65,4300014,0.0000,1.0
2023-06-23,145.01,145.48,144.52,144.77,144.77,3869591,0.0000,1.0
2023-06-22,146.42,146.55,145.465,146.03,146.03,3852465,0.0000,1.0
2023-06-21,146.4,147.16,145.83,146.63,146.63,5479229,0.0000,1.0
2023-06-20,147.47,147.49,146.29,146.84,146.84,4514569,0.6421,1.0
2023-06-16,149.61,149.88,148.6,148.83,148.181981344861,11152892,0.0000,1.0
2023-06-15,146.95,149.3,146.95,148.95,148.301458854512,5177391,0.0000,1.0
2023-06-14,147.92,148.46,146.415,147.25,146.608860801121,8456417,0.0000,1.0
2023-06-13,146.59,147.75,146.4,147.53,146.887641656973,6802450,0.0000,1.0
2023-06-12,145.45,146.21,145.0,146.12,145.483780918572,3733796,0.0000,1.0
2023-06-09,145.5,145.84,144.83,145.16,144.527960841363,4396827,0.0000,1.0
2023-06-08,145.05,145.545,144.3401,145.33,144.697220646702,5882410,0.0000,1.0
2023-06-07,144.48,145.465,144.155,145.27,144.637481891876,13306342,0.0000,1.0
2023-06-06,143.17,144.42,143.03,144.21,143.582097223291,5333256,0.0000,1.0
2023-06-05,143.91,143.96,143.0,143.24,142.616320686944,5415134,0.0000,1.0
2023-06-02,141.9,144.03,141.83,143.73,143.104187184686,10284578,0.0000,1.0
2023-06-01,139.87,141.11,139.05,140.66,140.047554229444,4437512,0.0000,1.0
2023-05-31,140.13,140.22,138.81,139.61,139.002126019996,7553719,0.0000,1.0
2023-05-30,141.37,141.72,140.36,140.84,140.226770493921,8268527,0.0000,1.0
2023-05-26,140.21,141.27,140.03,141.09,140.475681972361,4572528,0.0000,1.0
2023-05-25,140.18,140.4,138.95,139.92,139.310776253262,4696067,0.0000,1.0
2023-05-24,140.93,141.01,139.73,140.01,139.4003843855,2940474,0.0000,1.0
2023-05-23,142.6,143.1,141.44,141.55,140.93367909269,6919652,0.0000,1.0
2023-05-22,142.94,143.68,142.22,143.08,142.457017340743,4411565,0.0000,1.0
2023-05-19,143.68,143.87,142.33,142.86,142.237975239715,5758215,0.0000,1.0
2023-05-18,141.87,143.39,141.61,143.24,142.616320686944,3799961,0.0000,1.0
2023-05-17,141.06,142.395,140.42,142.09,141.47132788612,6902694,0.0000,1.0
2023-05-16,141.86,141.86,140.29,140.31,139.699078159628,4668578,0.0000,1.0
2023-05-15,141.73,142.54,141.26,142.32,141.700326446285,2322720,0.0000,1.0
2023-05-12,142.04,142.18,140.605,141.52,140.903809715277,3477438,0.0000,1.0
