Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,52.35,52.46,52.275,52.46,52.46,1345867,0.0000,1.0
2023-07-18,52.37,52.425,52.25,52.28,52.28,1123517,0.0000,1.0
2023-07-17,52.23,52.36,52.195,52.32,52.32,813878,0.0000,1.0
2023-07-14,52.38,52.42,52.1914,52.22,52.22,966767,0.0000,1.0
2023-07-13,52.43,52.49,52.3248,52.48,52.48,1590993,0.0000,1.0
2023-07-12,51.88,52.2363,51.87,52.2,52.2,1436781,0.0000,1.0
2023-07-11,51.74,51.76,51.62,51.69,51.69,1268149,0.0000,1.0
2023-07-10,51.64,51.755,51.6212,51.71,51.71,1141249,0.0000,1.0
2023-07-07,51.57,51.7299,51.57,51.58,51.58,1198690,0.0000,1.0
2023-07-06,51.67,51.71,51.46,51.64,51.64,2762522,0.0000,1.0
2023-07-05,52.07,52.105,51.85,51.91,51.91,1405296,0.0000,1.0
2023-07-03,52.25,52.355,52.13,52.13,52.13,754015,0.2249,1.0
2023-06-30,52.24,52.44,52.2002,52.43,52.204777394284,1511324,0.0000,1.0
2023-06-29,52.25,52.29,52.13,52.21,51.9857224443175,2055854,0.0000,1.0
2023-06-28,52.54,52.6,52.445,52.54,52.3143048692673,1357322,0.0000,1.0
2023-06-27,52.64,52.715,52.4,52.43,52.204777394284,1843281,0.0000,1.0
2023-06-26,52.65,52.675,52.54,52.58,52.3541330419884,1485217,0.0000,1.0
2023-06-23,52.69,52.72,52.545,52.57,52.3441759988081,863148,0.0000,1.0
2023-06-22,52.48,52.58,52.41,52.44,52.2147344374643,2562304,0.0000,1.0
2023-06-21,52.5,52.66,52.44,52.61,52.3840041715293,1120819,0.0000,1.0
2023-06-20,52.5,52.66,52.5,52.64,52.4138753010702,1168372,0.0000,1.0
2023-06-16,52.44,52.545,52.345,52.51,52.2844337397264,1368324,0.0000,1.0
2023-06-15,52.61,52.7,52.55,52.62,52.3939612147096,12257069,0.0000,1.0
2023-06-14,52.34,52.47,52.19,52.28,52.0554217465796,1462306,0.0000,1.0
2023-06-13,52.44,52.5,52.1401,52.18,51.9558513147767,1406064,0.0000,1.0
2023-06-12,52.42,52.44,52.27,52.43,52.204777394284,1331435,0.0000,1.0
2023-06-09,52.46,52.495,52.39,52.39,52.1649492215628,1817178,0.0000,1.0
2023-06-08,52.36,52.56,52.36,52.54,52.3143048692673,1192562,0.0000,1.0
2023-06-07,52.54,52.58,52.245,52.27,52.0454647033993,1474968,0.0000,1.0
2023-06-06,52.46,52.54,52.375,52.54,52.3143048692673,955173,0.0000,1.0
2023-06-05,52.38,52.6,52.35,52.5,52.2744766965461,1239900,0.0000,1.0
2023-06-02,52.66,52.68,52.41,52.41,52.1848633079234,1252842,0.0000,1.0
2023-06-01,52.62,52.69,52.5901,52.69,52.4636605169717,1191213,0.1667,1.0
2023-05-31,52.72,52.825,52.66,52.71,52.318051370017,1619070,0.0000,1.0
2023-05-30,52.6,52.72,52.56,52.7,52.3081257294611,1500391,0.0000,1.0
2023-05-26,52.44,52.53,52.345,52.47,52.079835996676,7343384,0.0000,1.0
2023-05-25,52.61,52.65,52.3901,52.46,52.0699103561201,2351846,0.0000,1.0
2023-05-24,52.92,52.935,52.65,52.65,52.2584975266817,1500039,0.0000,1.0
2023-05-23,52.65,52.855,52.63,52.84,52.4470846972434,1608476,0.0000,1.0
2023-05-22,52.81,52.87,52.65,52.68,52.2882744483494,1394060,0.0000,1.0
2023-05-19,52.79,52.9493,52.715,52.76,52.3676795727964,1441410,0.0000,1.0
2023-05-18,52.93,53.01,52.83,52.91,52.5165641811345,3497075,0.0000,1.0
2023-05-17,53.14,53.16,53.025,53.07,52.6753744300285,1827352,0.0000,1.0
2023-05-16,53.16,53.21,53.005,53.1,52.7051513516961,1024644,0.0000,1.0
2023-05-15,53.27,53.3048,53.2101,53.23,52.8341846789225,1026841,0.0000,1.0
2023-05-12,53.52,53.56,53.3,53.31,52.9135898033695,1185461,0.0000,1.0
2023-05-11,53.51,53.59,53.435,53.5,53.1021769739311,2341995,0.0000,1.0
2023-05-10,53.32,53.435,53.27,53.36,52.9632180061489,1483010,0.0000,1.0
2023-05-09,53.29,53.31,53.155,53.22,52.8242590383666,1508229,0.0000,1.0
2023-05-08,53.32,53.3559,53.27,53.29,52.8937385222577,2794844,0.0000,1.0
2023-05-05,53.5,53.545,53.39,53.5,53.1021769739311,1632913,0.0000,1.0
2023-05-04,53.5,53.83,53.49,53.6,53.2014333794899,9671803,0.0000,1.0
2023-05-03,53.43,53.64,53.41,53.6,53.2014333794899,2717106,0.0000,1.0
2023-05-02,53.07,53.4,53.07,53.36,52.9632180061489,2030140,0.0000,1.0
2023-05-01,53.27,53.3101,52.895,52.97,52.5761180244697,2767758,0.1712,1.0
2023-04-28,53.63,53.67,53.4844,53.54,52.970677346957,2274370,0.0000,1.0
2023-04-27,53.64,53.6701,53.475,53.49,52.9212090266852,1208635,0.0000,1.0
2023-04-26,53.84,53.9199,53.6645,53.69,53.1190823077721,2146555,0.0000,1.0
2023-04-25,53.72,53.9,53.72,53.89,53.316955588859,1341879,0.0000,1.0
2023-04-24,53.44,53.58,53.44,53.58,53.0102520031743,931345,0.0000,1.0
2023-04-21,53.45,53.48,53.27,53.36,52.7925913939788,1315311,0.0000,1.0
2023-04-20,53.36,53.44,53.2901,53.36,52.7925913939788,2181810,0.0000,1.0
2023-04-19,53.18,53.22,53.095,53.17,52.6046117769462,1989968,0.0000,1.0
2023-04-18,53.16,53.3,53.1538,53.21,52.6441864331636,3075010,0.0000,1.0
2023-04-17,53.4,53.415,53.16,53.17,52.6046117769462,2932831,0.0000,1.0
2023-04-14,53.48,53.5687,53.38,53.43,52.8618470423592,3000489,0.0000,1.0
2023-04-13,53.84,53.94,53.62,53.64,53.0696139875004,2301157,0.0000,1.0
2023-04-12,53.66,53.8167,53.61,53.75,53.1784442920982,1356645,0.0000,1.0
2023-04-11,53.73,53.76,53.64,53.75,53.1784442920982,1957578,0.0000,1.0
2023-04-10,53.71,53.7627,53.65,53.67,53.0992949796634,1384870,0.0000,1.0
2023-04-06,54.0,54.09,53.955,54.02,53.4455732215655,1632380,0.0000,1.0
2023-04-05,53.89,54.1,53.83,53.91,53.3367429169677,1648284,0.0000,1.0
2023-04-04,53.55,53.85,53.5301,53.79,53.2180189483156,1698987,0.0000,1.0
2023-04-03,53.66,53.8591,53.54,53.63,53.0597203234461,2835916,0.0856,1.0
2023-03-31,53.44,53.7,53.39,53.61,52.9554097234312,2760368,0.0000,1.0
2023-03-30,53.33,53.41,53.315,53.35,52.6985843824857,2082196,0.0000,1.0
2023-03-29,53.15,53.31,53.13,53.28,52.6294390983849,32409666,0.0000,1.0
2023-03-28,53.055,53.31,53.051,53.18,52.5306601210982,4567758,0.0000,1.0
2023-03-27,53.22,53.285,53.025,53.05,52.4022474506254,4326121,0.0000,1.0
2023-03-24,53.69,53.75,53.435,53.45,52.7973633597724,3294374,0.0000,1.0
2023-03-23,53.45,53.62,53.37,53.62,52.9652876211599,3693000,0.0000,1.0
2023-03-22,52.86,53.54,52.83,53.45,52.7973633597724,3203637,0.0000,1.0
2023-03-21,52.75,52.96,52.7038,52.8,52.1553000074085,1536654,0.0000,1.0
2023-03-20,53.0,53.0,52.75,52.9,52.2540789846953,2235148,0.0000,1.0
2023-03-17,52.9,53.13,52.83,52.84,52.1948115983232,4218347,0.0000,1.0
2023-03-16,53.46,53.49,52.7,52.71,52.0663989278504,3008066,0.0000,1.0
2023-03-15,53.06,53.43,52.9981,53.29,52.6393169961136,3298133,0.0000,1.0
2023-03-14,52.99,53.08,52.66,52.69,52.0466431323931,1965075,0.0000,1.0
2023-03-13,52.95,53.3,52.71,52.85,52.2046894960519,2256598,0.0000,1.0
2023-03-10,52.16,52.565,52.15,52.55,51.9083525641916,4893518,0.0000,1.0
2023-03-09,51.82,51.92,51.75,51.81,51.1773881322696,4900528,0.0000,1.0
2023-03-08,51.96,52.045,51.64,51.68,51.0489754617968,2956324,0.0000,1.0
2023-03-07,52.22,52.24,51.87,51.92,51.286045007285,1954749,0.0000,1.0
2023-03-06,52.5,52.52,52.25,52.25,51.6120156323313,988539,0.0000,1.0
2023-03-03,52.13,52.5,52.08,52.5,51.8589630755482,2101457,0.0000,1.0
2023-03-02,51.87,52.0,51.87,51.99,51.3551902913858,1400518,0.0000,1.0
2023-03-01,51.95,52.04,51.84,51.93,51.2959229050137,2538936,0.0000,1.0
2023-02-28,51.84,52.16,51.805,52.12,51.4836029618585,1434826,0.0000,1.0
2023-02-27,51.9,51.975,51.86,51.92,51.286045007285,1552520,0.0000,1.0
2023-02-24,51.91,51.93,51.7201,51.84,51.2070218254556,2093211,0.0000,1.0
2023-02-23,52.03,52.23,52.0216,52.15,51.5132366550446,1523573,0.0000,1.0
2023-02-22,52.22,52.2966,51.975,52.03,51.3947018823005,2218332,0.0000,1.0
2023-02-21,52.08,52.161,51.97,52.05,51.4144576777578,1426373,0.0000,1.0
2023-02-17,52.07,52.3,52.06,52.3,51.6614051209747,1409352,0.0000,1.0
2023-02-16,52.25,52.38,52.145,52.16,51.5231145527732,2483669,0.0000,1.0
2023-02-15,52.25,52.3929,52.19,52.3,51.6614051209747,1527317,0.0000,1.0
2023-02-14,52.4,52.52,52.12,52.3,51.6614051209747,2113760,0.0000,1.0
2023-02-13,52.41,52.49,52.375,52.44,51.7996956891762,1235898,0.0000,1.0
2023-02-10,52.57,52.58,52.37,52.37,51.7305504050754,1436241,0.0000,1.0
2023-02-09,52.9,52.9001,52.57,52.57,51.928108359649,1463282,0.0000,1.0
2023-02-08,52.67,52.86,52.605,52.85,52.2046894960519,1242421,0.0000,1.0
2023-02-07,52.44,52.7962,52.415,52.57,51.928108359649,2630151,0.0000,1.0
2023-02-06,52.45,52.52,52.39,52.42,51.7799398937188,1633963,0.0000,1.0
2023-02-03,52.88,52.95,52.6,52.67,52.0268873369357,2126599,0.0000,1.0
2023-02-02,53.31,53.396,53.09,53.13,52.4812706324548,6041736,0.0000,1.0
2023-02-01,52.99,53.25,52.741,53.23,52.5800496097416,2366388,0.0000,1.0
2023-01-31,52.95,52.95,52.68,52.81,52.1651779051372,1659639,0.0000,1.0
2023-01-30,52.99,53.0569,52.81,52.83,52.1849337005945,1794731,0.0000,1.0
2023-01-27,53.04,53.1824,53.02,53.09,52.4417590415401,1595748,0.0000,1.0
2023-01-26,53.17,53.3,53.1,53.22,52.5701717120129,1512042,0.0000,1.0
2023-01-25,53.04,53.2,52.99,53.2,52.5504159165555,1575069,0.0000,1.0
2023-01-24,52.86,53.1,52.7647,53.09,52.4417590415401,1584057,0.0000,1.0
2023-01-23,52.79,52.915,52.78,52.8,52.1553000074085,1386697,0.0000,1.0
2023-01-20,52.9,52.96,52.81,52.84,52.1948115983232,1470050,0.0000,1.0
