Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-19,99.85,100.075,99.66,99.85,99.85,927214,0.0000,1.0
2023-07-18,99.02,99.78,98.9594,99.71,99.71,901550,0.0000,1.0
2023-07-17,98.69,99.28,98.605,99.11,99.11,1168258,0.0000,1.0
2023-07-14,99.24,99.28,98.73,98.83,98.83,1127982,0.0000,1.0
2023-07-13,98.72,99.31,98.6705,99.19,99.19,1457676,0.0000,1.0
2023-07-12,97.91,98.2485,97.82,98.06,98.06,996048,0.0000,1.0
2023-07-11,96.4,96.985,96.225,96.93,96.93,883150,0.0000,1.0
2023-07-10,95.64,96.1,95.59,96.1,96.1,975514,0.0000,1.0
2023-07-07,95.45,96.505,95.45,95.8,95.8,1168020,0.0000,1.0
2023-07-06,95.71,95.71,94.97,95.55,95.55,995813,0.0000,1.0
2023-07-05,96.79,96.9099,96.59,96.74,96.74,793179,0.0000,1.0
2023-07-03,97.06,97.29,97.0,97.29,97.29,971696,0.0000,1.0
2023-06-30,96.66,97.13,96.645,96.98,96.98,1184227,0.0000,1.0
2023-06-29,95.49,95.92,95.41,95.92,95.92,775210,0.0000,1.0
2023-06-28,95.47,95.91,95.31,95.74,95.74,1138915,0.0000,1.0
2023-06-27,94.98,95.815,94.835,95.69,95.69,931839,0.0000,1.0
2023-06-26,94.79,95.2,94.675,94.72,94.72,1251640,0.0000,1.0
2023-06-23,94.8,95.13,94.66,94.78,94.78,1602948,0.0000,1.0
2023-06-22,95.54,95.87,95.38,95.83,95.83,915629,0.0000,1.0
2023-06-21,96.0,96.2528,95.705,95.87,95.87,1024957,0.0000,1.0
2023-06-20,96.53,96.54,95.84,96.17,96.17,3171791,0.6504,1.0
2023-06-16,98.48,98.49,97.68,97.78,97.1231537981665,935023,0.0000,1.0
2023-06-15,96.9,98.24,96.83,98.06,97.4012728722459,997100,0.0000,1.0
2023-06-14,97.0,97.3781,96.2798,96.94,96.2887965759282,1505832,0.0000,1.0
2023-06-13,96.6,96.96,96.505,96.79,96.1398042148142,1824508,0.0000,1.0
2023-06-12,95.61,96.06,95.445,96.04,95.3948424092443,902572,0.0000,1.0
2023-06-09,95.48,95.7837,95.21,95.4,94.7591416684914,961685,0.0000,1.0
2023-06-08,94.82,95.38,94.63,95.29,94.6498806036744,996498,0.0000,1.0
2023-06-07,95.11,95.385,94.61,94.71,94.073776807367,1567792,0.0000,1.0
2023-06-06,94.52,95.19,94.45,95.12,94.4810225944119,1371902,0.0000,1.0
2023-06-05,94.88,95.015,94.45,94.56,93.9247844462531,1162925,0.0000,1.0
2023-06-02,94.3,95.04,94.22,94.88,94.2426348166295,1462261,0.0000,1.0
2023-06-01,92.55,93.62,92.34,93.42,92.7924425017868,1499853,0.0000,1.0
2023-05-31,92.4,92.51,91.78,92.27,91.6501677332463,1351425,0.0000,1.0
2023-05-30,93.51,93.57,92.65,92.96,92.3355325943706,1797096,0.0000,1.0
