Dates,NONFARM_PAYROLL
2023-07-25,
2023-07-24,
2023-07-23,
2023-07-22,
2023-07-21,
2023-07-20,
2023-07-19,
2023-07-18,
2023-07-17,
2023-07-16,
2023-07-15,
2023-07-14,
2023-07-13,
2023-07-12,
2023-07-11,
2023-07-10,
2023-07-09,
2023-07-08,
2023-07-07,
2023-07-06,
2023-07-05,
2023-07-04,
2023-07-03,
2023-07-02,
2023-07-01,
2023-06-30,
2023-06-29,
2023-06-28,
2023-06-27,
2023-06-26,
2023-06-25,
2023-06-24,
2023-06-23,
2023-06-22,
2023-06-21,
2023-06-20,
2023-06-19,
2023-06-18,
2023-06-17,
2023-06-16,
2023-06-15,
2023-06-14,
2023-06-13,
2023-06-12,
2023-06-11,
2023-06-10,
2023-06-09,
2023-06-08,
2023-06-07,
2023-06-06,
2023-06-05,
2023-06-04,
2023-06-03,
2023-06-02,
2023-06-01,156963.0
2023-05-31,156940.51612903227
2023-05-30,156918.03225806452
2023-05-29,156895.5483870968
2023-05-28,156873.06451612903
2023-05-27,156850.5806451613
2023-05-26,156828.09677419355
2023-05-25,156805.61290322582
2023-05-24,156783.12903225806
2023-05-23,156760.64516129033
2023-05-22,156738.16129032258
2023-05-21,156715.67741935485
2023-05-20,156693.1935483871
2023-05-19,156670.70967741936
2023-05-18,156648.2258064516
2023-05-17,156625.74193548388
2023-05-16,156603.25806451612
2023-05-15,156580.7741935484
2023-05-14,156558.29032258064
2023-05-13,156535.8064516129
2023-05-12,156513.32258064515
2023-05-11,156490.83870967742
2023-05-10,156468.35483870967
2023-05-09,156445.87096774194
2023-05-08,156423.38709677418
2023-05-07,156400.90322580645
2023-05-06,156378.4193548387
2023-05-05,156355.93548387097
2023-05-04,156333.4516129032
2023-05-03,156310.96774193548
2023-05-02,156288.48387096773
2023-05-01,156266.0
2023-04-30,156236.1
2023-04-29,156206.2
2023-04-28,156176.3
2023-04-27,156146.4
2023-04-26,156116.5
2023-04-25,156086.6
2023-04-24,156056.7
2023-04-23,156026.8
2023-04-22,155996.9
2023-04-21,155967.0
2023-04-20,155937.1
2023-04-19,155907.2
2023-04-18,155877.3
2023-04-17,155847.4
2023-04-16,155817.5
2023-04-15,155787.6
2023-04-14,155757.7
2023-04-13,155727.8
2023-04-12,155697.9
2023-04-11,155668.0
2023-04-10,155638.1
2023-04-09,155608.2
2023-04-08,155578.3
2023-04-07,155548.4
2023-04-06,155518.5
2023-04-05,155488.6
2023-04-04,155458.7
2023-04-03,155428.8
2023-04-02,155398.9
2023-04-01,155369.0
2023-03-31,155339.03225806452
2023-03-30,155309.06451612903
2023-03-29,155279.09677419355
2023-03-28,155249.12903225806
2023-03-27,155219.16129032258
2023-03-26,155189.1935483871
2023-03-25,155159.2258064516
2023-03-24,155129.25806451612
2023-03-23,155099.29032258064
2023-03-22,155069.32258064515
2023-03-21,155039.35483870967
2023-03-20,155009.38709677418
2023-03-19,154979.4193548387
2023-03-18,154949.4516129032
2023-03-17,154919.48387096773
2023-03-16,154889.51612903227
2023-03-15,154859.5483870968
2023-03-14,154829.5806451613
2023-03-13,154799.61290322582
2023-03-12,154769.64516129033
2023-03-11,154739.67741935485
2023-03-10,154709.70967741936
2023-03-09,154679.74193548388
2023-03-08,154649.7741935484
2023-03-07,154619.8064516129
2023-03-06,154589.83870967742
2023-03-05,154559.87096774194
2023-03-04,154529.90322580645
2023-03-03,154499.93548387097
2023-03-02,154469.96774193548
2023-03-01,154440.0
2023-02-28,154423.67857142858
2023-02-27,154407.35714285713
2023-02-26,154391.0357142857
2023-02-25,154374.7142857143
2023-02-24,154358.39285714287
2023-02-23,154342.07142857142
2023-02-22,154325.75
2023-02-21,154309.42857142858
2023-02-20,154293.10714285713
2023-02-19,154276.7857142857
2023-02-18,154260.4642857143
2023-02-17,154244.14285714287
2023-02-16,154227.82142857142
2023-02-15,154211.5
2023-02-14,154195.17857142858
2023-02-13,154178.85714285713
2023-02-12,154162.5357142857
2023-02-11,154146.2142857143
2023-02-10,154129.89285714287
2023-02-09,154113.57142857142
2023-02-08,154097.25
2023-02-07,154080.92857142858
2023-02-06,154064.60714285713
2023-02-05,154048.2857142857
2023-02-04,154031.9642857143
2023-02-03,154015.64285714287
2023-02-02,153999.32142857142
2023-02-01,153983.0
2023-01-31,153946.09677419355
2023-01-30,153909.1935483871
2023-01-29,153872.29032258064
2023-01-28,153835.38709677418
2023-01-27,153798.48387096773
2023-01-26,153761.5806451613
2023-01-25,153724.67741935485
2023-01-24,153687.7741935484
2023-01-23,153650.87096774194
2023-01-22,153613.96774193548
2023-01-21,153577.06451612903
2023-01-20,153540.16129032258
2023-01-19,153503.25806451612
2023-01-18,153466.35483870967
2023-01-17,153429.4516129032
2023-01-16,153392.5483870968
2023-01-15,153355.64516129033
2023-01-14,153318.74193548388
2023-01-13,153281.83870967742
2023-01-12,153244.93548387097
2023-01-11,153208.03225806452
2023-01-10,153171.12903225806
2023-01-09,153134.2258064516
2023-01-08,153097.32258064515
2023-01-07,153060.4193548387
2023-01-06,153023.51612903227
2023-01-05,152986.61290322582
2023-01-04,152949.70967741936
2023-01-03,152912.8064516129
2023-01-02,152875.90322580645
2023-01-01,152839.0
2022-12-31,152919.8064516129
2022-12-30,153000.61290322582
2022-12-29,153081.4193548387
2022-12-28,153162.2258064516
2022-12-27,153243.03225806452
2022-12-26,153323.83870967742
2022-12-25,153404.64516129033
2022-12-24,153485.4516129032
2022-12-23,153566.25806451612
2022-12-22,153647.06451612903
2022-12-21,153727.87096774194
2022-12-20,153808.67741935485
2022-12-19,153889.48387096773
2022-12-18,153970.29032258064
2022-12-17,154051.09677419355
2022-12-16,154131.90322580645
2022-12-15,154212.70967741936
2022-12-14,154293.51612903227
2022-12-13,154374.32258064515
2022-12-12,154455.12903225806
2022-12-11,154535.93548387097
2022-12-10,154616.74193548388
2022-12-09,154697.5483870968
2022-12-08,154778.35483870967
2022-12-07,154859.16129032258
2022-12-06,154939.96774193548
2022-12-05,155020.7741935484
2022-12-04,155101.5806451613
2022-12-03,155182.38709677418
2022-12-02,155263.1935483871
2022-12-01,155344.0
2022-11-30,155353.93333333332
2022-11-29,155363.86666666667
2022-11-28,155373.8
2022-11-27,155383.73333333334
2022-11-26,155393.66666666666
2022-11-25,155403.6
2022-11-24,155413.53333333333
2022-11-23,155423.46666666667
2022-11-22,155433.4
2022-11-21,155443.33333333334
2022-11-20,155453.26666666666
2022-11-19,155463.2
2022-11-18,155473.13333333333
2022-11-17,155483.06666666668
2022-11-16,155493.0
2022-11-15,155502.93333333332
2022-11-14,155512.86666666667
2022-11-13,155522.8
2022-11-12,155532.73333333334
2022-11-11,155542.66666666666
2022-11-10,155552.6
2022-11-09,155562.53333333333
2022-11-08,155572.46666666667
2022-11-07,155582.4
2022-11-06,155592.33333333334
2022-11-05,155602.26666666666
2022-11-04,155612.2
2022-11-03,155622.13333333333
2022-11-02,155632.06666666668
2022-11-01,155642.0
2022-10-31,155622.61290322582
2022-10-30,155603.2258064516
2022-10-29,155583.83870967742
2022-10-28,155564.4516129032
2022-10-27,155545.06451612903
2022-10-26,155525.67741935485
2022-10-25,155506.29032258064
2022-10-24,155486.90322580645
2022-10-23,155467.51612903227
2022-10-22,155448.12903225806
2022-10-21,155428.74193548388
2022-10-20,155409.35483870967
2022-10-19,155389.96774193548
2022-10-18,155370.5806451613
2022-10-17,155351.1935483871
2022-10-16,155331.8064516129
2022-10-15,155312.4193548387
2022-10-14,155293.03225806452
2022-10-13,155273.64516129033
2022-10-12,155254.25806451612
2022-10-11,155234.87096774194
2022-10-10,155215.48387096773
2022-10-09,155196.09677419355
2022-10-08,155176.70967741936
2022-10-07,155157.32258064515
2022-10-06,155137.93548387097
2022-10-05,155118.5483870968
2022-10-04,155099.16129032258
2022-10-03,155079.7741935484
2022-10-02,155060.38709677418
2022-10-01,155041.0
2022-09-30,154999.93333333332
2022-09-29,154958.86666666667
2022-09-28,154917.8
2022-09-27,154876.73333333334
2022-09-26,154835.66666666666
2022-09-25,154794.6
2022-09-24,154753.53333333333
2022-09-23,154712.46666666667
2022-09-22,154671.4
2022-09-21,154630.33333333334
2022-09-20,154589.26666666666
2022-09-19,154548.2
2022-09-18,154507.13333333333
2022-09-17,154466.06666666668
2022-09-16,154425.0
2022-09-15,154383.93333333332
2022-09-14,154342.86666666667
2022-09-13,154301.8
2022-09-12,154260.73333333334
2022-09-11,154219.66666666666
2022-09-10,154178.6
2022-09-09,154137.53333333333
2022-09-08,154096.46666666667
2022-09-07,154055.4
2022-09-06,154014.33333333334
2022-09-05,153973.26666666666
2022-09-04,153932.2
2022-09-03,153891.13333333333
2022-09-02,153850.06666666668
2022-09-01,153809.0
2022-08-31,153792.09677419355
2022-08-30,153775.1935483871
2022-08-29,153758.29032258064
2022-08-28,153741.38709677418
2022-08-27,153724.48387096773
2022-08-26,153707.5806451613
2022-08-25,153690.67741935485
2022-08-24,153673.7741935484
2022-08-23,153656.87096774194
2022-08-22,153639.96774193548
2022-08-21,153623.06451612903
2022-08-20,153606.16129032258
2022-08-19,153589.25806451612
2022-08-18,153572.35483870967
2022-08-17,153555.4516129032
2022-08-16,153538.5483870968
2022-08-15,153521.64516129033
2022-08-14,153504.74193548388
2022-08-13,153487.83870967742
2022-08-12,153470.93548387097
2022-08-11,153454.03225806452
2022-08-10,153437.12903225806
2022-08-09,153420.2258064516
2022-08-08,153403.32258064515
2022-08-07,153386.4193548387
2022-08-06,153369.51612903227
2022-08-05,153352.61290322582
2022-08-04,153335.70967741936
2022-08-03,153318.8064516129
2022-08-02,153301.90322580645
2022-08-01,153285.0
2022-07-31,153271.7741935484
2022-07-30,153258.5483870968
2022-07-29,153245.32258064515
2022-07-28,153232.09677419355
2022-07-27,153218.87096774194
2022-07-26,153205.64516129033
2022-07-25,153192.4193548387
2022-07-24,153179.1935483871
2022-07-23,153165.96774193548
2022-07-22,153152.74193548388
2022-07-21,153139.51612903227
2022-07-20,153126.29032258064
2022-07-19,153113.06451612903
2022-07-18,153099.83870967742
2022-07-17,153086.61290322582
2022-07-16,153073.38709677418
2022-07-15,153060.16129032258
2022-07-14,153046.93548387097
2022-07-13,153033.70967741936
2022-07-12,153020.48387096773
2022-07-11,153007.25806451612
2022-07-10,152994.03225806452
2022-07-09,152980.8064516129
2022-07-08,152967.5806451613
2022-07-07,152954.35483870967
2022-07-06,152941.12903225806
2022-07-05,152927.90322580645
2022-07-04,152914.67741935485
2022-07-03,152901.4516129032
2022-07-02,152888.2258064516
2022-07-01,152875.0
2022-06-30,152886.4
2022-06-29,152897.8
2022-06-28,152909.2
2022-06-27,152920.6
2022-06-26,152932.0
2022-06-25,152943.4
2022-06-24,152954.8
2022-06-23,152966.2
2022-06-22,152977.6
2022-06-21,152989.0
2022-06-20,153000.4
2022-06-19,153011.8
2022-06-18,153023.2
2022-06-17,153034.6
2022-06-16,153046.0
2022-06-15,153057.4
2022-06-14,153068.8
2022-06-13,153080.2
2022-06-12,153091.6
2022-06-11,153103.0
2022-06-10,153114.4
2022-06-09,153125.8
2022-06-08,153137.2
2022-06-07,153148.6
2022-06-06,153160.0
2022-06-05,153171.4
2022-06-04,153182.8
2022-06-03,153194.2
2022-06-02,153205.6
2022-06-01,153217.0
2022-05-31,153187.12903225806
2022-05-30,153157.25806451612
2022-05-29,153127.38709677418
2022-05-28,153097.51612903227
2022-05-27,153067.64516129033
2022-05-26,153037.7741935484
2022-05-25,153007.90322580645
2022-05-24,152978.03225806452
2022-05-23,152948.16129032258
2022-05-22,152918.29032258064
2022-05-21,152888.4193548387
2022-05-20,152858.5483870968
2022-05-19,152828.67741935485
2022-05-18,152798.8064516129
2022-05-17,152768.93548387097
2022-05-16,152739.06451612903
2022-05-15,152709.1935483871
2022-05-14,152679.32258064515
2022-05-13,152649.4516129032
2022-05-12,152619.5806451613
2022-05-11,152589.70967741936
2022-05-10,152559.83870967742
2022-05-09,152529.96774193548
2022-05-08,152500.09677419355
2022-05-07,152470.2258064516
2022-05-06,152440.35483870967
2022-05-05,152410.48387096773
2022-05-04,152380.61290322582
2022-05-03,152350.74193548388
2022-05-02,152320.87096774194
2022-05-01,152291.0
2022-04-30,152262.93333333332
2022-04-29,152234.86666666667
2022-04-28,152206.8
2022-04-27,152178.73333333334
2022-04-26,152150.66666666666
2022-04-25,152122.6
2022-04-24,152094.53333333333
2022-04-23,152066.46666666667
2022-04-22,152038.4
2022-04-21,152010.33333333334
2022-04-20,151982.26666666666
2022-04-19,151954.2
2022-04-18,151926.13333333333
2022-04-17,151898.06666666668
2022-04-16,151870.0
2022-04-15,151841.93333333332
2022-04-14,151813.86666666667
2022-04-13,151785.8
2022-04-12,151757.73333333334
2022-04-11,151729.66666666666
2022-04-10,151701.6
2022-04-09,151673.53333333333
2022-04-08,151645.46666666667
2022-04-07,151617.4
2022-04-06,151589.33333333334
2022-04-05,151561.26666666666
2022-04-04,151533.2
2022-04-03,151505.13333333333
2022-04-02,151477.06666666668
2022-04-01,151449.0
2022-03-31,151415.51612903227
2022-03-30,151382.03225806452
2022-03-29,151348.5483870968
2022-03-28,151315.06451612903
2022-03-27,151281.5806451613
2022-03-26,151248.09677419355
2022-03-25,151214.61290322582
2022-03-24,151181.12903225806
2022-03-23,151147.64516129033
2022-03-22,151114.16129032258
2022-03-21,151080.67741935485
2022-03-20,151047.1935483871
2022-03-19,151013.70967741936
2022-03-18,150980.2258064516
2022-03-17,150946.74193548388
2022-03-16,150913.25806451612
2022-03-15,150879.7741935484
2022-03-14,150846.29032258064
2022-03-13,150812.8064516129
2022-03-12,150779.32258064515
2022-03-11,150745.83870967742
2022-03-10,150712.35483870967
2022-03-09,150678.87096774194
2022-03-08,150645.38709677418
2022-03-07,150611.90322580645
2022-03-06,150578.4193548387
2022-03-05,150544.93548387097
2022-03-04,150511.4516129032
2022-03-03,150477.96774193548
2022-03-02,150444.48387096773
2022-03-01,150411.0
2022-02-28,150382.25
2022-02-27,150353.5
2022-02-26,150324.75
2022-02-25,150296.0
2022-02-24,150267.25
2022-02-23,150238.5
2022-02-22,150209.75
2022-02-21,150181.0
2022-02-20,150152.25
2022-02-19,150123.5
2022-02-18,150094.75
2022-02-17,150066.0
2022-02-16,150037.25
2022-02-15,150008.5
2022-02-14,149979.75
2022-02-13,149951.0
2022-02-12,149922.25
2022-02-11,149893.5
2022-02-10,149864.75
2022-02-09,149836.0
2022-02-08,149807.25
2022-02-07,149778.5
2022-02-06,149749.75
2022-02-05,149721.0
2022-02-04,149692.25
2022-02-03,149663.5
2022-02-02,149634.75
2022-02-01,149606.0
2022-01-31,149552.0
2022-01-30,149498.0
2022-01-29,149444.0
2022-01-28,149390.0
2022-01-27,149336.0
2022-01-26,149282.0
2022-01-25,149228.0
2022-01-24,149174.0
2022-01-23,149120.0
2022-01-22,149066.0
2022-01-21,149012.0
2022-01-20,148958.0
2022-01-19,148904.0
2022-01-18,148850.0
2022-01-17,148796.0
2022-01-16,148742.0
2022-01-15,148688.0
2022-01-14,148634.0
2022-01-13,148580.0
2022-01-12,148526.0
2022-01-11,148472.0
2022-01-10,148418.0
2022-01-09,148364.0
2022-01-08,148310.0
2022-01-07,148256.0
2022-01-06,148202.0
2022-01-05,148148.0
2022-01-04,148094.0
2022-01-03,148040.0
2022-01-02,147986.0
2022-01-01,147932.0
2021-12-31,148022.5806451613
2021-12-30,148113.16129032258
2021-12-29,148203.74193548388
2021-12-28,148294.32258064515
2021-12-27,148384.90322580645
2021-12-26,148475.48387096773
2021-12-25,148566.06451612903
2021-12-24,148656.64516129033
2021-12-23,148747.2258064516
2021-12-22,148837.8064516129
2021-12-21,148928.38709677418
2021-12-20,149018.96774193548
2021-12-19,149109.5483870968
2021-12-18,149200.12903225806
2021-12-17,149290.70967741936
2021-12-16,149381.29032258064
2021-12-15,149471.87096774194
2021-12-14,149562.4516129032
2021-12-13,149653.03225806452
2021-12-12,149743.61290322582
2021-12-11,149834.1935483871
2021-12-10,149924.7741935484
2021-12-09,150015.35483870967
2021-12-08,150105.93548387097
2021-12-07,150196.51612903227
2021-12-06,150287.09677419355
2021-12-05,150377.67741935485
2021-12-04,150468.25806451612
2021-12-03,150558.83870967742
2021-12-02,150649.4193548387
2021-12-01,150740.0
2021-11-30,150733.43333333332
2021-11-29,150726.86666666667
2021-11-28,150720.3
2021-11-27,150713.73333333334
2021-11-26,150707.16666666666
2021-11-25,150700.6
2021-11-24,150694.03333333333
2021-11-23,150687.46666666667
2021-11-22,150680.9
2021-11-21,150674.33333333334
2021-11-20,150667.76666666666
2021-11-19,150661.2
2021-11-18,150654.63333333333
2021-11-17,150648.06666666668
2021-11-16,150641.5
2021-11-15,150634.93333333332
2021-11-14,150628.36666666667
2021-11-13,150621.8
2021-11-12,150615.23333333334
2021-11-11,150608.66666666666
2021-11-10,150602.1
2021-11-09,150595.53333333333
2021-11-08,150588.96666666667
2021-11-07,150582.4
2021-11-06,150575.83333333334
2021-11-05,150569.26666666666
2021-11-04,150562.7
2021-11-03,150556.13333333333
2021-11-02,150549.56666666668
2021-11-01,150543.0
2021-10-31,150512.74193548388
2021-10-30,150482.48387096773
2021-10-29,150452.2258064516
2021-10-28,150421.96774193548
2021-10-27,150391.70967741936
2021-10-26,150361.4516129032
2021-10-25,150331.1935483871
2021-10-24,150300.93548387097
2021-10-23,150270.67741935485
2021-10-22,150240.4193548387
2021-10-21,150210.16129032258
2021-10-20,150179.90322580645
2021-10-19,150149.64516129033
2021-10-18,150119.38709677418
2021-10-17,150089.12903225806
2021-10-16,150058.87096774194
2021-10-15,150028.61290322582
2021-10-14,149998.35483870967
2021-10-13,149968.09677419355
2021-10-12,149937.83870967742
2021-10-11,149907.5806451613
2021-10-10,149877.32258064515
2021-10-09,149847.06451612903
2021-10-08,149816.8064516129
2021-10-07,149786.5483870968
2021-10-06,149756.29032258064
2021-10-05,149726.03225806452
2021-10-04,149695.7741935484
2021-10-03,149665.51612903227
2021-10-02,149635.25806451612
2021-10-01,149605.0
2021-09-30,149548.73333333334
2021-09-29,149492.46666666667
2021-09-28,149436.2
2021-09-27,149379.93333333332
2021-09-26,149323.66666666666
2021-09-25,149267.4
2021-09-24,149211.13333333333
2021-09-23,149154.86666666667
2021-09-22,149098.6
2021-09-21,149042.33333333334
2021-09-20,148986.06666666668
2021-09-19,148929.8
2021-09-18,148873.53333333333
2021-09-17,148817.26666666666
2021-09-16,148761.0
2021-09-15,148704.73333333334
2021-09-14,148648.46666666667
2021-09-13,148592.2
2021-09-12,148535.93333333332
2021-09-11,148479.66666666666
2021-09-10,148423.4
2021-09-09,148367.13333333333
2021-09-08,148310.86666666667
2021-09-07,148254.6
2021-09-06,148198.33333333334
2021-09-05,148142.06666666668
2021-09-04,148085.8
2021-09-03,148029.53333333333
2021-09-02,147973.26666666666
2021-09-01,147917.0
2021-08-31,147892.5483870968
2021-08-30,147868.09677419355
2021-08-29,147843.64516129033
2021-08-28,147819.1935483871
2021-08-27,147794.74193548388
2021-08-26,147770.29032258064
2021-08-25,147745.83870967742
2021-08-24,147721.38709677418
2021-08-23,147696.93548387097
2021-08-22,147672.48387096773
2021-08-21,147648.03225806452
2021-08-20,147623.5806451613
2021-08-19,147599.12903225806
2021-08-18,147574.67741935485
2021-08-17,147550.2258064516
2021-08-16,147525.7741935484
2021-08-15,147501.32258064515
2021-08-14,147476.87096774194
2021-08-13,147452.4193548387
2021-08-12,147427.96774193548
2021-08-11,147403.51612903227
2021-08-10,147379.06451612903
2021-08-09,147354.61290322582
2021-08-08,147330.16129032258
2021-08-07,147305.70967741936
2021-08-06,147281.25806451612
2021-08-05,147256.8064516129
2021-08-04,147232.35483870967
2021-08-03,147207.90322580645
2021-08-02,147183.4516129032
2021-08-01,147159.0
2021-07-31,147141.5806451613
2021-07-30,147124.16129032258
2021-07-29,147106.74193548388
2021-07-28,147089.32258064515
2021-07-27,147071.90322580645
2021-07-26,147054.48387096773
2021-07-25,147037.06451612903
2021-07-24,147019.64516129033
2021-07-23,147002.2258064516
2021-07-22,146984.8064516129
2021-07-21,146967.38709677418
2021-07-20,146949.96774193548
2021-07-19,146932.5483870968
2021-07-18,146915.12903225806
2021-07-17,146897.70967741936
2021-07-16,146880.29032258064
2021-07-15,146862.87096774194
2021-07-14,146845.4516129032
2021-07-13,146828.03225806452
2021-07-12,146810.61290322582
2021-07-11,146793.1935483871
2021-07-10,146775.7741935484
2021-07-09,146758.35483870967
2021-07-08,146740.93548387097
2021-07-07,146723.51612903227
2021-07-06,146706.09677419355
2021-07-05,146688.67741935485
2021-07-04,146671.25806451612
2021-07-03,146653.83870967742
2021-07-02,146636.4193548387
2021-07-01,146619.0
2021-06-30,146619.23333333334
2021-06-29,146619.46666666667
2021-06-28,146619.7
2021-06-27,146619.93333333332
2021-06-26,146620.16666666666
2021-06-25,146620.4
2021-06-24,146620.63333333333
2021-06-23,146620.86666666667
2021-06-22,146621.1
2021-06-21,146621.33333333334
2021-06-20,146621.56666666668
2021-06-19,146621.8
2021-06-18,146622.03333333333
2021-06-17,146622.26666666666
2021-06-16,146622.5
2021-06-15,146622.73333333334
2021-06-14,146622.96666666667
2021-06-13,146623.2
2021-06-12,146623.43333333332
2021-06-11,146623.66666666666
2021-06-10,146623.9
2021-06-09,146624.13333333333
2021-06-08,146624.36666666667
2021-06-07,146624.6
2021-06-06,146624.83333333334
2021-06-05,146625.06666666668
2021-06-04,146625.3
2021-06-03,146625.53333333333
2021-06-02,146625.76666666666
2021-06-01,146626.0
