Dates,Total Sentiment,Number of Articles
2001-01-01,0.0,0.0
2001-01-02,0.246,1.0
2001-01-03,0.174,1.0
2001-01-04,0.219,1.0
2001-01-05,0.316,1.0
2001-01-06,0.156,1.0
2001-01-07,0.041,1.0
2001-01-08,0.058,1.0
2001-01-09,0.026,1.0
2001-01-10,0.19,1.0
2001-01-11,0.094,1.0
2001-01-12,0.0,0.0
2001-01-13,0.115,1.0
2001-01-14,0.237,1.0
2001-01-15,0.0,0.0
2001-01-16,0.0,0.0
2001-01-17,0.0,0.0
2001-01-18,0.402,4.0
2001-01-19,0.472,6.0
2001-01-20,0.6439999999999999,6.0
2001-01-21,0.45,4.0
2001-01-22,0.168,1.0
2001-01-23,0.0,0.0
2001-01-24,0.047,1.0
2001-01-25,0.0,0.0
2001-01-26,0.278,3.0
2001-01-27,0.0,0.0
2001-01-28,0.295,2.0
2001-01-29,0.0,0.0
2001-01-30,0.248,3.0
2001-01-31,0.0,0.0
2001-02-01,0.077,1.0
2001-02-02,0.0,0.0
2001-02-03,0.0,1.0
2001-02-04,0.0,0.0
2001-02-05,0.0,0.0
2001-02-06,0.0,0.0
2001-02-07,0.0,0.0
2001-02-08,0.102,1.0
2001-02-09,0.0,0.0
2001-02-10,0.124,1.0
2001-02-11,0.169,2.0
2001-02-12,0.0,0.0
2001-02-13,0.06,1.0
2001-02-14,0.0,0.0
2001-02-15,0.046,1.0
2001-02-16,0.0,0.0
2001-02-17,0.0,0.0
2001-02-18,1.015,4.0
2001-02-19,0.0,0.0
2001-02-20,0.0,0.0
2001-02-21,0.0,0.0
2001-02-22,0.031,2.0
2001-02-23,0.0,1.0
2001-02-24,0.603,2.0
2001-02-25,0.16,2.0
2001-02-26,0.0,0.0
2001-02-27,0.226,2.0
2001-02-28,0.396,4.0
2001-03-01,0.0,0.0
2001-03-02,0.686,4.0
2001-03-03,0.3159999999999999,8.0
2001-03-04,0.172,2.0
2001-03-05,0.0,8.0
2001-03-06,0.116,2.0
2001-03-07,0.558,4.0
2001-03-08,0.06,2.0
2001-03-09,0.26,2.0
2001-03-10,0.304,2.0
2001-03-11,0.0,0.0
2001-03-12,0.164,1.0
2001-03-13,0.142,2.0
2001-03-14,0.0,1.0
2001-03-15,0.0,0.0
2001-03-16,0.224,1.0
2001-03-17,0.0,0.0
2001-03-18,0.242,2.0
2001-03-19,0.472,2.0
2001-03-20,0.414,4.0
2001-03-21,0.0,0.0
2001-03-22,0.3399999999999999,8.0
2001-03-23,0.32,2.0
2001-03-24,0.0,0.0
2001-03-25,1.83,4.0
2001-03-26,0.0,0.0
2001-03-27,0.0,0.0
2001-03-28,0.214,2.0
2001-03-29,1.108,10.0
2001-03-30,0.4679999999999999,6.0
2001-03-31,0.378,2.0
2001-04-01,0.0,0.0
2001-04-02,0.0,0.0
2001-04-03,0.0,0.0
2001-04-04,0.0,0.0
2001-04-05,0.136,2.0
2001-04-06,0.096,1.0
2001-04-07,0.0,0.0
2001-04-08,0.097,2.0
2001-04-09,0.0,0.0
2001-04-10,0.124,2.0
2001-04-11,0.8600000000000001,10.0
2001-04-12,0.212,2.0
2001-04-13,0.208,2.0
2001-04-14,0.248,4.0
2001-04-15,0.0,0.0
2001-04-16,0.0,0.0
2001-04-17,0.308,2.0
2001-04-18,1.344,6.0
2001-04-19,0.452,2.0
2001-04-20,0.77,2.0
2001-04-21,0.8019999999999999,6.0
2001-04-22,0.324,2.0
2001-04-23,0.582,2.0
2001-04-24,0.0,0.0
2001-04-25,0.8859999999999999,8.0
2001-04-26,0.0,0.0
2001-04-27,0.188,4.0
2001-04-28,0.27,4.0
2001-04-29,0.126,2.0
2001-04-30,0.0,0.0
2001-05-01,0.222,2.0
2001-05-02,1.2679999999999998,10.0
2001-05-03,0.02,6.0
2001-05-04,0.45,2.0
2001-05-05,0.0,0.0
2001-05-06,0.0,0.0
