Dates,Total Sentiment,Number of Articles
2001-12-31,0.0,0.0
2002-01-01,0.0,0.0
2002-01-02,0.033,2.0
2002-01-03,0.202,1.0
2002-01-04,0.3,3.0
2002-01-05,0.22,3.0
2002-01-06,0.0,0.0
2002-01-07,0.0,0.0
2002-01-08,0.028,2.0
2002-01-09,0.052,1.0
2002-01-10,0.166,1.0
2002-01-11,0.0,0.0
2002-01-12,0.0,0.0
2002-01-13,0.052,1.0
2002-01-14,0.0,0.0
2002-01-15,0.282,4.0
2002-01-16,0.8819999999999999,6.0
2002-01-17,0.14,2.0
2002-01-18,0.022,4.0
2002-01-19,0.0,2.0
2002-01-20,0.128,2.0
2002-01-21,0.282,2.0
2002-01-22,0.43,4.0
2002-01-23,0.0,0.0
2002-01-24,0.0,0.0
2002-01-25,0.692,8.0
2002-01-26,0.0,2.0
2002-01-27,0.764,4.0
2002-01-28,0.066,2.0
2002-01-29,0.178,4.0
2002-01-30,1.156,12.0
2002-01-31,0.0,0.0
2002-02-01,0.0,2.0
2002-02-02,0.0,0.0
2002-02-03,0.0,0.0
2002-02-04,0.13,4.0
2002-02-05,0.0,0.0
2002-02-06,0.236,4.0
2002-02-07,0.12,2.0
2002-02-08,0.248,2.0
2002-02-09,0.41,4.0
2002-02-10,0.8140000000000001,4.0
2002-02-11,0.0,0.0
2002-02-12,0.0,0.0
2002-02-13,0.0,0.0
2002-02-14,0.0,0.0
2002-02-15,0.0,0.0
2002-02-16,0.0,0.0
2002-02-17,0.512,4.0
2002-02-18,0.187,1.0
2002-02-19,0.0,0.0
2002-02-20,0.271,2.0
2002-02-21,0.197,2.0
2002-02-22,0.16,1.0
2002-02-23,0.236,3.0
2002-02-24,0.0,0.0
2002-02-25,0.0,0.0
2002-02-26,0.0,0.0
2002-02-27,0.095,1.0
2002-02-28,0.274,2.0
2002-03-01,0.078,1.0
2002-03-02,0.0,1.0
2002-03-03,0.133,1.0
2002-03-04,0.0,1.0
2002-03-05,0.17,1.0
2002-03-06,0.0,0.0
2002-03-07,0.0,0.0
2002-03-08,0.13,1.0
2002-03-09,0.321,1.0
2002-03-10,0.318,3.0
2002-03-11,0.0,0.0
2002-03-12,0.388,8.0
2002-03-13,0.0,0.0
2002-03-14,0.72,4.0
2002-03-15,0.4199999999999999,6.0
2002-03-16,0.044,2.0
2002-03-17,0.0,0.0
2002-03-18,0.187,1.0
2002-03-19,0.0,0.0
2002-03-20,0.379,2.0
2002-03-21,0.0,0.0
2002-03-22,0.065,1.0
2002-03-23,0.049,1.0
2002-03-24,0.0,0.0
2002-03-25,0.112,2.0
2002-03-26,0.348,2.0
2002-03-27,0.0,0.0
2002-03-28,0.528,4.0
2002-03-29,1.044,10.0
2002-03-30,0.0,0.0
2002-03-31,0.152,2.0
2002-04-01,0.0,0.0
2002-04-02,0.097,1.0
2002-04-03,0.058,1.0
2002-04-04,0.0,0.0
2002-04-05,0.3319999999999999,3.0
2002-04-06,0.278,2.0
2002-04-07,0.162,1.0
2002-04-08,0.0,1.0
2002-04-09,0.074,1.0
2002-04-10,0.17,1.0
2002-04-11,0.054,1.0
2002-04-12,0.0,0.0
2002-04-13,0.0,0.0
2002-04-14,0.033,3.0
2002-04-15,0.5680000000000001,8.0
2002-04-16,0.376,4.0
2002-04-17,0.0,0.0
2002-04-18,0.892,8.0
2002-04-19,0.644,4.0
2002-04-20,2.9920000000000004,12.0
2002-04-21,0.0,4.0
2002-04-22,0.31,6.0
2002-04-23,0.35,2.0
2002-04-24,0.594,2.0
2002-04-25,0.0,0.0
2002-04-26,0.664,4.0
2002-04-27,1.004,6.0
2002-04-28,0.0,0.0
2002-04-29,0.0,0.0
2002-04-30,0.283,2.0
2002-05-01,0.0,0.0
2002-05-02,0.0,0.0
2002-05-03,0.357,2.0
2002-05-04,0.241,2.0
2002-05-05,0.0,1.0
2002-05-06,0.266,1.0
2002-05-07,0.113,1.0
2002-05-08,0.0,0.0
2002-05-09,0.0,0.0
2002-05-10,0.435,3.0
2002-05-11,0.035,1.0
2002-05-12,0.0,0.0
2002-05-13,0.0,0.0
2002-05-14,0.064,1.0
2002-05-15,0.0,0.0
2002-05-16,0.0,0.0
2002-05-17,0.051,1.0
2002-05-18,0.0,0.0
2002-05-19,0.124,2.0
2002-05-20,0.0,0.0
2002-05-21,0.448,6.0
2002-05-22,0.528,4.0
2002-05-23,0.05,2.0
2002-05-24,0.0,0.0
2002-05-25,0.0,0.0
2002-05-26,0.968,8.0
2002-05-27,0.024,2.0
2002-05-28,0.112,2.0
2002-05-29,0.0,0.0
2002-05-30,0.304,4.0
2002-05-31,1.3100000000000005,8.0
2002-06-01,0.192,2.0
2002-06-02,0.268,2.0
2002-06-03,0.0,0.0
2002-06-04,0.644,4.0
2002-06-05,0.16,2.0
2002-06-06,0.0,0.0
2002-06-07,0.758,4.0
2002-06-08,0.398,2.0
2002-06-09,0.562,8.0
2002-06-10,0.0,0.0
2002-06-11,0.169,1.0
2002-06-12,0.145,2.0
2002-06-13,0.0,0.0
2002-06-14,0.0,0.0
2002-06-15,0.039,1.0
2002-06-16,0.403,2.0
2002-06-17,0.0,0.0
2002-06-18,0.198,2.0
2002-06-19,0.041,1.0
2002-06-20,0.146,2.0
2002-06-21,0.393,1.0
2002-06-22,0.035,1.0
2002-06-23,0.046,1.0
2002-06-24,0.08,2.0
2002-06-25,1.2519999999999998,8.0
2002-06-26,0.806,6.0
2002-06-27,0.0,0.0
2002-06-28,0.0,0.0
2002-06-29,0.0,0.0
2002-06-30,0.342,4.0
2002-07-01,0.082,2.0
2002-07-02,0.622,6.0
2002-07-03,0.242,4.0
2002-07-04,0.07,2.0
2002-07-05,0.5900000000000001,6.0
2002-07-06,0.0,0.0
2002-07-07,0.0,0.0
2002-07-08,0.082,2.0
2002-07-09,0.286,6.0
2002-07-10,0.0,0.0
2002-07-11,0.6819999999999999,6.0
2002-07-12,0.336,4.0
2002-07-13,0.0,2.0
2002-07-14,0.0,0.0
2002-07-15,0.532,4.0
2002-07-16,0.77,4.0
2002-07-17,0.282,2.0
2002-07-18,0.258,2.0
2002-07-19,0.288,4.0
2002-07-20,0.042,2.0
2002-07-21,0.158,2.0
2002-07-22,0.26,6.0
2002-07-23,0.0,0.0
2002-07-24,0.586,2.0
2002-07-25,0.106,2.0
2002-07-26,0.186,2.0
2002-07-27,0.0,0.0
2002-07-28,0.734,8.0
2002-07-29,0.136,1.0
2002-07-30,0.129,2.0
2002-07-31,0.031,1.0
2002-08-01,0.0,0.0
2002-08-02,0.202,1.0
2002-08-03,0.0,0.0
2002-08-04,0.218,2.0
2002-08-05,0.0,0.0
2002-08-06,0.0,0.0
2002-08-07,0.103,1.0
2002-08-08,0.0,0.0
2002-08-09,0.0,0.0
2002-08-10,0.0,0.0
2002-08-11,0.0,1.0
2002-08-12,0.184,2.0
2002-08-13,0.6140000000000001,8.0
2002-08-14,0.168,2.0
2002-08-15,0.0,0.0
2002-08-16,0.0,0.0
2002-08-17,0.4439999999999999,6.0
2002-08-18,0.148,2.0
2002-08-19,0.392,2.0
2002-08-20,0.76,6.0
2002-08-21,0.208,2.0
2002-08-22,0.668,4.0
2002-08-23,0.792,4.0
2002-08-24,0.0,0.0
2002-08-25,0.034,2.0
2002-08-26,0.0,0.0
2002-08-27,0.124,2.0
2002-08-28,0.0,0.0
2002-08-29,0.148,2.0
2002-08-30,0.5700000000000001,4.0
2002-08-31,0.8360000000000001,10.0
2002-09-01,0.328,2.0
2002-09-02,0.352,8.0
2002-09-03,0.056,2.0
2002-09-04,0.402,2.0
2002-09-05,0.088,4.0
2002-09-06,0.526,2.0
2002-09-07,0.0,0.0
2002-09-08,0.126,2.0
2002-09-09,0.2249999999999999,3.0
2002-09-10,0.0,0.0
2002-09-11,0.4979999999999999,6.0
2002-09-12,0.66,6.0
2002-09-13,0.0,0.0
2002-09-14,0.0,0.0
2002-09-15,2.931,15.0
2002-09-16,0.0,0.0
2002-09-17,0.0,0.0
2002-09-18,0.0,2.0
2002-09-19,0.0,0.0
2002-09-20,0.378,4.0
2002-09-21,0.0,2.0
2002-09-22,0.924,12.0
2002-09-23,0.275,1.0
2002-09-24,0.119,1.0
2002-09-25,0.0,0.0
2002-09-26,0.0,0.0
2002-09-27,0.105,2.0
2002-09-28,0.0,0.0
2002-09-29,0.271,2.0
2002-09-30,0.0,0.0
2002-10-01,0.31,4.0
2002-10-02,0.0,0.0
2002-10-03,0.0,0.0
2002-10-04,0.6539999999999999,4.0
2002-10-05,0.026,2.0
2002-10-06,0.786,10.0
2002-10-07,0.0,0.0
2002-10-08,0.035,1.0
2002-10-09,0.0,0.0
2002-10-10,0.335,2.0
