Dates,Total Sentiment,Number of Articles
2001-01-01,0.0,0.0
2001-01-02,0.246,1.0
2001-01-03,0.174,1.0
2001-01-04,0.219,1.0
2001-01-05,0.316,1.0
2001-01-06,0.156,1.0
2001-01-07,0.041,1.0
2001-01-08,0.058,1.0
2001-01-09,0.026,1.0
2001-01-10,0.19,1.0
2001-01-11,0.094,1.0
2001-01-12,0.0,0.0
2001-01-13,0.115,1.0
2001-01-14,0.237,1.0
2001-01-15,0.288,1.0
2001-01-16,0.0,0.0
2001-01-17,0.0,0.0
2001-01-18,0.201,2.0
2001-01-19,0.3409999999999999,4.0
2001-01-20,0.3219999999999999,3.0
2001-01-21,0.389,3.0
2001-01-22,0.168,1.0
2001-01-23,0.0,0.0
2001-01-24,0.047,1.0
2001-01-25,0.0,0.0
2001-01-26,0.278,3.0
2001-01-27,0.0,0.0
2001-01-28,0.295,2.0
2001-01-29,0.0,0.0
2001-01-30,0.248,3.0
2001-01-31,0.0,0.0
2001-02-01,0.077,1.0
2001-02-02,0.0,0.0
2001-02-03,0.0,1.0
2001-02-04,0.0,0.0
2001-02-05,0.0,0.0
2001-02-06,0.0,0.0
2001-02-07,0.0,0.0
2001-02-08,0.102,1.0
2001-02-09,0.0,0.0
2001-02-10,0.124,1.0
2001-02-11,0.169,2.0
2001-02-12,0.0,0.0
2001-02-13,0.06,1.0
2001-02-14,0.0,0.0
2001-02-15,0.046,1.0
2001-02-16,0.0,0.0
2001-02-17,0.0,0.0
2001-02-18,1.015,4.0
2001-02-19,0.0,0.0
2001-02-20,0.0,0.0
2001-02-21,0.0,0.0
2001-02-22,0.031,2.0
2001-02-23,0.0,1.0
2001-02-24,0.603,2.0
2001-02-25,0.16,2.0
2001-02-26,0.075,1.0
2001-02-27,0.536,4.0
2001-02-28,0.198,2.0
2001-03-01,0.0,0.0
2001-03-02,0.388,3.0
2001-03-03,0.227,5.0
2001-03-04,0.086,1.0
2001-03-05,0.171,5.0
2001-03-06,0.058,1.0
2001-03-07,0.279,2.0
2001-03-08,0.03,1.0
2001-03-09,0.13,1.0
2001-03-10,0.152,1.0
2001-03-11,0.081,1.0
2001-03-12,0.164,1.0
2001-03-13,0.142,2.0
2001-03-14,0.0,1.0
2001-03-15,0.0,0.0
2001-03-16,0.224,1.0
2001-03-17,0.0,0.0
2001-03-18,0.242,2.0
2001-03-19,0.422,2.0
2001-03-20,0.287,3.0
2001-03-21,0.054,1.0
2001-03-22,0.1699999999999999,4.0
2001-03-23,0.283,2.0
2001-03-24,0.0,0.0
2001-03-25,0.915,2.0
2001-03-26,0.0,0.0
2001-03-27,0.0,0.0
2001-03-28,0.107,1.0
2001-03-29,0.554,5.0
2001-03-30,0.234,3.0
2001-03-31,0.189,1.0
2001-04-01,0.311,1.0
2001-04-02,0.0,0.0
2001-04-03,0.0,0.0
2001-04-04,0.0,0.0
2001-04-05,0.136,2.0
2001-04-06,0.096,1.0
2001-04-07,0.0,0.0
2001-04-08,0.097,2.0
2001-04-09,0.225,1.0
2001-04-10,0.062,3.0
2001-04-11,0.43,5.0
2001-04-12,0.106,1.0
2001-04-13,0.104,1.0
2001-04-14,0.292,3.0
2001-04-15,0.0,0.0
2001-04-16,0.0,0.0
2001-04-17,0.2289999999999999,2.0
2001-04-18,0.6719999999999999,3.0
2001-04-19,0.226,1.0
2001-04-20,0.385,1.0
2001-04-21,0.4009999999999999,3.0
2001-04-22,0.344,2.0
2001-04-23,0.291,1.0
2001-04-24,0.509,2.0
2001-04-25,0.443,4.0
2001-04-26,0.0,0.0
2001-04-27,0.094,2.0
2001-04-28,0.476,3.0
2001-04-29,0.063,1.0
2001-04-30,0.0,0.0
2001-05-01,0.111,1.0
2001-05-02,1.017,7.0
2001-05-03,0.0699999999999999,4.0
2001-05-04,0.315,2.0
2001-05-05,0.393,1.0
2001-05-06,0.0,0.0
2001-05-07,0.598,4.0
