Dates,BOP Values
2023-07-14,-0.9225
2023-07-13,-0.4923
2023-07-12,-0.5172
2023-07-11,0.7661
2023-07-10,0.6203
2023-07-07,-0.2193
2023-07-06,0.0347
2023-07-05,0.5180
2023-07-03,0.2178
2023-06-30,-0.5130
2023-06-29,0.2375
2023-06-28,-0.1788
2023-06-27,0.9162
2023-06-26,-0.2181
2023-06-23,0.4542
2023-06-22,0.0000
2023-06-21,0.0694
2023-06-20,-0.8799
2023-06-16,-0.1491
2023-06-15,0.4226
2023-06-14,-0.8103
2023-06-13,-0.5225
2023-06-12,0.6044
2023-06-09,-0.1961
2023-06-08,0.7258
2023-06-07,0.7606
2023-06-06,-0.0976
2023-06-05,-0.7785
2023-06-02,0.6336
2023-06-01,0.3546
2023-05-31,0.4167
2023-05-30,0.1336
2023-05-26,0.5608
2023-05-25,0.1709
2023-05-24,-0.5366
2023-05-23,-0.3925
2023-05-22,0.1299
2023-05-19,-0.7005
2023-05-18,0.1899
2023-05-17,0.7087
2023-05-16,-0.3926
2023-05-15,0.5910
2023-05-12,-0.2657
2023-05-11,0.5469
2023-05-10,-0.4646
2023-05-09,0.1149
2023-05-08,-0.5828
2023-05-05,0.1096
2023-05-04,-0.4511
2023-05-03,-0.6179
2023-05-02,0.0610
2023-05-01,-0.4857
2023-04-28,0.5605
2023-04-27,0.2500
2023-04-26,-0.5787
2023-04-25,-0.6152
2023-04-24,0.2769
2023-04-21,-0.6792
2023-04-20,-0.0500
2023-04-19,0.4046
2023-04-18,0.5503
2023-04-17,0.5717
2023-04-14,-0.1436
2023-04-13,0.2700
2023-04-12,-0.3165
2023-04-11,-0.3674
2023-04-10,-0.0503
2023-04-06,0.3301
2023-04-05,-0.4012
2023-04-04,0.3901
2023-04-03,0.4288
2023-03-31,0.1994
2023-03-30,0.3260
2023-03-29,0.5313
2023-03-28,0.7120
2023-03-27,0.6644
2023-03-24,0.5562
2023-03-23,0.0000
2023-03-22,-0.9616
2023-03-21,-0.6549
2023-03-20,0.7300
2023-03-17,-0.0783
2023-03-16,0.7368
2023-03-15,-0.3787
2023-03-14,-0.0292
2023-03-13,0.3180
2023-03-10,0.2275
2023-03-09,-0.8119
2023-03-08,-0.3571
2023-03-07,-0.6278
2023-03-06,-0.4272
2023-03-03,0.7232
2023-03-02,0.8747
2023-03-01,0.6718
2023-02-28,0.1797
2023-02-27,0.1451
2023-02-24,-0.4263
2023-02-23,0.1729
2023-02-22,0.1493
2023-02-21,-0.5993
2023-02-17,0.1087
2023-02-16,-0.6414
2023-02-15,0.0767
2023-02-14,0.5416
2023-02-13,0.4222
2023-02-10,0.2200
2023-02-09,-0.4581
2023-02-08,0.1078
2023-02-07,0.8165
2023-02-06,0.3584
2023-02-03,-0.3313
2023-02-02,-0.8312
2023-02-01,0.3734
2023-01-31,0.5852
2023-01-30,0.1315
2023-01-27,-0.0434
2023-01-26,-0.1138
2023-01-25,0.5911
2023-01-24,0.9762
2023-01-23,0.3927
2023-01-20,-0.2212
2023-01-19,0.0660
2023-01-18,-0.8261
2023-01-17,-0.3044
2023-01-13,0.4209
2023-01-12,0.6278
2023-01-11,-0.4868
2023-01-10,0.4543
2023-01-09,-0.6348
2023-01-06,0.8114
2023-01-05,0.7767
2023-01-04,0.9855
2023-01-03,0.5110
2022-12-30,0.8283
2022-12-29,-0.0222
2022-12-28,-0.2413
2022-12-27,-0.0373
2022-12-23,0.1720
2022-12-22,-0.6553
2022-12-21,0.8922
2022-12-20,0.5060
2022-12-19,0.2282
2022-12-16,0.3594
2022-12-15,-0.3779
2022-12-14,0.2160
2022-12-13,-0.6358
2022-12-12,0.8837
2022-12-09,-0.2608
2022-12-08,-0.0383
2022-12-07,0.0577
2022-12-06,-0.7172
2022-12-05,0.4052
2022-12-02,0.9198
2022-12-01,-0.6188
2022-11-30,0.1523
2022-11-29,0.7198
2022-11-28,-0.7978
2022-11-25,0.9052
2022-11-23,0.8545
2022-11-22,-0.2882
2022-11-21,0.1139
2022-11-18,-0.0246
2022-11-17,0.7516
2022-11-16,-0.4830
2022-11-15,-0.0355
2022-11-14,-0.6290
2022-11-11,0.2163
2022-11-10,0.7186
2022-11-09,-0.1155
2022-11-08,0.6420
2022-11-07,0.5783
2022-11-04,0.5166
2022-11-03,0.7113
2022-11-02,0.4390
2022-11-01,-0.1786
2022-10-31,0.1278
2022-10-28,0.5585
2022-10-27,0.4103
2022-10-26,-0.7393
2022-10-25,0.9120
2022-10-24,-0.2223
2022-10-21,0.6030
2022-10-20,0.2187
2022-10-19,0.2670
2022-10-18,-0.3952
2022-10-17,-0.2214
2022-10-14,-0.4841
2022-10-13,0.5603
2022-10-12,0.5718
2022-10-11,-0.2376
2022-10-10,0.0867
2022-10-07,-0.2203
2022-10-06,0.2998
2022-10-05,0.3459
2022-10-04,0.9693
2022-10-03,0.6607
2022-09-30,-0.4593
2022-09-29,-0.7516
2022-09-28,0.8320
2022-09-27,-0.3732
2022-09-26,-0.4363
2022-09-23,-0.6567
2022-09-22,-0.8170
2022-09-21,-0.5225
2022-09-20,0.1804
2022-09-19,0.4871
2022-09-16,-0.2196
2022-09-15,0.3079
2022-09-14,0.4370
2022-09-13,-0.7804
2022-09-12,0.0739
2022-09-09,-0.1714
