Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-07-18,467.01,478.9599,457.34,474.94,474.94,56567364,0.0000,1.0
2023-07-17,462.89,464.96,452.6241,464.61,464.61,51048822,0.0000,1.0
2023-07-14,465.8281,480.88,450.6,454.69,454.69,77207533,0.0000,1.0
2023-07-13,445.18,461.55,444.92,459.77,459.77,47820369,0.0000,1.0
2023-07-12,430.33,439.35,427.7728,439.02,439.02,48127702,0.0000,1.0
2023-07-11,424.81,427.58,420.67,424.05,424.05,29824406,0.0000,1.0
2023-07-10,426.57,428.11,416.49,421.8,421.8,35390811,0.0000,1.0
2023-07-07,423.22,432.14,421.8,425.03,425.03,35588147,0.0000,1.0
2023-07-06,418.44,421.79,413.46,421.03,421.03,30413879,0.0000,1.0
2023-07-05,421.35,431.77,420.85,423.17,423.17,32361756,0.0000,1.0
2023-07-03,425.17,428.98,422.02,424.13,424.13,19820919,0.0000,1.0
2023-06-30,416.8,425.5,415.01,423.02,423.02,50114775,0.0000,1.0
2023-06-29,415.58,416.0,406.0,408.22,408.22,38051430,0.0000,1.0
2023-06-28,406.6,418.45,405.18,411.17,411.17,58263927,0.0000,1.0
2023-06-27,407.99,419.4,404.48,418.76,418.76,46217470,0.0000,1.0
2023-06-26,424.61,427.64,401.0,406.32,406.32,59432192,0.0000,1.0
2023-06-23,424.64,428.09,420.15,422.09,422.09,35813984,0.0000,1.0
2023-06-22,422.53,434.255,422.34,430.25,430.25,41773743,0.0000,1.0
2023-06-21,435.01,436.15,420.8,430.45,430.45,55160291,0.0000,1.0
2023-06-20,429.98,439.9,426.74,438.08,438.08,45115311,0.0000,1.0
2023-06-16,434.5,437.21,426.605,426.92,426.92,65570941,0.0000,1.0
2023-06-15,426.02,432.89,421.47,426.53,426.53,56862204,0.0000,1.0
2023-06-14,408.24,430.0,405.52,429.97,429.97,74046502,0.0000,1.0
2023-06-13,401.86,411.01,397.4,410.22,410.22,61320816,0.0000,1.0
2023-06-12,392.0,395.2999,386.18,394.82,394.82,38967335,0.0000,1.0
2023-06-09,390.37,397.11,385.67,387.7,387.7,42771747,0.0000,1.0
2023-06-08,377.24,388.64,375.05,385.1,385.1,41777240,0.0000,1.0
2023-06-07,389.15,394.99,373.56,374.75,374.75,51199789,0.0400,1.0
2023-06-06,388.3,391.6,381.48,386.54,386.498745964407,38872914,0.0000,1.0
2023-06-05,389.09,395.6503,387.07,391.71,391.668194188746,39609381,0.0000,1.0
2023-06-02,400.97,405.0,390.5801,393.27,393.228027695509,48273121,0.0000,1.0
2023-06-01,384.89,400.5,383.4,397.7,397.657554897409,63587295,0.0000,1.0
2023-05-31,394.88,402.95,378.22,378.34,378.299621121161,99882681,0.0000,1.0
2023-05-30,405.95,419.38,399.49,401.11,401.067190960271,92340110,0.0000,1.0
2023-05-26,378.9,391.7,375.5,389.46,389.418434323221,71439676,0.0000,1.0
2023-05-25,385.23,394.8,366.35,379.8,379.759465300568,154391067,0.0000,1.0
2023-05-24,302.1,306.07,298.06,305.38,305.347407881747,72141851,0.0000,1.0
2023-05-23,310.0,312.88,306.31,306.88,306.847247792097,35625326,0.0000,1.0
2023-05-22,309.01,315.2,306.8,311.76,311.726726967102,37199967,0.0000,1.0
2023-05-19,315.36,315.8,309.16,312.64,312.60663304784,47390765,0.0000,1.0
2023-05-18,304.1,318.28,303.2,316.78,316.746191200406,74872501,0.0000,1.0
2023-05-17,295.84,301.99,294.3001,301.78,301.747792096908,43253541,0.0000,1.0
2023-05-16,288.41,298.7,288.32,292.13,292.098822006991,44940494,0.0000,1.0
2023-05-15,285.085,289.69,281.52,289.53,289.499099495718,29392587,0.0000,1.0
2023-05-12,285.29,287.8,280.46,283.4,283.369753728755,27422225,0.0000,1.0
2023-05-11,288.96,289.5,282.46,285.78,285.749499719843,32214903,0.0000,1.0
2023-05-10,290.05,291.13,284.6128,288.85,288.819172069692,36934998,0.0000,1.0
2023-05-09,288.99,289.73,284.5,285.71,285.679507190693,31486946,0.0000,1.0
2023-05-08,285.22,292.2,283.5,291.51,291.478888177379,34497890,0.0000,1.0
2023-05-05,278.255,287.55,277.31,286.8,286.769390858881,36149408,0.0000,1.0
2023-05-04,276.51,278.59,272.4,275.62,275.590584060407,32185041,0.0000,1.0
2023-05-03,278.4,283.67,274.72,278.02,277.990327916967,38338740,0.0000,1.0
2023-05-02,286.8,288.3599,280.83,282.1,282.069892473118,40272957,0.0000,1.0
2023-05-01,278.4,290.5844,277.8,289.1,289.069145388084,57032853,0.0000,1.0
2023-04-28,272.25,277.58,270.7148,277.49,277.460384481977,29221614,0.0000,1.0
2023-04-27,273.63,274.95,266.2501,272.26,272.230942661224,37716119,0.0000,1.0
2023-04-26,270.02,273.3,267.051,269.56,269.531230822594,40449391,0.0000,1.0
2023-04-25,270.78,272.47,262.25,262.41,262.381993916593,37852716,0.0000,1.0
2023-04-24,270.13,273.6599,266.7101,270.42,270.391139037861,33928186,0.0000,1.0
2023-04-21,269.52,271.83,267.22,271.19,271.161056858507,34510277,0.0000,1.0
2023-04-20,276.71,280.3,270.0,271.04,271.011072867472,42771326,0.0000,1.0
2023-04-19,273.61,280.0,272.32,279.31,279.280190239868,35866041,0.0000,1.0
2023-04-18,275.335,281.1,273.57,276.67,276.640471997652,60481154,0.0000,1.0
2023-04-17,265.655,270.06,264.3318,270.02,269.991181728435,31348982,0.0000,1.0
2023-04-14,265.04,268.83,262.2,267.58,267.551442140932,39566013,0.0000,1.0
2023-04-13,267.34,268.869,263.29,264.63,264.601756983911,35361528,0.0000,1.0
2023-04-12,273.7,274.6799,264.475,264.95,264.921722831452,44625895,0.0000,1.0
