Dates,AD Values
2023-07-20,-31415438.4668
2023-07-19,-34438181.4763
2023-07-18,-30590838.6359
2023-07-17,-31491489.7028
2023-07-14,-28261887.4884
2023-07-13,-24600135.5830
2023-07-12,-22124149.6215
2023-07-11,-17420542.2335
2023-07-10,-24448817.1772
2023-07-07,-27119617.2827
2023-07-06,-22916019.5020
2023-07-05,-25298264.4772
2023-07-03,-28730383.0374
2023-06-30,-28098558.3497
2023-06-29,-27671974.4378
2023-06-28,-27913833.4745
2023-06-27,-27601709.1680
2023-06-26,-31493391.4920
2023-06-23,-30656979.0846
2023-06-22,-36166655.3395
2023-06-21,-34811800.3003
2023-06-20,-37462107.8895
2023-06-16,-30323697.1743
2023-06-15,-25756129.8076
2023-06-14,-28492762.4113
2023-06-13,-24624670.8974
2023-06-12,-21957177.0353
2023-06-09,-24818075.2441
2023-06-08,-24470475.6466
2023-06-07,-29382508.5258
2023-06-06,-34722124.1552
2023-06-05,-36988789.3241
2023-06-02,-34205104.8950
2023-06-01,-36205263.5210
2023-05-31,-35829664.5163
2023-05-30,-40264332.6981
2023-05-26,-38731474.4015
2023-05-25,-40082299.0645
2023-05-24,-42655555.9092
2023-05-23,-42335121.9301
2023-05-22,-38570526.4917
2023-05-19,-39514889.5566
2023-05-18,-37410527.5512
2023-05-17,-39815414.1859
2023-05-16,-42587603.7940
2023-05-15,-41890185.4387
2023-05-12,-44063275.0169
2023-05-11,-43671671.6066
2023-05-10,-45940741.5218
2023-05-09,-46123055.1339
2023-05-08,-46715151.3466
2023-05-05,-44505588.1625
2023-05-04,-46000134.2327
2023-05-03,-45635183.0748
2023-05-02,-41718498.8286
2023-05-01,-43868565.0383
2023-04-28,-40477115.0792
2023-04-27,-43881212.2964
2023-04-26,-43385386.1418
2023-04-25,-34986798.1152
2023-04-24,-32920003.1832
2023-04-21,-34604764.9524
2023-04-20,-32759355.3395
2023-04-19,-31450605.5983
2023-04-18,-30978497.0028
2023-04-17,-36809361.7278
2023-04-14,-40558040.5127
2023-04-13,-43619728.7806
2023-04-12,-47750482.0850
2023-04-11,-48026281.0058
2023-04-10,-44587877.8695
2023-04-06,-42650669.2196
2023-04-05,-45561264.0991
2023-04-04,-43401599.8023
2023-04-03,-49364981.9912
2023-03-31,-49042548.3488
2023-03-30,-47034853.2843
2023-03-29,-49823452.1244
2023-03-28,-51648202.8989
2023-03-27,-54592130.7140
2023-03-24,-55871594.3853
2023-03-23,-60286174.6739
