Dates,ADOSC Values
2023-07-20,-2675649.8169
2023-07-19,-3504275.0832
2023-07-18,-2400053.3749
2023-07-17,-2159877.3249
2023-07-14,-392301.1896
2023-07-13,1503705.6831
2023-07-12,2956203.0715
2023-07-11,3924051.3683
2023-07-10,1759530.0436
2023-07-07,1543907.3075
2023-07-06,2751027.9662
2023-07-05,1820962.8657
2023-07-03,995669.1859
2023-06-30,1426450.3633
2023-06-29,1671062.8479
2023-06-28,1565869.6902
2023-06-27,1148872.4023
2023-06-26,-368522.6293
2023-06-23,-968952.5370
2023-06-22,-2871890.2866
2023-06-21,-2600014.3014
2023-06-20,-2411423.7456
2023-06-16,646797.6815
2023-06-15,2426620.0177
2023-06-14,2685495.5503
2023-06-13,4850017.6440
2023-06-12,6054774.3302
2023-06-09,5579512.2638
2023-06-08,5403011.9828
2023-06-07,3500542.2797
2023-06-06,1892632.5160
2023-06-05,1694635.8017
2023-06-02,2597019.8977
2023-06-01,2060644.2659
2023-05-31,1847261.8159
2023-05-30,623025.0865
2023-05-26,941182.7590
2023-05-25,317526.6704
2023-05-24,-226886.0685
2023-05-23,494168.3531
2023-05-22,1897704.2103
2023-05-19,1978838.9179
2023-05-18,2471930.8275
2023-05-17,1491222.6406
2023-05-16,633020.5352
2023-05-15,550669.4093
2023-05-12,-315440.8214
2023-05-11,-672320.4197
2023-05-10,-1699868.6635
2023-05-09,-2069072.5115
2023-05-08,-2369977.4389
2023-05-05,-2118341.8875
2023-05-04,-2751039.2633
2023-05-03,-2523866.0688
2023-05-02,-1691545.5897
2023-05-01,-2327395.3679
2023-04-28,-1692222.1365
2023-04-27,-2401321.5087
2023-04-26,-953417.3588
2023-04-25,2412131.8561
2023-04-24,3570765.5037
2023-04-21,4001970.4722
2023-04-20,5477070.5552
2023-04-19,6430425.3801
2023-04-18,6313948.4024
2023-04-17,4258931.6821
2023-04-14,2824245.2224
2023-04-13,1605262.8821
2023-04-12,650116.2849
2023-04-11,1383651.3317
2023-04-10,3083769.1997
2023-04-06,3880017.2822
2023-04-05,3457457.5824
2023-04-04,3920005.9820
2023-04-03,2499828.5096
2023-03-31,3110952.2775
2023-03-30,3662705.9265
2023-03-29,2635961.8126
2023-03-28,1709283.7847
2023-03-27,483480.5889
2023-03-24,-330645.7198
2023-03-23,-1252117.0147
2023-03-22,207208.2701
2023-03-21,3084632.5876
2023-03-20,3964242.7040
2023-03-17,3081880.8148
2023-03-16,2315119.1534
2023-03-15,459201.8017
2023-03-14,273993.9645
2023-03-13,1319049.7322
2023-03-10,583681.7881
2023-03-09,-16493.8925
2023-03-08,1608825.1793
2023-03-07,2610661.7584
2023-03-06,4212015.5611
2023-03-03,3790287.9275
2023-03-02,1377611.7016
2023-03-01,-748031.8352
2023-02-28,-1854803.0577
2023-02-27,-2045880.6693
2023-02-24,-780867.4201
2023-02-23,1439066.7353
2023-02-22,1768369.2170
2023-02-21,2841944.8812
2023-02-17,4235845.3982
2023-02-16,3663391.7796
2023-02-15,5140416.3285
2023-02-14,4258503.5393
2023-02-13,3255411.9943
2023-02-10,2388610.4926
2023-02-09,2605126.1707
2023-02-08,3293015.6903
2023-02-07,3133589.2106
2023-02-06,1594040.1941
2023-02-03,2624008.5418
2023-02-02,5713767.9371
2023-02-01,8438223.6091
2023-01-31,9664361.6968
2023-01-30,9238589.8113
2023-01-27,9979042.2885
2023-01-26,9920519.8387
2023-01-25,7620002.7597
2023-01-24,4148167.0368
2023-01-23,2811365.7477
2023-01-20,2440382.3757
2023-01-19,2925504.2491
2023-01-18,4456256.7730
2023-01-17,6918805.9036
2023-01-13,7616255.0351
2023-01-12,8087968.3288
2023-01-11,7481920.2270
2023-01-10,9707197.5057
2023-01-09,11362073.4037
2023-01-06,13210948.4695
2023-01-05,9339000.0956
2023-01-04,6480105.0029
2023-01-03,3428661.5533
2022-12-30,2576654.4666
2022-12-29,1614184.5034
2022-12-28,1743365.2663
2022-12-27,2866389.8457
2022-12-23,3220120.8875
2022-12-22,2352760.6711
2022-12-21,2321270.2900
2022-12-20,-389042.8278
2022-12-19,-646054.2626
2022-12-16,-62762.5627
2022-12-15,-767479.9249
2022-12-14,-589782.7948
2022-12-13,-1152029.7500
2022-12-12,-762842.8443
2022-12-09,-1960142.6993
2022-12-08,992705.3552
2022-12-07,3662323.1831
2022-12-06,4939286.7548
2022-12-05,6903205.8800
2022-12-02,6101995.8362
2022-12-01,3797354.8674
2022-11-30,4637106.2722
2022-11-29,3674639.9920
2022-11-28,3770756.7214
2022-11-25,5649257.8880
2022-11-23,5016909.4294
2022-11-22,4938478.6141
2022-11-21,6135294.8361
2022-11-18,6853990.8715
2022-11-17,7117957.1519
2022-11-16,7238744.5260
2022-11-15,9115548.2368
2022-11-14,10198095.2549
2022-11-11,12370897.6201
2022-11-10,10671682.4676
2022-11-09,9582215.9881
2022-11-08,9989974.3709
2022-11-07,7313492.5508
2022-11-04,5022031.8082
2022-11-03,1565706.3697
2022-11-02,-2109125.0558
2022-11-01,-2385865.4343
2022-10-31,-2937175.7643
2022-10-28,-4058365.6870
2022-10-27,-4866938.1541
2022-10-26,-1876589.4207
2022-10-25,5515968.8889
2022-10-24,3498933.5704
2022-10-21,2392353.8770
2022-10-20,1325193.2479
2022-10-19,2643960.0601
2022-10-18,3384955.5876
2022-10-17,3314329.7127
2022-10-14,2450699.4825
2022-10-13,2673950.9104
2022-10-12,1232334.0010
2022-10-11,869503.2990
2022-10-10,2132634.4783
2022-10-07,2789213.5401
2022-10-06,1721440.9437
2022-10-05,189280.8703
2022-10-04,-2288152.2625
2022-10-03,-5614521.1960
2022-09-30,-7029455.6639
2022-09-29,-4955715.4439
2022-09-28,-5043722.8116
2022-09-27,-8350649.6873
2022-09-26,-7707048.7989
2022-09-23,-5524898.6993
2022-09-22,-3569960.0404
2022-09-21,-1285469.5995
2022-09-20,473816.8148
2022-09-19,-70963.0657
2022-09-16,-955976.2777
2022-09-15,-2544280.2053
2022-09-14,-2863478.7531
2022-09-13,-4451730.8937
2022-09-12,-1825447.4898
2022-09-09,-1482903.6241
2022-09-08,-1477374.3731
2022-09-07,-3802101.3877
2022-09-06,-5670881.9888
2022-09-02,-5452344.5423
2022-09-01,-3866180.7578
2022-08-31,-2717850.5102
2022-08-30,-1074642.7840
2022-08-29,180590.6482
2022-08-26,-77093.1167
2022-08-25,665376.2880
2022-08-24,-1240932.1804
2022-08-23,-2124865.0393
2022-08-22,-1819694.6136
2022-08-19,-1313070.1458
2022-08-18,-165170.3441
2022-08-17,-1071729.2483
2022-08-16,-608168.2186
2022-08-15,-1421175.3996
2022-08-12,-2083067.3873
2022-08-11,-3177181.4182
2022-08-10,-2085360.2653
2022-08-09,-1469697.0852
2022-08-08,-140717.3701
2022-08-05,2738377.0280
2022-08-04,3620705.5110
2022-08-03,3899773.7656
2022-08-02,4211885.3269
2022-08-01,7487465.4402
2022-07-29,5938628.7334
2022-07-28,4874529.2358
2022-07-27,4556120.1046
2022-07-26,7614796.0940
2022-07-25,9099044.1222
2022-07-22,9630559.7655
2022-07-21,11929276.2955
2022-07-20,9817508.3085
2022-07-19,8169287.0660
2022-07-18,6391237.0024
2022-07-15,11203099.6214
2022-07-14,10917957.5009
2022-07-13,9118290.5962
2022-07-12,9320649.8710
2022-07-11,6597298.4786
2022-07-08,7921086.1217
2022-07-07,9231008.2874
2022-07-06,10415959.7698
2022-07-05,10679386.8427
2022-07-01,8284999.7317
2022-06-30,7571071.7743
2022-06-29,6455067.3642
2022-06-28,7149391.7000
2022-06-27,11740805.1964
2022-06-24,11260992.6213
2022-06-23,8564250.7840
2022-06-22,9625777.8671
2022-06-21,10570081.7497
2022-06-17,12980645.6694
2022-06-16,10726589.6992
2022-06-15,8037502.0314
2022-06-14,125141.7450
2022-06-13,-3625612.6684
2022-06-10,1572109.2320
2022-06-09,5806103.2097
2022-06-08,9156456.4875
2022-06-07,10677138.8861
2022-06-06,10351403.4028
2022-06-03,10816578.4810
2022-06-02,10134848.9764
2022-06-01,6757967.3611
2022-05-31,6824804.7357
2022-05-27,5429096.0507
2022-05-26,2233867.4969
2022-05-25,-425260.4118
2022-05-24,-2710721.1155
2022-05-23,-3372649.3166
2022-05-20,-5796772.0825
2022-05-19,-4607711.4564
2022-05-18,-6311594.9256
2022-05-17,-6160678.0619
2022-05-16,-9633685.0314
2022-05-13,-8623917.9070
2022-05-12,-9303930.0506
2022-05-11,-6544279.3450
2022-05-10,-2134559.1764
2022-05-09,765073.6570
2022-05-06,4917407.7740
2022-05-05,5083770.4419
2022-05-04,5605574.8080
