Dates,ADXR Values
2023-07-20,11.2364
2023-07-19,11.3640
2023-07-18,11.5561
2023-07-17,11.7454
2023-07-14,11.9199
2023-07-13,12.0322
2023-07-12,12.1295
2023-07-11,12.1948
2023-07-10,12.2915
2023-07-07,12.4269
2023-07-06,12.5599
2023-07-05,12.7585
2023-07-03,12.9448
2023-06-30,13.1083
2023-06-29,13.2605
2023-06-28,13.4021
2023-06-27,13.5670
2023-06-26,13.7730
2023-06-23,14.0147
2023-06-22,14.1521
2023-06-21,14.2985
2023-06-20,14.3891
2023-06-16,14.4641
2023-06-15,14.4916
2023-06-14,14.5388
2023-06-13,14.5770
2023-06-12,14.5596
2023-06-09,14.5638
2023-06-08,14.6120
2023-06-07,14.6870
2023-06-06,14.8328
2023-06-05,15.0174
2023-06-02,15.1740
2023-06-01,15.3024
2023-05-31,15.4633
2023-05-30,15.5974
2023-05-26,15.7256
2023-05-25,15.8995
2023-05-24,16.1012
2023-05-23,16.3103
2023-05-22,16.3771
2023-05-19,16.4735
2023-05-18,16.5790
2023-05-17,16.6664
2023-05-16,16.7044
2023-05-15,16.7721
2023-05-12,16.8239
2023-05-11,16.8783
2023-05-10,16.9729
2023-05-09,17.0994
2023-05-08,17.2447
2023-05-05,17.4288
2023-05-04,17.6307
2023-05-03,17.7594
2023-05-02,17.8470
2023-05-01,17.9462
2023-04-28,17.9943
2023-04-27,18.0092
2023-04-26,17.9946
2023-04-25,17.9796
2023-04-24,18.0393
2023-04-21,18.0947
2023-04-20,18.1439
2023-04-19,18.1626
2023-04-18,18.1785
2023-04-17,18.2476
2023-04-14,18.3185
2023-04-13,18.3768
2023-04-12,18.2939
2023-04-11,18.2421
2023-04-10,18.1847
2023-04-06,18.1113
2023-04-05,18.0471
2023-04-04,17.9779
2023-04-03,17.9180
2023-03-31,17.8098
2023-03-30,17.7385
2023-03-29,17.6768
2023-03-28,17.5972
2023-03-27,17.5312
2023-03-24,17.4698
2023-03-23,17.4423
2023-03-22,17.4274
2023-03-21,17.4102
2023-03-20,17.2882
2023-03-17,17.1805
2023-03-16,17.1307
2023-03-15,17.0864
2023-03-14,17.0882
2023-03-13,17.0261
2023-03-10,17.0065
2023-03-09,16.9886
2023-03-08,16.9468
2023-03-07,16.8706
2023-03-06,16.7669
2023-03-03,16.6057
2023-03-02,16.4790
2023-03-01,16.3959
2023-02-28,16.3512
2023-02-27,16.3260
2023-02-24,16.2619
2023-02-23,16.2061
2023-02-22,16.0971
2023-02-21,16.0155
2023-02-17,15.9284
2023-02-16,15.8545
2023-02-15,15.7126
2023-02-14,15.5084
2023-02-13,15.3306
2023-02-10,15.2015
2023-02-09,15.0806
2023-02-08,14.9836
2023-02-07,14.8679
2023-02-06,14.7328
2023-02-03,14.6575
2023-02-02,14.5620
2023-02-01,14.4400
2023-01-31,14.2757
2023-01-30,14.1537
2023-01-27,14.0121
2023-01-26,13.8427
2023-01-25,13.6638
2023-01-24,13.4821
2023-01-23,13.3110
2023-01-20,13.1620
2023-01-19,13.0334
2023-01-18,12.9255
2023-01-17,12.8097
2023-01-13,12.7072
2023-01-12,12.6130
2023-01-11,12.4784
2023-01-10,12.3572
2023-01-09,12.2407
2023-01-06,12.0662
2023-01-05,11.8921
2023-01-04,11.8212
2023-01-03,11.7255
2022-12-30,11.6522
2022-12-29,11.6282
2022-12-28,11.6011
2022-12-27,11.5485
2022-12-23,11.4771
2022-12-22,11.4155
2022-12-21,11.3312
2022-12-20,11.2306
2022-12-19,11.1762
2022-12-16,11.1366
2022-12-15,11.0678
2022-12-14,11.0084
2022-12-13,10.9096
2022-12-12,10.8152
2022-12-09,10.6983
2022-12-08,10.5832
2022-12-07,10.4822
2022-12-06,10.4400
2022-12-05,10.3506
2022-12-02,10.2323
2022-12-01,10.1577
2022-11-30,10.1604
2022-11-29,10.1961
2022-11-28,10.2437
2022-11-25,10.2875
2022-11-23,10.3026
2022-11-22,10.3645
2022-11-21,10.4173
2022-11-18,10.4898
2022-11-17,10.4859
2022-11-16,10.5027
2022-11-15,10.5021
2022-11-14,10.5069
2022-11-11,10.5181
2022-11-10,10.5232
2022-11-09,10.5284
2022-11-08,10.5109
2022-11-07,10.4951
2022-11-04,10.5212
2022-11-03,10.5691
2022-11-02,10.6437
2022-11-01,10.7892
2022-10-31,10.9065
2022-10-28,11.0293
2022-10-27,11.1240
2022-10-26,11.1848
2022-10-25,11.2445
2022-10-24,11.3490
2022-10-21,11.4335
2022-10-20,11.5223
2022-10-19,11.6251
2022-10-18,11.7286
2022-10-17,11.8481
2022-10-14,11.9456
2022-10-13,12.0625
2022-10-12,12.1658
2022-10-11,12.2983
2022-10-10,12.4389
2022-10-07,12.5798
2022-10-06,12.7461
2022-10-05,12.9265
2022-10-04,13.1106
2022-10-03,13.2770
2022-09-30,13.3951
2022-09-29,13.5322
2022-09-28,13.6782
2022-09-27,13.8349
2022-09-26,13.9504
2022-09-23,14.0738
2022-09-22,14.1761
2022-09-21,14.3208
2022-09-20,14.5095
2022-09-19,14.6869
2022-09-16,14.7973
2022-09-15,14.9129
2022-09-14,15.0576
2022-09-13,15.1710
2022-09-12,15.2992
2022-09-09,15.3751
2022-09-08,15.4319
2022-09-07,15.5145
2022-09-06,15.6294
2022-09-02,15.7144
2022-09-01,15.7940
2022-08-31,15.8446
2022-08-30,15.8425
2022-08-29,15.8474
2022-08-26,15.8576
2022-08-25,15.8275
2022-08-24,15.8048
2022-08-23,15.7233
2022-08-22,15.6602
2022-08-19,15.6567
2022-08-18,15.6505
2022-08-17,15.6429
2022-08-16,15.6254
2022-08-15,15.5892
2022-08-12,15.5634
2022-08-11,15.5504
2022-08-10,15.4917
2022-08-09,15.4434
2022-08-08,15.4157
2022-08-05,15.3539
2022-08-04,15.2673
2022-08-03,15.1756
2022-08-02,15.0972
2022-08-01,15.0120
2022-07-29,14.9434
2022-07-28,14.9355
2022-07-27,14.9329
2022-07-26,14.9182
2022-07-25,14.8728
2022-07-22,14.8051
2022-07-21,14.7976
2022-07-20,14.7843
2022-07-19,14.7659
2022-07-18,14.7815
2022-07-15,14.8093
2022-07-14,14.8061
2022-07-13,14.7704
2022-07-12,14.7080
2022-07-11,14.6658
2022-07-08,14.5589
2022-07-07,14.4620
2022-07-06,14.4607
2022-07-05,14.4646
2022-07-01,14.4859
2022-06-30,14.5494
2022-06-29,14.5694
2022-06-28,14.6049
2022-06-27,14.6254
2022-06-24,14.6179
2022-06-23,14.5968
2022-06-22,14.5116
2022-06-21,14.4389
2022-06-17,14.3659
2022-06-16,14.2781
2022-06-15,14.1764
2022-06-14,14.0991
2022-06-13,13.9496
2022-06-10,13.8110
2022-06-09,13.7350
2022-06-08,13.6873
2022-06-07,13.6545
2022-06-06,13.5712
2022-06-03,13.5025
2022-06-02,13.4206
2022-06-01,13.3374
2022-05-31,13.2072
2022-05-27,13.0489
2022-05-26,12.9255
2022-05-25,12.7557
2022-05-24,12.5311
2022-05-23,12.2451
2022-05-20,11.9501
2022-05-19,11.6637
2022-05-18,11.3785
2022-05-17,11.0987
2022-05-16,10.8057
2022-05-13,10.5006
2022-05-12,10.2295
2022-05-11,9.9823
2022-05-10,9.7922
2022-05-09,9.6028
2022-05-06,9.4377
2022-05-05,9.3037
2022-05-04,9.1491
2022-05-03,9.0443
2022-05-02,8.9293
2022-04-29,8.8372
2022-04-28,8.7640
2022-04-27,8.6758
2022-04-26,8.5866
2022-04-25,8.6126
2022-04-22,8.6594
2022-04-21,8.7090
2022-04-20,8.8142
2022-04-19,8.8870
2022-04-18,8.9612
2022-04-14,8.9677
2022-04-13,8.9968
2022-04-12,9.0087
2022-04-11,8.9879
2022-04-08,8.9162
2022-04-07,8.7714
2022-04-06,8.6474
2022-04-05,8.5502
2022-04-04,8.5091
2022-04-01,8.4841
2022-03-31,8.5344
2022-03-30,8.6154
2022-03-29,8.6745
2022-03-28,8.6791
2022-03-25,8.6619
2022-03-24,8.6562
2022-03-23,8.6691
2022-03-22,8.7101
2022-03-21,8.7614
2022-03-18,8.7479
2022-03-17,8.7924
2022-03-16,8.7926
2022-03-15,8.8164
2022-03-14,8.7929
2022-03-11,8.7075
2022-03-10,8.6513
2022-03-09,8.5715
2022-03-08,8.4987
2022-03-07,8.3735
