Dates,APO Values
2023-07-20,0.5601
2023-07-19,0.5157
2023-07-18,0.9615
2023-07-17,1.2143
2023-07-14,1.4886
2023-07-13,1.6899
2023-07-12,1.5424
2023-07-11,1.3052
2023-07-10,0.8155
2023-07-07,0.7335
2023-07-06,0.7414
2023-07-05,0.6878
2023-07-03,0.5390
2023-06-30,0.5847
2023-06-29,0.6100
2023-06-28,0.5653
2023-06-27,0.6129
2023-06-26,0.7962
2023-06-23,1.4106
2023-06-22,2.1915
2023-06-21,3.1360
2023-06-20,3.6372
2023-06-16,4.1944
2023-06-15,4.0688
2023-06-14,3.9083
2023-06-13,3.9022
2023-06-12,3.4834
2023-06-09,2.7779
2023-06-08,2.2698
2023-06-07,1.5068
2023-06-06,1.1403
2023-06-05,1.1283
2023-06-02,0.9449
2023-06-01,0.2348
2023-05-31,-0.1292
2023-05-30,-0.3618
2023-05-26,-0.5506
2023-05-25,-0.6756
2023-05-24,-0.5444
2023-05-23,-0.2060
2023-05-22,-0.1102
2023-05-19,-0.3234
2023-05-18,-0.5480
2023-05-17,-1.0048
2023-05-16,-1.5357
2023-05-15,-1.5800
2023-05-12,-1.8069
2023-05-11,-1.8596
2023-05-10,-2.0159
2023-05-09,-2.0842
2023-05-08,-2.2470
2023-05-05,-1.9517
2023-05-04,-1.6563
2023-05-03,-1.1239
2023-05-02,-0.8230
2023-05-01,-0.6632
2023-04-28,-0.5128
2023-04-27,-0.6096
2023-04-26,-0.6489
2023-04-25,-0.3832
2023-04-24,0.0470
2023-04-21,0.2309
2023-04-20,0.5255
2023-04-19,0.6820
2023-04-18,0.7211
2023-04-17,0.7952
2023-04-14,1.2183
2023-04-13,2.0786
2023-04-12,1.9369
2023-04-11,1.8550
2023-04-10,1.7256
2023-04-06,1.6922
2023-04-05,1.5648
2023-04-04,1.5189
2023-04-03,1.0412
2023-03-31,0.2646
2023-03-30,-0.4291
2023-03-29,-1.1668
2023-03-28,-1.7787
2023-03-27,-2.2274
2023-03-24,-2.3208
2023-03-23,-2.0967
2023-03-22,-1.8178
2023-03-21,-1.2582
2023-03-20,-1.3952
2023-03-17,-1.5569
2023-03-16,-1.3618
2023-03-15,-1.3110
2023-03-14,-0.7200
2023-03-13,-0.8786
2023-03-10,-0.6702
2023-03-09,-0.3640
2023-03-08,0.2186
2023-03-07,0.3521
2023-03-06,0.4441
2023-03-03,0.1477
2023-03-02,-0.5575
2023-03-01,-0.9352
2023-02-28,-0.8428
2023-02-27,-0.4071
2023-02-24,0.2659
2023-02-23,1.3563
2023-02-22,1.7121
2023-02-21,2.3826
2023-02-17,3.2283
2023-02-16,3.6355
2023-02-15,4.0464
2023-02-14,3.9795
2023-02-13,3.7333
2023-02-10,3.6499
2023-02-09,3.7715
2023-02-08,3.9633
2023-02-07,3.9968
2023-02-06,3.8532
2023-02-03,4.4232
2023-02-02,5.1679
2023-02-01,5.7042
2023-01-31,5.7549
2023-01-30,5.9140
2023-01-27,6.3702
2023-01-26,6.7071
2023-01-25,6.8807
2023-01-24,7.0072
2023-01-23,7.1381
2023-01-20,7.4060
2023-01-19,7.9670
2023-01-18,8.5335
2023-01-17,8.8964
2023-01-13,9.0264
2023-01-12,8.7841
2023-01-11,8.3278
2023-01-10,8.2647
2023-01-09,8.2003
2023-01-06,7.8075
2023-01-05,6.7415
2023-01-04,6.0984
2023-01-03,5.3263
2022-12-30,5.1033
2022-12-29,5.2434
2022-12-28,5.5069
2022-12-27,5.8170
2022-12-23,6.0243
2022-12-22,6.2360
2022-12-21,6.4979
2022-12-20,5.9485
2022-12-19,5.9459
2022-12-16,6.1218
2022-12-15,6.3570
2022-12-14,6.6645
2022-12-13,6.4989
2022-12-12,6.3070
2022-12-09,6.0578
2022-12-08,6.3370
2022-12-07,6.6479
2022-12-06,7.2108
2022-12-05,7.6279
2022-12-02,7.3701
