Dates,AROONOSC Values
2023-07-20,48.0000
2023-07-19,48.0000
2023-07-18,52.0000
2023-07-17,52.0000
2023-07-14,52.0000
2023-07-13,52.0000
2023-07-12,52.0000
2023-07-11,52.0000
2023-07-10,52.0000
2023-07-07,52.0000
2023-07-06,52.0000
2023-07-05,52.0000
2023-07-03,52.0000
2023-06-30,52.0000
2023-06-29,52.0000
2023-06-28,52.0000
2023-06-27,52.0000
2023-06-26,52.0000
2023-06-23,52.0000
2023-06-22,52.0000
2023-06-21,52.0000
2023-06-20,52.0000
2023-06-16,52.0000
2023-06-15,52.0000
2023-06-14,52.0000
2023-06-13,52.0000
2023-06-12,52.0000
2023-06-09,48.0000
2023-06-08,48.0000
2023-06-07,-44.0000
2023-06-06,-44.0000
2023-06-05,-44.0000
2023-06-02,-44.0000
2023-06-01,-44.0000
2023-05-31,-44.0000
2023-05-30,-44.0000
2023-05-26,-44.0000
2023-05-25,26.0000
2023-05-24,26.0000
2023-05-23,26.0000
2023-05-22,26.0000
2023-05-19,26.0000
2023-05-18,26.0000
2023-05-17,26.0000
2023-05-16,26.0000
2023-05-15,26.0000
2023-05-12,26.0000
2023-05-11,26.0000
2023-05-10,26.0000
2023-05-09,26.0000
2023-05-08,26.0000
2023-05-05,26.0000
2023-05-04,26.0000
2023-05-03,26.0000
2023-05-02,26.0000
2023-05-01,26.0000
2023-04-28,26.0000
2023-04-27,-40.0000
2023-04-26,-40.0000
2023-04-25,-40.0000
2023-04-24,-40.0000
2023-04-21,-40.0000
2023-04-20,-40.0000
2023-04-19,-40.0000
2023-04-18,-40.0000
2023-04-17,-40.0000
2023-04-14,-40.0000
2023-04-13,-40.0000
2023-04-12,-40.0000
2023-04-11,-40.0000
2023-04-10,-40.0000
2023-04-06,-40.0000
2023-04-05,-40.0000
2023-04-04,-40.0000
2023-04-03,-40.0000
2023-03-31,-40.0000
2023-03-30,-40.0000
2023-03-29,-40.0000
2023-03-28,-40.0000
2023-03-27,-40.0000
2023-03-24,-40.0000
2023-03-23,-40.0000
2023-03-22,-40.0000
2023-03-21,-40.0000
2023-03-20,-40.0000
2023-03-17,-40.0000
2023-03-16,58.0000
2023-03-15,60.0000
2023-03-14,62.0000
2023-03-13,62.0000
2023-03-10,62.0000
2023-03-09,68.0000
2023-03-08,68.0000
2023-03-07,68.0000
2023-03-06,68.0000
2023-03-03,76.0000
2023-03-02,78.0000
2023-03-01,80.0000
2023-02-28,80.0000
2023-02-27,80.0000
2023-02-24,86.0000
2023-02-23,88.0000
2023-02-22,90.0000
2023-02-21,92.0000
2023-02-17,92.0000
2023-02-16,92.0000
2023-02-15,98.0000
2023-02-14,98.0000
2023-02-13,80.0000
2023-02-10,86.0000
2023-02-09,88.0000
2023-02-08,88.0000
2023-02-07,88.0000
2023-02-06,94.0000
2023-02-03,94.0000
2023-02-02,94.0000
2023-02-01,100.0000
2023-01-31,76.0000
2023-01-30,76.0000
2023-01-27,76.0000
2023-01-26,76.0000
2023-01-25,76.0000
2023-01-24,88.0000
2023-01-23,90.0000
2023-01-20,92.0000
2023-01-19,94.0000
2023-01-18,96.0000
2023-01-17,98.0000
2023-01-13,98.0000
2023-01-12,100.0000
2023-01-11,94.0000
2023-01-10,98.0000
2023-01-09,100.0000
2023-01-06,98.0000
2023-01-05,96.0000
2023-01-04,94.0000
2023-01-03,92.0000
2022-12-30,78.0000
2022-12-29,78.0000
2022-12-28,78.0000
2022-12-27,94.0000
2022-12-23,96.0000
2022-12-22,96.0000
2022-12-21,96.0000
2022-12-20,84.0000
2022-12-19,84.0000
2022-12-16,84.0000
2022-12-15,84.0000
2022-12-14,84.0000
2022-12-13,100.0000
2022-12-12,90.0000
2022-12-09,90.0000
2022-12-08,90.0000
2022-12-07,90.0000
2022-12-06,90.0000
2022-12-05,90.0000
2022-12-02,88.0000
2022-12-01,84.0000
2022-11-30,84.0000
2022-11-29,58.0000
2022-11-28,58.0000
2022-11-25,58.0000
2022-11-23,58.0000
2022-11-22,58.0000
2022-11-21,58.0000
2022-11-18,58.0000
2022-11-17,58.0000
2022-11-16,58.0000
2022-11-15,58.0000
2022-11-14,58.0000
2022-11-11,58.0000
2022-11-10,58.0000
2022-11-09,56.0000
2022-11-08,54.0000
2022-11-07,-48.0000
2022-11-04,-48.0000
2022-11-03,-48.0000
2022-11-02,-48.0000
2022-11-01,-48.0000
2022-10-31,-48.0000
2022-10-28,-48.0000
2022-10-27,-48.0000
2022-10-26,-64.0000
2022-10-25,-64.0000
2022-10-24,-64.0000
2022-10-21,-64.0000
2022-10-20,-64.0000
2022-10-19,-64.0000
2022-10-18,-64.0000
2022-10-17,-64.0000
2022-10-14,-64.0000
2022-10-13,-64.0000
2022-10-12,-64.0000
2022-10-11,-64.0000
2022-10-10,-64.0000
2022-10-07,-64.0000
2022-10-06,-64.0000
2022-10-05,-64.0000
2022-10-04,-64.0000
2022-10-03,-64.0000
2022-09-30,-64.0000
2022-09-29,-62.0000
2022-09-28,-58.0000
2022-09-27,-58.0000
2022-09-26,-56.0000
2022-09-23,-54.0000
2022-09-22,-52.0000
2022-09-21,50.0000
2022-09-20,52.0000
2022-09-19,52.0000
2022-09-16,52.0000
2022-09-15,58.0000
2022-09-14,60.0000
2022-09-13,60.0000
2022-09-12,60.0000
2022-09-09,60.0000
2022-09-08,60.0000
2022-09-07,60.0000
2022-09-06,60.0000
2022-09-02,74.0000
2022-09-01,74.0000
2022-08-31,74.0000
2022-08-30,74.0000
2022-08-29,74.0000
2022-08-26,84.0000
2022-08-25,86.0000
2022-08-24,86.0000
2022-08-23,86.0000
2022-08-22,86.0000
2022-08-19,86.0000
2022-08-18,86.0000
2022-08-17,86.0000
2022-08-16,86.0000
2022-08-15,84.0000
2022-08-12,64.0000
2022-08-11,64.0000
2022-08-10,64.0000
2022-08-09,64.0000
2022-08-08,64.0000
2022-08-05,64.0000
2022-08-04,64.0000
2022-08-03,64.0000
2022-08-02,64.0000
2022-08-01,64.0000
2022-07-29,52.0000
2022-07-28,52.0000
2022-07-27,52.0000
