Dates,ATR Values
2023-07-20,4.2996
2023-07-19,4.0551
2023-07-18,4.1018
2023-07-17,4.1720
2023-07-14,4.3583
2023-07-13,4.3753
2023-07-12,4.5725
2023-07-11,4.5650
2023-07-10,4.2244
2023-07-07,4.4305
2023-07-06,4.4972
2023-07-05,4.5491
2023-07-03,4.3446
2023-06-30,4.6130
2023-06-29,4.6967
2023-06-28,4.8863
2023-06-27,5.1226
2023-06-26,5.2384
2023-06-23,5.5505
2023-06-22,5.8272
2023-06-21,5.5380
2023-06-20,5.7531
2023-06-16,5.4912
2023-06-15,5.5574
2023-06-14,5.5860
2023-06-13,5.5896
2023-06-12,5.7918
2023-06-09,5.6265
2023-06-08,5.8664
2023-06-07,5.6215
2023-06-06,5.6706
2023-06-05,5.0706
2023-06-02,4.9874
2023-06-01,4.7326
2023-05-31,4.7552
2023-05-30,4.6969
2023-05-26,4.7199
2023-05-25,4.8076
2023-05-24,4.7696
2023-05-23,4.7329
2023-05-22,4.6983
2023-05-19,4.8781
2023-05-18,5.0045
2023-05-17,5.0984
2023-05-16,4.8082
2023-05-15,5.0280
2023-05-12,5.0678
2023-05-11,5.1542
2023-05-10,5.2291
2023-05-09,5.2601
2023-05-08,5.0279
2023-05-05,5.2244
2023-05-04,5.5515
2023-05-03,5.2817
2023-05-02,5.2517
2023-05-01,5.3797
2023-04-28,5.4330
2023-04-27,5.5867
2023-04-26,5.5341
2023-04-25,5.0923
2023-04-24,5.1414
2023-04-21,5.3516
2023-04-20,5.4800
2023-04-19,5.6664
2023-04-18,5.8593
2023-04-17,5.9308
2023-04-14,6.0009
2023-04-13,4.9526
2023-04-12,5.2601
2023-04-11,5.3813
2023-04-10,5.5658
2023-04-06,5.6987
2023-04-05,5.8708
2023-04-04,5.9054
2023-04-03,5.8649
2023-03-31,5.8344
2023-03-30,6.0648
2023-03-29,6.0332
2023-03-28,6.2940
2023-03-27,6.3472
2023-03-24,6.6058
2023-03-23,6.8975
2023-03-22,6.9573
2023-03-21,6.7647
2023-03-20,7.0753
2023-03-17,7.3058
2023-03-16,7.6521
2023-03-15,7.4489
2023-03-14,6.6243
2023-03-13,6.2282
2023-03-10,5.8124
2023-03-09,5.6571
2023-03-08,5.3168
2023-03-07,5.5809
2023-03-06,5.6010
2023-03-03,5.6111
2023-03-02,5.4879
2023-03-01,5.2999
2023-02-28,5.3793
2023-02-27,5.6370
2023-02-24,5.7104
2023-02-23,5.1483
2023-02-22,5.2834
2023-02-21,5.5355
2023-02-17,5.4161
2023-02-16,5.5078
2023-02-15,5.5342
