Dates,BBANDS Values
2023-07-20,219.4902
2023-07-19,213.6900
2023-07-18,207.8898
2023-07-17,219.4270
2023-07-14,213.5910
2023-07-13,207.7550
2023-07-12,218.8826
2023-07-11,214.0620
2023-07-10,209.2414
2023-07-07,218.9656
2023-07-06,213.9970
2023-07-05,209.0284
2023-07-03,219.0325
2023-06-30,213.9260
2023-06-29,208.8195
2023-06-28,219.0417
2023-06-27,213.7970
2023-06-26,208.5523
2023-06-23,218.2892
2023-06-22,213.1840
2023-06-21,208.0788
2023-06-20,217.2301
2023-06-16,212.4160
2023-06-15,207.6019
2023-06-14,215.4363
2023-06-13,211.0980
2023-06-12,206.7597
2023-06-09,215.5337
2023-06-08,210.3080
2023-06-07,205.0823
2023-06-06,215.4181
2023-06-05,209.6590
2023-06-02,203.8999
2023-06-01,215.2613
2023-05-31,209.6050
2023-05-30,203.9487
2023-05-26,214.9447
2023-05-25,209.5110
2023-05-24,204.0773
2023-05-23,218.7465
2023-05-22,210.4180
2023-05-19,202.0895
2023-05-18,221.1810
2023-05-17,211.2430
2023-05-16,201.3050
2023-05-15,222.2571
2023-05-12,211.7500
2023-05-11,201.2429
2023-05-10,224.3793
2023-05-09,212.7160
2023-05-08,201.0527
2023-05-05,226.4635
2023-05-04,213.9290
2023-05-03,201.3945
2023-05-02,226.4290
2023-05-01,215.1020
2023-04-28,203.7750
2023-04-27,225.7472
2023-04-26,216.3720
2023-04-25,206.9968
2023-04-24,223.9222
2023-04-21,217.0040
2023-04-20,210.0858
2023-04-19,225.1847
2023-04-18,216.5250
2023-04-17,207.8653
2023-04-14,225.7348
2023-04-13,216.1660
2023-04-12,206.5972
2023-04-11,224.8357
2023-04-10,215.4990
2023-04-06,206.1623
2023-04-05,224.2810
2023-04-04,214.3540
2023-04-03,204.4270
2023-03-31,224.2291
2023-03-30,213.2340
2023-03-29,202.2389
2023-03-28,222.6112
2023-03-27,211.6650
2023-03-24,200.7188
2023-03-23,219.5477
2023-03-22,209.8720
2023-03-21,200.1963
2023-03-20,217.8765
2023-03-17,208.2280
2023-03-16,198.5795
2023-03-15,214.8253
2023-03-14,206.3440
2023-03-13,197.8627
2023-03-10,213.2580
2023-03-09,205.4110
2023-03-08,197.5640
2023-03-07,213.0310
2023-03-06,205.2730
2023-03-03,197.5150
2023-03-02,212.3503
2023-03-01,204.9440
2023-02-28,197.5377
2023-02-27,209.5725
2023-02-24,204.3360
2023-02-23,199.0995
2023-02-22,209.1957
2023-02-21,204.2270
2023-02-17,199.2583
2023-02-16,208.9780
2023-02-15,203.7440
2023-02-14,198.5100
2023-02-13,208.7740
2023-02-10,203.5520
2023-02-09,198.3300
2023-02-08,208.7523
2023-02-07,203.2590
2023-02-06,197.7657
2023-02-03,208.7096
2023-02-02,203.3560
2023-02-01,198.0024
2023-01-31,208.4543
2023-01-30,203.5130
2023-01-27,198.5717
2023-01-26,208.4539
2023-01-25,203.4410
2023-01-24,198.4281
2023-01-23,208.4904
2023-01-20,202.5760
2023-01-19,196.6616
2023-01-18,207.9204
2023-01-17,201.8610
2023-01-13,195.8016
2023-01-12,206.3418
2023-01-11,200.8420
2023-01-10,195.3422
2023-01-09,204.0301
2023-01-06,200.2480
2023-01-05,196.4659
2023-01-04,204.6726
2023-01-03,200.4860
2022-12-30,196.2994
2022-12-29,205.0652
2022-12-28,200.5960
2022-12-27,196.1268
2022-12-23,207.0167
2022-12-22,201.2040
2022-12-21,195.3913
2022-12-20,208.1259
2022-12-19,201.6240
2022-12-16,195.1221
2022-12-15,208.3720
2022-12-14,201.8430
2022-12-13,195.3140
2022-12-12,208.4063
2022-12-09,201.8740
2022-12-08,195.3417
2022-12-07,208.8349
2022-12-06,202.7250
2022-12-05,196.6151
2022-12-02,208.8957
2022-12-01,203.4060
2022-11-30,197.9163
2022-11-29,208.3839
2022-11-28,204.4240
2022-11-25,200.4641
2022-11-23,209.1674
2022-11-22,205.2020
2022-11-21,201.2366
2022-11-18,209.8572
2022-11-17,205.7140
2022-11-16,201.5708
2022-11-15,209.8224
2022-11-14,205.8300
2022-11-11,201.8376
2022-11-10,209.9425
2022-11-09,205.3230
2022-11-08,200.7035
2022-11-07,212.8744
2022-11-04,206.0780
2022-11-03,199.2816
2022-11-02,214.4045
2022-11-01,207.0090
2022-10-31,199.6135
2022-10-28,215.2734
2022-10-27,208.0220
2022-10-26,200.7706
2022-10-25,215.7751
2022-10-24,208.5230
2022-10-21,201.2709
2022-10-20,216.1974
2022-10-19,209.1450
2022-10-18,202.0926
2022-10-17,216.3686
2022-10-14,209.4220
2022-10-13,202.4754
2022-10-12,217.3569
2022-10-11,209.9410
2022-10-10,202.5251
2022-10-07,218.6376
2022-10-06,210.6430
2022-10-05,202.6484
2022-10-04,218.4822
2022-10-03,211.3830
