Dates,CCI Values
2023-07-20,-40.3992
2023-07-19,-123.9785
2023-07-18,-83.7503
2023-07-17,-43.5721
2023-07-14,13.6636
2023-07-13,109.2320
2023-07-12,201.2291
2023-07-11,228.2586
2023-07-10,79.5893
2023-07-07,91.1755
2023-07-06,68.4126
2023-07-05,67.6700
2023-07-03,38.1613
2023-06-30,13.7619
2023-06-29,8.0731
2023-06-28,-15.0932
2023-06-27,-52.9553
2023-06-26,-96.6106
2023-06-23,-145.0575
2023-06-22,-200.2395
2023-06-21,-124.5844
2023-06-20,-36.7043
2023-06-16,77.5236
2023-06-15,51.0513
2023-06-14,57.8003
2023-06-13,110.2355
2023-06-12,138.6643
2023-06-09,132.0618
2023-06-08,154.2333
2023-06-07,84.1552
2023-06-06,24.9455
2023-06-05,99.6237
2023-06-02,195.7407
2023-06-01,122.3317
2023-05-31,8.0464
2023-05-30,45.2362
2023-05-26,-3.8964
2023-05-25,-86.8704
2023-05-24,-103.7039
2023-05-23,23.4478
2023-05-22,69.9500
2023-05-19,109.2110
2023-05-18,168.7679
2023-05-17,207.7071
2023-05-16,35.3633
2023-05-15,48.9418
2023-05-12,4.1934
2023-05-11,-11.7477
2023-05-10,-25.1406
2023-05-09,-11.9689
2023-05-08,-108.6683
2023-05-05,-134.7385
2023-05-04,-210.7642
2023-05-03,-114.3483
2023-05-02,-155.3114
2023-05-01,-40.7608
2023-04-28,-18.8070
2023-04-27,28.6334
2023-04-26,-9.6696
2023-04-25,-91.1673
2023-04-24,-56.0223
2023-04-21,-52.2379
2023-04-20,-25.3386
2023-04-19,-8.5322
2023-04-18,-52.4948
2023-04-17,-138.8128
2023-04-14,-301.7027
2023-04-13,43.0168
2023-04-12,26.1693
2023-04-11,61.8350
2023-04-10,38.5339
2023-04-06,35.9147
2023-04-05,48.7092
2023-04-04,73.9549
2023-04-03,130.6628
2023-03-31,142.3402
2023-03-30,139.1831
2023-03-29,136.6456
2023-03-28,93.5881
2023-03-27,-17.9090
2023-03-24,-106.9959
2023-03-23,-91.9806
2023-03-22,-101.6427
2023-03-21,59.3943
2023-03-20,4.2278
2023-03-17,-59.2274
2023-03-16,-77.1981
2023-03-15,-145.7091
2023-03-14,30.9558
2023-03-13,-66.9786
2023-03-10,-71.0114
2023-03-09,-36.9163
2023-03-08,16.9626
2023-03-07,57.2443
2023-03-06,108.2619
2023-03-03,142.0073
2023-03-02,38.0913
2023-03-01,-44.8144
2023-02-28,-88.5334
2023-02-27,-109.2101
2023-02-24,-171.2547
2023-02-23,-82.9548
2023-02-22,-154.3833
2023-02-21,-186.7057
2023-02-17,-80.2066
2023-02-16,23.8970
2023-02-15,110.8457
2023-02-14,144.5331
2023-02-13,87.9671
2023-02-10,45.1929
2023-02-09,48.4712
2023-02-08,96.6888
2023-02-07,64.0520
2023-02-06,-161.4063
2023-02-03,-153.7671
2023-02-02,19.9849
2023-02-01,199.2895
2023-01-31,94.0404
2023-01-30,-5.8406
2023-01-27,43.4128
2023-01-26,40.0170
2023-01-25,8.4375
2023-01-24,3.6233
2023-01-23,-9.5818
2023-01-20,-105.1700
2023-01-19,-62.1412
2023-01-18,40.6926
2023-01-17,59.6204
2023-01-13,97.2266
2023-01-12,90.1409
2023-01-11,71.3286
2023-01-10,69.8751
2023-01-09,117.7321
2023-01-06,161.7270
