Dates,CMO Values
2023-07-21,2.7968
2023-07-20,3.0977
2023-07-19,2.3100
2023-07-18,2.8029
2023-07-17,2.8527
2023-07-14,3.0597
2023-07-13,3.6792
2023-07-12,3.7225
2023-07-11,3.9964
2023-07-10,3.1559
2023-07-07,2.9683
2023-07-06,3.0537
2023-07-05,3.1666
2023-07-03,2.7994
2023-06-30,2.8384
2023-06-29,2.9468
2023-06-28,2.7779
2023-06-27,2.5819
2023-06-26,1.9950
2023-06-23,1.9691
2023-06-22,2.0007
2023-06-21,3.0287
2023-06-20,3.0750
2023-06-16,4.3012
2023-06-15,4.2149
2023-06-14,3.8415
2023-06-13,4.4030
2023-06-12,4.5938
2023-06-09,3.9648
2023-06-08,4.0934
2023-06-07,3.1733
2023-06-06,2.4744
2023-06-05,2.7113
2023-06-02,3.4362
2023-06-01,2.6289
2023-05-31,2.2862
2023-05-30,2.1330
2023-05-26,1.9725
2023-05-25,1.5543
2023-05-24,1.3115
2023-05-23,1.8317
2023-05-22,2.3514
2023-05-19,2.2885
2023-05-18,2.5627
2023-05-17,2.5077
2023-05-16,1.6120
2023-05-15,1.9070
2023-05-12,1.5973
2023-05-11,1.7733
2023-05-10,1.6245
2023-05-09,1.7841
2023-05-08,1.0977
2023-05-05,1.2623
2023-05-04,1.0709
2023-05-03,1.6607
2023-05-02,2.0149
2023-05-01,2.1095
2023-04-28,2.5537
2023-04-27,2.4463
2023-04-26,2.0094
2023-04-25,1.8874
2023-04-24,2.4282
2023-04-21,2.3389
2023-04-20,2.6526
2023-04-19,2.8759
2023-04-18,2.8276
2023-04-17,2.3528
2023-04-14,1.8786
2023-04-13,3.6710
2023-04-12,3.4933
2023-04-11,3.4904
2023-04-10,3.2727
2023-04-06,3.3616
2023-04-05,3.1691
2023-04-04,3.7546
2023-04-03,3.9790
2023-03-31,3.5668
2023-03-30,3.3730
2023-03-29,2.9444
2023-03-28,2.5226
2023-03-27,1.9038
2023-03-24,1.4729
2023-03-23,1.5270
2023-03-22,1.2811
2023-03-21,2.5312
2023-03-20,2.5415
2023-03-17,2.0199
2023-03-16,2.3334
2023-03-15,1.6335
2023-03-14,2.9707
2023-03-13,2.4200
2023-03-10,2.3777
2023-03-09,2.1202
2023-03-08,3.0007
2023-03-07,3.1076
2023-03-06,3.7023
2023-03-03,4.1791
2023-03-02,3.4800
2023-03-01,2.7095
2023-02-28,2.2869
2023-02-27,2.1332
2023-02-24,1.8076
2023-02-23,3.2850
2023-02-22,2.9522
2023-02-21,2.9185
2023-02-17,3.8352
2023-02-16,3.9177
2023-02-15,4.7047
2023-02-14,4.8573
2023-02-13,4.4733
2023-02-10,4.0936
2023-02-09,3.9698
2023-02-08,4.1944
2023-02-07,4.3816
2023-02-06,3.2907
2023-02-03,3.1801
2023-02-02,3.6711
2023-02-01,4.4749
2023-01-31,4.2359
2023-01-30,3.7802
2023-01-27,4.0020
2023-01-26,4.2326
2023-01-25,4.2258
2023-01-24,4.1314
2023-01-23,3.8606
2023-01-20,3.4272
2023-01-19,3.4749
2023-01-18,3.8099
2023-01-17,4.0990
2023-01-13,4.4928
2023-01-12,4.5203
2023-01-11,3.6859
2023-01-10,3.5072
2023-01-09,3.7760
2023-01-06,4.4119
2023-01-05,3.3465
2023-01-04,3.1655
2023-01-03,2.0501
2022-12-30,1.3788
2022-12-29,1.1615
2022-12-28,1.0887
2022-12-27,1.2314
2022-12-23,1.1851
2022-12-22,1.0753
2022-12-21,2.1562
2022-12-20,1.1094
2022-12-19,0.7517
2022-12-16,0.6174
2022-12-15,0.4835
2022-12-14,1.1104
2022-12-13,0.9584
2022-12-12,0.8419
2022-12-09,-0.0743
2022-12-08,-0.1373
2022-12-07,-0.4899
2022-12-06,-0.2284
2022-12-05,0.6815
