Dates,EMA Values
2023-07-18,213.3720
2023-07-17,213.7724
2023-07-14,214.1952
2023-07-13,214.4341
2023-07-12,213.8972
2023-07-11,213.1833
2023-07-10,211.9440
2023-07-07,211.6405
2023-07-06,211.5384
2023-07-05,211.2980
2023-07-03,210.8509
2023-06-30,210.8356
2023-06-29,210.7635
2023-06-28,210.5264
2023-06-27,210.4834
2023-06-26,210.7175
2023-06-23,211.8592
2023-06-22,213.2924
2023-06-21,214.9995
2023-06-20,215.6483
2023-06-16,216.3768
2023-06-15,215.5739
2023-06-14,214.7215
2023-06-13,214.2373
2023-06-12,212.8723
2023-06-09,210.9417
2023-06-08,209.5265
2023-06-07,207.6191
2023-06-06,206.6611
2023-06-05,206.5213
2023-06-02,206.0194
2023-06-01,204.3971
2023-05-31,203.6053
2023-05-30,203.1398
2023-05-26,202.7953
2023-05-25,202.6099
2023-05-24,202.9965
2023-05-23,203.8246
2023-05-22,204.0967
2023-05-19,203.6938
2023-05-18,203.2946
2023-05-17,202.4179
2023-05-16,201.4285
2023-05-15,201.5527
2023-05-12,201.2821
2023-05-11,201.4115
2023-05-10,201.3163
2023-05-09,201.4221
2023-05-08,201.3204
2023-05-05,202.2227
2023-05-04,203.0855
2023-05-03,204.4267
2023-05-02,205.2037
2023-05-01,205.6379
2023-04-28,206.0308
2023-04-27,205.8643
2023-04-26,205.8252
2023-04-25,206.4464
2023-04-24,207.3923
2023-04-21,207.7528
2023-04-20,208.3312
2023-04-19,208.5759
2023-04-18,208.5460
2023-04-17,208.5852
2023-04-14,209.3752
2023-04-13,211.0786
2023-04-12,210.5205
2023-04-11,210.1161
2023-04-10,209.6264
2023-04-06,209.3700
2023-04-05,208.9256
2023-04-04,208.6869
2023-04-03,207.5284
2023-03-31,205.7814
2023-03-30,204.3039
2023-03-29,202.8070
2023-03-28,201.6596
2023-03-27,200.9262
2023-03-24,201.0053
2023-03-23,201.7776
2023-03-22,202.6393
2023-03-21,204.0792
2023-03-20,203.9412
2023-03-17,203.7571
2023-03-16,204.3586
2023-03-15,204.6183
2023-03-14,206.0424
2023-03-13,205.7674
2023-03-10,206.3002
2023-03-09,207.0180
2023-03-08,208.3020
2023-03-07,208.5469
2023-03-06,208.6862
2023-03-03,207.9675
2023-03-02,206.3803
2023-03-01,205.5626
2023-02-28,205.7876
2023-02-27,206.7293
2023-02-24,208.1225
2023-02-23,210.3386
2023-02-22,210.8294
2023-02-21,211.9559
2023-02-17,213.3861
2023-02-16,213.7697
2023-02-15,214.1163
2023-02-14,213.3777
2023-02-13,212.2505
2023-02-10,211.4951
2023-02-09,211.1851
2023-02-08,211.0063
2023-02-07,210.4521
2023-02-06,209.4948
2023-02-03,210.0914
2023-02-02,210.9984
2023-02-01,211.3669
2023-01-31,210.6151
2023-01-30,210.0851
2023-01-27,210.1774
2023-01-26,209.9568
2023-01-25,209.3405
2023-01-24,208.5984
2023-01-23,207.8469
2023-01-20,207.3752
2023-01-19,207.5119
2023-01-18,207.6056
2023-01-17,207.2046
2023-01-13,206.2701
2023-01-12,204.5235
2023-01-11,202.3464
2023-01-10,201.0834
2023-01-09,199.8375
2023-01-06,197.8970
2023-01-05,194.5407
2023-01-04,192.2187
2023-01-03,189.6806
2022-12-30,188.4119
2022-12-29,187.9501
2022-12-28,187.7367
2022-12-27,187.5938
2022-12-23,187.1924
