Dates,EMA Values
2023-07-20,210.6031
2023-07-19,210.4804
2023-07-18,210.5571
2023-07-17,210.5158
2023-07-14,210.4605
2023-07-13,210.3520
2023-07-12,210.0867
2023-07-11,209.8001
2023-07-10,209.4344
2023-07-07,209.2762
2023-07-06,209.1609
2023-07-05,209.0197
2023-07-03,208.8446
2023-06-30,208.7599
2023-06-29,208.6619
2023-06-28,208.5326
2023-06-27,208.4433
2023-06-26,208.4031
2023-06-23,208.5183
2023-06-22,208.6452
2023-06-21,208.7691
2023-06-20,208.6339
2023-06-16,208.4814
2023-06-15,208.0117
2023-06-14,207.5464
2023-06-13,207.1647
2023-06-12,206.6253
2023-06-09,206.0157
2023-06-08,205.5547
2023-06-07,205.0422
2023-06-06,204.7611
2023-06-05,204.6579
2023-06-02,204.4896
2023-06-01,204.1292
2023-05-31,203.9728
2023-05-30,203.9024
2023-05-26,203.8702
2023-05-25,203.8800
2023-05-24,204.0029
2023-05-23,204.1960
2023-05-22,204.2612
2023-05-19,204.1939
2023-05-18,204.1410
2023-05-17,204.0145
2023-05-16,203.8979
2023-05-15,204.0215
2023-05-12,204.0726
2023-05-11,204.2103
2023-05-10,204.3070
2023-05-09,204.4485
2023-05-08,204.5534
2023-05-05,204.8511
2023-05-04,205.1168
2023-05-03,205.4461
2023-05-02,205.6304
2023-05-01,205.7276
2023-04-28,205.8034
2023-04-27,205.7635
2023-04-26,205.7522
2023-04-25,205.8633
2023-04-24,206.0133
2023-04-21,206.0232
2023-04-20,206.0589
2023-04-19,206.0110
2023-04-18,205.9009
2023-04-17,205.8001
2023-04-14,205.8315
2023-04-13,205.9998
2023-04-12,205.6900
2023-04-11,205.4185
2023-04-10,205.1368
2023-04-06,204.9065
2023-04-05,204.6427
2023-04-04,204.4240
2023-04-03,204.0372
2023-03-31,203.5739
2023-03-30,203.2124
2023-03-29,202.8929
2023-03-28,202.6857
2023-03-27,202.5928
2023-03-24,202.6754
2023-03-23,202.8854
2023-03-22,203.0889
2023-03-21,203.3717
2023-03-20,203.3175
2023-03-17,203.2582
2023-03-16,203.3484
2023-03-15,203.3548
2023-03-14,203.5648
2023-03-13,203.4132
2023-03-10,203.4149
2023-03-09,203.4290
2023-03-08,203.5184
2023-03-07,203.3681
2023-03-06,203.1823
2023-03-03,202.8257
2023-03-02,202.3243
2023-03-01,202.0085
2023-02-28,201.9048
2023-02-27,201.9193
2023-02-24,201.9788
2023-02-23,202.1351
2023-02-22,201.8904
2023-02-21,201.7325
2023-02-17,201.5779
2023-02-16,201.1664
2023-02-15,200.7156
2023-02-14,200.0330
2023-02-13,199.2813
2023-02-10,198.6131
2023-02-09,198.0304
2023-02-08,197.4606
2023-02-07,196.8060
2023-02-06,196.0731
2023-02-03,195.6349
2023-02-02,195.2114
2023-02-01,194.6348
2023-01-31,193.8137
2023-01-30,193.0306
2023-01-27,192.3515
2023-01-26,191.5834
2023-01-25,190.7202
2023-01-24,189.8239
2023-01-23,188.9196
2023-01-20,188.0604
2023-01-19,187.2971
2023-01-18,186.4893
2023-01-17,185.5537
2023-01-13,184.4984
2023-01-12,183.2889
2023-01-11,182.0223
2023-01-10,180.9608
2023-01-09,179.9106
2023-01-06,178.7408
2023-01-05,177.3425
2023-01-04,176.2140
2023-01-03,175.0946
2022-12-30,174.2662
2022-12-29,173.6040
2022-12-28,172.9793
2022-12-27,172.3507
