Dates,HT_DCPERIOD Values
2023-07-20,18.1515
2023-07-19,18.1331
2023-07-18,18.1692
2023-07-17,18.3155
2023-07-14,18.6153
2023-07-13,19.0584
2023-07-12,19.5710
2023-07-11,20.0618
2023-07-10,20.4741
2023-07-07,20.8687
2023-07-06,21.3710
2023-07-05,21.9702
2023-07-03,22.4405
2023-06-30,22.5781
2023-06-29,22.3647
2023-06-28,22.0790
2023-06-27,22.0430
2023-06-26,21.7516
2023-06-23,20.8803
2023-06-22,19.8873
2023-06-21,18.9730
2023-06-20,17.8162
2023-06-16,16.9399
2023-06-15,16.5093
2023-06-14,16.5975
2023-06-13,17.0687
2023-06-12,17.7789
2023-06-09,18.5315
2023-06-08,19.1968
2023-06-07,19.7488
2023-06-06,20.2064
2023-06-05,20.4795
2023-06-02,20.5327
2023-06-01,20.6635
2023-05-31,21.0005
2023-05-30,21.3562
2023-05-26,21.6731
2023-05-25,22.1066
2023-05-24,22.7540
2023-05-23,23.6013
2023-05-22,24.5166
2023-05-19,25.1778
2023-05-18,25.3938
2023-05-17,25.4999
2023-05-16,26.0722
2023-05-15,26.3027
2023-05-12,25.7557
2023-05-11,25.0999
2023-05-10,25.3338
2023-05-09,24.8260
2023-05-08,23.1504
2023-05-05,21.9134
2023-05-04,21.2162
2023-05-03,20.7477
2023-05-02,20.2407
2023-05-01,19.7965
2023-04-28,19.4978
2023-04-27,19.3282
2023-04-26,19.0894
2023-04-25,18.4907
2023-04-24,17.8396
2023-04-21,17.4780
2023-04-20,17.2533
2023-04-19,17.1025
2023-04-18,16.9227
2023-04-17,16.6635
2023-04-14,16.4353
2023-04-13,16.3907
2023-04-12,16.4716
2023-04-11,16.4691
2023-04-10,16.2278
2023-04-06,15.6882
2023-04-05,14.9885
2023-04-04,14.5208
2023-04-03,14.2752
2023-03-31,14.1215
2023-03-30,13.9936
2023-03-29,13.8670
2023-03-28,13.7982
2023-03-27,13.8325
2023-03-24,13.9530
2023-03-23,14.1651
2023-03-22,14.4532
2023-03-21,14.7895
2023-03-20,15.1240
2023-03-17,15.4153
2023-03-16,15.6880
2023-03-15,15.9499
2023-03-14,16.1295
2023-03-13,16.1735
2023-03-10,16.1847
2023-03-09,16.2902
2023-03-08,16.5070
2023-03-07,16.8405
2023-03-06,17.2742
2023-03-03,17.7307
2023-03-02,18.1381
2023-03-01,18.5387
