Dates,HT_DCPHASE Values
2023-07-20,232.7108
2023-07-19,218.3744
2023-07-18,198.7387
2023-07-17,175.2890
2023-07-14,134.7019
2023-07-13,113.3725
2023-07-12,83.8793
2023-07-11,66.4354
2023-07-10,48.2790
2023-07-07,17.5082
2023-07-06,-3.6456
2023-07-05,-34.6680
2023-07-03,305.1000
2023-06-30,277.5087
2023-06-29,270.4484
2023-06-28,255.9047
2023-06-27,242.0306
2023-06-26,227.9983
2023-06-23,218.6644
2023-06-22,209.2822
2023-06-21,200.7751
2023-06-20,194.7582
2023-06-16,189.5286
2023-06-15,181.4093
2023-06-14,171.2498
2023-06-13,160.8495
2023-06-12,148.8946
2023-06-09,145.7503
2023-06-08,144.9668
2023-06-07,159.2328
2023-06-06,176.7453
2023-06-05,203.8366
2023-06-02,212.1899
2023-06-01,209.7233
2023-05-31,196.2488
2023-05-30,177.4717
2023-05-26,143.3014
2023-05-25,124.4627
2023-05-24,97.5554
2023-05-23,76.5951
2023-05-22,57.3422
2023-05-19,42.8657
2023-05-18,31.1971
2023-05-17,24.8854
2023-05-16,19.4267
2023-05-15,14.9524
2023-05-12,11.2348
2023-05-11,8.5085
2023-05-10,5.9129
2023-05-09,6.0639
2023-05-08,6.6760
2023-05-05,11.6221
2023-05-04,16.4114
2023-05-03,19.7025
2023-05-02,19.6069
2023-05-01,14.5629
2023-04-28,10.8366
2023-04-27,0.0359
2023-04-26,-13.1980
2023-04-25,-14.7239
2023-04-24,-33.7330
2023-04-21,-40.1671
2023-04-20,294.4351
2023-04-19,272.6857
2023-04-18,254.9439
2023-04-17,238.3485
2023-04-14,229.8407
2023-04-13,214.0029
2023-04-12,199.6371
2023-04-11,185.8988
2023-04-10,172.8493
2023-04-06,158.9233
2023-04-05,149.7875
2023-04-04,134.7510
2023-04-03,122.2495
2023-03-31,99.2789
2023-03-30,66.9217
2023-03-29,29.2342
2023-03-28,7.1838
2023-03-27,12.8726
2023-03-24,33.3500
2023-03-23,44.1776
2023-03-22,39.2342
2023-03-21,3.0242
2023-03-20,-25.9901
2023-03-17,308.5812
2023-03-16,274.1747
2023-03-15,247.1500
2023-03-14,207.0179
2023-03-13,156.6565
2023-03-10,117.2170
2023-03-09,93.0319
2023-03-08,63.8151
2023-03-07,44.9784
2023-03-06,24.7906
2023-03-03,-5.0098
2023-03-02,-27.3895
2023-03-01,309.9335
2023-02-28,295.1208
2023-02-27,273.9967
2023-02-24,249.4700
2023-02-23,210.1864
2023-02-22,190.5869
2023-02-21,176.0064
2023-02-17,150.4872
2023-02-16,138.2030
2023-02-15,132.8818
2023-02-14,143.0484
2023-02-13,190.4263
2023-02-10,222.7859
2023-02-09,242.7415
2023-02-08,247.1679
2023-02-07,245.2411
2023-02-06,240.1689
2023-02-03,233.6492
2023-02-02,222.9563
2023-02-01,212.8856
2023-01-31,208.4372
2023-01-30,201.3927
2023-01-27,193.5552
2023-01-26,188.9484
2023-01-25,184.3497
2023-01-24,179.6851
2023-01-23,174.4612
2023-01-20,171.5812
2023-01-19,168.8557
2023-01-18,167.2577
2023-01-17,165.8658
2023-01-13,164.2624
2023-01-12,164.8828
2023-01-11,164.6152
2023-01-10,165.6839
2023-01-09,168.6921
2023-01-06,169.9791
2023-01-05,173.2478
2023-01-04,175.3282
2023-01-03,175.5951
2022-12-30,175.9318
2022-12-29,176.6384
2022-12-28,177.0908
2022-12-27,175.0594
2022-12-23,168.6604
2022-12-22,166.9133
2022-12-21,166.8197
2022-12-20,168.6077
2022-12-19,170.2217
2022-12-16,168.3158
2022-12-15,166.6939
2022-12-14,162.5091
2022-12-13,163.0619
2022-12-12,170.2771
2022-12-09,181.6254
2022-12-08,197.8755
2022-12-07,216.3466
2022-12-06,228.1498
2022-12-05,233.4599
2022-12-02,233.5694
2022-12-01,230.1612
2022-11-30,224.8244
2022-11-29,219.3376
2022-11-28,213.0558
2022-11-25,210.3829
2022-11-23,203.0107
2022-11-22,195.6844
2022-11-21,188.2370
2022-11-18,181.0326
2022-11-17,172.8394
2022-11-16,167.1810
2022-11-15,162.9259
2022-11-14,160.4100
2022-11-11,159.5871
2022-11-10,160.0164
2022-11-09,161.5735
2022-11-08,165.2398
2022-11-07,172.7075
2022-11-04,180.1698
2022-11-03,185.2747
