Dates,HT_PHASOR Values
2023-07-20,2.1646
2023-07-19,-6.8560
2023-07-18,4.4502
2023-07-17,-3.0307
2023-07-14,4.0403
2023-07-13,2.6645
2023-07-12,1.5246
2023-07-11,3.1120
2023-07-10,1.2153
2023-07-07,0.0790
2023-07-06,1.8609
2023-07-05,-0.6740
2023-07-03,1.7947
2023-06-30,-0.8428
2023-06-29,1.9994
2023-06-28,-3.2361
2023-06-27,4.1899
2023-06-26,-3.0111
2023-06-23,5.1141
2023-06-22,2.5090
2023-06-21,3.5419
2023-06-20,10.7824
2023-06-16,-1.3881
2023-06-15,16.6160
2023-06-14,-7.0316
2023-06-13,16.7688
2023-06-12,-11.9731
2023-06-09,6.8486
2023-06-08,-10.8395
2023-06-07,-4.8180
2023-06-06,-8.3389
2023-06-05,-8.7558
2023-06-02,-5.1113
2023-06-01,-13.4576
2023-05-31,-0.4313
2023-05-30,-9.3612
2023-05-26,-0.7065
2023-05-25,-5.4067
2023-05-24,1.3220
2023-05-23,-10.6383
2023-05-22,5.8554
2023-05-19,-7.8719
2023-05-18,7.0371
2023-05-17,-1.9996
2023-05-16,7.2343
2023-05-15,1.0504
2023-05-12,6.0139
2023-05-11,5.1466
2023-05-10,2.1041
2023-05-09,4.6601
2023-05-08,1.2710
2023-05-05,-3.0217
2023-05-04,5.3898
2023-05-03,-5.9787
2023-05-02,7.1849
2023-05-01,-0.0679
2023-04-28,5.3892
2023-04-27,3.3708
2023-04-26,4.5369
2023-04-25,5.3287
2023-04-24,2.4802
2023-04-21,8.8918
2023-04-20,-0.8049
2023-04-19,9.9512
2023-04-18,-4.6700
2023-04-17,6.1763
2023-04-14,-5.4794
2023-04-13,-3.4435
2023-04-12,-1.9461
2023-04-11,-9.3933
2023-04-10,1.0737
2023-04-06,-8.3069
2023-04-05,3.5139
2023-04-04,-8.0527
2023-04-03,6.5389
2023-03-31,-1.0499
2023-03-30,3.7170
2023-03-29,5.8858
2023-03-28,1.6181
2023-03-27,2.3066
2023-03-24,1.9900
2023-03-23,-0.3494
2023-03-22,2.3982
2023-03-21,-1.0500
2023-03-20,3.3457
2023-03-17,0.0557
2023-03-16,3.3769
2023-03-15,6.7204
2023-03-14,0.0814
2023-03-13,14.2128
2023-03-10,-4.4962
2023-03-09,12.0815
2023-03-08,-6.8284
2023-03-07,5.0650
2023-03-06,-7.2989
2023-03-03,-4.1553
2023-03-02,-4.0544
2023-03-01,-9.9276
2023-02-28,-1.8748
2023-02-27,-8.1579
2023-02-24,0.6042
2023-02-23,-5.7032
2023-02-22,1.8146
2023-02-21,1.0999
2023-02-17,-0.3580
2023-02-16,6.8026
2023-02-15,-3.5309
2023-02-14,4.1099
2023-02-13,-3.4753
2023-02-10,-1.2029
2023-02-09,-2.3558
