Dates,HT_SINE Values
2023-07-20,-0.7956
2023-07-19,-0.9910
2023-07-18,-0.6208
2023-07-17,-0.9933
2023-07-14,-0.3213
2023-07-13,-0.8968
2023-07-12,0.0821
2023-07-11,-0.6466
2023-07-10,0.7108
2023-07-07,0.0052
2023-07-06,0.9179
2023-07-05,0.3686
2023-07-03,0.9943
2023-06-30,0.7785
2023-06-29,0.9166
2023-06-28,0.9308
2023-06-27,0.7464
2023-06-26,0.9984
2023-06-23,0.3008
2023-06-22,0.8871
2023-06-21,-0.0636
2023-06-20,0.6607
2023-06-16,-0.5688
2023-06-15,0.1794
2023-06-14,-0.8181
2023-06-13,-0.1719
2023-06-12,-0.9914
2023-06-09,-0.6086
2023-06-08,-1.0000
2023-06-07,-0.7016
2023-06-06,-0.9699
2023-06-05,-0.8580
2023-06-02,-0.8832
2023-06-01,-0.9561
2023-05-31,-0.7431
2023-05-30,-0.9986
2023-05-26,-0.6248
2023-05-25,-0.9939
2023-05-24,-0.4891
2023-05-23,-0.9626
2023-05-22,-0.3547
2023-05-19,-0.9119
2023-05-18,-0.2547
2023-05-17,-0.8639
2023-05-16,-0.1655
2023-05-15,-0.8144
2023-05-12,-0.0246
2023-05-11,-0.7243
2023-05-10,0.1521
2023-05-09,-0.5913
2023-05-08,0.3281
2023-05-05,-0.4360
2023-05-04,0.5166
2023-05-03,-0.2401
2023-05-02,0.5628
2023-05-01,-0.1865
2023-04-28,0.5741
2023-04-27,-0.1731
2023-04-26,0.3546
2023-04-25,-0.4104
2023-04-24,0.0568
2023-04-21,-0.6658
2023-04-20,-0.4041
2023-04-19,-0.9326
2023-04-18,-0.5327
2023-04-17,-0.9751
2023-04-14,-0.4958
2023-04-13,-0.9647
2023-04-12,-0.2798
2023-04-11,-0.8767
2023-04-10,0.0441
2023-04-06,-0.6752
2023-04-05,0.5976
2023-04-04,-0.1444
2023-04-03,0.8245
2023-03-31,0.1829
2023-03-30,0.9913
2023-03-29,0.6080
2023-03-28,0.9728
2023-03-27,0.8518
2023-03-24,0.8419
2023-03-23,0.9769
2023-03-22,0.6803
2023-03-21,0.9993
2023-03-20,0.5180
2023-03-17,0.9711
2023-03-16,0.4208
2023-03-15,0.9390
2023-03-14,0.3326
2023-03-13,0.9020
2023-03-10,0.2580
2023-03-09,0.8656
2023-03-08,0.1948
2023-03-07,0.8313
2023-03-06,0.1480
2023-03-03,0.8039
2023-03-02,0.1030
2023-03-01,0.7762
2023-02-28,0.1056
2023-02-27,0.7778
2023-02-24,0.1163
2023-02-23,0.7845
2023-02-22,0.2015
2023-02-21,0.8351
2023-02-17,0.2825
2023-02-16,0.8781
2023-02-15,0.3371
2023-02-14,0.9041
2023-02-13,0.3356
2023-02-10,0.9034
2023-02-09,0.2514
2023-02-08,0.8622
2023-02-07,0.1880
2023-02-06,0.8274
2023-02-03,0.0006
2023-02-02,0.7075
2023-02-01,-0.2283
2023-01-31,0.5270
2023-01-30,-0.2542
2023-01-27,0.5042
2023-01-26,-0.5553
2023-01-25,0.1954
2023-01-24,-0.6450
2023-01-23,0.0843
2023-01-20,-0.9104
2023-01-19,-0.3513
2023-01-18,-0.9989
2023-01-17,-0.6732
2023-01-13,-0.9657
2023-01-12,-0.8665
2023-01-11,-0.8513
2023-01-10,-0.9730
2023-01-09,-0.7643
2023-01-06,-0.9964
2023-01-05,-0.5592
2023-01-04,-0.9816
2023-01-03,-0.3361
2022-12-30,-0.9036
2022-12-29,-0.1028
2022-12-28,-0.7760
2022-12-27,0.1245
2022-12-23,-0.6136
2022-12-22,0.3596
2022-12-21,-0.4055
2022-12-20,0.5032
2022-12-19,-0.2552
2022-12-16,0.7102
2022-12-15,0.0043
2022-12-14,0.8457
2022-12-13,0.2207
2022-12-12,0.9869
2022-12-09,0.5838
2022-12-08,0.9200
2022-12-07,0.9277
2022-12-06,0.4884
2022-12-05,0.9624
2022-12-02,0.1251
2022-12-01,0.7900
2022-11-30,0.2228
2022-11-29,0.8469
2022-11-28,0.5498
2022-11-25,0.9794
2022-11-23,0.6969
2022-11-22,0.9999
2022-11-21,0.6325
2022-11-18,0.9949
2022-11-17,0.0528
2022-11-16,0.7434
2022-11-15,-0.4382
2022-11-14,0.3257
2022-11-11,-0.7817
2022-11-10,-0.1118
2022-11-09,-0.9973
2022-11-08,-0.6538
2022-11-07,-0.9215
2022-11-04,-0.9262
2022-11-03,-0.4543
2022-11-02,-0.9512
2022-11-01,0.3962
2022-10-31,-0.3690
2022-10-28,0.8893
2022-10-27,0.3054
2022-10-26,0.9986
2022-10-25,0.6687
2022-10-24,0.8974
2022-10-21,0.9466
2022-10-20,0.7068
2022-10-19,1.0000
2022-10-18,0.4193
2022-10-17,0.9384
2022-10-14,-0.0873
2022-10-13,0.6427
2022-10-12,-0.4600
2022-10-11,0.3025
2022-10-10,-0.7668
2022-10-07,-0.0883
2022-10-06,-0.9054
2022-10-05,-0.3400
2022-10-04,-0.9976
2022-10-03,-0.6561
2022-09-30,-0.9365
2022-09-29,-0.9102
2022-09-28,-0.5028
2022-09-27,-0.9668
2022-09-26,-0.1837
2022-09-23,-0.8250
2022-09-22,0.0696
2022-09-21,-0.6561
2022-09-20,0.4926
2022-09-19,-0.2670
2022-09-16,0.6665
2022-09-15,-0.0559
2022-09-14,0.7328
2022-09-13,0.0370
2022-09-12,0.6011
2022-09-09,-0.1400
2022-09-08,-0.1810
2022-09-07,-0.8234
2022-09-06,-0.6793
2022-09-02,-0.9993
2022-09-01,-0.8889
2022-08-31,-0.9524
2022-08-30,-0.9216
2022-08-29,-0.9261
2022-08-26,-0.9081
2022-08-25,-0.9382
2022-08-24,-0.8675
2022-08-23,-0.9652
2022-08-22,-0.8054
2022-08-19,-0.9886
2022-08-18,-0.6814
2022-08-17,-0.9994
2022-08-16,-0.5430
2022-08-15,-0.9777
2022-08-12,-0.4762
2022-08-11,-0.9585
2022-08-10,-0.3648
2022-08-09,-0.9163
2022-08-08,-0.2344
2022-08-05,-0.8531
2022-08-04,-0.1555
2022-08-03,-0.8085
2022-08-02,-0.0758
2022-08-01,-0.7587
2022-07-29,0.0055
2022-07-28,-0.7032
2022-07-27,0.0965
2022-07-26,-0.6356
2022-07-25,0.1464
2022-07-22,-0.5960
2022-07-21,0.1933
2022-07-20,-0.5571
2022-07-19,0.2206
2022-07-18,-0.5337
2022-07-15,0.2442
2022-07-14,-0.5130
2022-07-13,0.2712
2022-07-12,-0.4888
2022-07-11,0.2608
2022-07-08,-0.4982
2022-07-07,0.2653
2022-07-06,-0.4942
2022-07-05,0.2473
2022-07-01,-0.5103
2022-06-30,0.1961
2022-06-29,-0.5547
2022-06-28,0.1740
2022-06-27,-0.5733
2022-06-24,0.1176
2022-06-23,-0.6191
2022-06-22,0.0814
2022-06-21,-0.6472
2022-06-17,0.0768
2022-06-16,-0.6507
2022-06-15,0.0709
2022-06-14,-0.6552
2022-06-13,0.0586
2022-06-10,-0.6644
2022-06-09,0.0508
2022-06-08,-0.6703
2022-06-07,0.0861
2022-06-06,-0.6436
2022-06-03,0.1966
2022-06-02,-0.5543
2022-06-01,0.2264
2022-05-31,-0.5286
2022-05-27,0.2280
2022-05-26,-0.5272
2022-05-25,0.1975
2022-05-24,-0.5535
2022-05-23,0.1698
2022-05-20,-0.5767
2022-05-19,0.2025
2022-05-18,-0.5493
2022-05-17,0.2302
2022-05-16,-0.5254
2022-05-13,0.3006
2022-05-12,-0.4619
2022-05-11,0.2913
2022-05-10,-0.4704
2022-05-09,0.1689
2022-05-06,-0.5775
2022-05-05,-0.0284
2022-05-04,-0.7269
2022-05-03,-0.3069
2022-05-02,-0.8900
2022-04-29,-0.5927
2022-04-28,-0.9886
2022-04-27,-0.7449
2022-04-26,-0.9985
2022-04-25,-0.8034
2022-04-22,-0.9891
2022-04-21,-0.8046
2022-04-20,-0.9888
2022-04-19,-0.7679
2022-04-18,-0.9959
2022-04-14,-0.7049
2022-04-13,-1.0000
2022-04-12,-0.6339
2022-04-11,-0.9951
2022-04-08,-0.5455
2022-04-07,-0.9783
2022-04-06,-0.5058
2022-04-05,-0.9676
2022-04-04,-0.3909
2022-04-01,-0.9273
2022-03-31,-0.2703
2022-03-30,-0.8719
2022-03-29,-0.1433
2022-03-28,-0.8011
2022-03-25,-0.0180
2022-03-24,-0.7197
2022-03-23,0.1247
2022-03-22,-0.6134
2022-03-21,0.2219
2022-03-18,-0.5326
2022-03-17,0.2936
2022-03-16,-0.4683
2022-03-15,0.3353
2022-03-14,-0.4291
2022-03-11,0.3488
2022-03-10,-0.4161
2022-03-09,0.3418
2022-03-08,-0.4229
2022-03-07,0.3161
2022-03-04,-0.4473
2022-03-03,0.2548
2022-03-02,-0.5036
2022-03-01,0.1269
2022-02-28,-0.6116
2022-02-25,-0.0030
2022-02-24,-0.7092
2022-02-23,-0.0919
2022-02-22,-0.7691
2022-02-18,-0.1021
2022-02-17,-0.7756
2022-02-16,0.0205
2022-02-15,-0.6925
2022-02-14,0.1413
2022-02-11,-0.6001
2022-02-10,0.3312
2022-02-09,-0.4330
2022-02-08,0.5585
2022-02-07,-0.1916
2022-02-04,0.7653
2022-02-03,0.0861
2022-02-02,0.9083
2022-02-01,0.3464
2022-01-31,0.9830
2022-01-28,0.5651
2022-01-27,0.9984
2022-01-26,0.7455
2022-01-25,0.9302
2022-01-24,0.9173
2022-01-21,0.8186
2022-01-20,0.9850
2022-01-19,0.6792
2022-01-18,0.9992
2022-01-14,0.5120
2022-01-13,0.9694
2022-01-12,0.4065
2022-01-11,0.9335
2022-01-10,0.3563
2022-01-07,0.9126
2022-01-06,0.3073
2022-01-05,0.8902
2022-01-04,0.2173
2022-01-03,0.8438
2021-12-31,0.1316
2021-12-30,0.7940
2021-12-29,0.0714
2021-12-28,0.7558
2021-12-27,0.0170
2021-12-23,0.7190
2021-12-22,-0.0436
2021-12-21,0.6756
2021-12-20,-0.0999
2021-12-17,0.6329
2021-12-16,-0.1310
2021-12-15,0.6083
2021-12-14,-0.1595
2021-12-13,0.5852
2021-12-10,-0.1837
2021-12-09,0.5652
2021-12-08,-0.2261
2021-12-07,0.5289
2021-12-06,-0.2820
2021-12-03,0.4790
2021-12-02,-0.1582
2021-12-01,0.5863
2021-11-30,-0.0071
2021-11-29,0.7021
