Dates,HT_TRENDLINE Values
2023-07-20,212.0391
2023-07-19,211.8586
2023-07-18,211.9256
2023-07-17,212.1803
2023-07-14,212.5642
2023-07-13,212.8520
2023-07-12,213.0790
2023-07-11,213.1580
2023-07-10,213.1188
2023-07-07,213.0625
2023-07-06,212.8164
2023-07-05,212.5683
2023-07-03,212.2702
2023-06-30,211.9342
2023-06-29,211.7031
2023-06-28,211.3523
2023-06-27,211.1130
2023-06-26,211.0901
2023-06-23,211.3331
2023-06-22,211.5282
2023-06-21,211.5313
2023-06-20,211.2251
2023-06-16,210.6750
2023-06-15,209.8079
2023-06-14,208.9803
2023-06-13,208.0927
2023-06-12,207.0558
2023-06-09,205.9780
2023-06-08,205.1562
2023-06-07,204.3941
2023-06-06,203.8187
2023-06-05,203.2304
2023-06-02,202.6700
2023-06-01,202.3762
2023-05-31,202.3116
2023-05-30,202.3724
2023-05-26,202.5561
2023-05-25,202.7386
2023-05-24,203.0380
2023-05-23,203.3271
2023-05-22,203.4941
2023-05-19,203.5400
2023-05-18,203.7030
2023-05-17,204.0776
2023-05-16,204.4930
2023-05-15,204.8106
2023-05-12,205.1104
2023-05-11,205.3618
2023-05-10,205.6525
2023-05-09,205.9225
2023-05-08,206.1215
2023-05-05,206.5777
2023-05-04,207.0899
2023-05-03,207.6498
2023-05-02,208.0335
2023-05-01,208.4301
2023-04-28,208.6956
2023-04-27,208.9916
2023-04-26,209.2826
2023-04-25,209.5550
2023-04-24,209.7099
2023-04-21,209.6529
2023-04-20,209.3378
2023-04-19,208.8802
2023-04-18,208.4369
2023-04-17,208.1245
2023-04-14,207.9404
2023-04-13,207.4699
2023-04-12,206.9174
2023-04-11,206.3849
2023-04-10,205.8080
2023-04-06,205.2838
2023-04-05,204.7096
2023-04-04,204.0165
2023-04-03,203.3921
2023-03-31,202.8043
2023-03-30,202.2945
2023-03-29,202.0071
2023-03-28,202.0706
2023-03-27,202.6206
2023-03-24,203.4767
2023-03-23,204.4196
2023-03-22,205.1164
2023-03-21,205.3647
2023-03-20,205.2125
2023-03-17,205.1782
2023-03-16,205.3489
2023-03-15,205.6602
2023-03-14,206.1254
2023-03-13,206.7299
2023-03-10,207.5530
2023-03-09,208.4519
2023-03-08,209.2365
2023-03-07,209.4721
2023-03-06,209.5679
2023-03-03,209.5918
2023-03-02,209.5065
2023-03-01,209.7480
2023-02-28,210.3187
2023-02-27,210.8733
2023-02-24,211.3262
2023-02-23,211.6528
2023-02-22,211.6867
2023-02-21,211.6995
2023-02-17,211.7710
2023-02-16,211.7013
2023-02-15,211.4905
2023-02-14,211.1044
2023-02-13,210.7406
2023-02-10,210.3912
2023-02-09,209.7745
2023-02-08,208.9350
2023-02-07,207.7855
2023-02-06,206.8089
2023-02-03,205.8266
2023-02-02,204.6354
2023-02-01,203.4595
2023-01-31,202.2569
2023-01-30,200.8481
2023-01-27,199.4850
2023-01-26,198.0190
2023-01-25,196.1235
2023-01-24,194.4158
2023-01-23,192.7155
2023-01-20,191.0833
2023-01-19,189.6905
2023-01-18,188.2891
2023-01-17,187.1833
2023-01-13,186.2099
2023-01-12,185.3629
2023-01-11,184.4620
2023-01-10,183.6150
2023-01-09,182.9642
2023-01-06,182.4776
2023-01-05,181.9146
2023-01-04,181.5276
2023-01-03,181.3069
2022-12-30,181.1115
2022-12-29,180.9253
2022-12-28,180.6793
2022-12-27,180.2809
2022-12-23,179.7981
2022-12-22,179.4180
2022-12-21,179.0468
2022-12-20,178.6499
2022-12-19,178.3536
2022-12-16,178.0528
2022-12-15,177.6883
2022-12-14,177.2085
2022-12-13,176.5747
2022-12-12,175.8276
2022-12-09,175.0955
2022-12-08,174.2857
2022-12-07,173.2453
2022-12-06,171.9590
2022-12-05,170.3855
2022-12-02,168.6857
2022-12-01,167.0464
2022-11-30,165.5825
2022-11-29,164.1421
2022-11-28,162.8713
2022-11-25,161.8507
2022-11-23,160.3898
2022-11-22,158.8192
2022-11-21,157.1485
2022-11-18,155.2375
2022-11-17,153.1006
2022-11-16,151.0949
2022-11-15,148.8606
2022-11-14,146.7980
2022-11-11,144.6984
2022-11-10,142.8272
2022-11-09,141.0245
2022-11-08,139.5538
2022-11-07,138.0743
2022-11-04,136.7970
2022-11-03,135.8327
2022-11-02,134.9083
2022-11-01,134.2768
2022-10-31,133.8744
2022-10-28,133.7160
2022-10-27,133.7645
2022-10-26,133.9540
2022-10-25,134.2249
2022-10-24,134.5117
2022-10-21,135.1759
2022-10-20,136.2584
2022-10-19,137.4102
2022-10-18,138.4321
2022-10-17,139.1019
2022-10-14,139.5077
2022-10-13,140.0065
2022-10-12,140.7404
2022-10-11,141.7150
2022-10-10,142.5829
2022-10-07,142.7779
2022-10-06,142.7994
2022-10-05,142.6393
2022-10-04,142.7682
2022-10-03,143.3088
2022-09-30,144.3076
2022-09-29,145.5694
2022-09-28,147.0391
2022-09-27,148.8290
2022-09-26,150.9614
2022-09-23,152.7181
2022-09-22,154.1909
2022-09-21,155.4099
2022-09-20,156.3902
2022-09-19,157.3907
2022-09-16,158.6091
2022-09-15,159.9460
2022-09-14,161.2336
2022-09-13,162.2584
2022-09-12,162.9450
2022-09-09,163.2927
2022-09-08,163.7038
2022-09-07,164.1508
2022-09-06,164.5825
2022-09-02,164.8989
2022-09-01,165.0616
2022-08-31,165.0106
2022-08-30,164.8300
2022-08-29,164.8116
2022-08-26,164.6724
2022-08-25,164.4703
2022-08-24,164.1536
2022-08-23,163.9414
2022-08-22,163.6432
2022-08-19,162.9817
2022-08-18,162.0598
2022-08-17,160.8425
2022-08-16,159.3226
2022-08-15,157.7539
2022-08-12,155.9055
2022-08-11,154.3256
2022-08-10,153.0811
2022-08-09,152.1819
2022-08-08,151.5339
2022-08-05,151.0784
2022-08-04,150.6357
2022-08-03,150.2273
2022-08-02,149.6543
2022-08-01,149.1523
2022-07-29,148.7469
