Dates,KAMA Values
2023-07-19,214.1016
2023-07-18,214.3863
2023-07-17,214.4078
2023-07-14,214.4281
2023-07-13,214.4443
2023-07-12,214.1609
2023-07-11,213.6980
2023-07-10,211.8209
2023-07-07,211.4291
2023-07-06,211.2891
2023-07-05,211.2797
2023-07-03,211.2598
2023-06-30,211.2969
2023-06-29,211.3093
2023-06-28,211.2895
2023-06-27,211.3396
2023-06-26,211.5921
2023-06-23,212.3197
2023-06-22,213.2460
2023-06-21,213.4975
2023-06-20,213.5329
2023-06-16,213.5531
2023-06-15,213.2849
2023-06-14,212.8232
2023-06-13,212.5231
2023-06-12,211.3348
2023-06-09,209.3133
2023-06-08,207.8491
2023-06-07,205.4994
2023-06-06,205.0145
2023-06-05,204.9935
2023-06-02,204.9158
2023-06-01,204.4691
2023-05-31,204.4329
2023-05-30,204.3806
2023-05-26,204.3764
2023-05-25,204.3912
2023-05-24,204.4208
2023-05-23,204.4826
2023-05-22,204.4971
2023-05-19,204.3348
2023-05-18,204.2441
2023-05-17,203.7874
2023-05-16,203.6403
2023-05-15,203.6917
2023-05-12,203.7009
2023-05-11,203.8984
2023-05-10,203.9791
2023-05-09,204.0296
2023-05-08,204.0412
2023-05-05,204.8004
2023-05-04,205.3146
2023-05-03,206.5616
2023-05-02,207.2127
2023-05-01,207.4874
2023-04-28,207.5249
2023-04-27,207.5637
2023-04-26,207.6365
2023-04-25,207.9695
2023-04-24,208.4729
2023-04-21,208.5646
2023-04-20,208.7213
2023-04-19,208.7473
2023-04-18,208.7485
2023-04-17,208.7663
2023-04-14,208.9597
2023-04-13,209.5641
2023-04-12,209.2794
2023-04-11,208.9892
2023-04-10,208.4839
2023-04-06,208.0940
2023-04-05,207.5096
2023-04-04,207.0543
2023-04-03,206.6011
2023-03-31,205.8046
2023-03-30,205.1586
2023-03-29,204.8548
2023-03-28,204.6504
2023-03-27,204.6472
2023-03-24,204.6965
2023-03-23,204.8855
2023-03-22,204.9874
2023-03-21,205.4740
2023-03-20,205.4861
2023-03-17,205.5106
2023-03-16,205.9487
2023-03-15,206.0313
2023-03-14,206.2396
2023-03-13,206.2096
2023-03-10,206.2523
2023-03-09,206.3308
2023-03-08,206.4754
2023-03-07,206.4698
2023-03-06,206.4540
2023-03-03,206.4282
2023-03-02,206.3165
2023-03-01,206.1815
2023-02-28,206.3765
2023-02-27,206.9751
2023-02-24,207.5674
2023-02-23,208.6804
2023-02-22,208.7039
2023-02-21,209.0090
2023-02-17,209.0377
2023-02-16,208.9263
