Dates,MACDEXT Values
2023-07-20,0.6992
2023-07-19,-0.5808
2023-07-18,1.2799
2023-07-17,0.1692
2023-07-14,-0.9153
2023-07-13,1.0846
2023-07-12,0.0476
2023-07-11,-1.1569
2023-07-10,1.2044
2023-07-07,-0.1823
2023-07-06,-1.2782
2023-07-05,1.0959
2023-07-03,-0.2804
2023-06-30,-1.2644
2023-06-29,0.9839
2023-06-28,-0.3637
2023-06-27,-1.1345
2023-06-26,0.7708
2023-06-23,-0.9925
2023-06-22,-0.8734
2023-06-21,-0.1191
2023-06-20,-1.8217
2023-06-16,-0.4270
2023-06-15,-1.3947
2023-06-14,-2.5022
2023-06-13,0.1949
2023-06-12,-2.6970
2023-06-09,-2.3120
2023-06-08,0.9821
2023-06-07,-3.2940
2023-06-06,-2.0045
2023-06-05,1.8014
2023-06-02,-3.8059
2023-06-01,-1.0446
2023-05-31,2.6234
2023-05-30,-3.6680
2023-05-26,-0.0578
2023-05-25,3.3802
2023-05-24,-3.4380
2023-05-23,0.8887
2023-05-22,4.0875
2023-05-19,-3.1989
2023-05-18,1.9862
2023-05-17,4.6938
2023-05-16,-2.7076
2023-05-15,3.0247
2023-05-12,5.1277
2023-05-11,-2.1030
2023-05-10,3.7751
2023-05-09,5.3848
2023-05-08,-1.6097
2023-05-05,4.5826
2023-05-04,5.5196
2023-05-03,-0.9370
2023-05-02,5.0622
2023-05-01,5.4782
2023-04-28,-0.4160
2023-04-27,5.3935
2023-04-26,5.2819
2023-04-25,0.1116
2023-04-24,5.7669
2023-04-21,4.9825
2023-04-20,0.7843
2023-04-19,6.3079
2023-04-18,4.5923
2023-04-17,1.7156
2023-04-14,6.3454
2023-04-13,4.1167
2023-04-12,2.2287
2023-04-11,5.8911
2023-04-10,3.6386
2023-04-06,2.2525
2023-04-05,5.3387
2023-04-04,3.2051
2023-04-03,2.1336
2023-03-31,4.9882
2023-03-30,2.7616
2023-03-29,2.2266
2023-03-28,4.2101
2023-03-27,2.3337
2023-03-24,1.8763
2023-03-23,3.2953
2023-03-22,1.9457
2023-03-21,1.3496
2023-03-20,2.6994
2023-03-17,1.6309
2023-03-16,1.0685
2023-03-15,2.2543
2023-03-14,1.3412
2023-03-13,0.9131
2023-03-10,2.0276
2023-03-09,1.0767
2023-03-08,0.9509
2023-03-07,2.0431
2023-03-06,0.7799
2023-03-03,1.2632
2023-03-02,1.9893
2023-03-01,0.4316
2023-02-28,1.5577
2023-02-27,1.3476
2023-02-24,0.0251
2023-02-23,1.3224
2023-02-22,1.1370
2023-02-21,-0.3868
2023-02-17,1.5238
2023-02-16,0.7176
2023-02-15,-0.8341
2023-02-14,1.5518
2023-02-13,0.4624
2023-02-10,-1.2859
2023-02-09,1.7484
2023-02-08,0.0915
2023-02-07,-1.6970
2023-02-06,1.7885
2023-02-03,-0.1259
2023-02-02,-2.0733
2023-02-01,1.9474
2023-01-31,-0.6434
2023-01-30,-2.4436
2023-01-27,1.8002
2023-01-26,-1.0919
2023-01-25,-2.8048
2023-01-24,1.7129
2023-01-23,-1.6687
2023-01-20,-3.1326
2023-01-19,1.4640
2023-01-18,-2.3602
2023-01-17,-3.4112
2023-01-13,1.0510
2023-01-12,-2.8888
2023-01-11,-3.5795
2023-01-10,0.6906
2023-01-09,-3.3485
2023-01-06,-3.6341
2023-01-05,0.2857
2023-01-04,-3.2371
2023-01-03,-3.5668
2022-12-30,0.3296
2022-12-29,-3.2954
2022-12-28,-3.4722
2022-12-27,0.1768
2022-12-23,-3.4589
2022-12-22,-3.3610
2022-12-21,-0.0979
2022-12-20,-3.8936
2022-12-19,-3.1162
2022-12-16,-0.7774
2022-12-15,-4.0424
2022-12-14,-2.7262
2022-12-13,-1.3162
2022-12-12,-4.1756
2022-12-09,-2.2557
2022-12-08,-1.9199
2022-12-07,-3.8748
2022-12-06,-1.7062
2022-12-05,-2.1687
2022-12-02,-3.3810
