Dates,MAMA Values
2023-07-19,198.0073
2023-07-18,190.7532
2023-07-17,197.9003
2023-07-14,190.7168
2023-07-13,197.7622
2023-07-12,190.6807
2023-07-11,197.6197
2023-07-10,190.6451
2023-07-07,197.4632
2023-07-06,190.6100
2023-07-05,197.2673
2023-07-03,190.5756
2023-06-30,197.0669
2023-06-29,190.5420
2023-06-28,196.8478
2023-06-27,190.5092
2023-06-26,196.6815
2023-06-23,190.4773
2023-06-22,196.5258
2023-06-21,190.4462
2023-06-20,196.3632
2023-06-16,190.4156
2023-06-15,196.1920
2023-06-14,190.3857
2023-06-13,196.0432
2023-06-12,190.3565
2023-06-09,195.8905
2023-06-08,190.3280
2023-06-07,195.7295
2023-06-06,190.3000
2023-06-05,195.5781
2023-06-02,190.2727
2023-06-01,195.4382
2023-05-31,190.2461
2023-05-30,195.3358
2023-05-26,190.2200
2023-05-25,195.2340
2023-05-24,190.1943
2023-05-23,195.1292
2023-05-22,190.1689
2023-05-19,194.9580
2023-05-18,190.1440
2023-05-17,194.7821
2023-05-16,190.1198
2023-05-15,194.5275
2023-05-12,190.0964
2023-05-11,194.2761
2023-05-10,190.0741
2023-05-09,194.0476
2023-05-08,190.0530
2023-05-05,193.7816
2023-05-04,190.0329
2023-05-03,193.5010
2023-05-02,190.0141
2023-05-01,193.2605
2023-04-28,189.9966
2023-04-27,193.0095
2023-04-26,189.9802
2023-04-25,192.8184
2023-04-24,189.9650
2023-04-21,192.6722
2023-04-20,189.9506
2023-04-19,192.5095
2023-04-18,189.9369
2023-04-17,192.2993
2023-04-14,189.9240
2023-04-13,192.1411
2023-04-12,189.9121
2023-04-11,192.0042
2023-04-10,189.9009
2023-04-06,191.8760
2023-04-05,189.8903
2023-04-04,191.7573
2023-04-03,189.8803
2023-03-31,191.6653
2023-03-30,189.8709
2023-03-29,191.5885
2023-03-28,189.8619
2023-03-27,191.4772
2023-03-24,189.8532
2023-03-23,191.3314
2023-03-22,189.8450
2023-03-21,191.1884
2023-03-20,189.8376
2023-03-17,191.0263
2023-03-16,189.8308
2023-03-15,190.8663
2023-03-14,189.8248
2023-03-13,190.7652
2023-03-10,189.8195
2023-03-09,190.6439
2023-03-08,189.8148
2023-03-07,190.5424
2023-03-06,189.8106
2023-03-03,190.4283
2023-03-02,189.8070
2023-03-01,190.3231
2023-02-28,189.8038
2023-02-27,190.2063
2023-02-24,189.8012
2023-02-23,190.1351
2023-02-22,189.7992
2023-02-21,190.0522
2023-02-17,189.7975
2023-02-16,189.9815
2023-02-15,189.7962
2023-02-14,189.8709
2023-02-13,189.7953
2023-02-10,189.7358
2023-02-09,189.7949
2023-02-08,189.5930
2023-02-07,189.7952
2023-02-06,189.4194
2023-02-03,189.7962
2023-02-02,189.2515
2023-02-01,189.7981
2023-01-31,189.1124
2023-01-30,189.8009
2023-01-27,188.9803
2023-01-26,189.8043
2023-01-25,188.8107
2023-01-24,189.8085
2023-01-23,188.6456
2023-01-20,189.8135
2023-01-19,188.4579
2023-01-18,189.8193
2023-01-17,188.2533
2023-01-13,189.8262
2023-01-12,188.0501
2023-01-11,189.8341
2023-01-10,187.8786
2023-01-09,189.8431
2023-01-06,187.7389
2023-01-05,189.8529
2023-01-04,187.4778
2023-01-03,189.8635
2022-12-30,187.2267
2022-12-29,189.8755
2022-12-28,186.9732
2022-12-27,189.8888
2022-12-23,186.7327
2022-12-22,189.9035
2022-12-21,186.4839
2022-12-20,189.9194
2022-12-19,186.2463
2022-12-16,189.9367
2022-12-15,185.9670
2022-12-14,189.9552
2022-12-13,185.6698
2022-12-12,189.9753
2022-12-09,185.3995
2022-12-08,189.9969
2022-12-07,185.1405
2022-12-06,190.0200
2022-12-05,184.9099
2022-12-02,190.0445
2022-12-01,184.7074
2022-11-30,190.0703
2022-11-29,184.5471
2022-11-28,190.0973
2022-11-25,184.4160
2022-11-23,190.1252
2022-11-22,184.2798
2022-11-21,190.1539
2022-11-18,184.1598
2022-11-17,190.1834
2022-11-16,183.9523
2022-11-15,190.2137
2022-11-14,183.7420
2022-11-11,190.2451
2022-11-10,183.5672
2022-11-09,190.2778
2022-11-08,183.3690
2022-11-07,190.3115
2022-11-04,183.2191
2022-11-03,190.3464
2022-11-02,182.9761
2022-11-01,190.3822
2022-10-31,182.7701
2022-10-28,190.4194
2022-10-27,182.5650
2022-10-26,190.4579
2022-10-25,182.3764
2022-10-24,190.4975
2022-10-21,182.1256
2022-10-20,190.5384
2022-10-19,181.8651
2022-10-18,190.5806
2022-10-17,181.5615
2022-10-14,190.6244
2022-10-13,181.2226
2022-10-12,190.6700
2022-10-11,180.9313
2022-10-10,190.7174
2022-10-07,180.6928
2022-10-06,190.7666
2022-10-05,180.4821
2022-10-04,190.8172
2022-10-03,180.2803
2022-09-30,190.8692
2022-09-29,180.0998
2022-09-28,190.9224
2022-09-27,179.8166
2022-09-26,190.9768
2022-09-23,179.5546
2022-09-22,191.0329
2022-09-21,179.2923
2022-09-20,191.0905
2022-09-19,178.9654
2022-09-16,191.1498
2022-09-15,178.6296
2022-09-14,191.2111
2022-09-13,178.2375
2022-09-12,191.2743
2022-09-09,177.8314
2022-09-08,191.3398
2022-09-07,177.4493
2022-09-06,191.4077
2022-09-02,177.0914
2022-09-01,191.4778
2022-08-31,176.7388
2022-08-30,191.5501
2022-08-29,176.3675
2022-08-26,191.6245
2022-08-25,175.9797
2022-08-24,191.7012
2022-08-23,175.6683
2022-08-22,191.7802
2022-08-19,175.3618
2022-08-18,191.8612
2022-08-17,175.0186
2022-08-16,191.9441
2022-08-15,174.6173
2022-08-12,192.0291
2022-08-11,174.2296
2022-08-10,192.1166
2022-08-09,173.8716
2022-08-08,192.2065
2022-08-05,173.4948
2022-08-04,192.2986
2022-08-03,173.0985
2022-08-02,192.3931
2022-08-01,172.6987
2022-07-29,192.4901
2022-07-28,172.3019
2022-07-27,192.5896
2022-07-26,171.9214
2022-07-25,192.6915
2022-07-22,171.5695
2022-07-21,192.7959
2022-07-20,171.2107
2022-07-19,192.9025
2022-07-18,170.8249
2022-07-15,193.0115
2022-07-14,170.4149
2022-07-13,193.1230
2022-07-12,169.9734
2022-07-11,193.2371
2022-07-08,169.5254
2022-07-07,193.3540
2022-07-06,169.1365
2022-07-05,193.4738
2022-07-01,168.7572
2022-06-30,193.5961
2022-06-29,168.3550
2022-06-28,193.7209
2022-06-27,167.9041
2022-06-24,193.8484
2022-06-23,167.5295
2022-06-22,193.9787
2022-06-21,167.1647
2022-06-17,194.1117
2022-06-16,166.8796
