Dates,MFI Values
2023-07-20,57.9757
2023-07-19,56.0465
2023-07-18,57.7079
2023-07-17,57.5796
2023-07-14,59.1058
2023-07-13,59.2320
2023-07-12,59.4035
2023-07-11,57.7205
2023-07-10,57.2764
2023-07-07,59.5257
2023-07-06,57.7084
2023-07-05,56.2624
2023-07-03,54.6729
2023-06-30,54.4320
2023-06-29,56.4462
2023-06-28,57.0937
2023-06-27,57.3910
2023-06-26,52.9015
2023-06-23,53.1036
2023-06-22,53.3973
2023-06-21,55.6586
2023-06-20,57.3733
2023-06-16,57.9626
2023-06-15,55.7542
2023-06-14,53.5804
2023-06-13,55.8408
2023-06-12,55.6798
2023-06-09,55.3615
2023-06-08,55.0281
2023-06-07,54.2669
2023-06-06,53.7705
2023-06-05,55.1899
2023-06-02,54.9860
2023-06-01,52.0823
2023-05-31,51.9847
2023-05-30,53.9949
2023-05-26,55.0034
2023-05-25,55.4874
2023-05-24,52.6874
2023-05-23,54.9638
2023-05-22,56.8388
2023-05-19,55.7623
2023-05-18,55.6959
2023-05-17,54.5147
2023-05-16,52.4898
2023-05-15,51.6895
2023-05-12,52.5351
2023-05-11,52.9333
2023-05-10,53.1148
2023-05-09,54.3893
2023-05-08,53.5964
2023-05-05,52.6957
2023-05-04,52.7701
2023-05-03,53.4585
2023-05-02,51.8512
2023-05-01,51.6362
2023-04-28,51.4949
2023-04-27,51.2453
2023-04-26,52.1556
2023-04-25,51.5477
2023-04-24,53.2044
2023-04-21,52.8173
2023-04-20,54.1387
2023-04-19,55.9069
2023-04-18,54.4557
2023-04-17,52.2968
2023-04-14,50.1111
2023-04-13,54.9244
2023-04-12,55.0262
2023-04-11,54.7524
2023-04-10,52.8726
2023-04-06,53.4621
2023-04-05,57.0114
2023-04-04,58.4974
2023-04-03,60.5007
2023-03-31,58.5615
2023-03-30,56.6943
2023-03-29,54.6823
2023-03-28,53.0055
2023-03-27,53.1682
2023-03-24,53.8770
2023-03-23,55.6973
2023-03-22,55.3108
2023-03-21,57.8443
2023-03-20,58.7332
2023-03-17,59.0023
2023-03-16,58.9879
2023-03-15,59.1878
2023-03-14,61.5936
2023-03-13,59.7694
2023-03-10,58.1503
2023-03-09,60.3520
2023-03-08,60.4698
2023-03-07,59.7061
2023-03-06,61.6937
2023-03-03,63.7905
2023-03-02,63.5819
2023-03-01,61.5160
2023-02-28,60.0500
2023-02-27,60.2765
2023-02-24,60.9893
2023-02-23,63.6479
2023-02-22,63.8069
2023-02-21,65.0364
2023-02-17,64.9681
2023-02-16,64.5494
2023-02-15,66.4347
2023-02-14,68.3632
2023-02-13,66.5418
2023-02-10,66.5863
2023-02-09,66.5137
2023-02-08,66.6478
2023-02-07,66.5050
2023-02-06,66.0316
2023-02-03,66.0809
2023-02-02,66.5971
2023-02-01,68.4138
2023-01-31,66.6303
2023-01-30,65.2620
2023-01-27,65.2728
2023-01-26,65.4013
2023-01-25,62.9652
2023-01-24,62.2539
2023-01-23,62.5565
2023-01-20,62.9957
2023-01-19,65.0612
2023-01-18,67.0731
2023-01-17,69.4716
2023-01-13,72.1451
2023-01-12,71.9367
2023-01-11,70.2463
2023-01-10,70.0825
2023-01-09,72.7345
2023-01-06,67.6473
2023-01-05,66.9648
2023-01-04,66.6292
2023-01-03,64.8507
2022-12-30,64.2614
2022-12-29,64.3271
2022-12-28,65.6471
2022-12-27,67.1490
2022-12-23,67.0795
2022-12-22,68.3724
2022-12-21,68.8842
2022-12-20,66.7988
2022-12-19,66.6671
2022-12-16,65.3157
2022-12-15,67.1779
2022-12-14,67.3546
2022-12-13,67.2828
2022-12-12,66.7073
2022-12-09,64.7423
2022-12-08,62.8519
2022-12-07,62.9360
2022-12-06,63.1265
2022-12-05,63.7295
2022-12-02,61.2571
2022-12-01,59.0537
2022-11-30,58.9416
2022-11-29,58.7835
2022-11-28,58.6824
2022-11-25,58.1245
2022-11-23,58.7323
2022-11-22,57.0728
2022-11-21,56.5485
2022-11-18,57.7297
2022-11-17,57.7994
2022-11-16,59.1420
2022-11-15,60.4466
2022-11-14,60.9248
2022-11-11,61.1007
2022-11-10,61.4966
2022-11-09,59.3402
2022-11-08,57.2150
2022-11-07,54.9831
2022-11-04,52.8025
2022-11-03,52.2342
2022-11-02,50.5978
2022-11-01,48.2160
2022-10-31,46.5641
2022-10-28,46.5105
2022-10-27,46.0901
2022-10-26,42.9690
2022-10-25,47.8821
2022-10-24,47.7253
2022-10-21,47.7289
2022-10-20,47.6440
2022-10-19,48.3258
2022-10-18,46.3286
2022-10-17,47.5014
2022-10-14,45.3631
2022-10-13,45.3897
2022-10-12,45.4901
2022-10-11,44.5914
2022-10-10,48.9665
2022-10-07,48.9696
2022-10-06,50.9687
2022-10-05,52.7968
2022-10-04,54.4480
2022-10-03,52.7142
2022-09-30,52.9087
2022-09-29,55.0448
2022-09-28,57.3324
2022-09-27,57.9795
2022-09-26,60.4338
2022-09-23,62.2339
2022-09-22,64.4514
2022-09-21,63.9695
2022-09-20,66.6071
2022-09-19,65.0841
2022-09-16,63.7669
2022-09-15,66.0594
2022-09-14,65.7246
2022-09-13,65.5946
2022-09-12,67.7201
2022-09-09,65.9039
2022-09-08,64.1950
2022-09-07,64.7683
2022-09-06,63.0004
2022-09-02,64.9868
2022-09-01,64.3144
2022-08-31,64.4510
2022-08-30,65.9833
2022-08-29,68.2427
2022-08-26,70.3446
2022-08-25,72.7119
2022-08-24,73.2148
2022-08-23,70.8765
2022-08-22,69.6379
2022-08-19,69.6659
2022-08-18,70.9565
2022-08-17,70.9639
2022-08-16,71.1793
2022-08-15,71.3849
2022-08-12,71.7669
2022-08-11,70.1740
2022-08-10,71.4275
2022-08-09,71.3224
2022-08-08,72.7362
2022-08-05,72.3677
2022-08-04,72.0520
2022-08-03,72.1733
2022-08-02,69.4644
2022-08-01,70.2070
2022-07-29,67.6744
2022-07-28,67.9824
2022-07-27,66.0736
2022-07-26,66.1108
2022-07-25,63.8503
2022-07-22,63.3108
2022-07-21,61.3286
2022-07-20,59.1981
2022-07-19,57.5084
2022-07-18,55.2536
2022-07-15,54.8607
2022-07-14,55.0976
2022-07-13,52.8531
2022-07-12,52.6002
2022-07-11,49.3160
2022-07-08,45.8939
2022-07-07,45.4392
2022-07-06,44.0488
2022-07-05,42.7649
2022-07-01,42.7639
2022-06-30,41.3150
2022-06-29,42.9440
2022-06-28,43.0095
2022-06-27,42.4417
2022-06-24,44.0666
2022-06-23,43.4732
2022-06-22,45.0635
2022-06-21,45.0082
2022-06-17,43.1917
2022-06-16,40.7378
2022-06-15,37.7482
2022-06-14,34.0974
2022-06-13,31.7500
2022-06-10,32.0736
2022-06-09,34.3359
2022-06-08,36.1862
2022-06-07,34.8430
2022-06-06,35.2140
2022-06-03,36.7887
2022-06-02,34.8352
2022-06-01,35.6434
2022-05-31,33.9747
2022-05-27,35.1283
2022-05-26,35.5923
2022-05-25,36.5321
2022-05-24,36.9180
2022-05-23,36.7680
2022-05-20,37.1669
2022-05-19,37.5276
2022-05-18,39.3303
2022-05-17,41.5966
2022-05-16,39.4352
2022-05-13,38.9550
2022-05-12,36.0110
2022-05-11,37.9324
2022-05-10,37.5754
2022-05-09,39.6869
2022-05-06,41.6913
2022-05-05,41.1102
2022-05-04,40.9981
2022-05-03,39.0802
2022-05-02,37.3840
2022-04-29,37.5933
2022-04-28,39.1727
2022-04-27,41.6487
2022-04-26,44.0579
2022-04-25,43.5913
2022-04-22,45.8238
2022-04-21,47.4494
2022-04-20,49.1438
2022-04-19,51.2756
2022-04-18,49.7936
2022-04-14,51.1335
2022-04-13,51.5049
2022-04-12,52.1418
2022-04-11,53.1648
2022-04-08,51.4564
2022-04-07,50.7519
2022-04-06,49.3858
2022-04-05,51.0531
2022-04-04,50.5155
2022-04-01,50.0483
2022-03-31,49.6854
2022-03-30,49.2910
2022-03-29,49.3275
2022-03-28,49.4125
2022-03-25,51.9479
2022-03-24,52.3221
2022-03-23,52.4993
2022-03-22,52.4093
2022-03-21,52.1160
2022-03-18,53.9244
2022-03-17,53.9374
2022-03-16,54.3415
2022-03-15,54.1720
2022-03-14,52.6642
2022-03-11,52.6636
2022-03-10,51.2320
2022-03-09,52.8603
2022-03-08,51.1977
2022-03-07,50.7718
2022-03-04,52.7097
2022-03-03,55.0942
2022-03-02,55.3473
2022-03-01,53.3572
2022-02-28,53.7523
2022-02-25,51.7225
2022-02-24,50.0069
2022-02-23,50.1418
2022-02-22,50.2485
2022-02-18,50.5608
2022-02-17,52.0519
2022-02-16,53.7934
2022-02-15,54.3080
2022-02-14,52.1252
2022-02-11,54.7071
2022-02-10,54.6492
2022-02-09,52.2075
2022-02-08,52.5812
2022-02-07,50.1520
2022-02-04,48.4190
2022-02-03,48.1247
2022-02-02,46.3789
2022-02-01,43.6510
2022-01-31,43.6395
2022-01-28,41.0658
2022-01-27,40.9739
2022-01-26,44.5665
2022-01-25,46.8948
2022-01-24,45.3919
2022-01-21,47.4830
2022-01-20,47.8823
2022-01-19,49.6557
2022-01-18,52.3378
2022-01-14,52.0005
2022-01-13,50.7117
2022-01-12,49.4678
2022-01-11,49.4448
2022-01-10,47.7721
2022-01-07,47.7289
2022-01-06,45.3204
2022-01-05,44.9746
2022-01-04,43.0207
2022-01-03,41.0725
2021-12-31,39.2751
2021-12-30,40.9471
2021-12-29,42.2357
2021-12-28,42.1676
2021-12-27,40.3909
2021-12-23,40.1220
2021-12-22,38.5745
2021-12-21,36.9323
2021-12-20,36.5061
2021-12-17,36.8221
2021-12-16,38.7535
2021-12-15,38.7500
2021-12-14,39.0391
