Dates,MIDPOINT Values
2023-07-20,213.6800
2023-07-19,213.6800
2023-07-18,215.1650
2023-07-17,214.8400
2023-07-14,214.8400
2023-07-13,214.8400
2023-07-12,214.7400
2023-07-11,214.0950
2023-07-10,209.4450
2023-07-07,209.3600
2023-07-06,209.3600
2023-07-05,209.3600
2023-07-03,208.8900
2023-06-30,212.7000
2023-06-29,212.7000
2023-06-28,212.7000
2023-06-27,212.8950
2023-06-26,213.4850
2023-06-23,213.4850
2023-06-22,213.5850
2023-06-21,216.7450
2023-06-20,214.4250
2023-06-16,214.4250
2023-06-15,214.4250
2023-06-14,214.4250
2023-06-13,213.6300
2023-06-12,213.1250
2023-06-09,210.8700
2023-06-08,209.4900
2023-06-07,206.2950
2023-06-06,206.2950
2023-06-05,206.2950
2023-06-02,206.2950
2023-06-01,203.6150
2023-05-31,203.2550
2023-05-30,203.2550
2023-05-26,203.2550
2023-05-25,203.2550
2023-05-24,203.2550
2023-05-23,203.9700
2023-05-22,203.9700
2023-05-19,202.2500
2023-05-18,202.2500
2023-05-17,201.9600
2023-05-16,199.9100
2023-05-15,200.1500
2023-05-12,200.4600
2023-05-11,201.9150
2023-05-10,201.9150
2023-05-09,201.9150
2023-05-08,201.9150
2023-05-05,201.9150
2023-05-04,201.9150
2023-05-03,204.0800
2023-05-02,205.4500
2023-05-01,205.4500
2023-04-28,205.4500
2023-04-27,205.2100
2023-04-26,207.6500
2023-04-25,207.6500
2023-04-24,207.6500
2023-04-21,207.6500
2023-04-20,207.6500
2023-04-19,207.6500
2023-04-18,207.8050
2023-04-17,208.5500
2023-04-14,208.5500
2023-04-13,212.6950
2023-04-12,211.6800
2023-04-11,210.1750
2023-04-10,207.9800
2023-04-06,206.4600
2023-04-05,206.4600
2023-04-04,205.7750
2023-04-03,205.7750
2023-03-31,204.2950
2023-03-30,203.6000
2023-03-29,202.0650
2023-03-28,200.5600
2023-03-27,201.7200
2023-03-24,201.7200
2023-03-23,201.7200
2023-03-22,201.7200
2023-03-21,202.7450
2023-03-20,203.0650
2023-03-17,205.0650
2023-03-16,206.6600
2023-03-15,206.6600
2023-03-14,208.1750
2023-03-13,208.1750
2023-03-10,207.7850
2023-03-09,206.6300
2023-03-08,206.6300
2023-03-07,206.6300
2023-03-06,206.6300
2023-03-03,206.6300
2023-03-02,205.1800
2023-03-01,207.7950
2023-02-28,208.3000
2023-02-27,208.3000
2023-02-24,208.3000
2023-02-23,211.9850
2023-02-22,211.9850
2023-02-21,211.9850
2023-02-17,212.6300
2023-02-16,212.2300
2023-02-15,212.2300
2023-02-14,212.2300
2023-02-13,210.8300
2023-02-10,210.3850
2023-02-09,210.3850
2023-02-08,210.3850
2023-02-07,210.3850
2023-02-06,210.3800
2023-02-03,210.3800
2023-02-02,210.7550
2023-02-01,210.7550
2023-01-31,209.8800
2023-01-30,209.7450
2023-01-27,210.4450
2023-01-26,210.5400
2023-01-25,210.5400
2023-01-24,210.5050
2023-01-23,210.5050
2023-01-20,210.5050
2023-01-19,209.6550
2023-01-18,208.9800
2023-01-17,204.8550
2023-01-13,202.4050
2023-01-12,201.6150
2023-01-11,200.6900
2023-01-10,200.6900
2023-01-09,200.6900
2023-01-06,200.6250
2023-01-05,196.6200
2023-01-04,195.9450
2023-01-03,190.8400
2022-12-30,190.3500
2022-12-29,189.8600
2022-12-28,189.8600
2022-12-27,189.8600
2022-12-23,189.8600
2022-12-22,187.7700
2022-12-21,187.5400
2022-12-20,182.3950
2022-12-19,182.3750
2022-12-16,182.3750
2022-12-15,182.3750
2022-12-14,182.0150
2022-12-13,181.4550
2022-12-12,180.7950
2022-12-09,178.4650
2022-12-08,178.4650
2022-12-07,178.4650
2022-12-06,178.4650
2022-12-05,178.4650
2022-12-02,177.3500
2022-12-01,175.3550
2022-11-30,175.3550
2022-11-29,175.0950
2022-11-28,175.0950
2022-11-25,175.4300
2022-11-23,175.0400
2022-11-22,173.1600
2022-11-21,173.1600
2022-11-18,171.2450
2022-11-17,168.7950
2022-11-16,167.1650
2022-11-15,162.4950
2022-11-14,160.4800
2022-11-11,160.0450
2022-11-10,160.0450
2022-11-09,154.6900
2022-11-08,151.7050
2022-11-07,149.3500
2022-11-04,146.9000
2022-11-03,145.2700
2022-11-02,140.6000
2022-11-01,140.2200
2022-10-31,140.2200
2022-10-28,140.2200
2022-10-27,139.9000
2022-10-26,139.5250
2022-10-25,138.5350
2022-10-24,136.2350
2022-10-21,135.8700
2022-10-20,134.4600
2022-10-19,134.0900
2022-10-18,133.5650
2022-10-17,132.9400
2022-10-14,129.7800
2022-10-13,127.2950
2022-10-12,127.2950
2022-10-11,127.2950
2022-10-10,127.2950
2022-10-07,127.2950
2022-10-06,127.2950
2022-10-05,129.8950
2022-10-04,132.1850
2022-10-03,133.5100
2022-09-30,133.5100
2022-09-29,135.6350
2022-09-28,138.5600
2022-09-27,138.5600
2022-09-26,138.5600
2022-09-23,144.9900
2022-09-22,148.7150
2022-09-21,151.0050
2022-09-20,151.5050
2022-09-19,151.5050
2022-09-16,151.5050
2022-09-15,153.0150
2022-09-14,153.7800
2022-09-13,154.7600
2022-09-12,158.6200
2022-09-09,158.6200
2022-09-08,160.6000
2022-09-07,160.6000
2022-09-06,160.6000
2022-09-02,160.6000
2022-09-01,161.5200
2022-08-31,164.1800
2022-08-30,164.1800
2022-08-29,165.5300
2022-08-26,165.5300
2022-08-25,165.5300
2022-08-24,165.5300
2022-08-23,165.5300
2022-08-22,165.5300
2022-08-19,167.5000
2022-08-18,168.4650
2022-08-17,168.4650
2022-08-16,168.4650
2022-08-15,166.8750
2022-08-12,166.6350
2022-08-11,164.1900
2022-08-10,164.0800
2022-08-09,162.5800
2022-08-08,162.4950
2022-08-05,162.4950
2022-08-04,162.4950
2022-08-03,162.4950
2022-08-02,162.4950
2022-08-01,162.4950
2022-07-29,154.5650
2022-07-28,154.5650
2022-07-27,154.2800
2022-07-26,152.6800
2022-07-25,152.6800
2022-07-22,149.2000
2022-07-21,149.2000
2022-07-20,147.6850
2022-07-19,146.2200
2022-07-18,142.0250
2022-07-15,142.0250
2022-07-14,141.7300
2022-07-13,141.7300
2022-07-12,141.7300
2022-07-11,138.1400
2022-07-08,138.9200
2022-07-07,137.7500
2022-07-06,137.7500
2022-07-05,137.7500
2022-07-01,137.7500
2022-06-30,137.4450
2022-06-29,137.4450
2022-06-28,131.8450
2022-06-27,128.6950
2022-06-24,128.6950
2022-06-23,126.5100
2022-06-22,127.7450
2022-06-21,128.3400
2022-06-17,128.3400
2022-06-16,128.3400
2022-06-15,128.3400
2022-06-14,128.3400
2022-06-13,128.3400
2022-06-10,133.9100
2022-06-09,134.2750
2022-06-08,131.4400
2022-06-07,130.1100
2022-06-06,129.9500
2022-06-03,129.9500
2022-06-02,129.9500
2022-06-01,125.8150
2022-05-31,125.8150
2022-05-27,125.8150
2022-05-26,125.7250
2022-05-25,125.7250
2022-05-24,125.7250
2022-05-23,126.8250
2022-05-20,127.0050
2022-05-19,136.0200
2022-05-18,136.8050
2022-05-17,140.0550
2022-05-16,140.0550
2022-05-13,140.0550
2022-05-12,140.0550
2022-05-11,143.1800
