Dates,MIDPRICE Values
2023-07-20,210.2550
2023-07-19,210.1550
2023-07-18,210.1550
2023-07-17,208.5900
2023-07-14,208.5900
2023-07-13,208.5900
2023-07-12,208.5900
2023-07-11,208.5900
2023-07-10,208.5900
2023-07-07,208.5900
2023-07-06,208.5900
2023-07-05,208.5900
2023-07-03,208.5900
2023-06-30,208.5900
2023-06-29,208.5900
2023-06-28,208.5900
2023-06-27,208.5900
2023-06-26,208.5900
2023-06-23,208.5900
2023-06-22,208.5900
2023-06-21,208.5900
2023-06-20,208.5900
2023-06-16,208.5900
2023-06-15,208.5900
2023-06-14,208.5900
2023-06-13,208.5900
2023-06-12,208.5900
2023-06-09,206.6350
2023-06-08,206.6350
2023-06-07,205.9200
2023-06-06,205.9200
2023-06-05,205.9200
2023-06-02,205.9200
2023-06-01,205.9200
2023-05-31,205.9200
2023-05-30,205.9200
2023-05-26,205.9200
2023-05-25,205.9200
2023-05-24,205.4900
2023-05-23,205.4900
2023-05-22,205.4900
2023-05-19,205.4900
2023-05-18,205.4900
2023-05-17,205.4900
2023-05-16,205.4900
2023-05-15,205.4900
2023-05-12,205.4900
2023-05-11,205.4900
2023-05-10,205.4900
2023-05-09,205.4900
2023-05-08,205.4900
2023-05-05,205.4900
2023-05-04,205.4900
2023-05-03,205.4900
2023-05-02,205.4900
2023-05-01,205.4900
2023-04-28,205.4900
2023-04-27,205.4900
2023-04-26,206.8700
2023-04-25,206.8700
2023-04-24,206.8700
2023-04-21,206.8700
2023-04-20,206.8700
2023-04-19,206.8700
2023-04-18,206.8700
2023-04-17,206.8700
2023-04-14,206.8700
2023-04-13,206.8700
2023-04-12,206.8700
2023-04-11,206.8700
2023-04-10,206.8700
2023-04-06,206.8700
2023-04-05,206.8700
2023-04-04,206.8700
2023-04-03,206.8700
2023-03-31,206.8700
2023-03-30,206.8700
2023-03-29,206.8700
2023-03-28,206.8700
2023-03-27,206.8700
2023-03-24,206.8700
2023-03-23,206.8700
2023-03-22,206.8700
2023-03-21,206.8700
2023-03-20,206.8700
2023-03-17,206.8700
2023-03-16,206.8700
2023-03-15,206.8650
2023-03-14,204.1850
2023-03-13,203.7600
2023-03-10,203.7600
2023-03-09,203.7600
2023-03-08,203.0250
2023-03-07,203.0250
2023-03-06,203.0250
2023-03-03,203.0250
2023-03-02,203.0200
2023-03-01,201.3125
2023-02-28,201.3050
2023-02-27,201.3050
2023-02-24,201.3050
2023-02-23,200.9150
2023-02-22,200.2900
2023-02-21,199.9700
2023-02-17,197.9750
2023-02-16,197.9750
2023-02-15,197.9750
2023-02-14,197.0900
2023-02-13,195.9100
2023-02-10,195.9100
2023-02-09,195.7650
2023-02-08,195.3350
2023-02-07,195.3350
2023-02-06,195.3350
2023-02-03,194.9850
2023-02-02,194.9850
2023-02-01,194.9850
2023-01-31,192.5800
2023-01-30,192.5800
2023-01-27,192.5800
2023-01-26,192.5800
2023-01-25,192.5800
2023-01-24,192.5800
2023-01-23,191.7500
2023-01-20,190.7758
2023-01-19,188.6350
2023-01-18,185.5675
2023-01-17,182.0700
2023-01-13,179.0900
2023-01-12,178.2300
2023-01-11,176.7000
2023-01-10,176.7000
2023-01-09,175.2500
2023-01-06,172.6225
2023-01-05,168.5975
2023-01-04,167.9825
2023-01-03,164.6900
2022-12-30,164.3025
2022-12-29,164.3025
2022-12-28,164.3025
2022-12-27,164.3025
2022-12-23,163.8850
2022-12-22,160.2850
2022-12-21,160.2850
2022-12-20,157.6400
2022-12-19,157.6400
2022-12-16,157.6400
2022-12-15,157.6400
2022-12-14,157.6400
2022-12-13,157.6400
2022-12-12,154.7350
2022-12-09,154.7200
2022-12-08,154.7200
2022-12-07,154.7200
2022-12-06,154.7200
2022-12-05,154.7200
2022-12-02,152.2200
2022-12-01,150.4850
2022-11-30,150.4850
2022-11-29,150.1550
2022-11-28,150.1550
2022-11-25,150.1550
2022-11-23,150.1550
2022-11-22,150.1550
2022-11-21,150.1550
2022-11-18,150.1550
2022-11-17,150.1550
2022-11-16,150.1550
2022-11-15,150.1550
2022-11-14,150.1550
2022-11-11,150.1550
2022-11-10,150.1550
2022-11-09,146.3050
2022-11-08,145.7700
2022-11-07,145.4550
2022-11-04,146.1800
2022-11-03,146.1800
2022-11-02,146.1800
2022-11-01,146.1800
2022-10-31,146.1800
2022-10-28,146.1800
2022-10-27,146.1800
2022-10-26,146.1800
2022-10-25,147.4200
2022-10-24,147.4200
2022-10-21,147.4200
2022-10-20,147.4200
2022-10-19,147.4200
2022-10-18,147.4200
2022-10-17,147.4200
2022-10-14,147.4200
2022-10-13,147.4200
2022-10-12,147.4200
2022-10-11,147.4200
2022-10-10,147.4200
2022-10-07,147.4200
2022-10-06,147.4200
2022-10-05,147.4200
2022-10-04,147.4200
2022-10-03,147.4200
2022-09-30,147.4200
