Dates,MINUS_DI Values
2023-07-20,23.4686
2023-07-19,24.0890
2023-07-18,23.9033
2023-07-17,23.3666
2023-07-14,23.1709
2023-07-13,22.1742
2023-07-12,22.1572
2023-07-11,22.5596
2023-07-10,23.2397
2023-07-07,23.2166
2023-07-06,23.5622
2023-07-05,23.9296
2023-07-03,23.6106
2023-06-30,23.7853
2023-06-29,23.8113
2023-06-28,24.0804
2023-06-27,24.3292
2023-06-26,24.6988
2023-06-23,24.9198
2023-06-22,24.7967
2023-06-21,23.4520
2023-06-20,22.8488
2023-06-16,20.9118
2023-06-15,21.2892
2023-06-14,21.4391
2023-06-13,20.6552
2023-06-12,20.9402
2023-06-09,21.5016
2023-06-08,21.7741
2023-06-07,22.4222
2023-06-06,22.8500
2023-06-05,21.2104
2023-06-02,20.7339
2023-06-01,21.3063
2023-05-31,21.6711
2023-05-30,21.1966
2023-05-26,21.5550
2023-05-25,21.8722
2023-05-24,21.9568
2023-05-23,20.5281
2023-05-22,20.3716
2023-05-19,20.3337
2023-05-18,20.6129
2023-05-17,20.9262
2023-05-16,21.5203
2023-05-15,21.7423
2023-05-12,22.1112
2023-05-11,22.4542
2023-05-10,22.7516
2023-05-09,22.9657
2023-05-08,23.5756
2023-05-05,23.8509
2023-05-04,24.0434
2023-05-03,22.1311
2023-05-02,22.5690
2023-05-01,21.6459
2023-04-28,22.0207
2023-04-27,22.1126
2023-04-26,22.5837
2023-04-25,23.3485
2023-04-24,22.9780
2023-04-21,22.9136
2023-04-20,22.5863
2023-04-19,22.5850
2023-04-18,22.8911
2023-04-17,23.3019
2023-04-14,23.7258
2023-04-13,20.2914
2023-04-12,20.4467
2023-04-11,20.1411
2023-04-10,20.4002
2023-04-06,20.7068
2023-04-05,20.8465
2023-04-04,21.0888
2023-04-03,20.3753
2023-03-31,20.8031
2023-03-30,21.0686
2023-03-29,21.5231
2023-03-28,21.7906
2023-03-27,22.2175
2023-03-24,22.5163
2023-03-23,22.4088
2023-03-22,22.5933
2023-03-21,20.6095
2023-03-20,20.8819
2023-03-17,21.2282
2023-03-16,21.5214
2023-03-15,22.2011
2023-03-14,19.0138
2023-03-13,19.6884
2023-03-10,20.3818
2023-03-09,20.0124
2023-03-08,18.6147
2023-03-07,18.1571
2023-03-06,17.8574
2023-03-03,18.2063
2023-03-02,18.6417
2023-03-01,19.1204
2023-02-28,19.4327
2023-02-27,19.6425
2023-02-24,19.9865
2023-02-23,17.7490
2023-02-22,17.9973
2023-02-21,18.0476
2023-02-17,17.5610
2023-02-16,16.2429
2023-02-15,15.6898
2023-02-14,15.9006
2023-02-13,16.3582
2023-02-10,16.6367
2023-02-09,16.8686
2023-02-08,16.5867
2023-02-07,16.8154
2023-02-06,17.3042
2023-02-03,16.9067
2023-02-02,16.2788
2023-02-01,15.4236
2023-01-31,15.8040
2023-01-30,16.0715
2023-01-27,15.6840
2023-01-26,15.8696
2023-01-25,16.2281
2023-01-24,16.8885
2023-01-23,16.6137
2023-01-20,16.8650
2023-01-19,17.0386
2023-01-18,15.8127
2023-01-17,16.0418
2023-01-13,15.4611
2023-01-12,15.7278
2023-01-11,16.1347
2023-01-10,16.3422
2023-01-09,15.1696
2023-01-06,15.4778
2023-01-05,15.9836
2023-01-04,16.2140
2023-01-03,16.6948
2022-12-30,17.0814
2022-12-29,17.2933
2022-12-28,17.1113
2022-12-27,17.2723
2022-12-23,17.5536
2022-12-22,17.5122
2022-12-21,16.7478
2022-12-20,17.2145
2022-12-19,17.4632
2022-12-16,17.6606
