Dates,MINUS_DM Values
2023-07-20,59.2377
2023-07-19,60.4466
2023-07-18,60.3181
2023-07-17,59.3398
2023-07-14,59.4539
2023-07-13,57.1060
2023-07-12,57.6388
2023-07-11,58.8151
2023-07-10,60.0154
2023-07-07,60.6177
2023-07-06,61.8548
2023-07-05,63.1172
2023-07-03,62.0073
2023-06-30,63.2728
2023-06-29,63.6967
2023-06-28,64.9967
2023-06-27,66.3231
2023-06-26,67.6766
2023-06-23,69.0578
2023-06-22,69.3447
2023-06-21,64.9053
2023-06-20,63.6865
2023-06-16,57.7465
2023-06-15,58.9250
2023-06-14,59.3915
2023-06-13,57.2171
2023-06-12,58.3848
2023-06-09,59.5764
2023-06-08,60.7922
2023-06-07,62.0329
2023-06-06,63.2988
2023-06-05,57.5600
2023-06-02,56.1837
2023-06-01,57.3303
2023-05-31,58.5003
2023-05-30,57.2451
2023-05-26,58.4134
2023-05-25,59.6055
2023-05-24,59.9036
2023-05-23,56.0802
2023-05-22,55.7400
2023-05-19,56.1326
2023-05-18,57.2782
2023-05-17,58.4471
2023-05-16,59.6399
2023-05-15,60.8571
2023-05-12,62.0991
2023-05-11,63.3664
2023-05-10,64.4759
2023-05-09,65.2509
2023-05-08,66.5826
2023-05-05,67.9414
2023-05-04,69.3280
2023-05-03,63.3142
2023-05-02,64.6064
2023-05-01,62.3228
2023-04-28,63.5947
2023-04-27,64.2497
2023-04-26,65.5609
2023-04-25,66.8989
2023-04-24,66.0907
2023-04-21,66.4905
2023-04-20,65.9112
2023-04-19,66.3763
2023-04-18,67.7309
2023-04-17,69.1132
2023-04-14,70.5236
2023-04-13,58.3497
2023-04-12,59.5406
2023-04-11,58.9904
2023-04-10,60.1942
2023-04-06,61.4227
2023-04-05,62.2160
2023-04-04,63.0276
2023-04-03,60.8343
2023-03-31,62.0758
2023-03-30,63.3426
2023-03-29,64.6353
2023-03-28,65.9544
2023-03-27,67.3004
2023-03-24,68.6739
2023-03-23,68.8307
2023-03-22,69.3477
2023-03-21,62.7221
2023-03-20,64.0022
2023-03-17,65.3083
2023-03-16,66.6412
2023-03-15,68.0012
2023-03-14,56.5420
2023-03-13,57.6959
2023-03-10,58.8734
2023-03-09,57.5137
2023-03-08,52.9323
2023-03-07,52.1401
2023-03-06,51.3420
2023-03-03,52.3898
2023-03-02,53.4589
2023-03-01,54.5499
2023-02-28,55.6632
2023-02-27,56.7992
2023-02-24,57.9584
2023-02-23,50.5697
2023-02-22,51.6018
2023-02-21,52.2467
2023-02-17,50.6909
2023-02-16,47.0822
2023-02-15,45.5634
2023-02-14,46.4933
2023-02-13,47.4422
2023-02-10,48.4104
2023-02-09,49.3983
2023-02-08,48.6514
2023-02-07,49.6442
2023-02-06,50.6574
2023-02-03,49.7239
2023-02-02,48.0019
2023-02-01,45.3081
2023-01-31,46.2327
2023-01-30,47.1762
2023-01-27,46.3941
2023-01-26,47.3409
2023-01-25,48.3071
2023-01-24,49.2929
2023-01-23,48.2683
2023-01-20,49.2534
2023-01-19,50.2177
2023-01-18,46.7732
2023-01-17,47.7278
2023-01-13,46.1406
2023-01-12,47.0822
2023-01-11,48.0431
2023-01-10,49.0235
2023-01-09,45.4840
2023-01-06,46.4123
2023-01-05,47.3595
2023-01-04,48.3260
2023-01-03,49.3122
2022-12-30,50.3186
2022-12-29,51.3455
2022-12-28,51.1332
2022-12-27,51.9809
2022-12-23,53.0417
2022-12-22,53.1548
2022-12-21,50.1070
2022-12-20,51.1295
2022-12-19,52.1730
2022-12-16,53.2378
2022-12-15,54.3242
2022-12-14,51.2187
2022-12-13,52.2640
2022-12-12,53.3306
2022-12-09,54.4190
2022-12-08,55.5296
2022-12-07,56.6628
2022-12-06,55.3804
2022-12-05,52.6431
2022-12-02,53.7175
2022-12-01,54.8137
2022-11-30,55.9324
2022-11-29,57.0739
2022-11-28,58.2386
2022-11-25,57.0495
2022-11-23,58.2138
2022-11-22,59.4018
2022-11-21,60.6141
2022-11-18,61.4328
2022-11-17,62.6865
2022-11-16,60.5679
2022-11-15,60.8856
2022-11-14,61.3628
2022-11-11,62.6151
2022-11-10,63.8930
2022-11-09,65.1969
2022-11-08,66.5275
2022-11-07,67.8852
2022-11-04,69.2706
2022-11-03,70.6843
2022-11-02,72.1268
2022-11-01,73.5988
2022-10-31,75.1008
2022-10-28,76.2137
2022-10-27,77.7691
2022-10-26,79.3562
2022-10-25,71.1033
2022-10-24,72.5543
2022-10-21,74.0350
2022-10-20,73.7705
2022-10-19,75.2760
2022-10-18,76.8122
2022-10-17,78.3798
2022-10-14,79.9794
2022-10-13,81.6116
