Dates,MOM Values
2023-07-20,16.3500
2023-07-19,10.2600
2023-07-18,14.5200
2023-07-17,10.9400
2023-07-14,9.8700
2023-07-13,12.9800
2023-07-12,10.3300
2023-07-11,12.7200
2023-07-10,10.2800
2023-07-07,9.9100
2023-07-06,6.8500
2023-07-05,8.1600
2023-07-03,3.6900
2023-06-30,2.4500
2023-06-29,3.4600
2023-06-28,5.6900
2023-06-27,7.7200
2023-06-26,-8.0100
2023-06-23,-6.9300
2023-06-22,-6.7100
2023-06-21,1.3000
2023-06-20,1.0000
2023-06-16,9.9900
2023-06-15,5.5100
2023-06-14,1.5100
2023-06-13,7.9500
2023-06-12,10.5200
2023-06-09,9.3400
2023-06-08,13.1500
2023-06-07,11.3600
2023-06-06,9.7600
2023-06-05,10.8800
2023-06-02,17.1600
2023-06-01,3.2600
2023-05-31,0.9300
2023-05-30,3.6400
2023-05-26,0.4400
2023-05-25,2.6600
2023-05-24,-8.0100
2023-05-23,-0.7700
2023-05-22,2.8400
2023-05-19,4.2500
2023-05-18,0.0400
2023-05-17,-1.0500
2023-05-16,-11.0500
2023-05-15,-12.3400
2023-05-12,-9.3600
2023-05-11,-2.7100
2023-05-10,-0.7100
2023-05-09,1.4200
2023-05-08,-0.8900
2023-05-05,-9.7900
2023-05-04,-8.7100
2023-05-03,-4.5900
2023-05-02,-8.4100
2023-05-01,-8.3400
2023-04-28,-10.6600
2023-04-27,-12.4100
2023-04-26,-12.6200
2023-04-25,-10.7000
2023-04-24,-6.2200
2023-04-21,-8.3500
2023-04-20,-7.5300
2023-04-19,1.9000
2023-04-18,2.3600
2023-04-17,-4.3100
2023-04-14,-13.0400
2023-04-13,0.5900
2023-04-12,2.6700
2023-04-11,1.1500
2023-04-10,-1.9500
2023-04-06,-1.3100
2023-04-05,-1.9800
2023-04-04,3.9300
2023-04-03,8.6300
2023-03-31,5.3400
2023-03-30,1.6300
2023-03-29,-3.4400
2023-03-28,-9.1700
2023-03-27,-13.7500
2023-03-24,-10.5000
2023-03-23,-8.7900
2023-03-22,-12.4100
2023-03-21,-8.3000
2023-03-20,-0.2200
2023-03-17,-2.5900
2023-03-16,7.8000
2023-03-15,7.7200
2023-03-14,18.3700
2023-03-13,14.9900
2023-03-10,13.6700
2023-03-09,12.1800
2023-03-08,18.9500
2023-03-07,11.9200
2023-03-06,23.6300
2023-03-03,29.4300
2023-03-02,25.3600
2023-03-01,20.8300
2023-02-28,13.3000
2023-02-27,13.3300
2023-02-24,11.8800
2023-02-23,28.5900
2023-02-22,26.6800
2023-02-21,29.0200
2023-02-17,33.2300
2023-02-16,27.1100
2023-02-15,34.5700
2023-02-14,42.6700
2023-02-13,36.7700
2023-02-10,37.5700
2023-02-09,40.1600
2023-02-08,35.1400
