Dates,NATR Values
2023-07-20,2.0128
2023-07-19,1.9440
2023-07-18,1.9387
2023-07-17,1.9691
2023-07-14,2.0450
2023-07-13,2.0176
2023-07-12,2.1061
2023-07-11,2.0868
2023-07-10,1.9804
2023-07-07,2.0889
2023-07-06,2.1151
2023-07-05,2.1326
2023-07-03,2.0598
2023-06-30,2.1846
2023-06-29,2.2172
2023-06-28,2.3189
2023-06-27,2.4460
2023-06-26,2.5481
2023-06-23,2.7022
2023-06-22,2.8341
2023-06-21,2.6113
2023-06-20,2.7090
2023-06-16,2.4961
2023-06-15,2.5329
2023-06-14,2.5754
2023-06-13,2.5364
2023-06-12,2.6141
2023-06-09,2.5891
2023-06-08,2.6896
2023-06-07,2.6525
2023-06-06,2.7356
2023-06-05,2.4287
2023-06-02,2.3380
2023-06-01,2.2757
2023-05-31,2.3117
2023-05-30,2.2946
2023-05-26,2.3179
2023-05-25,2.3934
2023-05-24,2.3935
2023-05-23,2.3361
2023-05-22,2.2817
2023-05-19,2.3739
2023-05-18,2.4149
2023-05-17,2.4645
2023-05-16,2.3937
2023-05-15,2.4797
2023-05-12,2.5251
2023-05-11,2.5536
2023-05-10,2.6036
2023-05-09,2.6056
2023-05-08,2.5489
2023-05-05,2.6340
2023-05-04,2.8173
2023-05-03,2.6286
2023-05-02,2.5839
2023-05-01,2.6388
2023-04-28,2.6274
2023-04-27,2.7114
2023-04-26,2.7257
2023-04-25,2.5186
2023-04-24,2.4986
2023-04-21,2.6086
2023-04-20,2.6444
2023-04-19,2.7150
2023-04-18,2.8120
2023-04-17,2.8927
2023-04-14,2.9750
2023-04-13,2.3187
2023-04-12,2.4772
2023-04-11,2.5345
2023-04-10,2.6406
2023-04-06,2.6961
2023-04-05,2.7956
2023-04-04,2.7608
2023-04-03,2.7229
2023-03-31,2.7465
2023-03-30,2.8738
2023-03-29,2.9010
2023-03-28,3.0708
2023-03-27,3.1646
2023-03-24,3.3442
2023-03-23,3.4854
2023-03-22,3.5467
2023-03-21,3.3047
2023-03-20,3.4552
2023-03-17,3.6338
2023-03-16,3.7660
2023-03-15,3.7581
2023-03-14,3.1958
2023-03-13,3.0625
2023-03-10,2.8623
2023-03-09,2.8111
2023-03-08,2.5660
2023-03-07,2.6841
2023-03-06,2.6430
2023-03-03,2.6085
2023-03-02,2.6125
2023-03-01,2.5910
2023-02-28,2.6690
2023-02-27,2.8120
2023-02-24,2.8819
2023-02-23,2.4736
2023-02-22,2.5678
2023-02-21,2.6934
2023-02-17,2.5589
2023-02-16,2.5955
2023-02-15,2.5452
2023-02-14,2.6191
2023-02-13,2.5264
2023-02-10,2.5901
2023-02-09,2.6805
2023-02-08,2.6766
2023-02-07,2.7501
2023-02-06,2.7251
2023-02-03,2.7959
2023-02-02,2.7847
2023-02-01,2.6545
2023-01-31,2.6049
2023-01-30,2.6822
2023-01-27,2.7670
2023-01-26,2.8712
2023-01-25,2.8467
2023-01-24,2.5633
2023-01-23,2.4970
2023-01-20,2.5848
2023-01-19,2.6952
2023-01-18,2.7042
2023-01-17,2.7542
2023-01-13,2.7588
2023-01-12,2.8003
2023-01-11,2.8022
2023-01-10,2.9306
2023-01-09,2.8997
2023-01-06,2.8434
2023-01-05,2.7684
2023-01-04,2.8667
2023-01-03,2.8315
2022-12-30,2.8372
2022-12-29,2.9664
2022-12-28,3.0659
2022-12-27,3.1597
2022-12-23,3.2336
2022-12-22,3.3303
2022-12-21,2.9685
2022-12-20,2.9548
2022-12-19,3.0761
2022-12-16,3.2351
2022-12-15,3.2923
2022-12-14,3.1587
2022-12-13,3.2777
2022-12-12,3.2853
2022-12-09,3.3447
2022-12-08,3.4274
2022-12-07,3.3364
2022-12-06,3.4297
2022-12-05,3.1879
2022-12-02,3.1205
2022-12-01,2.9370
2022-11-30,2.8956
2022-11-29,2.9164
2022-11-28,3.0398
2022-11-25,2.8390
2022-11-23,2.9363
2022-11-22,3.0989
2022-11-21,3.1781
2022-11-18,3.2819
2022-11-17,3.4346
2022-11-16,3.5204
2022-11-15,3.6304
2022-11-14,3.8234
2022-11-11,3.8603
2022-11-10,3.9717
2022-11-09,3.9475
2022-11-08,4.0516
2022-11-07,4.2503
2022-11-04,4.4026
2022-11-03,4.5338
2022-11-02,4.5066
2022-11-01,4.2142
