Dates,OBV Values
2023-07-20,410561910.0000
2023-07-19,404825982.0000
2023-07-18,409640127.0000
2023-07-17,415535900.0000
2023-07-14,419157409.0000
2023-07-13,423452258.0000
2023-07-12,427743967.0000
2023-07-11,432867145.0000
2023-07-10,425408767.0000
2023-07-07,421911642.0000
2023-07-06,426805192.0000
2023-07-05,431488337.0000
2023-07-03,426559969.0000
2023-06-30,428703017.0000
2023-06-29,434191730.0000
2023-06-28,430748118.0000
2023-06-27,426472015.0000
2023-06-26,422006559.0000
2023-06-23,418561674.0000
2023-06-22,424899873.0000
2023-06-21,431966129.0000
2023-06-20,437322501.0000
2023-06-16,445548881.0000
2023-06-15,437744957.0000
2023-06-14,432743525.0000
2023-06-13,438372595.0000
2023-06-12,444253561.0000
2023-06-09,436180949.0000
2023-06-08,441481155.0000
2023-06-07,432116488.0000
2023-06-06,425654056.0000
2023-06-05,436611254.0000
2023-06-02,441608054.0000
2023-06-01,434121746.0000
2023-05-31,428996637.0000
2023-05-30,423551277.0000
2023-05-26,419573111.0000
2023-05-25,415752810.0000
2023-05-24,411843585.0000
2023-05-23,416215220.0000
2023-05-22,420226330.0000
2023-05-19,417132034.0000
2023-05-18,421028229.0000
2023-05-17,416678521.0000
2023-05-16,410036581.0000
2023-05-15,413049762.0000
2023-05-12,410207093.0000
2023-05-11,413376864.0000
2023-05-10,410054827.0000
2023-05-09,413978533.0000
2023-05-08,404649017.0000
2023-05-05,409326404.0000
2023-05-04,405454171.0000
2023-05-03,412388243.0000
2023-05-02,416926182.0000
2023-05-01,420897025.0000
2023-04-28,424673867.0000
2023-04-27,420957804.0000
2023-04-26,415852631.0000
2023-04-25,406747431.0000
2023-04-24,411446929.0000
2023-04-21,408388004.0000
2023-04-20,411820335.0000
2023-04-19,415143245.0000
2023-04-18,410385843.0000
2023-04-17,402940084.0000
2023-04-14,396652743.0000
2023-04-13,415719220.0000
2023-04-12,411217626.0000
2023-04-11,406617300.0000
2023-04-10,401339751.0000
2023-04-06,405069091.0000
2023-04-05,399450966.0000
2023-04-04,403589392.0000
2023-04-03,409781646.0000
2023-03-31,403695711.0000
2023-03-30,398548162.0000
2023-03-29,391964771.0000
2023-03-28,388392608.0000
2023-03-27,382932021.0000
2023-03-24,379040319.0000
2023-03-23,383553831.0000
2023-03-22,377286937.0000
2023-03-21,384598515.0000
2023-03-20,389271819.0000
2023-03-17,384507822.0000
2023-03-16,394366758.0000
2023-03-15,387614633.0000
2023-03-14,398508867.0000
2023-03-13,390263203.0000
2023-03-10,383592029.0000
2023-03-09,375044951.0000
2023-03-08,379328977.0000
2023-03-07,381735874.0000
2023-03-06,386355584.0000
2023-03-03,393360020.0000
2023-03-02,385863174.0000
2023-03-01,380409100.0000
2023-02-28,376006834.0000
2023-02-27,372416934.0000
2023-02-24,368098068.0000
2023-02-23,377756746.0000
2023-02-22,373617395.0000
2023-02-21,370697385.0000
2023-02-17,375361141.0000
2023-02-16,380346827.0000
2023-02-15,384734800.0000
2023-02-14,389587236.0000
2023-02-13,379554121.0000
2023-02-10,374360792.0000
2023-02-09,369497852.0000
2023-02-08,374516731.0000
2023-02-07,378746525.0000
2023-02-06,371435338.0000
2023-02-03,367532315.0000
2023-02-02,372932595.0000
2023-02-01,379445952.0000
2023-01-31,370983876.0000
2023-01-30,365820893.0000
2023-01-27,371887672.0000
2023-01-26,377125616.0000
2023-01-25,369837472.0000
2023-01-24,353730925.0000
2023-01-23,348977231.0000
2023-01-20,343495293.0000
2023-01-19,348970697.0000
2023-01-18,354784215.0000
2023-01-17,360187309.0000
2023-01-13,366337967.0000
2023-01-12,372551128.0000
2023-01-11,364343027.0000
2023-01-10,357152278.0000
2023-01-09,365335514.0000
2023-01-06,374341115.0000
2023-01-05,363084680.0000
2023-01-04,356171407.0000
2023-01-03,346424468.0000
2022-12-30,337799898.0000
2022-12-29,333792479.0000
2022-12-28,329273533.0000
2022-12-27,333699784.0000
2022-12-23,328684938.0000
2022-12-22,324701347.0000
2022-12-21,331629861.0000
2022-12-20,322454485.0000
2022-12-19,316297638.0000
2022-12-16,309692260.0000
2022-12-15,301785482.0000
2022-12-14,307133269.0000
2022-12-13,301318388.0000
2022-12-12,290343137.0000
2022-12-09,282244742.0000
2022-12-08,275885740.0000
2022-12-07,269178088.0000
2022-12-06,275049330.0000
2022-12-05,283286208.0000
2022-12-02,272829930.0000
2022-12-01,262266091.0000
2022-11-30,266783567.0000
2022-11-29,260004833.0000
2022-11-28,254927005.0000
2022-11-25,260285937.0000
2022-11-23,256809018.0000
2022-11-22,253285502.0000
2022-11-21,257656137.0000
2022-11-18,261157979.0000
2022-11-17,256464801.0000
2022-11-16,251582914.0000
2022-11-15,256021468.0000
2022-11-14,248813601.0000
2022-11-11,254411939.0000
2022-11-10,263306247.0000
2022-11-09,250931288.0000
2022-11-08,259825057.0000
2022-11-07,248550538.0000
2022-11-04,238330229.0000
2022-11-03,228934044.0000
2022-11-02,212721473.0000
2022-11-01,192479497.0000
2022-10-31,186720931.0000
2022-10-28,192933129.0000
2022-10-27,184992042.0000
2022-10-26,171237099.0000
2022-10-25,200694829.0000
2022-10-24,194179186.0000
2022-10-21,189001341.0000
2022-10-20,183550076.0000
2022-10-19,179218396.0000
2022-10-18,172896486.0000
2022-10-17,166750137.0000
2022-10-14,157676611.0000
2022-10-13,151576955.0000
2022-10-12,143734689.0000
2022-10-11,150127662.0000
2022-10-10,158636048.0000
2022-10-07,151806134.0000
2022-10-06,156903520.0000
2022-10-05,152448846.0000
2022-10-04,158717168.0000
2022-10-03,151481431.0000
2022-09-30,143519047.0000
2022-09-29,151902028.0000
2022-09-28,160807454.0000
2022-09-27,150550252.0000
2022-09-26,143867903.0000
2022-09-23,150963048.0000
2022-09-22,159890912.0000
2022-09-21,166147529.0000
2022-09-20,172391782.0000
2022-09-19,165654232.0000
2022-09-16,160503512.0000
2022-09-15,170814238.0000
2022-09-14,161021447.0000
2022-09-13,152543475.0000
2022-09-12,161268348.0000
2022-09-09,155905218.0000
2022-09-08,161688094.0000
2022-09-07,156738982.0000
2022-09-06,151440403.0000
2022-09-02,146282460.0000
2022-09-01,151545234.0000
2022-08-31,159197233.0000
2022-08-30,163320723.0000
2022-08-29,169569351.0000
2022-08-26,164854967.0000
2022-08-25,169812381.0000
2022-08-24,164862973.0000
2022-08-23,160651686.0000
2022-08-22,157226507.0000
2022-08-19,162538834.0000
2022-08-18,168274903.0000
2022-08-17,163870302.0000
2022-08-16,170403823.0000
2022-08-15,165144234.0000
2022-08-12,160409546.0000
2022-08-11,156064326.0000
2022-08-10,161061135.0000
2022-08-09,153879454.0000
2022-08-08,159944204.0000
2022-08-05,148632511.0000
2022-08-04,153341634.0000
2022-08-03,158381201.0000
2022-08-02,151672129.0000
2022-08-01,162546448.0000
2022-07-29,144224884.0000
2022-07-28,138481395.0000
2022-07-27,129752330.0000
2022-07-26,113395685.0000
2022-07-25,119448739.0000
2022-07-22,125213473.0000
2022-07-21,132808351.0000
2022-07-20,124764260.0000
2022-07-19,116095664.0000
2022-07-18,101912694.0000
2022-07-15,115861192.0000
2022-07-14,107950784.0000
2022-07-13,98494670.0000
2022-07-12,107533354.0000
2022-07-11,88935165.0000
2022-07-08,95115713.0000
2022-07-07,100771212.0000
2022-07-06,93096822.0000
2022-07-05,99704861.0000
2022-07-01,109778832.0000
2022-06-30,102151702.0000
2022-06-29,110606831.0000
2022-06-28,118096057.0000
2022-06-27,130238313.0000
2022-06-24,138695737.0000
2022-06-23,125069521.0000
2022-06-22,135816427.0000
2022-06-21,128098735.0000
2022-06-17,138618639.0000
2022-06-16,122576155.0000
2022-06-15,142119793.0000
2022-06-14,116121946.0000
2022-06-13,98572135.0000
2022-06-10,115350629.0000
2022-06-09,123127485.0000
2022-06-08,129146467.0000
2022-06-07,134980163.0000
2022-06-06,129544078.0000
2022-06-03,135898901.0000
2022-06-02,145990699.0000
2022-06-01,133213660.0000
2022-05-31,143205223.0000
2022-05-27,151158874.0000
2022-05-26,143897358.0000
2022-05-25,135563497.0000
2022-05-24,127855585.0000
2022-05-23,136948011.0000
2022-05-20,127606521.0000
2022-05-19,146428762.0000
2022-05-18,138352986.0000
2022-05-17,147920595.0000
2022-05-16,135766375.0000
2022-05-13,146397932.0000
2022-05-12,125506410.0000
2022-05-11,141397742.0000
2022-05-10,152786097.0000
2022-05-09,164567521.0000
2022-05-06,177161353.0000
2022-05-05,184859203.0000
2022-05-04,192809995.0000
2022-05-03,183328458.0000
2022-05-02,173179005.0000
2022-04-29,185578201.0000
2022-04-28,196474795.0000
2022-04-27,209993611.0000
2022-04-26,250365338.0000
2022-04-25,259566234.0000
2022-04-22,265859334.0000
2022-04-21,272231740.0000
2022-04-20,279677870.0000
2022-04-19,286409342.0000
2022-04-18,278923735.0000
2022-04-14,283966320.0000
2022-04-13,289110940.0000
2022-04-12,281711084.0000
2022-04-11,275585978.0000
2022-04-08,281587102.0000
2022-04-07,288111166.0000
2022-04-06,295628957.0000
2022-04-05,303802825.0000
2022-04-04,313120348.0000
2022-04-01,305320748.0000
2022-03-31,310182857.0000
2022-03-30,316630790.0000
2022-03-29,306671464.0000
2022-03-28,298232760.0000
2022-03-25,305136906.0000
2022-03-24,311369671.0000
2022-03-23,304275311.0000
2022-03-22,312573093.0000
2022-03-21,298341351.0000
2022-03-18,325535753.0000
2022-03-17,312764488.0000
2022-03-16,304637872.0000
2022-03-15,292560347.0000
2022-03-14,284508849.0000
2022-03-11,292647731.0000
2022-03-10,302021329.0000
2022-03-09,310385429.0000
2022-03-08,300323281.0000
2022-03-07,286607822.0000
2022-03-04,299455278.0000
2022-03-03,312559858.0000
2022-03-02,324984349.0000
2022-03-01,317520943.0000
2022-02-28,329320437.0000
2022-02-25,319461164.0000
2022-02-24,310730862.0000
2022-02-23,298523237.0000
2022-02-22,305849549.0000
2022-02-18,316114570.0000
2022-02-17,323088172.0000
2022-02-16,329264747.0000
2022-02-15,323565830.0000
2022-02-14,313104822.0000
2022-02-11,319586226.0000
2022-02-10,331029964.0000
2022-02-09,319334104.0000
2022-02-08,311746374.0000
2022-02-07,304390144.0000
2022-02-04,292573233.0000
2022-02-03,286620670.0000
2022-02-02,293675392.0000
2022-02-01,301519131.0000
2022-01-31,289253986.0000
2022-01-28,273749430.0000
2022-01-27,262782719.0000
2022-01-26,275452789.0000
2022-01-25,295427185.0000
2022-01-24,304251645.0000
2022-01-21,318061982.0000
2022-01-20,329610479.0000
2022-01-19,337247282.0000
2022-01-18,346569386.0000
2022-01-14,355452671.0000
2022-01-13,347399211.0000
2022-01-12,329771199.0000
2022-01-11,320636698.0000
2022-01-10,312584605.0000
2022-01-07,320813624.0000
2022-01-06,311287229.0000
2022-01-05,318429420.0000
2022-01-04,329994152.0000
2022-01-03,318579590.0000
2021-12-31,309504998.0000
2021-12-30,317521591.0000
2021-12-29,324534235.0000
2021-12-28,330653239.0000
2021-12-27,321767250.0000
2021-12-23,329593874.0000
2021-12-22,322178680.0000
2021-12-21,314033336.0000
2021-12-20,301951017.0000
2021-12-17,312207394.0000
2021-12-16,299565394.0000
2021-12-15,307782200.0000
2021-12-14,318318064.0000
2021-12-13,326763132.0000
2021-12-10,337382714.0000
2021-12-09,343422762.0000
2021-12-08,350433773.0000
2021-12-07,343446990.0000
2021-12-06,333059071.0000
2021-12-03,321471189.0000
2021-12-02,332213899.0000
2021-12-01,311778456.0000
2021-11-30,325100450.0000
2021-11-29,337739374.0000
2021-11-26,350015611.0000
2021-11-24,367652248.0000
2021-11-23,362214628.0000
2021-11-22,371097445.0000
2021-11-19,381861762.0000
2021-11-18,402705836.0000
2021-11-17,391722125.0000
2021-11-16,380971185.0000
2021-11-15,391091378.0000
2021-11-12,369169522.0000
2021-11-11,362883452.0000
2021-11-10,356316111.0000
2021-11-09,364513695.0000
2021-11-08,371349007.0000
2021-11-05,380805062.0000
2021-11-04,363868735.0000
2021-11-03,369718323.0000
