Dates,PLUS_DI Values
2023-07-21,25.1556
2023-07-20,25.1972
2023-07-19,25.0635
2023-07-18,25.1399
2023-07-17,25.2128
2023-07-14,25.2652
2023-07-13,25.3537
2023-07-12,25.4084
2023-07-11,25.2923
2023-07-10,25.0050
2023-07-07,25.0541
2023-07-06,24.9640
2023-07-05,25.0469
2023-07-03,25.1790
2023-06-30,25.2189
2023-06-29,25.2988
2023-06-28,25.2764
2023-06-27,25.1268
2023-06-26,25.0009
2023-06-23,24.9301
2023-06-22,24.9919
2023-06-21,25.1629
2023-06-20,25.2363
2023-06-16,25.4024
2023-06-15,25.2389
2023-06-14,25.3473
2023-06-13,25.4612
2023-06-12,25.5388
2023-06-09,25.3048
2023-06-08,25.3756
2023-06-07,24.9254
2023-06-06,24.9731
2023-06-05,25.1972
2023-06-02,25.3160
2023-06-01,25.0592
2023-05-31,24.8240
2023-05-30,24.9300
2023-05-26,24.7781
2023-05-25,24.6106
2023-05-24,24.7127
2023-05-23,24.8142
2023-05-22,24.9149
2023-05-19,24.9765
2023-05-18,25.0352
2023-05-17,25.1185
2023-05-16,24.7757
2023-05-15,24.8317
2023-05-12,24.9073
2023-05-11,24.9478
2023-05-10,25.0366
2023-05-09,25.1350
2023-05-08,24.8885
2023-05-05,24.9037
2023-05-04,24.9485
2023-05-03,25.1060
2023-05-02,25.0651
2023-05-01,25.1462
2023-04-28,25.1195
2023-04-27,25.1996
2023-04-26,25.3197
2023-04-25,24.9766
2023-04-24,25.0680
2023-04-21,25.1320
2023-04-20,25.2146
2023-04-19,25.2897
2023-04-18,25.2162
2023-04-17,25.0976
2023-04-14,25.0596
2023-04-13,25.3632
2023-04-12,25.4066
2023-04-11,25.4893
2023-04-10,25.5320
2023-04-06,25.4842
2023-04-05,25.5664
2023-04-04,25.6767
2023-04-03,25.8016
2023-03-31,25.6320
2023-03-30,25.5572
2023-03-29,25.3559
2023-03-28,25.2469
2023-03-27,24.9935
2023-03-24,24.7643
2023-03-23,24.8401
2023-03-22,24.9615
2023-03-21,25.1286
2023-03-20,25.0523
2023-03-17,24.9154
2023-03-16,24.9954
2023-03-15,25.0466
2023-03-14,25.3345
2023-03-13,25.0323
2023-03-10,25.0646
2023-03-09,25.2052
2023-03-08,25.3764
2023-03-07,25.4344
2023-03-06,25.5410
2023-03-03,25.6502
2023-03-02,25.3347
2023-03-01,25.0959
2023-02-28,24.9482
2023-02-27,25.0073
2023-02-24,24.9932
2023-02-23,25.2018
2023-02-22,25.1217
2023-02-21,25.1801
2023-02-17,25.3085
2023-02-16,25.3979
2023-02-15,25.5009
2023-02-14,25.5763
2023-02-13,25.3547
2023-02-10,25.3068
2023-02-09,25.3843
2023-02-08,25.4891
2023-02-07,25.5194
2023-02-06,25.1513
2023-02-03,25.2381
2023-02-02,25.3370
2023-02-01,25.4722
2023-01-31,25.1622
2023-01-30,25.1222
2023-01-27,25.1920
2023-01-26,25.2581
2023-01-25,25.3845
2023-01-24,25.4115
2023-01-23,25.5500
2023-01-20,25.3983
2023-01-19,25.4602
2023-01-18,25.5538
2023-01-17,25.6291
2023-01-13,25.7271
2023-01-12,25.6955
2023-01-11,25.5059
2023-01-10,25.5132
2023-01-09,25.6312
2023-01-06,25.6832
2023-01-05,25.2597
2023-01-04,25.2471
2023-01-03,24.9139
2022-12-30,24.5474
2022-12-29,24.5840
2022-12-28,24.6589
2022-12-27,24.7309
2022-12-23,24.5949
2022-12-22,24.6815
2022-12-21,24.8725
2022-12-20,24.5370
2022-12-19,24.4747
2022-12-16,24.4290
2022-12-15,24.5258
2022-12-14,24.6534
2022-12-13,24.7316
2022-12-12,24.5178
2022-12-09,24.4398
2022-12-08,24.5272
2022-12-07,24.2000
2022-12-06,24.2685
2022-12-05,24.4145
2022-12-02,24.1814
2022-12-01,24.0929
2022-11-30,24.1828
2022-11-29,23.9868
2022-11-28,24.0602
2022-11-25,24.1793
2022-11-23,24.0021
2022-11-22,24.0587
2022-11-21,24.1097
2022-11-18,24.1736
2022-11-17,24.0887
2022-11-16,24.1706
2022-11-15,24.2325
2022-11-14,24.3023
2022-11-11,24.3737
2022-11-10,24.4632
2022-11-09,24.0898
2022-11-08,24.0954
2022-11-07,23.9139
2022-11-04,23.6138
2022-11-03,23.5586
2022-11-02,23.3801
2022-11-01,22.9751
2022-10-31,22.9739
2022-10-28,23.0566
2022-10-27,23.0215
2022-10-26,23.1781
2022-10-25,23.4844
2022-10-24,23.2765
2022-10-21,23.2242
2022-10-20,23.3044
2022-10-19,23.3146
2022-10-18,23.2625
2022-10-17,23.1778
2022-10-14,23.1841
2022-10-13,23.1448
2022-10-12,23.3222
2022-10-11,23.3850
2022-10-10,23.4843
2022-10-07,23.2134
2022-10-06,23.2836
2022-10-05,23.3436
2022-10-04,23.4326
2022-10-03,23.0967
2022-09-30,23.0780
2022-09-29,23.1525
2022-09-28,23.3134
2022-09-27,23.1745
2022-09-26,23.2554
2022-09-23,23.3485
2022-09-22,23.5033
2022-09-21,23.5948
2022-09-20,23.5496
2022-09-19,23.5645
2022-09-16,23.5454
2022-09-15,23.6877
2022-09-14,23.5237
2022-09-13,23.6146
2022-09-12,23.8111
2022-09-09,23.7838
2022-09-08,23.7278
2022-09-07,23.6639
2022-09-06,23.6233
2022-09-02,23.6908
2022-09-01,23.7834
2022-08-31,23.9428
2022-08-30,24.0007
2022-08-29,23.9432
2022-08-26,24.0230
2022-08-25,24.0220
2022-08-24,23.7347
2022-08-23,23.6298
2022-08-22,23.5748
2022-08-19,23.6578
2022-08-18,23.7595
2022-08-17,23.8163
2022-08-16,23.9162
2022-08-15,23.9039
2022-08-12,23.8042
2022-08-11,23.8462
2022-08-10,23.8812
2022-08-09,23.6641
2022-08-08,23.7142
2022-08-05,23.5408
2022-08-04,23.5918
2022-08-03,23.6107
2022-08-02,23.6949
2022-08-01,23.7913
2022-07-29,23.1744
2022-07-28,23.2429
2022-07-27,23.3558
2022-07-26,23.2018
2022-07-25,23.2006
2022-07-22,23.2853
2022-07-21,23.2587
2022-07-20,23.1914
2022-07-19,23.0597
2022-07-18,23.1714
2022-07-15,22.8855
2022-07-14,22.8116
2022-07-13,22.9188
2022-07-12,22.9964
2022-07-11,22.5036
2022-07-08,22.5704
2022-07-07,22.6221
2022-07-06,22.4714
2022-07-05,22.4928
2022-07-01,22.6235
2022-06-30,22.4297
