Dates,PLUS_DM Values
2023-07-21,300.7539
2023-07-20,301.7627
2023-07-19,300.0329
2023-07-18,301.5406
2023-07-17,303.0559
2023-07-14,304.5788
2023-07-13,306.1093
2023-07-12,307.6475
2023-07-11,306.6005
2023-07-10,302.7242
2023-07-07,304.2454
2023-07-06,303.7140
2023-07-05,305.2402
2023-07-03,306.7740
2023-06-30,308.3156
2023-06-29,309.8649
2023-06-28,310.3869
2023-06-27,309.4039
2023-06-26,308.3758
2023-06-23,308.4380
2023-06-22,309.9879
2023-06-21,311.5456
2023-06-20,313.1112
2023-06-16,314.6846
2023-06-15,312.9896
2023-06-14,314.5624
2023-06-13,316.1431
2023-06-12,317.7317
2023-06-09,314.5519
2023-06-08,316.1326
2023-06-07,310.0629
2023-06-06,310.9175
2023-06-05,312.4799
2023-06-02,314.0501
2023-06-01,310.5931
2023-05-31,308.0935
2023-05-30,309.6418
2023-05-26,308.1828
2023-05-25,306.6661
2023-05-24,308.2071
2023-05-23,309.7559
2023-05-22,311.3125
2023-05-19,312.8769
2023-05-18,314.2481
2023-05-17,315.8272
2023-05-16,311.1631
2023-05-15,312.7267
2023-05-12,314.0871
2023-05-11,315.1026
2023-05-10,316.6861
2023-05-09,318.2775
2023-05-08,314.9020
2023-05-05,315.8613
2023-05-04,317.4485
2023-05-03,319.0437
2023-05-02,318.7260
2023-05-01,320.3276
2023-04-28,320.3594
2023-04-27,321.9692
2023-04-26,323.5872
2023-04-25,318.4193
2023-04-24,320.0194
2023-04-21,321.6275
2023-04-20,323.2437
2023-04-19,324.8681
2023-04-18,324.5565
2023-04-17,323.3375
2023-04-14,323.1351
2023-04-13,324.7589
2023-04-12,326.3909
2023-04-11,328.0310
2023-04-10,329.2774
2023-04-06,329.1934
2023-04-05,330.8476
2023-04-04,332.5102
2023-04-03,334.1811
2023-03-31,332.0714
2023-03-30,331.8003
2023-03-29,329.2232
2023-03-28,328.5191
2023-03-27,325.3961
2023-03-24,323.0313
2023-03-23,324.6545
2023-03-22,326.2860
2023-03-21,327.9256
2023-03-20,327.5735
2023-03-17,326.1679
2023-03-16,327.8069
2023-03-15,327.7430
2023-03-14,329.3899
2023-03-13,324.5327
2023-03-10,324.0730
2023-03-09,325.7015
2023-03-08,327.3382
2023-03-07,328.9832
2023-03-06,330.6363
2023-03-03,332.2978
2023-03-02,328.1486
2023-03-01,324.8780
2023-02-28,323.4402
2023-02-27,325.0655
2023-02-24,325.2659
2023-02-23,326.9004
2023-02-22,326.5059
2023-02-21,328.1467
2023-02-17,329.7957
2023-02-16,331.4529
2023-02-15,333.1185
2023-02-14,334.7925
2023-02-13,331.4749
2023-02-10,331.2762
2023-02-09,332.9409
2023-02-08,334.6140
2023-02-07,335.6724
2023-02-06,330.3843
2023-02-03,332.0445
2023-02-02,333.7131
2023-02-01,335.3900
2023-01-31,331.1860
2023-01-30,331.0914
2023-01-27,332.7552
2023-01-26,334.4273
2023-01-25,336.1079
2023-01-24,335.1838
2023-01-23,336.8681
2023-01-20,335.4454
2023-01-19,337.1310
2023-01-18,338.8251
2023-01-17,340.4429
2023-01-13,342.1536
2023-01-12,342.1443
2023-01-11,339.3913
2023-01-10,340.2246
2023-01-09,341.9343
2023-01-06,342.8083
2023-01-05,336.4405
2023-01-04,336.8950
2023-01-03,331.9699
2022-12-30,327.0803
2022-12-29,328.3219
2022-12-28,329.9717
2022-12-27,331.6299
2022-12-23,330.2712
2022-12-22,331.9309
2022-12-21,333.5989
2022-12-20,328.7526
2022-12-19,328.5253
2022-12-16,328.7390
2022-12-15,330.3909
2022-12-14,332.0512
2022-12-13,333.7198
2022-12-12,330.9546
2022-12-09,329.8036
2022-12-08,331.4609
2022-12-07,326.6441
2022-12-06,328.2855
2022-12-05,329.9352
2022-12-02,326.5681
2022-12-01,324.4403
2022-11-30,326.0707
2022-11-29,323.6590
2022-11-28,325.2854
2022-11-25,326.9200
2022-11-23,325.0854
2022-11-22,326.7090
2022-11-21,328.0794
2022-11-18,329.7280
2022-11-17,329.3348
2022-11-16,330.9897
2022-11-15,332.6530
2022-11-14,334.3246
2022-11-11,335.8438
2022-11-10,337.5314
2022-11-09,331.4889
2022-11-08,332.0793
2022-11-07,329.8785
2022-11-04,325.7876
2022-11-03,325.1232
2022-11-02,321.6314
2022-11-01,314.8657
2022-10-31,315.6429
2022-10-28,317.2290
2022-10-27,317.1874
2022-10-26,318.7813
2022-10-25,320.3832
2022-10-24,317.9731
2022-10-21,318.0131
2022-10-20,319.6112
2022-10-19,320.5339
2022-10-18,320.3556
2022-10-17,319.8147
2022-10-14,320.5474
2022-10-13,320.4396
2022-10-12,322.0499
2022-10-11,323.6682
2022-10-10,325.2947
2022-10-07,321.7706
2022-10-06,323.3875
2022-10-05,325.0126
2022-10-04,326.6458
2022-10-03,321.8350
2022-09-30,321.7688
2022-09-29,323.3857
2022-09-28,325.0108
2022-09-27,323.1867
2022-09-26,324.8108
2022-09-23,326.4430
2022-09-22,328.0834
2022-09-21,329.7321
2022-09-20,329.1780
2022-09-19,330.1487
2022-09-16,330.4409
2022-09-15,332.1014
2022-09-14,330.0014
2022-09-13,331.6597
2022-09-12,333.3264
2022-09-09,333.7752
2022-09-08,333.9952
2022-09-07,333.7088
2022-09-06,333.5113
2022-09-02,335.1872
2022-09-01,336.8716
2022-08-31,338.5644
2022-08-30,340.2658
2022-08-29,338.9426
2022-08-26,340.6458
2022-08-25,340.6289
2022-08-24,336.8030
2022-08-23,336.0330
2022-08-22,336.2928
2022-08-19,337.9827
2022-08-18,339.6811
2022-08-17,341.3880
2022-08-16,343.1036
2022-08-15,343.5212
2022-08-12,342.7951
2022-08-11,344.5177
2022-08-10,345.6260
2022-08-09,342.7095
2022-08-08,344.4317
2022-08-05,342.1223
2022-08-04,343.8415
2022-08-03,344.9663
2022-08-02,346.6998
2022-08-01,348.4420
2022-07-29,338.2131
2022-07-28,339.9127
2022-07-27,341.6208
2022-07-26,338.7545
2022-07-25,339.5824
2022-07-22,341.2889
2022-07-21,341.3105
2022-07-20,340.7593
2022-07-19,339.3360
2022-07-18,340.6995
2022-07-15,336.1763
2022-07-14,335.6084
2022-07-13,337.2949
2022-07-12,338.9899
2022-07-11,330.5627
2022-07-08,332.2238
2022-07-07,333.8933
2022-07-06,331.9882
2022-07-05,333.0133
2022-07-01,334.6867
2022-06-30,332.0469
2022-06-29,333.7155
2022-06-28,335.3925
2022-06-27,330.4372
2022-06-24,332.0977
2022-06-23,329.2941
2022-06-22,330.9489
2022-06-21,332.6119
2022-06-17,332.3140
2022-06-16,330.3256
2022-06-15,331.6338
2022-06-14,320.4360
2022-06-13,322.0462
2022-06-10,323.6645
2022-06-09,325.2910
2022-06-08,326.9256
2022-06-07,327.5973
2022-06-06,329.2435
2022-06-03,330.8980
2022-06-02,332.4101
2022-06-01,327.8292
2022-05-31,329.4766
2022-05-27,330.3684
2022-05-26,328.6231
2022-05-25,323.9965
2022-05-24,325.6246
2022-05-23,327.2610
2022-05-20,328.9055
2022-05-19,330.5583
2022-05-18,332.2194
2022-05-17,333.8888
2022-05-16,333.8523
2022-05-13,335.2041
2022-05-12,334.6071
2022-05-11,336.2886
2022-05-10,337.9785
2022-05-09,339.6768
2022-05-06,341.3838
2022-05-05,343.0993
2022-05-04,344.8234
2022-05-03,343.8520
2022-05-02,340.5571
2022-04-29,342.2685
2022-04-28,343.9884
2022-04-27,345.7170
2022-04-26,347.4543
2022-04-25,349.2003
2022-04-22,350.9550
2022-04-21,352.7186
2022-04-20,351.9685
2022-04-19,353.7372
2022-04-18,350.3389
2022-04-14,352.0994
2022-04-13,351.7782
2022-04-12,348.5611
2022-04-11,350.3126
2022-04-08,350.5252
2022-04-07,352.2867
2022-04-06,354.0570
2022-04-05,355.8361
2022-04-04,357.6243
2022-04-01,359.4214
2022-03-31,361.2275
2022-03-30,362.9122
2022-03-29,363.6404
2022-03-28,358.3320
2022-03-25,360.1327
2022-03-24,359.4198
2022-03-23,361.2259
2022-03-22,363.0411
2022-03-21,359.2394
2022-03-18,361.0446
2022-03-17,359.7032
2022-03-16,360.8675
2022-03-15,353.5352
2022-03-14,353.0292
2022-03-11,354.8032
2022-03-10,353.7319
2022-03-09,355.5094
2022-03-08,355.2356
2022-03-07,357.0207
2022-03-04,358.8148
2022-03-03,360.6179
2022-03-02,362.4300
2022-03-01,364.2513
2022-02-28,366.0817
2022-02-25,364.6650
2022-02-24,361.2563
2022-02-23,363.0717
2022-02-22,364.8961
2022-02-18,366.7298
2022-02-17,368.5727
2022-02-16,370.4248
2022-02-15,372.1449
2022-02-14,370.0859
2022-02-11,371.9457
2022-02-10,373.8147
2022-02-09,369.4721
2022-02-08,368.1428
2022-02-07,369.9928
2022-02-04,365.7013
2022-02-03,367.5390
2022-02-02,368.6680
2022-02-01,370.5206
2022-01-31,363.7896
2022-01-28,355.9493
2022-01-27,357.7380
2022-01-26,359.5357
2022-01-25,361.3424
2022-01-24,362.3240
2022-01-21,364.1447
2022-01-20,365.9746
2022-01-19,367.8137
2022-01-18,369.6620
2022-01-14,368.0322
2022-01-13,369.8816
2022-01-12,366.0619
2022-01-11,363.6702
2022-01-10,363.7389
2022-01-07,365.5668
2022-01-06,365.0721
2022-01-05,366.9066
2022-01-04,364.3539
2022-01-03,362.1592
2021-12-31,357.0846
2021-12-30,358.8790
2021-12-29,360.0895
2021-12-28,361.8990
2021-12-27,358.1826
2021-12-23,359.9825
2021-12-22,359.5804
2021-12-21,358.1311
2021-12-20,350.5538
2021-12-17,352.3154
2021-12-16,354.0858
2021-12-15,354.1188
2021-12-14,355.8983
2021-12-13,357.6868
2021-12-10,359.4842
2021-12-09,361.2906
2021-12-08,363.1062
2021-12-07,363.8957
2021-12-06,360.4682
2021-12-03,355.7267
2021-12-02,357.5143
2021-12-01,358.3862
2021-11-30,360.1871
2021-11-29,361.9971
2021-11-26,358.9318
2021-11-24,360.7355
2021-11-23,362.5482
2021-11-22,364.3701
2021-11-19,366.2011
2021-11-18,368.0413
2021-11-17,369.7098
