Dates,PPO Values
2023-07-20,0.2640
2023-07-19,0.2432
2023-07-18,0.4528
2023-07-17,0.5717
2023-07-14,0.7007
2023-07-13,0.7957
2023-07-12,0.7274
2023-07-11,0.6168
2023-07-10,0.3864
2023-07-07,0.3479
2023-07-06,0.3518
2023-07-05,0.3265
2023-07-03,0.2562
2023-06-30,0.2779
2023-06-29,0.2901
2023-06-28,0.2689
2023-06-27,0.2917
2023-06-26,0.3788
2023-06-23,0.6699
2023-06-22,1.0388
2023-06-21,1.4834
2023-06-20,1.7210
2023-06-16,1.9854
2023-06-15,1.9323
2023-06-14,1.8624
2023-06-13,1.8644
2023-06-12,1.6714
2023-06-09,1.3397
2023-06-08,1.0988
2023-06-07,0.7327
2023-06-06,0.5559
2023-06-05,0.5505
2023-06-02,0.4617
2023-06-01,0.1151
2023-05-31,-0.0634
2023-05-30,-0.1778
2023-05-26,-0.2707
2023-05-25,-0.3322
2023-05-24,-0.2674
2023-05-23,-0.1010
2023-05-22,-0.0540
2023-05-19,-0.1586
2023-05-18,-0.2690
2023-05-17,-0.4939
2023-05-16,-0.7558
2023-05-15,-0.7769
2023-05-12,-0.8883
2023-05-11,-0.9133
2023-05-10,-0.9893
2023-05-09,-1.0217
2023-05-08,-1.1005
2023-05-05,-0.9533
2023-05-04,-0.8070
2023-05-03,-0.5459
2023-05-02,-0.3990
2023-05-01,-0.3211
2023-04-28,-0.2480
2023-04-27,-0.2948
2023-04-26,-0.3138
2023-04-25,-0.1850
2023-04-24,0.0227
2023-04-21,0.1112
2023-04-20,0.2528
2023-04-19,0.3281
2023-04-18,0.3470
2023-04-17,0.3827
2023-04-14,0.5858
2023-04-13,0.9970
2023-04-12,0.9308
2023-04-11,0.8930
2023-04-10,0.8321
2023-04-06,0.8171
2023-04-05,0.7568
2023-04-04,0.7356
2023-04-03,0.5057
2023-03-31,0.1290
2023-03-30,-0.2098
2023-03-29,-0.5718
2023-03-28,-0.8731
2023-03-27,-1.0939
2023-03-24,-1.1383
2023-03-23,-1.0258
2023-03-22,-0.8871
2023-03-21,-0.6120
2023-03-20,-0.6783
2023-03-17,-0.7567
2023-03-16,-0.6607
2023-03-15,-0.6353
2023-03-14,-0.3478
2023-03-13,-0.4245
2023-03-10,-0.3234
2023-03-09,-0.1753
2023-03-08,0.1050
2023-03-07,0.1691
2023-03-06,0.2133
2023-03-03,0.0710
2023-03-02,-0.2689
2023-03-01,-0.4515
2023-02-28,-0.4065
2023-02-27,-0.1959
2023-02-24,0.1276
2023-02-23,0.6483
2023-02-22,0.8181
2023-02-21,1.1369
2023-02-17,1.5380
2023-02-16,1.7332
2023-02-15,1.9309
2023-02-14,1.9047
2023-02-13,1.7934
2023-02-10,1.7585
2023-02-09,1.8207
2023-02-08,1.9170
2023-02-07,1.9382
2023-02-06,1.8748
2023-02-03,2.1532
2023-02-02,2.5163
2023-02-01,2.7817
2023-01-31,2.8171
2023-01-30,2.9049
2023-01-27,3.1364
2023-01-26,3.3128
2023-01-25,3.4124
2023-01-24,3.4905
2023-01-23,3.5716
2023-01-20,3.7207
2023-01-19,4.0150
2023-01-18,4.3156
2023-01-17,4.5205
2023-01-13,4.6140
2023-01-12,4.5244
2023-01-11,4.3253
2023-01-10,4.3203
2023-01-09,4.3144
2023-01-06,4.1400
2023-01-05,3.6121
2023-01-04,3.2935
2023-01-03,2.8996
2022-12-30,2.7925
2022-12-29,2.8789
2022-12-28,3.0326
2022-12-27,3.2129
2022-12-23,3.3398
2022-12-22,3.4705
2022-12-21,3.6301
2022-12-20,3.3486
2022-12-19,3.3633
2022-12-16,3.4767
2022-12-15,3.6245
2022-12-14,3.8143
2022-12-13,3.7427
2022-12-12,3.6549
2022-12-09,3.5330
2022-12-08,3.7098
2022-12-07,3.9069
2022-12-06,4.2504
2022-12-05,4.5149
2022-12-02,4.3960
2022-12-01,4.3025
2022-11-30,4.5336
2022-11-29,4.5765
2022-11-28,4.7726
2022-11-25,5.1602
