Dates,ROCR Values
2023-07-20,1.0047
2023-07-19,0.9779
2023-07-18,1.0031
2023-07-17,1.0034
2023-07-14,1.0061
2023-07-13,1.0291
2023-07-12,1.0367
2023-07-11,1.0641
2023-07-10,1.0385
2023-07-07,1.0316
2023-07-06,1.0025
2023-07-05,1.0044
2023-07-03,0.9588
2023-06-30,0.9624
2023-06-29,0.9766
2023-06-28,0.9562
2023-06-27,0.9453
2023-06-26,0.9460
2023-06-23,0.9418
2023-06-22,0.9702
2023-06-21,1.0231
2023-06-20,1.0172
2023-06-16,1.0313
2023-06-15,1.0551
2023-06-14,1.0544
2023-06-13,1.0767
2023-06-12,1.0881
2023-06-09,1.0818
2023-06-08,1.0945
2023-06-07,1.0461
2023-06-06,1.0067
2023-06-05,1.0160
2023-06-02,1.0293
2023-06-01,1.0053
2023-05-31,1.0240
2023-05-30,1.0095
2023-05-26,1.0146
2023-05-25,0.9952
2023-05-24,0.9922
2023-05-23,1.0036
2023-05-22,1.0439
2023-05-19,1.0360
2023-05-18,1.0517
2023-05-17,1.0296
2023-05-16,0.9883
2023-05-15,0.9946
2023-05-12,0.9706
2023-05-11,0.9796
2023-05-10,0.9892
2023-05-09,0.9985
2023-05-08,0.9586
2023-05-05,0.9668
2023-05-04,0.9509
2023-05-03,0.9627
2023-05-02,0.9754
2023-05-01,0.9943
2023-04-28,1.0251
2023-04-27,0.9647
2023-04-26,0.9562
2023-04-25,0.9523
2023-04-24,0.9762
2023-04-21,0.9706
2023-04-20,0.9868
2023-04-19,0.9757
2023-04-18,0.9674
2023-04-17,0.9652
2023-04-14,0.9558
2023-04-13,1.0270
2023-04-12,1.0360
2023-04-11,1.0586
2023-04-10,1.0671
2023-04-06,1.0681
2023-04-05,1.0706
2023-04-04,1.0449
2023-04-03,1.0519
2023-03-31,1.0566
2023-03-30,1.0386
2023-03-29,1.0492
2023-03-28,0.9888
2023-03-27,0.9862
2023-03-24,0.9727
2023-03-23,0.9834
2023-03-22,0.9467
2023-03-21,0.9845
2023-03-20,0.9663
2023-03-17,0.9346
2023-03-16,0.9673
2023-03-15,0.9690
2023-03-14,1.0284
2023-03-13,1.0145
2023-03-10,1.0248
2023-03-09,0.9669
2023-03-08,1.0070
2023-03-07,1.0117
2023-03-06,1.0012
2023-03-03,1.0137
2023-03-02,0.9661
2023-03-01,0.9364
2023-02-28,0.9346
2023-02-27,0.9416
2023-02-24,0.9347
2023-02-23,0.9748
2023-02-22,0.9581
2023-02-21,0.9938
2023-02-17,1.0274
2023-02-16,1.0137
2023-02-15,1.0125
2023-02-14,1.0256
2023-02-13,1.0285
2023-02-10,1.0081
2023-02-09,0.9965
2023-02-08,1.0039
2023-02-07,1.0131
2023-02-06,0.9850
2023-02-03,0.9964
2023-02-02,1.0109
2023-02-01,1.0255
2023-01-31,1.0075
2023-01-30,0.9792
2023-01-27,0.9853
2023-01-26,1.0226
2023-01-25,1.0290
2023-01-24,1.0163
2023-01-23,0.9858
2023-01-20,1.0086
2023-01-19,1.0169
2023-01-18,1.0718
2023-01-17,1.1098
2023-01-13,1.1335
2023-01-12,1.1377
2023-01-11,1.0984
2023-01-10,1.0933
2023-01-09,1.1079
2023-01-06,1.0867
2023-01-05,1.0887
2023-01-04,1.0967
2023-01-03,1.0579
2022-12-30,1.0368
2022-12-29,1.0035
2022-12-28,1.0067
2022-12-27,1.0168
2022-12-23,1.0530
2022-12-22,1.0512
2022-12-21,1.1105
2022-12-20,1.0553
2022-12-19,1.0031
2022-12-16,1.0100
2022-12-15,1.0452
2022-12-14,1.0524
2022-12-13,1.0674
2022-12-12,1.0840
2022-12-09,1.0066
2022-12-08,1.0242
2022-12-07,1.0232
2022-12-06,1.0317
2022-12-05,1.0645
2022-12-02,1.0584
2022-12-01,1.0179
2022-11-30,1.0201
2022-11-29,1.0102
2022-11-28,0.9681
2022-11-25,1.0044
2022-11-23,1.0362
2022-11-22,1.0170
2022-11-21,1.0487
2022-11-18,1.0867
2022-11-17,1.1023
2022-11-16,1.1715
2022-11-15,1.2230
