Dates,ROC Values
2023-07-20,8.2886
2023-07-19,5.1729
2023-07-18,7.3687
2023-07-17,5.4447
2023-07-14,4.8561
2023-07-13,6.3668
2023-07-12,4.9956
2023-07-11,6.1736
2023-07-10,5.0633
2023-07-07,4.9013
2023-07-06,3.3290
2023-07-05,3.9776
2023-07-03,1.7806
2023-06-30,1.1739
2023-06-29,1.6605
2023-06-28,2.7752
2023-06-27,3.8273
2023-06-26,-3.7502
2023-06-23,-3.2636
2023-06-22,-3.1603
2023-06-21,0.6168
2023-06-20,0.4731
2023-06-16,4.7571
2023-06-15,2.5760
2023-06-14,0.7011
2023-06-13,3.7424
2023-06-12,4.9848
2023-06-09,4.4910
2023-06-08,6.4159
2023-06-07,5.6639
2023-06-06,4.9410
2023-06-05,5.4977
2023-06-02,8.7480
2023-06-01,1.5926
2023-05-31,0.4542
2023-05-30,1.8105
2023-05-26,0.2165
2023-05-25,1.3420
2023-05-24,-3.8643
2023-05-23,-0.3786
2023-05-22,1.3985
2023-05-19,2.1119
2023-05-18,0.0193
2023-05-17,-0.5050
2023-05-16,-5.2142
2023-05-15,-5.7366
2023-05-12,-4.4559
2023-05-11,-1.3249
2023-05-10,-0.3523
2023-05-09,0.7084
2023-05-08,-0.4492
2023-05-05,-4.7038
2023-05-04,-4.2331
2023-05-03,-2.2334
2023-05-02,-3.9734
2023-05-01,-3.9301
2023-04-28,-4.9025
2023-04-27,-5.6809
2023-04-26,-5.8521
2023-04-25,-5.0261
2023-04-24,-2.9341
2023-04-21,-3.9110
2023-04-20,-3.5062
2023-04-19,0.9187
2023-04-18,1.1456
2023-04-17,-2.0589
2023-04-14,-6.0722
2023-04-13,0.2770
2023-04-12,1.2734
2023-04-11,0.5446
2023-04-10,-0.9167
2023-04-06,-0.6159
2023-04-05,-0.9341
2023-04-04,1.8717
2023-04-03,4.1739
2023-03-31,2.5786
2023-03-30,0.7784
2023-03-29,-1.6272
2023-03-28,-4.2824
2023-03-27,-6.4156
2023-03-24,-5.0473
2023-03-23,-4.2527
2023-03-22,-5.9500
2023-03-21,-3.8967
2023-03-20,-0.1073
2023-03-17,-1.2719
2023-03-16,3.9920
2023-03-15,4.0527
2023-03-14,9.7242
2023-03-13,7.9573
2023-03-10,7.2175
2023-03-09,6.4424
2023-03-08,10.0664
2023-03-07,6.0816
2023-03-06,12.5498
2023-03-03,15.8498
2023-03-02,13.7304
2023-03-01,11.3379
2023-02-28,7.0651
2023-02-27,7.1234
2023-02-24,6.3778
2023-02-23,15.9240
2023-02-22,14.8984
2023-02-21,16.4419
2023-02-17,18.6235
2023-02-16,14.6461
2023-02-15,18.9041
2023-02-14,24.2747
2023-02-13,20.5557
2023-02-10,21.4294
2023-02-09,23.3719
2023-02-08,19.7017
2023-02-07,22.8253
2023-02-06,19.8899
2023-02-03,19.1222
2023-02-02,20.3865
2023-02-01,24.2910
2023-01-31,23.3424
2023-01-30,19.5723
2023-01-27,21.6768
2023-01-26,19.8546
2023-01-25,19.7657
2023-01-24,25.6252
2023-01-23,23.7885
2023-01-20,25.3775
2023-01-19,29.4232
2023-01-18,33.5949
2023-01-17,43.4163
2023-01-13,49.3444
2023-01-12,50.3894
2023-01-11,44.6260
2023-01-10,47.8892
2023-01-09,55.8936
2023-01-06,45.2438
2023-01-05,44.3083
2023-01-04,44.0985
2023-01-03,40.4370
2022-12-30,37.6472
2022-12-29,37.5491
2022-12-28,38.4231
2022-12-27,42.2456
2022-12-23,42.7946
2022-12-22,44.3414
2022-12-21,48.9701
2022-12-20,42.7521
2022-12-19,43.0619
2022-12-16,39.7126
2022-12-15,39.0659
2022-12-14,41.0007
2022-12-13,48.4570
2022-12-12,53.8404
2022-12-09,43.2538
2022-12-08,34.2026
2022-12-07,38.4205
2022-12-06,40.1209
2022-12-05,41.0178
2022-12-02,31.8362
2022-12-01,22.6743
2022-11-30,22.5709
2022-11-29,21.0105
2022-11-28,19.0866
2022-11-25,19.0813
2022-11-23,17.1446
2022-11-22,17.1000
2022-11-21,8.9592
2022-11-18,10.3923
2022-11-17,9.5000
2022-11-16,10.7342
2022-11-15,15.0666
2022-11-14,14.3130
2022-11-11,15.5083
2022-11-10,10.8144
2022-11-09,4.0256
2022-11-08,2.5390
2022-11-07,0.2310
2022-11-04,-5.5319
2022-11-03,-4.1870
2022-11-02,-7.9090
2022-11-01,-9.8126
2022-10-31,-12.5276
2022-10-28,-14.7312
2022-10-27,-16.4115
2022-10-26,-22.2513
2022-10-25,-13.9731
2022-10-24,-16.4363
2022-10-21,-15.8208
2022-10-20,-17.6843
2022-10-19,-16.0510
2022-10-18,-17.2102
2022-10-17,-17.5412
2022-10-14,-20.0300
2022-10-13,-20.5473
2022-10-12,-20.1249
2022-10-11,-22.1802
2022-10-10,-17.2054
2022-10-07,-18.4172
2022-10-06,-15.3053
2022-10-05,-15.2707
2022-10-04,-14.7663
2022-10-03,-20.3022
2022-09-30,-24.9861
2022-09-29,-20.8675
2022-09-28,-14.5328
2022-09-27,-13.6813
2022-09-26,-13.8080
2022-09-23,-10.7985
2022-09-22,-3.6402
2022-09-21,-2.6232
2022-09-20,6.5333
2022-09-19,4.1778
2022-09-16,3.0864
2022-09-15,9.8819
2022-09-14,8.3951
2022-09-13,5.3418
2022-09-12,16.0913
2022-09-09,13.7739
2022-09-08,13.7635
2022-09-07,12.4207
2022-09-06,7.6733
2022-09-02,13.3239
2022-09-01,12.0297
2022-08-31,17.1846
2022-08-30,18.5746
2022-08-29,24.0402
2022-08-26,23.0407
2022-08-25,38.6542
2022-08-24,41.2049
2022-08-23,26.0394
2022-08-22,18.8813
2022-08-19,16.6798
2022-08-18,19.7912
2022-08-17,20.0804
2022-08-16,23.5763
2022-08-15,21.3310
2022-08-12,30.1110
2022-08-11,27.7626
2022-08-10,27.8227
2022-08-09,29.0613
2022-08-08,35.9086
2022-08-05,38.2245
2022-08-04,34.1984
2022-08-03,38.0613
2022-08-02,28.4254
2022-08-01,34.6957
2022-07-29,20.6437
2022-07-28,28.2467
2022-07-27,22.7123
2022-07-26,26.6201
2022-07-25,21.0604
2022-07-22,18.9620
2022-07-21,21.0787
2022-07-20,6.3667
2022-07-19,3.7615
2022-07-18,-5.8928
2022-07-15,-3.8026
2022-07-14,-0.9824
2022-07-13,-3.2854
2022-07-12,-4.5844
2022-07-11,-11.3104
2022-07-08,-16.7445
2022-07-07,-20.4309
2022-07-06,-22.9539
2022-07-05,-23.9311
2022-07-01,-23.8137
2022-06-30,-26.4867
2022-06-29,-23.0192
2022-06-28,-23.7661
2022-06-27,-24.1428
2022-06-24,-19.7130
2022-06-23,-23.4588
2022-06-22,-21.7123
2022-06-21,-23.1612
2022-06-17,-23.4557
2022-06-16,-26.9860
2022-06-15,-30.0554
