Dates,RSI Values
2023-07-20,52.5920
2023-07-19,38.9818
2023-07-18,46.0326
2023-07-17,46.8022
2023-07-14,49.9326
2023-07-13,60.8658
2023-07-12,61.7135
2023-07-11,67.0470
2023-07-10,55.6539
2023-07-07,52.3630
2023-07-06,53.9104
2023-07-05,55.8825
2023-07-03,50.2037
2023-06-30,50.7946
2023-06-29,52.3425
2023-06-28,50.0740
2023-06-27,47.4581
2023-06-26,38.8522
2023-06-23,38.4516
2023-06-22,38.7202
2023-06-21,48.6059
2023-06-20,49.1117
2023-06-16,65.1431
2023-06-15,64.3458
2023-06-14,60.8589
2023-06-13,69.3180
2023-06-12,72.3886
2023-06-09,67.7591
2023-06-08,69.7401
2023-06-07,62.0206
2023-06-06,54.1100
2023-06-05,57.5759
2023-06-02,69.8439
2023-06-01,61.0182
2023-05-31,56.1480
2023-05-30,53.8278
2023-05-26,51.3990
2023-05-25,44.5653
2023-05-24,40.1767
2023-05-23,47.1718
2023-05-22,55.8748
2023-05-19,54.9251
2023-05-18,59.7474
2023-05-17,59.0635
2023-05-16,45.5656
2023-05-15,50.2916
2023-05-12,44.6640
2023-05-11,47.3193
2023-05-10,44.7250
2023-05-09,46.8862
2023-05-08,34.1680
2023-05-05,35.9806
2023-05-04,32.1089
2023-05-03,38.3946
2023-05-02,42.9157
2023-05-01,44.1665
2023-04-28,50.3680
2023-04-27,48.7201
2023-04-26,41.6247
2023-04-25,39.5230
2023-04-24,45.8557
2023-04-21,44.4688
2023-04-20,48.1961
2023-04-19,50.9299
2023-04-18,50.3476
2023-04-17,44.5277
2023-04-14,38.0296
2023-04-13,61.0676
2023-04-12,58.6982
2023-04-11,58.6620
2023-04-10,55.9867
2023-04-06,57.2645
2023-04-05,55.1240
2023-04-04,63.2394
2023-04-03,66.6114
2023-03-31,63.0930
2023-03-30,61.3726
2023-03-29,57.4280
2023-03-28,53.2120
2023-03-27,46.2210
2023-03-24,40.6987
2023-03-23,41.1617
2023-03-22,38.1855
2023-03-21,49.1726
2023-03-20,49.2772
2023-03-17,43.5323
2023-03-16,46.2440
2023-03-15,38.1786
2023-03-14,50.6305
2023-03-13,43.4782
2023-03-10,42.9070
2023-03-09,39.5537
2023-03-08,47.7794
2023-03-07,48.8848
2023-03-06,55.2789
2023-03-03,61.0062
2023-03-02,54.2532
2023-03-01,44.8793
2023-02-28,38.7269
2023-02-27,36.4058
2023-02-24,31.4532
2023-02-23,45.1147
2023-02-22,39.4983
2023-02-21,38.9287
2023-02-17,49.7022
2023-02-16,50.8364
2023-02-15,63.1745
2023-02-14,65.9568
2023-02-13,61.7542
2023-02-10,57.0505
2023-02-09,55.4423
2023-02-08,58.7650
2023-02-07,61.5345
2023-02-06,47.4786
2023-02-03,45.6809
2023-02-02,52.3998
2023-02-01,66.7562
2023-01-31,63.8747
2023-01-30,57.5776
2023-01-27,61.9559
2023-01-26,66.7035
2023-01-25,66.6298
2023-01-24,65.6715
2023-01-23,62.9199
2023-01-20,58.0917
2023-01-19,58.8001
2023-01-18,63.7163
2023-01-17,68.1362
2023-01-13,74.4582
2023-01-12,74.8951
2023-01-11,69.5765
2023-01-10,68.2884
2023-01-09,72.1454
2023-01-06,81.9631
2023-01-05,76.8327
2023-01-04,75.7881
2023-01-03,67.8036
2022-12-30,60.9133
2022-12-29,58.3250
2022-12-28,57.4749
2022-12-27,59.5800
2022-12-23,59.1309
2022-12-22,58.1336
2022-12-21,73.5994
2022-12-20,65.3445
2022-12-19,61.6955
2022-12-16,60.2822
2022-12-15,58.9181
2022-12-14,68.7401
2022-12-13,67.5358
2022-12-12,66.6479
2022-12-09,58.6902
2022-12-08,58.0749
2022-12-07,54.6661
2022-12-06,57.8318
2022-12-05,70.5369
2022-12-02,68.4514
2022-12-01,60.4385
2022-11-30,67.1499
2022-11-29,62.8909
2022-11-28,58.0976
2022-11-25,74.2472
2022-11-23,70.2460
2022-11-22,67.1728
2022-11-21,68.3627
2022-11-18,70.7996
2022-11-17,69.6624
2022-11-16,69.5759
2022-11-15,75.2834
2022-11-14,73.9836
2022-11-11,82.5338
2022-11-10,82.7304
2022-11-09,78.1251
2022-11-08,80.0373
2022-11-07,77.3690
2022-11-04,74.1315
2022-11-03,71.7080
2022-11-02,62.6969
2022-11-01,57.4319
2022-10-31,56.2317
2022-10-28,58.5012
2022-10-27,53.2971
2022-10-26,44.0588
2022-10-25,71.4653
2022-10-24,64.3204
2022-10-21,62.9970
2022-10-20,58.8791
2022-10-19,57.4387
2022-10-18,55.4457
2022-10-17,53.0922
2022-10-14,47.1870
2022-10-13,45.6150
2022-10-12,41.4763
2022-10-11,43.1946
2022-10-10,43.6617
2022-10-07,39.9229
2022-10-06,42.8458
2022-10-05,42.7048
2022-10-04,44.2324
2022-10-03,32.6846
2022-09-30,23.1421
2022-09-29,25.9761
2022-09-28,32.8943
2022-09-27,18.6336
2022-09-26,18.1850
2022-09-23,20.5344
2022-09-22,26.3596
2022-09-21,31.2671
2022-09-20,34.6239
2022-09-19,31.9956
2022-09-16,30.5979
2022-09-15,36.9595
2022-09-14,35.8221
2022-09-13,31.6604
2022-09-12,48.0785
2022-09-09,45.3984
2022-09-08,45.8780
2022-09-07,42.1287
2022-09-06,34.1901
2022-09-02,32.8630
2022-09-01,34.9082
2022-08-31,43.6680
2022-08-30,46.8125
2022-08-29,52.3710
2022-08-26,50.9167
2022-08-25,59.8849
2022-08-24,50.5413
2022-08-23,43.2796
2022-08-22,40.8668
2022-08-19,47.4305
2022-08-18,60.1674
2022-08-17,57.5159
2022-08-16,71.5558
2022-08-15,69.3330
2022-08-12,68.6762
2022-08-11,65.7764
2022-08-10,68.8770
2022-08-09,63.1601
2022-08-08,65.8762
2022-08-05,64.7615
2022-08-04,68.2057
2022-08-03,68.5202
2022-08-02,65.0381
2022-08-01,78.5056
2022-07-29,68.6604
