Dates,SAR Values
2023-07-20,203.6625
2023-07-19,203.4817
2023-07-18,203.2991
2023-07-17,203.1146
2023-07-14,202.9283
2023-07-13,202.7401
2023-07-12,202.5500
2023-07-11,221.6744
2023-07-10,221.8676
2023-07-07,222.0627
2023-07-06,222.2598
2023-07-05,222.4589
2023-07-03,222.6600
2023-06-30,222.8631
2023-06-29,223.0683
2023-06-28,223.2756
2023-06-27,223.4849
2023-06-26,223.6964
2023-06-23,223.9100
2023-06-22,203.3892
2023-06-21,202.5342
2023-06-20,201.6436
2023-06-16,200.7158
2023-06-15,199.7494
2023-06-14,198.7427
2023-06-13,197.6940
2023-06-12,196.6017
2023-06-09,195.8780
2023-06-08,195.1320
2023-06-07,194.7216
2023-06-06,194.3029
2023-06-05,193.8756
2023-06-02,193.4396
2023-06-01,193.2700
2023-05-31,208.9942
2023-05-30,209.3151
2023-05-26,209.6425
2023-05-25,209.9767
2023-05-24,210.3176
2023-05-23,210.6655
2023-05-22,211.0205
2023-05-19,211.3828
2023-05-18,211.7525
2023-05-17,212.1296
2023-05-16,212.5145
2023-05-15,212.9073
2023-05-12,213.3080
2023-05-11,213.7170
2023-05-10,214.1343
2023-05-09,214.5601
2023-05-08,214.9946
2023-05-05,215.4379
2023-05-04,215.8903
2023-05-03,216.0695
2023-05-02,216.2504
2023-05-01,216.4332
2023-04-28,216.6179
2023-04-27,216.8044
2023-04-26,216.9928
2023-04-25,217.1831
2023-04-24,217.3753
2023-04-21,217.5694
2023-04-20,217.7655
2023-04-19,217.9636
2023-04-18,218.1637
2023-04-17,218.3658
2023-04-14,218.5700
2023-04-13,197.9570
2023-04-12,197.3195
2023-04-11,196.6622
2023-04-10,195.9847
2023-04-06,195.2862
2023-04-05,194.5660
2023-04-04,193.8237
2023-04-03,193.0583
2023-03-31,192.6146
2023-03-30,192.4100
2023-03-29,211.7308
2023-03-28,211.9260
2023-03-27,212.1231
2023-03-24,212.3222
2023-03-23,212.5233
2023-03-22,212.7265
2023-03-21,212.9317
2023-03-20,213.1390
2023-03-17,213.3484
2023-03-16,213.5599
2023-03-15,213.5599
2023-03-14,197.1100
2023-03-13,213.9681
2023-03-10,214.4817
2023-03-09,215.0113
2023-03-08,215.5572
2023-03-07,216.1200
2023-03-06,216.6459
2023-03-03,217.2424
2023-03-02,217.8573
2023-03-01,218.4912
2023-02-28,219.1448
2023-02-27,219.8185
2023-02-24,220.5131
2023-02-23,220.8369
2023-02-22,221.1672
2023-02-21,221.3300
2023-02-17,205.2941
2023-02-16,204.9668
2023-02-15,204.6329
2023-02-14,204.2921
2023-02-13,204.1438
2023-02-10,203.9941
2023-02-09,203.8428
2023-02-08,203.6900
2023-02-07,203.6900
2023-02-06,203.5811
2023-02-03,203.4256
2023-02-02,203.2686
2023-02-01,203.1100
2023-01-31,215.2647
2023-01-30,215.5128
2023-01-27,215.7659
2023-01-26,216.0242
2023-01-25,216.2877
2023-01-24,216.4040
2023-01-23,216.5214
2023-01-20,216.6400
2023-01-19,204.1782
2023-01-18,202.4789
2023-01-17,200.5478
2023-01-13,198.3534
2023-01-12,196.3059
2023-01-11,194.3532
2023-01-10,192.1836
2023-01-09,189.7729
2023-01-06,187.4717
2023-01-05,185.9484
2023-01-04,184.6077
2023-01-03,183.8056
2022-12-30,183.1427
2022-12-29,182.4449
2022-12-28,181.7105
2022-12-27,180.9373
2022-12-23,180.1235
2022-12-22,179.2668
2022-12-21,178.3651
2022-12-20,177.8341
2022-12-19,177.2809
2022-12-16,176.7047
2022-12-15,176.1045
2022-12-14,175.4792
2022-12-13,174.8280
2022-12-12,174.4067
2022-12-09,173.9723
2022-12-08,173.5246
2022-12-07,173.0630
2022-12-06,172.5871
2022-12-05,172.0965
2022-12-02,171.8648
2022-12-01,171.7828
2022-11-30,171.7000
2022-11-29,179.2438
2022-11-28,179.3200
2022-11-25,171.0000
2022-11-23,171.0000
2022-11-22,170.2480
2022-11-21,168.5200
2022-11-18,168.5200
2022-11-17,168.2421
2022-11-16,166.1320
2022-11-15,163.6200
2022-11-14,160.6296
2022-11-11,157.0695
2022-11-10,152.8313
2022-11-09,149.5156
2022-11-08,146.0914
2022-11-07,143.0120
2022-11-04,140.5618
2022-11-03,138.3212
2022-11-02,136.6247
2022-11-01,135.2880
2022-10-31,133.8192
2022-10-28,132.2050
2022-10-27,130.6923
2022-10-26,128.7689
2022-10-25,127.1941
2022-10-24,126.0134
2022-10-21,125.0006
2022-10-20,123.9232
2022-10-19,123.0139
2022-10-18,122.3303
2022-10-17,121.8680
2022-10-14,121.5712
2022-10-13,121.4281
2022-10-12,121.2835
2022-10-11,121.1375
2022-10-10,120.9900
2022-10-07,135.9970
2022-10-06,137.8518
2022-10-05,139.9358
2022-10-04,142.2774
2022-10-03,144.9085
2022-09-30,147.8647
2022-09-29,150.5385
2022-09-28,153.0050
2022-09-27,155.7154
2022-09-26,158.2228
2022-09-23,160.3847
2022-09-22,161.7950
2022-09-21,162.8711
2022-09-20,164.0037
2022-09-19,165.1961
2022-09-16,166.4511
2022-09-15,167.3741
2022-09-14,168.3355
2022-09-13,168.9913
2022-09-12,169.3695
2022-09-09,169.7554
2022-09-08,170.1492
2022-09-07,170.5510
2022-09-06,170.9611
2022-09-02,171.1645
2022-09-01,171.3700
2022-08-31,158.3098
2022-08-30,158.1779
2022-08-29,158.0446
2022-08-26,157.9100
2022-08-25,171.5749
2022-08-24,172.1442
2022-08-23,172.7373
2022-08-22,173.3551
2022-08-19,173.6884
2022-08-18,173.8500
2022-08-17,173.8500
2022-08-16,165.4862
2022-08-15,164.5230
2022-08-12,163.6285
2022-08-11,162.6235
2022-08-10,161.4943
2022-08-09,160.2255
2022-08-08,158.7999
2022-08-05,157.1980
2022-08-04,155.3982
2022-08-03,153.3760
2022-08-02,151.1038
2022-08-01,148.5508
2022-07-29,146.9076
2022-07-28,145.0818
2022-07-27,143.0531
2022-07-26,140.7990
2022-07-25,138.2945
2022-07-22,135.5116
2022-07-21,132.9260
2022-07-20,130.6239
2022-07-19,128.6928
2022-07-18,126.9537
2022-07-15,125.7546
2022-07-14,124.7727
2022-07-13,123.7499
2022-07-12,122.6845
2022-07-11,121.9269
2022-07-08,121.1459
2022-07-07,120.3407
2022-07-06,119.5106
2022-07-05,118.6549
2022-07-01,117.7726
2022-06-30,116.8631
2022-06-29,115.9255
2022-06-28,114.9589
2022-06-27,114.4097
2022-06-24,113.8492
2022-06-23,113.5756
2022-06-22,113.2992
2022-06-21,113.0200
2022-06-17,140.2258
2022-06-16,140.7810
2022-06-15,141.3475
2022-06-14,141.9256
2022-06-13,142.2063
2022-06-10,122.9500
2022-06-09,121.7209
2022-06-08,120.4133
2022-06-07,119.3172
2022-06-06,118.4079
2022-06-03,117.7184
2022-06-02,117.2525
2022-06-01,117.0800
2022-05-31,133.4859
2022-05-27,135.3088
2022-05-26,137.3342
2022-05-25,139.5847
2022-05-24,142.0852
2022-05-23,144.8635
2022-05-20,147.9506
2022-05-19,150.6872
2022-05-18,153.6945
2022-05-17,156.9993
2022-05-16,160.6309
2022-05-13,164.6216
2022-05-12,169.0070
2022-05-11,172.4763
2022-05-10,175.6486
2022-05-09,178.3932
2022-05-06,180.2359
2022-05-05,182.1756
2022-05-04,184.2174
2022-05-03,186.3666
2022-05-02,188.6289
2022-04-29,190.4051
2022-04-28,192.2553
