Dates,SMA Values
2023-07-20,194.1947
2023-07-19,193.7320
2023-07-18,193.3157
2023-07-17,192.9250
2023-07-14,192.5032
2023-07-13,192.0743
2023-07-12,191.6464
2023-07-11,191.2544
2023-07-10,190.8770
2023-07-07,190.5402
2023-07-06,190.2041
2023-07-05,189.8624
2023-07-03,189.5448
2023-06-30,189.2365
2023-06-29,188.9172
2023-06-28,188.6517
2023-06-27,188.3857
2023-06-26,188.1275
2023-06-23,187.8793
2023-06-22,187.6142
2023-06-21,187.3453
2023-06-20,187.0532
2023-06-16,186.7926
2023-06-15,186.5037
2023-06-14,186.2337
2023-06-13,185.9719
2023-06-12,185.7169
2023-06-09,185.4271
2023-06-08,185.1409
2023-06-07,184.8452
2023-06-06,184.6002
2023-06-05,184.4072
2023-06-02,184.1993
2023-06-01,183.9931
2023-05-31,183.8056
2023-05-30,183.6271
2023-05-26,183.4430
2023-05-25,183.2700
2023-05-24,183.0899
2023-05-23,182.9230
2023-05-22,182.7352
2023-05-19,182.5381
2023-05-18,182.3439
2023-05-17,182.1241
2023-05-16,181.9351
2023-05-15,181.7273
2023-05-12,181.5089
2023-05-11,181.2858
2023-05-10,181.0562
2023-05-09,180.8352
2023-05-08,180.6166
2023-05-05,180.4374
2023-05-04,180.2376
2023-05-03,180.0330
2023-05-02,179.7669
2023-05-01,179.4894
2023-04-28,179.2058
2023-04-27,178.8916
2023-04-26,178.5972
2023-04-25,178.2670
2023-04-24,177.9514
2023-04-21,177.6224
2023-04-20,177.2782
2023-04-19,176.9305
2023-04-18,176.5862
2023-04-17,176.2279
2023-04-14,175.8950
2023-04-13,175.5800
2023-04-12,175.2056
2023-04-11,174.8516
2023-04-10,174.4598
2023-04-06,174.0917
2023-04-05,173.7186
2023-04-04,173.3526
2023-04-03,172.9499
2023-03-31,172.5416
2023-03-30,172.0902
2023-03-29,171.6143
2023-03-28,171.2095
2023-03-27,170.8533
2023-03-24,170.5486
2023-03-23,170.2651
2023-03-22,169.9718
2023-03-21,169.6872
2023-03-20,169.3662
2023-03-17,168.9956
2023-03-16,168.6474
2023-03-15,168.2926
2023-03-14,167.9402
2023-03-13,167.5141
2023-03-10,167.0942
2023-03-09,166.6992
2023-03-08,166.2965
2023-03-07,165.8962
2023-03-06,165.4842
2023-03-03,165.0849
2023-03-02,164.6296
2023-03-01,164.2153
2023-02-28,163.8082
2023-02-27,163.4474
2023-02-24,163.1099
2023-02-23,162.7857
2023-02-22,162.4895
2023-02-21,162.2131
2023-02-17,161.9703
2023-02-16,161.6799
2023-02-15,161.3619
2023-02-14,161.0189
2023-02-13,160.6978
2023-02-10,160.3918
2023-02-09,160.1626
2023-02-08,159.9822
2023-02-07,159.7993
2023-02-06,159.6306
2023-02-03,159.5143
2023-02-02,159.4141
2023-02-01,159.2667
2023-01-31,159.1026
2023-01-30,158.9520
2023-01-27,158.7850
2023-01-26,158.6043
2023-01-25,158.4167
2023-01-24,158.2431
2023-01-23,158.0768
2023-01-20,157.9402
2023-01-19,157.8623
2023-01-18,157.7807
2023-01-17,157.6911
2023-01-13,157.6086
2023-01-12,157.5070
2023-01-11,157.3762
2023-01-10,157.2808
2023-01-09,157.1926
2023-01-06,157.0799
2023-01-05,156.9701
2023-01-04,156.8747
2023-01-03,156.8206
2022-12-30,156.7946
2022-12-29,156.7871
2022-12-28,156.7420
2022-12-27,156.6777
2022-12-23,156.6119
2022-12-22,156.5585
2022-12-21,156.5101
2022-12-20,156.3991
2022-12-19,156.3035
2022-12-16,156.2793
2022-12-15,156.3000
2022-12-14,156.3705
2022-12-13,156.4038
2022-12-12,156.4948
2022-12-09,156.5709
2022-12-08,156.6653
2022-12-07,156.7520
2022-12-06,156.8632
2022-12-05,157.0162
2022-12-02,157.1586
2022-12-01,157.3389
2022-11-30,157.5487
2022-11-29,157.7045
2022-11-28,157.8894
2022-11-25,158.1240
2022-11-23,158.3115
2022-11-22,158.5036
2022-11-21,158.7007
2022-11-18,158.8682
2022-11-17,159.0307
2022-11-16,159.2044
2022-11-15,159.3827
2022-11-14,159.5071
2022-11-11,159.5922
2022-11-10,159.6535
2022-11-09,159.7370
2022-11-08,159.9138
2022-11-07,160.0867
2022-11-04,160.2893
2022-11-03,160.5602
2022-11-02,160.8619
2022-11-01,161.2499
2022-10-31,161.6628
2022-10-28,162.0697
2022-10-27,162.4378
2022-10-26,162.8191
2022-10-25,163.1967
2022-10-24,163.5409
2022-10-21,163.8874
2022-10-20,164.2461
2022-10-19,164.6186
2022-10-18,164.9660
2022-10-17,165.2859
2022-10-14,165.6190
2022-10-13,165.9715
2022-10-12,166.3402
2022-10-11,166.7039
2022-10-10,167.0672
2022-10-07,167.4161
2022-10-06,167.7648
2022-10-05,168.0462
2022-10-04,168.3488
2022-10-03,168.6352
2022-09-30,168.9821
2022-09-29,169.3542
2022-09-28,169.7145
2022-09-27,170.0726
2022-09-26,170.4729
2022-09-23,170.8913
2022-09-22,171.2792
2022-09-21,171.6150
2022-09-20,171.8910
2022-09-19,172.1732
2022-09-16,172.3898
2022-09-15,172.6576
2022-09-14,172.9012
2022-09-13,173.1509
2022-09-12,173.4674
2022-09-09,173.7194
2022-09-08,173.9813
2022-09-07,174.2630
2022-09-06,174.6195
2022-09-02,174.9907
2022-09-01,175.3606
2022-08-31,175.7577
2022-08-30,176.0613
2022-08-29,176.3471
2022-08-26,176.6125
2022-08-25,176.8938
2022-08-24,177.1603
2022-08-23,177.4646
2022-08-22,177.7294
2022-08-19,178.0014
2022-08-18,178.2507
2022-08-17,178.4801
2022-08-16,178.6793
2022-08-15,178.8581
2022-08-12,179.0388
2022-08-11,179.2379
2022-08-10,179.4629
2022-08-09,179.6826
2022-08-08,179.9301
2022-08-05,180.1815
2022-08-04,180.4361
2022-08-03,180.6885
2022-08-02,180.9405
2022-08-01,181.2113
2022-07-29,181.4749
2022-07-28,181.7962
2022-07-27,182.1330
2022-07-26,182.4845
2022-07-25,182.8373
2022-07-22,183.1790
2022-07-21,183.5103
2022-07-20,183.8222
2022-07-19,184.1603
2022-07-18,184.4794
2022-07-15,184.8676
2022-07-14,185.2209
2022-07-13,185.6060
2022-07-12,185.9932
2022-07-11,186.3629
2022-07-08,186.7629
2022-07-07,187.1101
2022-07-06,187.4577
2022-07-05,187.8430
2022-07-01,188.2213
2022-06-30,188.5932
2022-06-29,188.9674
2022-06-28,189.3476
2022-06-27,189.7056
2022-06-24,190.0817
2022-06-23,190.4309
2022-06-22,190.8323
2022-06-21,191.2373
2022-06-17,191.6577
2022-06-16,192.0643
2022-06-15,192.4950
2022-06-14,192.9147
2022-06-13,193.4127
2022-06-10,193.9159
2022-06-09,194.3860
2022-06-08,194.8245
2022-06-07,195.2234
2022-06-06,195.5826
2022-06-03,195.9472
2022-06-02,196.3460
2022-06-01,196.7546
2022-05-31,197.2466
2022-05-27,197.7619
2022-05-26,198.2917
2022-05-25,198.8505
2022-05-24,199.4191
2022-05-23,199.9834
2022-05-20,200.5197
2022-05-19,201.0659
2022-05-18,201.5634
2022-05-17,202.0812
2022-05-16,202.5477
2022-05-13,203.0598
2022-05-12,203.5820
2022-05-11,204.1241
2022-05-10,204.5885
2022-05-09,205.0530
2022-05-06,205.4941
2022-05-05,205.8539
2022-05-04,206.2143
2022-05-03,206.5152
2022-05-02,206.7822
2022-04-29,207.1279
2022-04-28,207.4975
2022-04-27,207.8486
2022-04-26,208.2173
2022-04-25,208.5736
2022-04-22,208.8920
2022-04-21,209.1912
2022-04-20,209.4450
2022-04-19,209.7080
2022-04-18,209.9615
2022-04-14,210.2609
2022-04-13,210.5490
2022-04-12,210.8134
2022-04-11,211.1318
2022-04-08,211.4986
2022-04-07,211.8754
2022-04-06,212.2034
2022-04-05,212.5287
2022-04-04,212.8419
2022-04-01,213.0727
2022-03-31,213.3150
2022-03-30,213.5689
2022-03-29,213.8270
2022-03-28,214.0837
2022-03-25,214.3793
2022-03-24,214.6763
2022-03-23,214.9713
2022-03-22,215.3049
2022-03-21,215.6130
2022-03-18,215.9331
2022-03-17,216.2206
2022-03-16,216.5477
2022-03-15,216.8764
2022-03-14,217.2121
2022-03-11,217.5880
2022-03-10,217.9137
2022-03-09,218.2254
2022-03-08,218.5198
2022-03-07,218.8249
2022-03-04,219.1173
2022-03-03,219.3352
2022-03-02,219.5287
2022-03-01,219.6796
2022-02-28,219.8474
2022-02-25,219.9339
2022-02-24,220.0304
2022-02-23,220.1826
2022-02-22,220.3652
2022-02-18,220.5488
2022-02-17,220.6527
2022-02-16,220.7257
2022-02-15,220.7992
2022-02-14,220.8865
2022-02-11,221.0079
2022-02-10,221.1261
2022-02-09,221.2096
2022-02-08,221.3427
2022-02-07,221.4835
2022-02-04,221.6158
2022-02-03,221.7552
2022-02-02,221.9029
2022-02-01,222.0356
2022-01-31,222.2146
2022-01-28,222.4543
2022-01-27,222.7570
2022-01-26,223.0704
2022-01-25,223.3654
2022-01-24,223.5925
2022-01-21,223.8333
2022-01-20,224.0809
2022-01-19,224.2728
2022-01-18,224.4633
2022-01-14,224.6350
2022-01-13,224.7700
2022-01-12,224.9241
2022-01-11,225.0969
2022-01-10,225.2694
2022-01-07,225.4472
2022-01-06,225.6057
2022-01-05,225.7452
2022-01-04,225.8861
2022-01-03,226.0741
2021-12-31,226.3139
2021-12-30,226.5876
2021-12-29,226.8920
2021-12-28,227.1497
2021-12-27,227.4472
2021-12-23,227.7773
2021-12-22,228.0162
2021-12-21,228.2345
2021-12-20,228.3899
2021-12-17,228.5677
2021-12-16,228.7206
2021-12-15,228.8902
2021-12-14,229.0559
2021-12-13,229.1941
2021-12-10,229.3290
2021-12-09,229.3638
2021-12-08,229.4082
2021-12-07,229.4998
2021-12-06,229.5162
2021-12-03,229.5512
2021-12-02,229.6461
2021-12-01,229.6766
2021-11-30,229.8133
2021-11-29,229.9099
2021-11-26,229.9723
2021-11-24,230.0296
2021-11-23,230.0362
2021-11-22,230.0661
2021-11-19,230.0764
2021-11-18,230.0454
2021-11-17,229.9623
2021-11-16,229.8662
2021-11-15,229.7419
2021-11-12,229.5556
2021-11-11,229.4218
2021-11-10,229.3110
2021-11-09,229.1887
