Dates,STOCH Values
2023-07-20,27.1051
2023-07-19,16.2957
2023-07-18,8.3989
2023-07-17,15.9181
2023-07-14,13.3832
2023-07-13,28.1939
2023-07-12,25.9723
2023-07-11,47.6573
2023-07-10,45.2262
2023-07-07,64.6250
2023-07-06,71.7732
2023-07-05,74.2112
2023-07-03,76.8755
2023-06-30,72.2823
2023-06-29,73.9848
2023-06-28,70.3266
2023-06-27,65.9867
2023-06-26,70.8249
2023-06-23,71.0082
2023-06-22,74.1822
2023-06-21,75.4799
2023-06-20,76.1048
2023-06-16,76.0585
2023-06-15,78.4428
2023-06-14,76.7761
2023-06-13,79.4926
2023-06-12,82.4938
2023-06-09,72.6508
2023-06-08,79.2081
2023-06-07,55.9768
2023-06-06,56.2506
2023-06-05,34.1528
2023-06-02,32.4718
2023-06-01,20.0359
2023-05-31,13.7361
2023-05-30,12.8088
2023-05-26,13.8998
2023-05-25,16.7964
2023-05-24,10.7905
2023-05-23,23.9609
2023-05-22,25.6989
2023-05-19,36.2515
2023-05-18,35.3933
2023-05-17,46.2900
2023-05-16,47.6623
2023-05-15,57.7903
2023-05-12,55.8144
2023-05-11,70.2269
2023-05-10,69.8943
2023-05-09,81.2103
2023-05-08,84.9720
2023-05-05,86.1072
2023-05-04,88.7646
2023-05-03,81.4818
2023-05-02,84.5849
2023-05-01,71.6663
2023-04-28,71.0959
2023-04-27,64.2692
2023-04-26,59.3182
2023-04-25,65.5558
2023-04-24,62.3936
2023-04-21,73.6940
2023-04-20,74.9556
2023-04-19,79.2104
2023-04-18,83.7326
2023-04-17,78.4523
2023-04-14,78.9430
2023-04-13,69.7716
2023-04-12,72.6812
2023-04-11,56.4708
2023-04-10,57.6905
2023-04-06,38.3647
2023-04-05,39.0407
2023-04-04,28.9019
2023-04-03,18.3628
2023-03-31,31.5001
2023-03-30,29.3022
2023-03-29,50.3219
2023-03-28,46.8352
2023-03-27,67.1231
2023-03-24,74.8282
2023-03-23,76.3523
2023-03-22,79.7058
2023-03-21,74.6239
2023-03-20,74.5229
2023-03-17,67.7857
2023-03-16,69.6429
2023-03-15,64.1115
2023-03-14,59.1913
2023-03-13,61.4962
2023-03-10,63.5004
2023-03-09,64.0009
2023-03-08,61.7969
2023-03-07,61.1621
2023-03-06,66.7055
2023-03-03,55.1678
2023-03-02,54.9838
2023-03-01,42.8358
2023-02-28,43.8142
2023-02-27,31.9930
2023-02-24,29.7095
2023-02-23,24.2036
2023-02-22,22.4554
2023-02-21,21.2498
2023-02-17,20.4460
2023-02-16,25.6210
2023-02-15,20.8479
2023-02-14,32.8048
2023-02-13,35.5692
2023-02-10,38.9725
2023-02-09,41.9975
2023-02-08,35.5084
2023-02-07,39.3510
2023-02-06,28.4090
2023-02-03,25.1767
2023-02-02,24.9857
2023-02-01,20.6994
2023-01-31,32.9982
2023-01-30,29.0809
2023-01-27,46.3830
2023-01-26,49.2143
2023-01-25,59.2044
2023-01-24,60.8537
2023-01-23,62.0581
2023-01-20,67.5453
2023-01-19,55.8948
2023-01-18,57.7755
2023-01-17,49.9718
2023-01-13,42.3638
2023-01-12,49.9210
2023-01-11,49.7762
2023-01-10,59.8443
2023-01-09,57.6229
2023-01-06,60.5440
2023-01-05,72.1338
2023-01-04,54.7203
2023-01-03,51.8753
2022-12-30,40.0140
2022-12-29,40.1519
2022-12-28,36.3344
2022-12-27,28.0149
2022-12-23,42.3384
2022-12-22,40.8366
2022-12-21,58.6622
2022-12-20,58.1638
2022-12-19,73.7281
2022-12-16,76.9863
2022-12-15,84.4615
2022-12-14,86.0343
2022-12-13,89.3465
2022-12-12,90.3638
2022-12-09,86.4778
2022-12-08,91.6414
2022-12-07,74.4427
2022-12-06,77.4282
2022-12-05,54.4841
2022-12-02,54.2584
2022-12-01,35.3942
2022-11-30,31.7658
2022-11-29,29.9888
2022-11-28,20.1585
2022-11-25,36.1634
2022-11-23,38.0422
2022-11-22,49.3148
2022-11-21,50.2895
2022-11-18,53.3297
2022-11-17,59.6127
2022-11-16,49.8159
2022-11-15,50.0869
2022-11-14,45.5246
2022-11-11,39.7480
2022-11-10,43.0750
2022-11-09,46.7390
2022-11-08,44.4838
2022-11-07,42.7380
2022-11-04,37.3531
2022-11-03,43.9743
2022-11-02,30.6959
2022-11-01,25.3469
2022-10-31,25.3120
2022-10-28,22.7666
2022-10-27,33.8104
2022-10-26,27.8226
2022-10-25,50.1526
2022-10-24,50.8419
2022-10-21,70.5448
2022-10-20,71.7932
2022-10-19,81.4088
2022-10-18,88.9993
2022-10-17,78.6109
2022-10-14,83.4339
2022-10-13,61.7530
2022-10-12,63.3995
2022-10-11,40.8817
2022-10-10,38.4258
2022-10-07,26.1709
2022-10-06,20.8199
2022-10-05,18.1362
2022-10-04,19.2669
2022-10-03,15.6814
2022-09-30,14.3218
2022-09-29,13.7611
2022-09-28,13.4555
2022-09-27,14.3367
2022-09-26,13.5061
2022-09-23,22.1563
2022-09-22,16.0487
2022-09-21,34.9564
2022-09-20,36.9142
2022-09-19,55.4353
2022-09-16,51.9062
2022-09-15,70.1453
2022-09-14,77.4856
2022-09-13,79.2205
2022-09-12,81.0441
2022-09-09,78.5115
2022-09-08,79.1318
2022-09-07,76.2040
2022-09-06,75.3587
2022-09-02,69.1685
2022-09-01,74.1216
2022-08-31,54.6936
2022-08-30,58.0250
2022-08-29,34.1898
2022-08-26,31.9341
2022-08-25,23.9101
2022-08-24,12.6103
2022-08-23,31.4418
2022-08-22,27.1860
2022-08-19,50.0683
2022-08-18,54.5293
2022-08-17,64.4027
2022-08-16,68.4897
2022-08-15,69.3648
2022-08-12,70.1890
2022-08-11,72.5468
2022-08-10,69.4158
2022-08-09,76.7229
2022-08-08,78.0355
2022-08-05,78.6448
2022-08-04,82.7175
2022-08-03,70.4133
2022-08-02,75.1815
2022-08-01,53.5006
2022-07-29,53.3410
2022-07-28,35.4663
2022-07-27,31.9792
2022-07-26,29.5591
2022-07-25,21.0787
2022-07-22,37.6335
2022-07-21,35.6192
2022-07-20,56.8334
2022-07-19,56.2026
2022-07-18,70.6339
2022-07-15,78.6784
2022-07-14,75.4183
2022-07-13,77.0208
2022-07-12,70.5457
2022-07-11,70.5557
2022-07-08,71.1705
2022-07-07,64.0608
2022-07-06,78.2214
2022-07-05,78.8950
2022-07-01,90.1082
2022-06-30,91.7085
2022-06-29,95.2618
2022-06-28,99.7211
2022-06-27,93.3377
2022-06-24,94.3559
2022-06-23,82.6340
2022-06-22,85.9362
2022-06-21,67.8949
2022-06-17,67.6100
2022-06-16,52.1098
2022-06-15,50.1384
2022-06-14,41.6415
2022-06-13,38.5809
2022-06-10,38.6314
2022-06-09,36.2051
2022-06-08,45.8389
2022-06-07,41.1080
2022-06-06,58.7290
2022-06-03,60.2034
2022-06-02,69.8422
2022-06-01,74.8756
2022-05-31,68.1715
2022-05-27,74.4476
2022-05-26,56.7724
2022-05-25,55.1912
2022-05-24,49.1115
2022-05-23,40.6783
2022-05-20,51.9003
2022-05-19,51.4648
2022-05-18,66.0636
2022-05-17,63.5578
2022-05-16,72.0153
2022-05-13,83.1682
2022-05-12,69.9440
2022-05-11,69.3199
2022-05-10,53.2111
2022-05-09,57.3438
2022-05-06,41.1160
2022-05-05,32.9696
2022-05-04,37.3441
2022-05-03,33.0344
2022-05-02,49.6600
2022-04-29,46.0284
2022-04-28,63.4549
2022-04-27,69.9171
2022-04-26,73.7848
2022-04-25,74.4191
2022-04-22,72.0234
2022-04-21,77.0181
2022-04-20,64.5226
2022-04-19,64.6331
2022-04-18,57.4826
2022-04-14,51.9166
2022-04-13,58.6815
2022-04-12,55.8981
2022-04-11,69.5132
2022-04-08,68.2298
2022-04-07,74.0666
2022-04-06,84.4115
2022-04-05,70.1349
2022-04-04,69.5585
2022-04-01,59.0740
2022-03-31,56.4347
2022-03-30,48.3327
2022-03-29,51.2289
2022-03-28,43.3666
2022-03-25,37.3346
2022-03-24,41.9025
2022-03-23,41.5364
2022-03-22,53.7132
2022-03-21,46.8364
2022-03-18,66.8847
2022-03-17,72.7668
2022-03-16,81.4125
2022-03-15,81.0511
2022-03-14,88.0286
2022-03-11,90.4198
2022-03-10,91.8716
2022-03-09,92.6149
2022-03-08,93.4161
2022-03-07,92.5799
2022-03-04,93.4606
2022-03-03,95.0534
2022-03-02,90.2609
2022-03-01,92.7486
2022-02-28,82.5510
2022-02-25,82.9809
2022-02-24,72.0069
2022-02-23,71.9236
2022-02-22,64.8620
2022-02-18,61.1161
2022-02-17,59.1603
2022-02-16,61.5463
2022-02-15,51.6588
2022-02-14,54.8183
2022-02-11,47.6678
2022-02-10,38.6117
2022-02-09,51.1461
2022-02-08,49.5734
2022-02-07,69.4341
2022-02-04,65.2534
2022-02-03,81.4099
2022-02-02,93.4754
2022-02-01,87.5296
2022-01-31,85.5008
2022-01-28,83.4483
2022-01-27,83.6125
2022-01-26,83.9240
