Dates,T3 Values
2023-07-20,210.7335
2023-07-19,210.6340
2023-07-18,210.5373
2023-07-17,210.4435
2023-07-14,210.3545
2023-07-13,210.2715
2023-07-12,210.1957
2023-07-11,210.1277
2023-07-10,210.0674
2023-07-07,210.0140
2023-07-06,209.9662
2023-07-05,209.9240
2023-07-03,209.8878
2023-06-30,209.8579
2023-06-29,209.8341
2023-06-28,209.8173
2023-06-27,209.8080
2023-06-26,209.8065
2023-06-23,209.8136
2023-06-22,209.8306
2023-06-21,209.8600
2023-06-20,209.9048
2023-06-16,209.9684
2023-06-15,210.0522
2023-06-14,210.1579
2023-06-13,210.2844
2023-06-12,210.4306
2023-06-09,210.5957
2023-06-08,210.7775
2023-06-07,210.9729
2023-06-06,211.1793
2023-06-05,211.3936
2023-06-02,211.6139
2023-06-01,211.8396
2023-05-31,212.0695
2023-05-30,212.3004
2023-05-26,212.5307
2023-05-25,212.7592
2023-05-24,212.9848
2023-05-23,213.2066
2023-05-22,213.4246
2023-05-19,213.6396
2023-05-18,213.8513
2023-05-17,214.0583
2023-05-16,214.2592
2023-05-15,214.4519
2023-05-12,214.6342
2023-05-11,214.8057
2023-05-10,214.9652
2023-05-09,215.1123
2023-05-08,215.2463
2023-05-05,215.3669
2023-05-04,215.4733
2023-05-03,215.5667
2023-05-02,215.6479
2023-05-01,215.7187
2023-04-28,215.7799
2023-04-27,215.8317
2023-04-26,215.8745
2023-04-25,215.9076
2023-04-24,215.9305
2023-04-21,215.9441
2023-04-20,215.9493
2023-04-19,215.9465
2023-04-18,215.9361
2023-04-17,215.9180
2023-04-14,215.8919
2023-04-13,215.8572
2023-04-12,215.8147
2023-04-11,215.7663
2023-04-10,215.7104
2023-04-06,215.6456
2023-04-05,215.5700
2023-04-04,215.4824
2023-04-03,215.3809
2023-03-31,215.2639
2023-03-30,215.1284
2023-03-29,214.9704
2023-03-28,214.7863
2023-03-27,214.5725
2023-03-24,214.3261
2023-03-23,214.0449
2023-03-22,213.7280
2023-03-21,213.3758
2023-03-20,212.9885
2023-03-17,212.5677
2023-03-16,212.1122
2023-03-15,211.6212
2023-03-14,211.0948
2023-03-13,210.5330
2023-03-10,209.9374
2023-03-09,209.3073
2023-03-08,208.6429
2023-03-07,207.9454
2023-03-06,207.2162
2023-03-03,206.4558
2023-03-02,205.6641
2023-03-01,204.8400
2023-02-28,203.9814
2023-02-27,203.0872
2023-02-24,202.1583
2023-02-23,201.1970
2023-02-22,200.2062
2023-02-21,199.1902
2023-02-17,198.1508
2023-02-16,197.0908
2023-02-15,196.0136
2023-02-14,194.9209
2023-02-13,193.8145
2023-02-10,192.6944
2023-02-09,191.5604
2023-02-08,190.4128
2023-02-07,189.2526
2023-02-06,188.0812
2023-02-03,186.8996
2023-02-02,185.7083
2023-02-01,184.5100
2023-01-31,183.3084
2023-01-30,182.1061
2023-01-27,180.9041
2023-01-26,179.7037
2023-01-25,178.5075
2023-01-24,177.3172
2023-01-23,176.1345
2023-01-20,174.9603
2023-01-19,173.7961
2023-01-18,172.6434
2023-01-17,171.5048
2023-01-13,170.3828
2023-01-12,169.2790
2023-01-11,168.1941
2023-01-10,167.1276
2023-01-09,166.0783
2023-01-06,165.0462
2023-01-05,164.0313
2023-01-04,163.0328
2023-01-03,162.0475
2022-12-30,161.0738
2022-12-29,160.1102
2022-12-28,159.1568
2022-12-27,158.2155
2022-12-23,157.2882
2022-12-22,156.3773
2022-12-21,155.4845
2022-12-20,154.6118
2022-12-19,153.7611
2022-12-16,152.9318
2022-12-15,152.1251
2022-12-14,151.3430
2022-12-13,150.5875
2022-12-12,149.8609
2022-12-09,149.1638
2022-12-08,148.4970
2022-12-07,147.8609
2022-12-06,147.2578
2022-12-05,146.6903
2022-12-02,146.1613
2022-12-01,145.6734
2022-11-30,145.2268
2022-11-29,144.8216
2022-11-28,144.4602
2022-11-25,144.1434
2022-11-23,143.8729
2022-11-22,143.6513
2022-11-21,143.4790
2022-11-18,143.3567
2022-11-17,143.2859
2022-11-16,143.2671
2022-11-15,143.3005
2022-11-14,143.3859
2022-11-11,143.5223
2022-11-10,143.7075
2022-11-09,143.9388
2022-11-08,144.2113
2022-11-07,144.5187
2022-11-04,144.8562
2022-11-03,145.2176
2022-11-02,145.5971
2022-11-01,145.9892
2022-10-31,146.3885
2022-10-28,146.7918
2022-10-27,147.1966
2022-10-26,147.6005
2022-10-25,148.0002
2022-10-24,148.3935
2022-10-21,148.7797
2022-10-20,149.1541
