Dates,TEMA Values
2023-07-19,210.9894
2023-07-18,213.1442
2023-07-17,214.3514
2023-07-14,215.9064
2023-07-13,217.2906
2023-07-12,216.7189
2023-07-11,215.5786
2023-07-10,212.6922
2023-07-07,212.0380
2023-07-06,211.8628
2023-07-05,211.2435
2023-07-03,209.8728
2023-06-30,209.4889
2023-06-29,208.8228
2023-06-28,207.4805
2023-06-27,206.3773
2023-06-26,205.7944
2023-06-23,207.7217
2023-06-22,210.8621
2023-06-21,215.4692
2023-06-20,217.9307
2023-06-16,221.2695
2023-06-15,220.8996
2023-06-14,220.5104
2023-06-13,221.3584
2023-06-12,219.9776
2023-06-09,216.8446
2023-06-08,214.8017
2023-06-07,211.0261
2023-06-06,209.4318
2023-06-05,210.0541
2023-06-02,209.8227
2023-06-01,206.2875
2023-05-31,204.5665
2023-05-30,203.4940
2023-05-26,202.5706
2023-05-25,201.9261
2023-05-24,202.8462
2023-05-23,205.2757
2023-05-22,206.5723
2023-05-19,206.1669
2023-05-18,205.7391
2023-05-17,203.8323
2023-05-16,201.2040
2023-05-15,201.3378
2023-05-12,200.2754
2023-05-11,200.1315
2023-05-10,199.2133
2023-05-09,198.6169
2023-05-08,197.1660
2023-05-05,198.2887
2023-05-04,199.3956
2023-05-03,202.0487
2023-05-02,203.4766
2023-05-01,204.1098
2023-04-28,204.6963
2023-04-27,203.6791
2023-04-26,202.7689
2023-04-25,203.5688
2023-04-24,205.4352
2023-04-21,205.8865
2023-04-20,207.0483
2023-04-19,207.4320
2023-04-18,207.0629
2023-04-17,206.8129
2023-04-14,208.7518
2023-04-13,213.8531
2023-04-12,213.3326
2023-04-11,213.2771
2023-04-10,213.0713
2023-04-06,213.6446
2023-04-05,213.9092
2023-04-04,214.9938
2023-04-03,213.7143
2023-03-31,210.5612
2023-03-30,207.6748
2023-03-29,204.1960
2023-03-28,201.0514
2023-03-27,198.4472
2023-03-24,197.6422
2023-03-23,198.6287
2023-03-22,199.9729
2023-03-21,203.2301
2023-03-20,202.3733
2023-03-17,201.1309
2023-03-16,201.8938
2023-03-15,201.6988
2023-03-14,204.8589
2023-03-13,203.5209
2023-03-10,204.2533
2023-03-09,205.6223
2023-03-08,208.9207
2023-03-07,209.7807
2023-03-06,210.5123
2023-03-03,208.8416
2023-03-02,204.2114
2023-03-01,200.8469
2023-02-28,199.7675
2023-02-27,200.4412
2023-02-24,202.4382
2023-02-23,207.1734
2023-02-22,207.6405
2023-02-21,210.0515
2023-02-17,213.8515
2023-02-16,215.3412
2023-02-15,217.1032
2023-02-14,216.0842
2023-02-13,213.7913
2023-02-10,212.2124
2023-02-09,211.6957
2023-02-08,211.5140
2023-02-07,210.2196
2023-02-06,207.4848
2023-02-03,208.8460
2023-02-02,211.4448
2023-02-01,213.0402
2023-01-31,211.7159
2023-01-30,210.8870
2023-01-27,211.8554
2023-01-26,212.2147
2023-01-25,211.6106
2023-01-24,210.6600
2023-01-23,209.6414
2023-01-20,209.4084
2023-01-19,211.1231
2023-01-18,213.2795
2023-01-17,214.6693
2023-01-13,215.0633
2023-01-12,213.4505
2023-01-11,210.5599
2023-01-10,210.1371
2023-01-09,210.0142
2023-01-06,208.1361
2023-01-05,201.9675
2023-01-04,197.8917
2023-01-03,192.5376
2022-12-30,190.0238
2022-12-29,189.5183
2022-12-28,189.7619
2022-12-27,190.3896
2022-12-23,190.5163
2022-12-22,190.7879
2022-12-21,191.5561
2022-12-20,187.3010
2022-12-19,186.0427
2022-12-16,185.8182
2022-12-15,186.0191
2022-12-14,186.8211
2022-12-13,184.7888
2022-12-12,182.3770
2022-12-09,179.2787
2022-12-08,179.1539
2022-12-07,179.2242
2022-12-06,180.9803
2022-12-05,182.1478
2022-12-02,179.2297
2022-12-01,176.2788
2022-11-30,176.5830
2022-11-29,174.8658
2022-11-28,174.6392
2022-11-25,176.5521
2022-11-23,174.8623
2022-11-22,174.5762
2022-11-21,175.5669
2022-11-18,176.5199
2022-11-17,177.0111
2022-11-16,178.1346
2022-11-15,179.4235
2022-11-14,179.0212
2022-11-11,179.0367
