Dates,TEMA Values
2023-07-20,213.5268
2023-07-19,213.4087
2023-07-18,213.8897
2023-07-17,214.0413
2023-07-14,214.1630
2023-07-13,214.1358
2023-07-12,213.6434
2023-07-11,213.0727
2023-07-10,212.2474
2023-07-07,212.0166
2023-07-06,211.9105
2023-07-05,211.7275
2023-07-03,211.4404
2023-06-30,211.4181
2023-06-29,211.3602
2023-06-28,211.2112
2023-06-27,211.1814
2023-06-26,211.3027
2023-06-23,211.9007
2023-06-22,212.5635
2023-06-21,213.2504
2023-06-20,213.1945
2023-06-16,213.0911
2023-06-15,212.0385
2023-06-14,210.9634
2023-06-13,210.1012
2023-06-12,208.7368
2023-06-09,207.1116
2023-06-08,205.8706
2023-06-07,204.4286
2023-06-06,203.6250
2023-06-05,203.3250
2023-06-02,202.8200
2023-06-01,201.7201
2023-05-31,201.1894
2023-05-30,200.8962
2023-05-26,200.7074
2023-05-25,200.6380
2023-05-24,200.9061
2023-05-23,201.3974
2023-05-22,201.5263
2023-05-19,201.2650
2023-05-18,201.0384
2023-05-17,200.5839
2023-05-16,200.1427
2023-05-15,200.4060
2023-05-12,200.4643
2023-05-11,200.7869
2023-05-10,201.0022
2023-05-09,201.3633
2023-05-08,201.6320
2023-05-05,202.4935
2023-05-04,203.2979
2023-05-03,204.3299
2023-05-02,204.9741
2023-05-01,205.3886
2023-04-28,205.7622
2023-04-27,205.8105
2023-04-26,205.9534
2023-04-25,206.4764
2023-04-24,207.1447
2023-04-21,207.4282
2023-04-20,207.8088
2023-04-19,207.9634
2023-04-18,207.9466
2023-04-17,207.9667
2023-04-14,208.3941
2023-04-13,209.2593
2023-04-12,208.7361
2023-04-11,208.3178
2023-04-10,207.8628
2023-04-06,207.5544
2023-04-05,207.1440
2023-04-04,206.8635
2023-04-03,206.0783
2023-03-31,205.0426
2023-03-30,204.2813
2023-03-29,203.6257
2023-03-28,203.2906
2023-03-27,203.2956
2023-03-24,203.8375
2023-03-23,204.7947
2023-03-22,205.7829
2023-03-21,207.0615
2023-03-20,207.3944
2023-03-17,207.7397
2023-03-16,208.5619
2023-03-15,209.1817
2023-03-14,210.4532
2023-03-13,210.7082
2023-03-10,211.4513
2023-03-09,212.2797
2023-03-08,213.3864
2023-03-07,213.8389
2023-03-06,214.2237
2023-03-03,214.1327
2023-03-02,213.6252
2023-03-01,213.6759
2023-02-28,214.3865
2023-02-27,215.5031
2023-02-24,216.8235
2023-02-23,218.5119
2023-02-22,219.0914
2023-02-21,219.9811
2023-02-17,220.9441
2023-02-16,221.2036
2023-02-15,221.3846
2023-02-14,220.9066
2023-02-13,220.2314
2023-02-10,219.8093
2023-02-09,219.6557
2023-02-08,219.5645
2023-02-07,219.2449
2023-02-06,218.7081
2023-02-03,219.0636
2023-02-02,219.5083
2023-02-01,219.5426
2023-01-31,218.8767
2023-01-30,218.3293
2023-01-27,218.1032
2023-01-26,217.6328
2023-01-25,216.8901
2023-01-24,216.0495
2023-01-23,215.1823
2023-01-20,214.4469
2023-01-19,214.0007
2023-01-18,213.4337
2023-01-17,212.4918
2023-01-13,211.1833
2023-01-12,209.3900
2023-01-11,207.3826
2023-01-10,205.9380
2023-01-09,204.4974
2023-01-06,202.6673
2023-01-05,200.1044
2023-01-04,198.2733
2023-01-03,196.4201
2022-12-30,195.3890
2022-12-29,194.8383
2022-12-28,194.4009
2022-12-27,193.9573
2022-12-23,193.3169
2022-12-22,192.6298
2022-12-21,191.9498
2022-12-20,190.2291
2022-12-19,189.2759
2022-12-16,188.5294
2022-12-15,187.8072
2022-12-14,187.1114
2022-12-13,185.7694
2022-12-12,184.4204
2022-12-09,183.0327
2022-12-08,182.3226
2022-12-07,181.5787
2022-12-06,181.0577
2022-12-05,180.2259
2022-12-02,178.4773
2022-12-01,176.8272
2022-11-30,175.8799
2022-11-29,174.4464
2022-11-28,173.3028
2022-11-25,172.4652
2022-11-23,170.7325
2022-11-22,169.2613
2022-11-21,167.9322
2022-11-18,166.4165
2022-11-17,164.6375
2022-11-16,162.8270
2022-11-15,160.8592
2022-11-14,158.3861
2022-11-11,155.9146
2022-11-10,152.7441
2022-11-09,149.2917
2022-11-08,146.6311
2022-11-07,143.6405
2022-11-04,140.9802
2022-11-03,138.7038
2022-11-02,136.6449
2022-11-01,135.5685
2022-10-31,134.9069
2022-10-28,134.3086
2022-10-27,133.5103
2022-10-26,133.1592
2022-10-25,133.5243
2022-10-24,132.3591
2022-10-21,131.6767
2022-10-20,131.0441
2022-10-19,130.6454
2022-10-18,130.3232
2022-10-17,130.1227
2022-10-14,130.0789
2022-10-13,130.4124
2022-10-12,130.8862
2022-10-11,131.6627
2022-10-10,132.3830
2022-10-07,133.1427
2022-10-06,134.2435
2022-10-05,135.1592
2022-10-04,136.1803
2022-10-03,137.1321
2022-09-30,139.0933
2022-09-29,141.8406
2022-09-28,144.3075
2022-09-27,145.9957
2022-09-26,148.5584
2022-09-23,151.3600
2022-09-22,153.9165
2022-09-21,155.7727
2022-09-20,157.2202
2022-09-19,158.4598
2022-09-16,159.9273
2022-09-15,161.5822
2022-09-14,162.6936
2022-09-13,163.9513
