Dates,TRANGE Values
2023-07-20,6.5000
2023-07-19,3.6350
2023-07-18,3.4701
2023-07-17,2.4950
2023-07-14,4.2060
2023-07-13,2.6000
2023-07-12,4.6400
2023-07-11,7.6300
2023-07-10,2.3700
2023-07-07,3.8300
2023-07-06,4.0300
2023-07-05,6.3900
2023-07-03,1.9286
2023-06-30,3.8600
2023-06-29,2.9900
2023-06-28,2.7600
2023-06-27,4.0800
2023-06-26,2.4300
2023-06-23,3.0600
2023-06-22,8.4300
2023-06-21,3.6025
2023-06-20,8.1100
2023-06-16,4.8950
2023-06-15,5.3000
2023-06-14,5.5537
2023-06-13,3.7700
2023-06-12,7.2800
2023-06-09,3.4674
2023-06-08,8.0700
2023-06-07,5.1800
2023-06-06,11.0700
2023-06-05,5.8200
2023-06-02,7.2800
2023-06-01,4.5300
2023-05-31,5.2800
2023-05-30,4.4898
2023-05-26,3.9300
2023-05-25,5.1500
2023-05-24,5.1000
2023-05-23,5.0441
2023-05-22,3.0800
2023-05-19,3.7400
2023-05-18,4.1600
2023-05-17,7.7100
2023-05-16,2.8299
2023-05-15,4.6700
2023-05-12,4.2900
2023-05-11,4.4800
2023-05-10,4.9500
2023-05-09,7.3500
2023-05-08,3.2600
2023-05-05,2.2800
2023-05-04,7.9800
2023-05-03,5.5514
2023-05-02,4.1000
2023-05-01,4.9000
2023-04-28,4.0500
2023-04-27,6.0600
2023-04-26,9.5100
2023-04-25,4.6500
2023-04-24,3.2500
2023-04-21,4.1960
2023-04-20,3.8024
2023-04-19,3.9300
2023-04-18,5.2156
2023-04-17,5.3000
2023-04-14,15.4359
2023-04-13,2.1850
2023-04-12,4.1700
2023-04-11,3.7200
2023-04-10,4.3700
2023-04-06,4.1500
2023-04-05,5.5590
2023-04-04,6.2700
2023-04-03,6.1400
2023-03-31,3.7600
2023-03-30,6.3492
2023-03-29,3.6867
2023-03-28,5.8150
2023-03-27,4.0200
2023-03-24,3.9798
2023-03-23,6.3600
2023-03-22,8.6900
2023-03-21,3.9700
2023-03-20,5.0000
2023-03-17,4.1900
2023-03-16,9.4804
2023-03-15,14.8700
2023-03-14,10.1899
2023-03-13,9.9700
2023-03-10,7.2100
2023-03-09,8.7200
2023-03-08,2.9400
2023-03-07,5.4000
2023-03-06,5.5100
2023-03-03,6.7200
2023-03-02,7.1800
2023-03-01,4.5850
2023-02-28,3.0600
2023-02-27,4.9759
2023-02-24,10.7700
2023-02-23,3.9320
2023-02-22,3.0150
2023-02-21,6.6100
2023-02-17,4.5904
2023-02-16,5.2700
2023-02-15,3.8500
2023-02-14,8.1800
2023-02-13,4.8550
2023-02-10,4.0000
2023-02-09,5.3921
2023-02-08,3.9900
2023-02-07,8.3400
2023-02-06,4.5200
2023-02-03,5.1320
2023-02-02,6.9900
2023-02-01,7.0700
2023-01-31,4.8700
2023-01-30,3.6500
2023-01-27,3.4600
2023-01-26,6.5900
2023-01-25,11.6400
2023-01-24,7.1500
2023-01-23,4.3300
2023-01-20,3.2100
2023-01-19,4.8500
2023-01-18,4.2245
2023-01-17,5.0600
2023-01-13,5.0600
2023-01-12,7.5499
2023-01-11,3.7800
2023-01-10,6.1414
2023-01-09,5.9700
2023-01-06,9.4900
2023-01-05,4.2100
2023-01-04,8.5842
2023-01-03,6.6850
2022-12-30,3.6100
2022-12-29,4.0600
2022-12-28,3.8950
2022-12-27,4.8231
2022-12-23,4.7100
2022-12-22,10.3300
2022-12-21,8.1100
2022-12-20,4.2300
2022-12-19,3.3400
2022-12-16,5.3150
2022-12-15,6.9699
2022-12-14,4.2600
2022-12-13,6.2600
2022-12-12,7.1500
2022-12-09,4.8100
2022-12-08,8.3800
2022-12-07,3.8100
2022-12-06,8.0900
2022-12-05,7.6497
2022-12-02,10.6000
2022-12-01,5.0100
2022-11-30,5.7795
2022-11-29,4.1200
2022-11-28,6.6600
2022-11-25,4.4299
2022-11-23,3.2300
2022-11-22,3.9900
2022-11-21,3.6000
2022-11-18,3.6599
2022-11-17,4.6300
2022-11-16,3.5000
2022-11-15,3.9400
2022-11-14,4.6900
2022-11-11,5.0399
2022-11-10,10.5800
2022-11-09,4.7600
2022-11-08,5.6400
2022-11-07,6.6899
2022-11-04,6.4850
2022-11-03,11.2800
2022-11-02,12.0500
2022-11-01,3.4150
2022-10-31,4.9290
2022-10-28,4.9700
2022-10-27,9.3124
2022-10-26,17.9350
2022-10-25,5.0000
2022-10-24,3.5985
2022-10-21,4.7100
2022-10-20,3.5200
2022-10-19,4.5700
2022-10-18,4.2000
2022-10-17,4.1300
2022-10-14,5.0400
2022-10-13,10.5300
