Dates,TRIMA Values
2023-07-20,201.1710
2023-07-19,200.8966
2023-07-18,200.6155
2023-07-17,200.3273
2023-07-14,200.0320
2023-07-13,199.7289
2023-07-12,199.4180
2023-07-11,199.0998
2023-07-10,198.7740
2023-07-07,198.4414
2023-07-06,198.1019
2023-07-05,197.7555
2023-07-03,197.4029
2023-06-30,197.0438
2023-06-29,196.6784
2023-06-28,196.3088
2023-06-27,195.9346
2023-06-26,195.5550
2023-06-23,195.1691
2023-06-22,194.7769
2023-06-21,194.3783
2023-06-20,193.9733
2023-06-16,193.5631
2023-06-15,193.1480
2023-06-14,192.7292
2023-06-13,192.3071
2023-06-12,191.8824
2023-06-09,191.4544
2023-06-08,191.0225
2023-06-07,190.5858
2023-06-06,190.1443
2023-06-05,189.6988
2023-06-02,189.2492
2023-06-01,188.7963
2023-05-31,188.3396
2023-05-30,187.8789
2023-05-26,187.4148
2023-05-25,186.9481
2023-05-24,186.4798
2023-05-23,186.0101
2023-05-22,185.5392
2023-05-19,185.0675
2023-05-18,184.5951
2023-05-17,184.1220
2023-05-16,183.6480
2023-05-15,183.1722
2023-05-12,182.6951
2023-05-11,182.2168
2023-05-10,181.7373
2023-05-09,181.2565
2023-05-08,180.7741
2023-05-05,180.2907
2023-05-04,179.8062
2023-05-03,179.3214
2023-05-02,178.8355
2023-05-01,178.3489
2023-04-28,177.8611
2023-04-27,177.3713
2023-04-26,176.8810
2023-04-25,176.3895
2023-04-24,175.8969
2023-04-21,175.4038
2023-04-20,174.9098
2023-04-19,174.4149
2023-04-18,173.9199
2023-04-17,173.4249
2023-04-14,172.9299
2023-04-13,172.4346
2023-04-12,171.9388
2023-04-11,171.4437
2023-04-10,170.9484
2023-04-06,170.4529
2023-04-05,169.9566
2023-04-04,169.4606
2023-04-03,168.9650
2023-03-31,168.4708
2023-03-30,167.9777
2023-03-29,167.4859
2023-03-28,166.9973
2023-03-27,166.5139
2023-03-24,166.0362
2023-03-23,165.5640
2023-03-22,165.0970
2023-03-21,164.6364
2023-03-20,164.1813
2023-03-17,163.7308
2023-03-16,163.2856
2023-03-15,162.8455
2023-03-14,162.4108
2023-03-13,161.9805
2023-03-10,161.5555
2023-03-09,161.1362
2023-03-08,160.7227
2023-03-07,160.3156
2023-03-06,159.9156
2023-03-03,159.5232
2023-03-02,159.1381
2023-03-01,158.7609
2023-02-28,158.3906
2023-02-27,158.0270
2023-02-24,157.6709
2023-02-23,157.3233
2023-02-22,156.9857
2023-02-21,156.6580
2023-02-17,156.3404
2023-02-16,156.0331
2023-02-15,155.7358
2023-02-14,155.4476
2023-02-13,155.1683
2023-02-10,154.8972
2023-02-09,154.6352
2023-02-08,154.3831
2023-02-07,154.1404
2023-02-06,153.9072
2023-02-03,153.6840
2023-02-02,153.4694
2023-02-01,153.2617
2023-01-31,153.0615
2023-01-30,152.8696
2023-01-27,152.6857
2023-01-26,152.5098
2023-01-25,152.3420
2023-01-24,152.1817
2023-01-23,152.0282
2023-01-20,151.8814
2023-01-19,151.7416
2023-01-18,151.6081
2023-01-17,151.4812
2023-01-13,151.3622
2023-01-12,151.2517
2023-01-11,151.1492
2023-01-10,151.0538
2023-01-09,150.9644
2023-01-06,150.8804
2023-01-05,150.8020
2023-01-04,150.7293
2023-01-03,150.6627
2022-12-30,150.6016
2022-12-29,150.5455
2022-12-28,150.4934
2022-12-27,150.4446
2022-12-23,150.3991
2022-12-22,150.3570
2022-12-21,150.3186
2022-12-20,150.2832
2022-12-19,150.2514
2022-12-16,150.2246
2022-12-15,150.2037
2022-12-14,150.1898
2022-12-13,150.1825
2022-12-12,150.1829
2022-12-09,150.1902
