Dates,TRIX Values
2023-07-21,0.0068
2023-07-20,0.0062
2023-07-19,0.0056
2023-07-18,0.0049
2023-07-17,0.0043
2023-07-14,0.0037
2023-07-13,0.0031
2023-07-12,0.0025
2023-07-11,0.0018
2023-07-10,0.0012
2023-07-07,0.0006
2023-07-06,-0.0001
2023-07-05,-0.0007
2023-07-03,-0.0013
2023-06-30,-0.0020
2023-06-29,-0.0027
2023-06-28,-0.0033
2023-06-27,-0.0040
2023-06-26,-0.0046
2023-06-23,-0.0053
2023-06-22,-0.0060
2023-06-21,-0.0067
2023-06-20,-0.0074
2023-06-16,-0.0081
2023-06-15,-0.0088
2023-06-14,-0.0095
2023-06-13,-0.0102
2023-06-12,-0.0109
2023-06-09,-0.0116
2023-06-08,-0.0123
2023-06-07,-0.0130
2023-06-06,-0.0137
2023-06-05,-0.0143
2023-06-02,-0.0150
2023-06-01,-0.0158
2023-05-31,-0.0165
2023-05-30,-0.0172
2023-05-26,-0.0179
2023-05-25,-0.0186
2023-05-24,-0.0193
2023-05-23,-0.0201
2023-05-22,-0.0208
2023-05-19,-0.0215
2023-05-18,-0.0223
2023-05-17,-0.0230
2023-05-16,-0.0238
2023-05-15,-0.0246
2023-05-12,-0.0253
2023-05-11,-0.0261
2023-05-10,-0.0269
2023-05-09,-0.0277
2023-05-08,-0.0285
2023-05-05,-0.0293
2023-05-04,-0.0301
2023-05-03,-0.0309
2023-05-02,-0.0317
2023-05-01,-0.0326
2023-04-28,-0.0334
2023-04-27,-0.0343
2023-04-26,-0.0351
2023-04-25,-0.0360
2023-04-24,-0.0368
2023-04-21,-0.0377
2023-04-20,-0.0386
2023-04-19,-0.0394
2023-04-18,-0.0403
2023-04-17,-0.0412
2023-04-14,-0.0421
2023-04-13,-0.0430
2023-04-12,-0.0438
2023-04-11,-0.0447
2023-04-10,-0.0456
2023-04-06,-0.0465
2023-04-05,-0.0474
2023-04-04,-0.0483
2023-04-03,-0.0492
2023-03-31,-0.0500
2023-03-30,-0.0509
2023-03-29,-0.0518
2023-03-28,-0.0527
2023-03-27,-0.0535
2023-03-24,-0.0544
2023-03-23,-0.0553
2023-03-22,-0.0561
2023-03-21,-0.0570
2023-03-20,-0.0579
2023-03-17,-0.0588
2023-03-16,-0.0597
2023-03-15,-0.0606
2023-03-14,-0.0615
2023-03-13,-0.0623
2023-03-10,-0.0632
2023-03-09,-0.0641
2023-03-08,-0.0650
2023-03-07,-0.0659
2023-03-06,-0.0668
2023-03-03,-0.0677
2023-03-02,-0.0685
2023-03-01,-0.0694
2023-02-28,-0.0703
2023-02-27,-0.0711
2023-02-24,-0.0720
2023-02-23,-0.0728
2023-02-22,-0.0737
2023-02-21,-0.0745
2023-02-17,-0.0754
2023-02-16,-0.0762
2023-02-15,-0.0771
2023-02-14,-0.0779
2023-02-13,-0.0787
2023-02-10,-0.0795
2023-02-09,-0.0803
2023-02-08,-0.0810
2023-02-07,-0.0818
2023-02-06,-0.0825
2023-02-03,-0.0833
2023-02-02,-0.0840
2023-02-01,-0.0847
2023-01-31,-0.0854
2023-01-30,-0.0861
2023-01-27,-0.0867
2023-01-26,-0.0874
2023-01-25,-0.0880
2023-01-24,-0.0886
2023-01-23,-0.0892
2023-01-20,-0.0898
2023-01-19,-0.0904
2023-01-18,-0.0909
2023-01-17,-0.0915
2023-01-13,-0.0920
2023-01-12,-0.0925
2023-01-11,-0.0930
2023-01-10,-0.0934
2023-01-09,-0.0939
2023-01-06,-0.0943
2023-01-05,-0.0947
2023-01-04,-0.0950
2023-01-03,-0.0954
2022-12-30,-0.0957
2022-12-29,-0.0960
2022-12-28,-0.0963
2022-12-27,-0.0966
2022-12-23,-0.0969
2022-12-22,-0.0971
2022-12-21,-0.0974
2022-12-20,-0.0976
2022-12-19,-0.0978
2022-12-16,-0.0980
2022-12-15,-0.0982
2022-12-14,-0.0983
2022-12-13,-0.0985
2022-12-12,-0.0986
2022-12-09,-0.0987
2022-12-08,-0.0988
2022-12-07,-0.0988
2022-12-06,-0.0989
2022-12-05,-0.0990
2022-12-02,-0.0990
2022-12-01,-0.0990
2022-11-30,-0.0990
2022-11-29,-0.0990
2022-11-28,-0.0989
2022-11-25,-0.0989
2022-11-23,-0.0988
2022-11-22,-0.0987
2022-11-21,-0.0986
2022-11-18,-0.0985
2022-11-17,-0.0984
2022-11-16,-0.0982
2022-11-15,-0.0981
2022-11-14,-0.0979
2022-11-11,-0.0977
2022-11-10,-0.0975
2022-11-09,-0.0972
2022-11-08,-0.0970
2022-11-07,-0.0967
2022-11-04,-0.0964
2022-11-03,-0.0961
2022-11-02,-0.0958
2022-11-01,-0.0955
2022-10-31,-0.0951
2022-10-28,-0.0948
2022-10-27,-0.0944
2022-10-26,-0.0941
2022-10-25,-0.0937
2022-10-24,-0.0934
2022-10-21,-0.0930
2022-10-20,-0.0926
2022-10-19,-0.0923
2022-10-18,-0.0919
2022-10-17,-0.0915
2022-10-14,-0.0911
2022-10-13,-0.0908
2022-10-12,-0.0904
2022-10-11,-0.0900
2022-10-10,-0.0896
2022-10-07,-0.0893
2022-10-06,-0.0889
2022-10-05,-0.0885
2022-10-04,-0.0882
2022-10-03,-0.0878
2022-09-30,-0.0875
2022-09-29,-0.0871
2022-09-28,-0.0868
2022-09-27,-0.0864
2022-09-26,-0.0861
2022-09-23,-0.0857
2022-09-22,-0.0854
2022-09-21,-0.0851
2022-09-20,-0.0848
2022-09-19,-0.0845
2022-09-16,-0.0842
2022-09-15,-0.0838
2022-09-14,-0.0835
2022-09-13,-0.0832
2022-09-12,-0.0829
2022-09-09,-0.0826
2022-09-08,-0.0822
2022-09-07,-0.0819
2022-09-06,-0.0815
2022-09-02,-0.0812
2022-09-01,-0.0808
2022-08-31,-0.0805
2022-08-30,-0.0801
2022-08-29,-0.0798
2022-08-26,-0.0794
2022-08-25,-0.0790
2022-08-24,-0.0786
2022-08-23,-0.0782
2022-08-22,-0.0778
2022-08-19,-0.0773
2022-08-18,-0.0769
2022-08-17,-0.0765
2022-08-16,-0.0760
2022-08-15,-0.0755
2022-08-12,-0.0750
2022-08-11,-0.0745
2022-08-10,-0.0740
2022-08-09,-0.0735
2022-08-08,-0.0730
2022-08-05,-0.0724
2022-08-04,-0.0719
2022-08-03,-0.0713
2022-08-02,-0.0707
2022-08-01,-0.0701
2022-07-29,-0.0695
2022-07-28,-0.0688
2022-07-27,-0.0682
2022-07-26,-0.0675
2022-07-25,-0.0669
2022-07-22,-0.0662
2022-07-21,-0.0655
2022-07-20,-0.0648
2022-07-19,-0.0641
2022-07-18,-0.0634
2022-07-15,-0.0627
2022-07-14,-0.0620
2022-07-13,-0.0612
2022-07-12,-0.0605
2022-07-11,-0.0598
2022-07-08,-0.0590
2022-07-07,-0.0583
2022-07-06,-0.0575
2022-07-05,-0.0568
2022-07-01,-0.0560
2022-06-30,-0.0553
2022-06-29,-0.0545
2022-06-28,-0.0537
2022-06-27,-0.0530
2022-06-24,-0.0522
2022-06-23,-0.0515
2022-06-22,-0.0507
2022-06-21,-0.0500
2022-06-17,-0.0492
2022-06-16,-0.0485
2022-06-15,-0.0478
2022-06-14,-0.0470
2022-06-13,-0.0463
2022-06-10,-0.0456
2022-06-09,-0.0449
2022-06-08,-0.0442
2022-06-07,-0.0435
2022-06-06,-0.0428
2022-06-03,-0.0421
2022-06-02,-0.0414
2022-06-01,-0.0407
2022-05-31,-0.0401
2022-05-27,-0.0394
2022-05-26,-0.0388
2022-05-25,-0.0381
2022-05-24,-0.0375
2022-05-23,-0.0369
2022-05-20,-0.0363
2022-05-19,-0.0357
2022-05-18,-0.0352
2022-05-17,-0.0347
2022-05-16,-0.0341
2022-05-13,-0.0336
2022-05-12,-0.0332
2022-05-11,-0.0327
2022-05-10,-0.0322
2022-05-09,-0.0318
2022-05-06,-0.0314
2022-05-05,-0.0310
2022-05-04,-0.0307
2022-05-03,-0.0303
2022-05-02,-0.0300
2022-04-29,-0.0296
2022-04-28,-0.0293
2022-04-27,-0.0290
2022-04-26,-0.0287
2022-04-25,-0.0285
2022-04-22,-0.0282
2022-04-21,-0.0279
2022-04-20,-0.0277
2022-04-19,-0.0274
2022-04-18,-0.0272
2022-04-14,-0.0269
2022-04-13,-0.0267
2022-04-12,-0.0265
2022-04-11,-0.0262
2022-04-08,-0.0260
2022-04-07,-0.0258
2022-04-06,-0.0256
2022-04-05,-0.0254
2022-04-04,-0.0252
2022-04-01,-0.0250
2022-03-31,-0.0248
2022-03-30,-0.0246
2022-03-29,-0.0244
2022-03-28,-0.0242
2022-03-25,-0.0240
2022-03-24,-0.0238
2022-03-23,-0.0236
2022-03-22,-0.0235
2022-03-21,-0.0233
2022-03-18,-0.0231
2022-03-17,-0.0230
2022-03-16,-0.0228
2022-03-15,-0.0226
2022-03-14,-0.0225
2022-03-11,-0.0224
2022-03-10,-0.0222
2022-03-09,-0.0221
2022-03-08,-0.0220
2022-03-07,-0.0219
2022-03-04,-0.0218
2022-03-03,-0.0217
2022-03-02,-0.0217
2022-03-01,-0.0216
2022-02-28,-0.0216
2022-02-25,-0.0216
2022-02-24,-0.0215
2022-02-23,-0.0215
2022-02-22,-0.0215
2022-02-18,-0.0214
2022-02-17,-0.0214
2022-02-16,-0.0214
2022-02-15,-0.0214
2022-02-14,-0.0214
2022-02-11,-0.0213
2022-02-10,-0.0213
2022-02-09,-0.0213
2022-02-08,-0.0212
2022-02-07,-0.0212
2022-02-04,-0.0212
2022-02-03,-0.0211
2022-02-02,-0.0211
2022-02-01,-0.0211
