Dates,ULTOSC Values
2023-07-20,47.2304
2023-07-19,44.4960
2023-07-18,45.3035
2023-07-17,47.6629
2023-07-14,53.7567
2023-07-13,58.5731
2023-07-12,58.4052
2023-07-11,64.5293
2023-07-10,54.7811
2023-07-07,55.1467
2023-07-06,59.9233
2023-07-05,59.3487
2023-07-03,48.0701
2023-06-30,51.1579
2023-06-29,45.2807
2023-06-28,44.1377
2023-06-27,47.7887
2023-06-26,42.2846
2023-06-23,41.5235
2023-06-22,42.2331
2023-06-21,45.3546
2023-06-20,47.7836
2023-06-16,56.4428
2023-06-15,59.8471
2023-06-14,56.2937
2023-06-13,60.7664
2023-06-12,60.8545
2023-06-09,61.9515
2023-06-08,60.4015
2023-06-07,59.1522
2023-06-06,58.3438
2023-06-05,55.5831
2023-06-02,56.1483
2023-06-01,53.7324
2023-05-31,52.7360
2023-05-30,49.8850
2023-05-26,55.3213
2023-05-25,52.9091
2023-05-24,52.5681
2023-05-23,53.3000
2023-05-22,60.0097
2023-05-19,59.2335
2023-05-18,60.8512
2023-05-17,58.3692
2023-05-16,55.6559
2023-05-15,53.8546
2023-05-12,46.5982
2023-05-11,49.0128
2023-05-10,42.4621
2023-05-09,44.6219
2023-05-08,42.4905
2023-05-05,40.4040
2023-05-04,39.2907
2023-05-03,38.7552
2023-05-02,41.5957
2023-05-01,38.0458
2023-04-28,41.4953
2023-04-27,40.7847
2023-04-26,43.3082
2023-04-25,45.1459
2023-04-24,49.0475
2023-04-21,47.5058
2023-04-20,48.9801
2023-04-19,49.4825
2023-04-18,51.3584
2023-04-17,46.5478
2023-04-14,46.1865
2023-04-13,54.4624
2023-04-12,51.4977
2023-04-11,51.6994
2023-04-10,53.6120
2023-04-06,58.3475
2023-04-05,57.7660
2023-04-04,64.1128
2023-04-03,59.6948
2023-03-31,53.3168
2023-03-30,52.6621
2023-03-29,52.8958
2023-03-28,49.5757
2023-03-27,52.1043
2023-03-24,47.8870
2023-03-23,44.8332
2023-03-22,47.2903
2023-03-21,54.8079
2023-03-20,53.4969
2023-03-17,52.2090
2023-03-16,50.1393
2023-03-15,43.1791
2023-03-14,46.8205
2023-03-13,51.7462
2023-03-10,50.7649
2023-03-09,49.5641
2023-03-08,54.8512
2023-03-07,49.3114
2023-03-06,54.8960
2023-03-03,56.2800
2023-03-02,48.7704
2023-03-01,44.5983
2023-02-28,38.4466
2023-02-27,39.9337
2023-02-24,42.7229
2023-02-23,51.9754
2023-02-22,51.0655
2023-02-21,50.4536
2023-02-17,56.2661
2023-02-16,57.6567
2023-02-15,63.9877
2023-02-14,60.2371
2023-02-13,56.6200
2023-02-10,53.9781
2023-02-09,56.7239
2023-02-08,58.5628
2023-02-07,58.9024
2023-02-06,54.6995
2023-02-03,57.6910
2023-02-02,64.4530
2023-02-01,71.6293
2023-01-31,74.6235
2023-01-30,70.3334
2023-01-27,66.6137
2023-01-26,67.1830
2023-01-25,64.7366
2023-01-24,64.7126
2023-01-23,58.8199
2023-01-20,57.4068
2023-01-19,53.5450
2023-01-18,59.4233
2023-01-17,64.6056
2023-01-13,69.7704
2023-01-12,70.1513
2023-01-11,69.2698
2023-01-10,71.1538
2023-01-09,70.4543
2023-01-06,73.9890
2023-01-05,70.0505
2023-01-04,61.8114
2023-01-03,59.0958
2022-12-30,58.5349
2022-12-29,54.0542
2022-12-28,53.3208
2022-12-27,53.4393
2022-12-23,54.5203
2022-12-22,50.2061
2022-12-21,60.2217
2022-12-20,51.6159
2022-12-19,49.2863
2022-12-16,51.0221
2022-12-15,45.9938
2022-12-14,49.1202
2022-12-13,53.9675
2022-12-12,53.5747
2022-12-09,50.8424
2022-12-08,55.5522
2022-12-07,55.6110
2022-12-06,57.6606
2022-12-05,63.9128
2022-12-02,62.5496
2022-12-01,55.5714
2022-11-30,61.0824
2022-11-29,60.3970
2022-11-28,56.5075
2022-11-25,66.0744
2022-11-23,57.7452
2022-11-22,58.6708
2022-11-21,63.9815
2022-11-18,63.0353
2022-11-17,64.3308
2022-11-16,63.0783
2022-11-15,66.8572
2022-11-14,65.8463
2022-11-11,67.7996
2022-11-10,66.0284
2022-11-09,63.8135
2022-11-08,65.6991
2022-11-07,63.3097
2022-11-04,54.1076
2022-11-03,53.5364
2022-11-02,49.3317
2022-11-01,52.6678
2022-10-31,51.8939
2022-10-28,49.9962
2022-10-27,47.3560
2022-10-26,45.9263
2022-10-25,59.5328
2022-10-24,58.8547
2022-10-21,59.5318
2022-10-20,54.0566
2022-10-19,53.6716
2022-10-18,52.7782
2022-10-17,54.7544
2022-10-14,54.7322
2022-10-13,59.4875
2022-10-12,56.5624
2022-10-11,51.4267
2022-10-10,47.2351
2022-10-07,51.7634
2022-10-06,51.7544
2022-10-05,47.2939
2022-10-04,42.4721
2022-10-03,34.9831
2022-09-30,27.0234
2022-09-29,29.8962
2022-09-28,33.2222
2022-09-27,28.1518
2022-09-26,29.3656
2022-09-23,35.5421
2022-09-22,33.0869
2022-09-21,35.3181
2022-09-20,38.0948
2022-09-19,39.2931
2022-09-16,42.1188
2022-09-15,42.5484
2022-09-14,41.2091
2022-09-13,35.9782
2022-09-12,42.4151
2022-09-09,39.0967
2022-09-08,41.3990
2022-09-07,35.5769
2022-09-06,34.6490
2022-09-02,36.6409
2022-09-01,39.7990
2022-08-31,40.9256
2022-08-30,39.8795
2022-08-29,47.2876
2022-08-26,43.0721
2022-08-25,49.7636
2022-08-24,43.3153
2022-08-23,41.8570
2022-08-22,41.4788
2022-08-19,44.9042
2022-08-18,52.1282
2022-08-17,47.2435
2022-08-16,51.1139
2022-08-15,49.5125
2022-08-12,52.1465
2022-08-11,46.2370
2022-08-10,53.3995
2022-08-09,54.8020
2022-08-08,58.4489
2022-08-05,60.2745
2022-08-04,58.9795
2022-08-03,60.0779
2022-08-02,55.9485
2022-08-01,62.5917
2022-07-29,61.1128
2022-07-28,62.8893
2022-07-27,54.8322
2022-07-26,59.0410
2022-07-25,63.1180
2022-07-22,60.7453
2022-07-21,67.5788
2022-07-20,64.4769
2022-07-19,63.0555
2022-07-18,56.8885
2022-07-15,63.2163
2022-07-14,65.2478
2022-07-13,62.4280
2022-07-12,65.3710
2022-07-11,62.2344
2022-07-08,57.2150
2022-07-07,57.0361
2022-07-06,61.3874
2022-07-05,62.6575
2022-07-01,59.8250
2022-06-30,55.1497
2022-06-29,53.6600
2022-06-28,51.0045
2022-06-27,62.9458
2022-06-24,66.7345
2022-06-23,57.0491
2022-06-22,55.1805
2022-06-21,50.7421
2022-06-17,52.2477
2022-06-16,52.5304
2022-06-15,53.3289
2022-06-14,46.3461
2022-06-13,44.7845
2022-06-10,52.8908
2022-06-09,58.4355
2022-06-08,67.0548
2022-06-07,69.1998
2022-06-06,68.6396
2022-06-03,64.5573
2022-06-02,66.2344
2022-06-01,54.9649
2022-05-31,55.0081
2022-05-27,50.3368
2022-05-26,49.2430
2022-05-25,43.3813
2022-05-24,41.6461
2022-05-23,42.6452
2022-05-20,37.7401
2022-05-19,39.2185
2022-05-18,32.5486
2022-05-17,35.8634
2022-05-16,29.4167
2022-05-13,32.9790
2022-05-12,34.2126
2022-05-11,36.8531
2022-05-10,37.5021
2022-05-09,39.5736
2022-05-06,47.0205
2022-05-05,42.9892
2022-05-04,46.7069
2022-05-03,41.9819
2022-05-02,35.8435
2022-04-29,31.6182
2022-04-28,37.4382
2022-04-27,35.2080
2022-04-26,32.1300
2022-04-25,41.0895
2022-04-22,39.5234
2022-04-21,42.0573
2022-04-20,46.0695
2022-04-19,51.3969
2022-04-18,46.5998
2022-04-14,42.4197
2022-04-13,46.8418
2022-04-12,42.0182
2022-04-11,37.9444
2022-04-08,41.9477
2022-04-07,45.3289
2022-04-06,44.8328
2022-04-05,46.5013
2022-04-04,58.8003
2022-04-01,53.4736
2022-03-31,55.7909
2022-03-30,57.3194
2022-03-29,57.7771
2022-03-28,58.7536
2022-03-25,60.6818
2022-03-24,61.1394
2022-03-23,57.2509
2022-03-22,54.1623
2022-03-21,51.0703
2022-03-18,51.7427
2022-03-17,50.2392
2022-03-16,41.9289
2022-03-15,36.1762
2022-03-14,30.7916
2022-03-11,30.4221
2022-03-10,31.8107
2022-03-09,34.7107
2022-03-08,34.0948
2022-03-07,38.5945
2022-03-04,42.2538
2022-03-03,41.5194
2022-03-02,44.2147
2022-03-01,41.8095
2022-02-28,47.4893
2022-02-25,46.4344
2022-02-24,44.6388
2022-02-23,34.3109
2022-02-22,39.2712
2022-02-18,46.4594
2022-02-17,52.7244
2022-02-16,58.6842
2022-02-15,55.9562
2022-02-14,50.3148
2022-02-11,55.9610
2022-02-10,66.9764
2022-02-09,71.0421
2022-02-08,71.5065
2022-02-07,62.3360
2022-02-04,54.5655
2022-02-03,56.3226
2022-02-02,60.3355
2022-02-01,55.1951
2022-01-31,50.1216
2022-01-28,41.5481
2022-01-27,36.8113
2022-01-26,42.5447
2022-01-25,48.5902
2022-01-24,44.9513
2022-01-21,41.3502
2022-01-20,44.1056
2022-01-19,48.7843
2022-01-18,53.6475
2022-01-14,54.2377
2022-01-13,53.5979
2022-01-12,53.4591
