Dates,WMA Values
2023-07-20,205.1744
2023-07-19,204.9767
2023-07-18,204.8246
2023-07-17,204.6391
2023-07-14,204.4463
2023-07-13,204.2369
2023-07-12,203.9862
2023-07-11,203.7289
2023-07-10,203.4514
2023-07-07,203.2249
2023-07-06,203.0070
2023-07-05,202.7806
2023-07-03,202.5441
2023-06-30,202.3283
2023-06-29,202.1070
2023-06-28,201.8764
2023-06-27,201.6542
2023-06-26,201.4422
2023-06-23,201.2661
2023-06-22,201.0890
2023-06-21,200.9073
2023-06-20,200.6582
2023-06-16,200.4037
2023-06-15,200.0705
2023-06-14,199.7404
2023-06-13,199.4327
2023-06-12,199.0878
2023-06-09,198.7282
2023-06-08,198.4082
2023-06-07,198.0772
2023-06-06,197.8052
2023-06-05,197.5775
2023-06-02,197.3329
2023-06-01,197.0411
2023-05-31,196.8008
2023-05-30,196.5812
2023-05-26,196.3698
2023-05-25,196.1672
2023-05-24,195.9903
2023-05-23,195.8276
2023-05-22,195.6299
2023-05-19,195.3974
2023-05-18,195.1671
2023-05-17,194.9172
2023-05-16,194.6691
2023-05-15,194.4786
2023-05-12,194.2670
2023-05-11,194.0738
2023-05-10,193.8670
2023-05-09,193.6680
2023-05-08,193.4564
2023-05-05,193.2890
2023-05-04,193.1089
2023-05-03,192.9396
2023-05-02,192.7290
2023-05-01,192.4926
2023-04-28,192.2472
2023-04-27,191.9697
2023-04-26,191.6966
2023-04-25,191.4502
2023-04-24,191.2090
2023-04-21,190.9290
2023-04-20,190.6516
2023-04-19,190.3501
2023-04-18,190.0305
2023-04-17,189.7107
2023-04-14,189.4208
2023-04-13,189.1608
2023-04-12,188.7788
2023-04-11,188.4058
2023-04-10,188.0291
2023-04-06,187.6640
2023-04-05,187.2894
2023-04-04,186.9248
2023-04-03,186.5173
2023-03-31,186.0909
2023-03-30,185.6895
2023-03-29,185.2973
2023-03-28,184.9315
2023-03-27,184.5921
2023-03-24,184.2934
2023-03-23,184.0221
2023-03-22,183.7442
2023-03-21,183.4808
2023-03-20,183.1292
2023-03-17,182.7732
2023-03-16,182.4508
2023-03-15,182.1036
2023-03-14,181.8024
2023-03-13,181.4067
2023-03-10,181.0458
2023-03-09,180.6839
2023-03-08,180.3362
2023-03-07,179.9252
2023-03-06,179.5029
2023-03-03,179.0369
2023-03-02,178.5346
2023-03-01,178.0785
2023-02-28,177.6731
2023-02-27,177.2939
2023-02-24,176.9223
2023-02-23,176.5704
2023-02-22,176.1163
2023-02-21,175.6830
2023-02-17,175.2497
2023-02-16,174.7523
2023-02-15,174.2464
2023-02-14,173.6850
2023-02-13,173.1103
2023-02-10,172.5605
2023-02-09,172.0359
2023-02-08,171.5184
2023-02-07,170.9840
2023-02-06,170.4355
2023-02-03,169.9649
2023-02-02,169.5012
2023-02-01,169.0030
2023-01-31,168.4493
2023-01-30,167.9115
2023-01-27,167.4052
2023-01-26,166.8821
2023-01-25,166.3417
2023-01-24,165.8000
2023-01-23,165.2637
2023-01-20,164.7460
2023-01-19,164.2594
2023-01-18,163.7688
2023-01-17,163.2542
2023-01-13,162.7189
2023-01-12,162.1554
2023-01-11,161.5888
2023-01-10,161.0839
2023-01-09,160.5914
2023-01-06,160.0790
2023-01-05,159.5215
2023-01-04,159.0427
2023-01-03,158.5769
2022-12-30,158.1928
2022-12-29,157.8575
2022-12-28,157.5374
2022-12-27,157.2220
2022-12-23,156.8957
2022-12-22,156.5723
2022-12-21,156.2565
2022-12-20,155.8625
2022-12-19,155.5442
2022-12-16,155.2516
2022-12-15,154.9691
2022-12-14,154.6969
2022-12-13,154.3800
2022-12-12,154.0752
2022-12-09,153.7797
2022-12-08,153.5521
2022-12-07,153.3299
2022-12-06,153.1345
2022-12-05,152.9215
2022-12-02,152.6434
2022-12-01,152.3894
2022-11-30,152.2080
2022-11-29,151.9973
2022-11-28,151.8239
2022-11-25,151.6875
2022-11-23,151.4880
2022-11-22,151.3253
2022-11-21,151.1880
2022-11-18,151.0480
2022-11-17,150.9002
2022-11-16,150.7651
2022-11-15,150.6327
2022-11-14,150.4750
2022-11-11,150.3362
2022-11-10,150.1587
2022-11-09,149.9811
2022-11-08,149.8933
2022-11-07,149.7985
2022-11-04,149.7525
2022-11-03,149.7579
2022-11-02,149.7989
2022-11-01,149.9366
2022-10-31,150.1185
2022-10-28,150.3131
2022-10-27,150.4982
2022-10-26,150.7276
2022-10-25,151.0202
2022-10-24,151.1883
2022-10-21,151.4056
2022-10-20,151.6337
2022-10-19,151.8873
2022-10-18,152.1518
2022-10-17,152.4298
2022-10-14,152.7236
2022-10-13,153.0502
2022-10-12,153.3879
2022-10-11,153.7490
2022-10-10,154.1022
2022-10-07,154.4556
2022-10-06,154.8334
2022-10-05,155.1901
2022-10-04,155.5507
2022-10-03,155.9002
2022-09-30,156.3274
2022-09-29,156.8077
2022-09-28,157.2494
2022-09-27,157.6139
2022-09-26,158.0414
2022-09-23,158.4747
2022-09-22,158.8729
2022-09-21,159.2003
2022-09-20,159.4849
2022-09-19,159.7459
2022-09-16,160.0197
2022-09-15,160.3019
2022-09-14,160.5320
2022-09-13,160.7697
2022-09-12,161.0300
2022-09-09,161.1792
2022-09-08,161.3430
2022-09-07,161.5069
2022-09-06,161.6927
2022-09-02,161.9176
2022-09-01,162.1518
2022-08-31,162.3717
2022-08-30,162.5290
2022-08-29,162.6697
2022-08-26,162.7811
2022-08-25,162.9041
2022-08-24,162.9815
2022-08-23,163.1195
2022-08-22,163.2952
2022-08-19,163.4844
2022-08-18,163.6370
2022-08-17,163.7344
2022-08-16,163.8486
2022-08-15,163.9161
2022-08-12,164.0013
2022-08-11,164.0933
2022-08-10,164.2086
2022-08-09,164.3147
2022-08-08,164.4647
2022-08-05,164.6070
2022-08-04,164.7601
2022-08-03,164.9013
2022-08-02,165.0436
2022-08-01,165.2220
2022-07-29,165.3455
2022-07-28,165.5692
2022-07-27,165.7985
2022-07-26,166.0611
2022-07-25,166.3290
2022-07-22,166.5930
2022-07-21,166.8453
2022-07-20,167.0683
2022-07-19,167.3248
2022-07-18,167.6069
2022-07-15,167.9765
2022-07-14,168.3495
2022-07-13,168.7321
2022-07-12,169.1505
2022-07-11,169.5406
2022-07-08,170.0359
2022-07-07,170.5139
2022-07-06,170.9864
2022-07-05,171.4992
2022-07-01,172.0019
2022-06-30,172.4870
2022-06-29,173.0069
2022-06-28,173.5133
2022-06-27,174.0208
2022-06-24,174.5319
2022-06-23,175.0185
2022-06-22,175.5842
2022-06-21,176.1223
2022-06-17,176.6687
2022-06-16,177.2186
2022-06-15,177.8070
2022-06-14,178.3960
2022-06-13,179.1050
2022-06-10,179.8816
2022-06-09,180.5521
2022-06-08,181.1601
2022-06-07,181.7132
2022-06-06,182.2581
2022-06-03,182.8224
2022-06-02,183.3905
2022-06-01,183.9502
2022-05-31,184.6129
2022-05-27,185.2732
2022-05-26,185.9305
2022-05-25,186.6382
2022-05-24,187.4080
2022-05-23,188.2098
2022-05-20,188.9705
2022-05-19,189.7701
2022-05-18,190.5107
2022-05-17,191.2725
2022-05-16,191.9739
2022-05-13,192.7601
2022-05-12,193.5201
2022-05-11,194.3259
2022-05-10,195.0742
2022-05-09,195.7916
2022-05-06,196.5099
2022-05-05,197.0766
2022-05-04,197.6313
2022-05-03,198.1242
2022-05-02,198.6536
2022-04-29,199.2359
2022-04-28,199.8195
2022-04-27,200.3532
2022-04-26,200.8881
2022-04-25,201.3013
2022-04-22,201.6295
2022-04-21,201.9506
2022-04-20,202.2334
2022-04-19,202.4937
2022-04-18,202.7323
2022-04-14,203.0349
2022-04-13,203.3196
2022-04-12,203.5977
2022-04-11,203.9444
2022-04-08,204.3073
2022-04-07,204.6722
2022-04-06,205.0129
2022-04-05,205.3493
2022-04-04,205.6497
2022-04-01,205.8675
2022-03-31,206.0920
2022-03-30,206.3116
2022-03-29,206.4998
2022-03-28,206.7016
2022-03-25,206.9625
2022-03-24,207.2185
2022-03-23,207.4764
2022-03-22,207.7676
2022-03-21,208.0121
2022-03-18,208.3109
2022-03-17,208.5437
2022-03-16,208.8060
2022-03-15,209.0834
2022-03-14,209.4548
2022-03-11,209.8734
2022-03-10,210.2881
2022-03-09,210.6845
2022-03-08,211.0821
2022-03-07,211.5301
2022-03-04,212.0271
2022-03-03,212.4102
2022-03-02,212.7154
2022-03-01,212.9330
2022-02-28,213.1812
2022-02-25,213.3264
2022-02-24,213.5110
2022-02-23,213.7274
2022-02-22,213.9657
2022-02-18,214.1827
2022-02-17,214.2983
2022-02-16,214.3694
2022-02-15,214.3880
2022-02-14,214.4194
2022-02-11,214.5286
2022-02-10,214.6164
2022-02-09,214.6409
2022-02-08,214.6954
2022-02-07,214.7771
2022-02-04,214.8736
2022-02-03,215.0259
2022-02-02,215.1803
